endpoint_id,outcome_name,endpoint_class,cycle,exposure_cycle_used,module,source_variable(s),cycle_mapping,variable_available,outcome_available,adult_age_rule,operational_definition,raw_eligible_n,raw_case_count,raw_control_count,raw_male_cases,raw_female_cases,raw_male_controls,raw_female_controls,source_codebook_url,notes
any_arthritis,Any arthritis,reference,1999-2000,False,MCQ,MCQ160A,MCQ160A: 1=Yes; 2=No,True,True,"RIDAGEYR >=20; RIAGENDR in {1,2}",MCQ160A=1 (case) versus MCQ160A=2 (control); adults >=20.,4873,1239,3634,478,761,1788,1846,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/MCQ.htm,
any_arthritis,Any arthritis,reference,2001-2002,False,MCQ,MCQ160A,MCQ160A: 1=Yes; 2=No,True,True,"RIDAGEYR >=20; RIAGENDR in {1,2}",MCQ160A=1 (case) versus MCQ160A=2 (control); adults >=20.,5405,1331,4074,532,799,2001,2073,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2001/DataFiles/MCQ_B.htm,
any_arthritis,Any arthritis,reference,2003-2004,True,MCQ,MCQ160A,MCQ160A: 1=Yes; 2=No,True,True,"RIDAGEYR >=20; RIAGENDR in {1,2}",MCQ160A=1 (case) versus MCQ160A=2 (control); adults >=20.,5027,1408,3619,557,851,1855,1764,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/MCQ_C.htm,
any_arthritis,Any arthritis,reference,2005-2006,True,MCQ,MCQ160A,MCQ160A: 1=Yes; 2=No,True,True,"RIDAGEYR >=20; RIAGENDR in {1,2}",MCQ160A=1 (case) versus MCQ160A=2 (control); adults >=20.,4969,1247,3722,531,716,1852,1870,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/MCQ_D.htm,
any_arthritis,Any arthritis,reference,2007-2008,True,MCQ,MCQ160A,MCQ160A: 1=Yes; 2=No,True,True,"RIDAGEYR >=20; RIAGENDR in {1,2}",MCQ160A=1 (case) versus MCQ160A=2 (control); adults >=20.,5925,1755,4170,724,1031,2179,1991,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2007/DataFiles/MCQ_E.htm,
any_arthritis,Any arthritis,reference,2009-2010,True,MCQ,MCQ160A,MCQ160A: 1=Yes; 2=No,True,True,"RIDAGEYR >=20; RIAGENDR in {1,2}",MCQ160A=1 (case) versus MCQ160A=2 (control); adults >=20.,6201,1674,4527,691,983,2305,2222,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/MCQ_F.htm,
any_arthritis,Any arthritis,reference,2011-2012,True,MCQ,MCQ160A,MCQ160A: 1=Yes; 2=No,True,True,"RIDAGEYR >=20; RIAGENDR in {1,2}",MCQ160A=1 (case) versus MCQ160A=2 (control); adults >=20.,5550,1365,4185,539,826,2195,1990,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/MCQ_G.htm,
any_arthritis,Any arthritis,reference,2013-2014,True,MCQ,MCQ160A,MCQ160A: 1=Yes; 2=No,True,True,"RIDAGEYR >=20; RIAGENDR in {1,2}",MCQ160A=1 (case) versus MCQ160A=2 (control); adults >=20.,5756,1508,4248,568,940,2184,2064,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/MCQ_H.htm,
any_arthritis,Any arthritis,reference,2015-2016,True,MCQ,MCQ160A,MCQ160A: 1=Yes; 2=No,True,True,"RIDAGEYR >=20; RIAGENDR in {1,2}",MCQ160A=1 (case) versus MCQ160A=2 (control); adults >=20.,5708,1470,4238,587,883,2157,2081,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2015/DataFiles/MCQ_I.htm,
any_arthritis,Any arthritis,reference,2017-2018,True,MCQ,MCQ160A,MCQ160A: 1=Yes; 2=No,True,True,"RIDAGEYR >=20; RIAGENDR in {1,2}",MCQ160A=1 (case) versus MCQ160A=2 (control); adults >=20.,5552,1695,3857,725,970,1972,1885,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/MCQ_J.htm,
gout,Gout,primary_related_endpoint,1999-2000,False,MCQ,MCQ160N,MCQ160N: 1=Yes; 2=No,False,False,"RIDAGEYR >=20; RIAGENDR in {1,2}",MCQ160N=1 (case) versus MCQ160N=2 (control); adults >=20.,0,0,0,0,0,0,0,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/MCQ.htm,MCQ160N unavailable in this cycle
gout,Gout,primary_related_endpoint,2001-2002,False,MCQ,MCQ160N,MCQ160N: 1=Yes; 2=No,False,False,"RIDAGEYR >=20; RIAGENDR in {1,2}",MCQ160N=1 (case) versus MCQ160N=2 (control); adults >=20.,0,0,0,0,0,0,0,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2001/DataFiles/MCQ_B.htm,MCQ160N unavailable in this cycle
gout,Gout,primary_related_endpoint,2003-2004,True,MCQ,MCQ160N,MCQ160N: 1=Yes; 2=No,False,False,"RIDAGEYR >=20; RIAGENDR in {1,2}",MCQ160N=1 (case) versus MCQ160N=2 (control); adults >=20.,0,0,0,0,0,0,0,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/MCQ_C.htm,MCQ160N unavailable in this cycle
gout,Gout,primary_related_endpoint,2005-2006,True,MCQ,MCQ160N,MCQ160N: 1=Yes; 2=No,False,False,"RIDAGEYR >=20; RIAGENDR in {1,2}",MCQ160N=1 (case) versus MCQ160N=2 (control); adults >=20.,0,0,0,0,0,0,0,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/MCQ_D.htm,MCQ160N unavailable in this cycle
gout,Gout,primary_related_endpoint,2007-2008,True,MCQ,MCQ160N,MCQ160N: 1=Yes; 2=No,True,True,"RIDAGEYR >=20; RIAGENDR in {1,2}",MCQ160N=1 (case) versus MCQ160N=2 (control); adults >=20.,5927,299,5628,220,79,2686,2942,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2007/DataFiles/MCQ_E.htm,
gout,Gout,primary_related_endpoint,2009-2010,True,MCQ,MCQ160N,MCQ160N: 1=Yes; 2=No,True,True,"RIDAGEYR >=20; RIAGENDR in {1,2}",MCQ160N=1 (case) versus MCQ160N=2 (control); adults >=20.,6211,277,5934,194,83,2806,3128,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/MCQ_F.htm,
gout,Gout,primary_related_endpoint,2011-2012,True,MCQ,MCQ160N,MCQ160N: 1=Yes; 2=No,True,True,"RIDAGEYR >=20; RIAGENDR in {1,2}",MCQ160N=1 (case) versus MCQ160N=2 (control); adults >=20.,5555,239,5316,151,88,2586,2730,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/MCQ_G.htm,
