set_a,set_a_label,set_b,set_b_label,background_n,set_a_n,set_b_n,overlap_n,expected_overlap,fold_enrichment_observed_over_expected,odds_ratio,fisher_p_two_sided,fisher_p_overlap_greater,fisher_p_overlap_less,jaccard_index,a_only_n,b_only_n,neither_n,overlap_genes,a_only_genes,b_only_genes,fisher_q_two_sided_bh,primary_comparison
stable_ml,17 stable-ML genes,tier1,16 Tier 1 cross-supported genes,97,17,16,1,2.804123711340206,0.35661764705882354,0.2708333333333333,0.2903649141565514,0.9660076506006215,0.17623725765523912,0.03125,16,15,65,CEBPB,ACACA;AGTR1;ANGPT2;BMP2;CD36;CNR1;EPAS1;FABP1;FASN;INHBA;MKI67;NR3C1;RXRA;TIMP1;UBE2C;VEGFA,ADIPOQ;ESR1;IFNG;IL13;IL18;IL1A;IL1B;IL6;MMP9;PPARA;PPARG;RELA;SREBF1;STAT3;TP53,0.36295614269568927,True
tier1,16 Tier 1 cross-supported genes,ppi_pathway_candidate,PPI top-20 hub + pathway membership,97,16,20,16,3.2989690721649483,4.8500000000000005,inf,6.1091914055711265e-15,6.1091914055711265e-15,1.0,0.8,0,4,77,ADIPOQ;CEBPB;ESR1;IFNG;IL13;IL18;IL1A;IL1B;IL6;MMP9;PPARA;PPARG;RELA;SREBF1;STAT3;TP53,,AKT1;IL4;SIRT1;TNF,6.109191405571127e-14,False
tier1,16 Tier 1 cross-supported genes,crossrank_top20,Top 20 cross-ranked genes,97,16,20,14,3.2989690721649483,4.24375,87.5,1.4451536637534725e-10,1.4451536637534725e-10,0.9999999999984885,0.6363636363636364,2,6,75,ADIPOQ;CEBPB;ESR1;IFNG;IL18;IL1A;IL1B;IL6;MMP9;PPARA;PPARG;RELA;STAT3;TP53,IL13;SREBF1,CD36;FAS;LEPR;NOS3;RXRA;SLC2A1,7.225768318767363e-10,False
ppi_pathway_candidate,PPI top-20 hub + pathway membership,crossrank_top20,Top 20 cross-ranked genes,97,20,20,14,4.123711340206185,3.3950000000000005,27.61111111111111,3.4893636793123434e-08,3.489363679312343e-08,0.9999999988508015,0.5384615384615384,6,6,71,ADIPOQ;CEBPB;ESR1;IFNG;IL18;IL1A;IL1B;IL6;MMP9;PPARA;PPARG;RELA;STAT3;TP53,AKT1;IL13;IL4;SIRT1;SREBF1;TNF,CD36;FAS;LEPR;NOS3;RXRA;SLC2A1,1.1631212264374477e-07,False
transcriptomic_replicated_ge2,Transcriptomic replicated in ≥2/4 primary datasets,crossrank_top20,Top 20 cross-ranked genes,97,69,20,20,14.22680412371134,1.4057971014492754,inf,0.00059223410061274,0.00042459588869062537,1.0,0.2898550724637681,49,0,28,ADIPOQ;CD36;CEBPB;ESR1;FAS;IFNG;IL18;IL1A;IL1B;IL6;LEPR;MMP9;NOS3;PPARA;PPARG;RELA;RXRA;SLC2A1;STAT3;TP53,ACACA;ACLY;ACSL4;AGTR1;ANGPT2;AR;ATF4;BMP2;BSCL2;CCR7;CD80;CD86;CEBPA;CNR1;COPS5;CYP3A4;DUSP1;EPAS1;FABP1;FASN;FDPS;G6PD;GATA2;GPX1;GRN;GUCY2C;HMGCR;HSPA9;IL13;IL5;INHBA;LDLR;MKI67;NLRP3;NR3C1;NR4A1;PGR;PPARD;RYR1;SIRT3;SORBS1;SREBF1;TIMP1;TIMP2;TPM1;TXN;UBE2C;VEGFA;WNT4,,0.00148058525153185,False
stable_ml,17 stable-ML genes,transcriptomic_replicated_ge2,Transcriptomic replicated in ≥2/4 primary datasets,97,17,69,17,12.092783505154639,1.4057971014492754,inf,0.0023593749295012807,0.001578497656779266,1.0,0.2463768115942029,0,52,28,ACACA;AGTR1;ANGPT2;BMP2;CD36;CEBPB;CNR1;EPAS1;FABP1;FASN;INHBA;MKI67;NR3C1;RXRA;TIMP1;UBE2C;VEGFA,,ACLY;ACSL4;ADIPOQ;AR;ATF4;BSCL2;CCR7;CD80;CD86;CEBPA;COPS5;CYP3A4;DUSP1;ESR1;FAS;FDPS;G6PD;GATA2;GPX1;GRN;GUCY2C;HMGCR;HSPA9;IFNG;IL13;IL18;IL1A;IL1B;IL5;IL6;LDLR;LEPR;MMP9;NLRP3;NOS3;NR4A1;PGR;PPARA;PPARD;PPARG;RELA;RYR1;SIRT3;SLC2A1;SORBS1;SREBF1;STAT3;TIMP2;TP53;TPM1;TXN;WNT4,0.004718749859002561,False
tier1,16 Tier 1 cross-supported genes,transcriptomic_replicated_ge2,Transcriptomic replicated in ≥2/4 primary datasets,97,16,69,16,11.381443298969073,1.4057971014492754,inf,0.004736134441441126,0.002412420947153218,1.0,0.2318840579710145,0,53,28,ADIPOQ;CEBPB;ESR1;IFNG;IL13;IL18;IL1A;IL1B;IL6;MMP9;PPARA;PPARG;RELA;SREBF1;STAT3;TP53,,ACACA;ACLY;ACSL4;AGTR1;ANGPT2;AR;ATF4;BMP2;BSCL2;CCR7;CD36;CD80;CD86;CEBPA;CNR1;COPS5;CYP3A4;DUSP1;EPAS1;FABP1;FAS;FASN;FDPS;G6PD;GATA2;GPX1;GRN;GUCY2C;HMGCR;HSPA9;IL5;INHBA;LDLR;LEPR;MKI67;NLRP3;NOS3;NR3C1;NR4A1;PGR;PPARD;RXRA;RYR1;SIRT3;SLC2A1;SORBS1;TIMP1;TIMP2;TPM1;TXN;UBE2C;VEGFA;WNT4,0.007893557402401876,False
stable_ml,17 stable-ML genes,ppi_pathway_candidate,PPI top-20 hub + pathway membership,97,17,20,1,3.5051546391752577,0.2852941176470588,0.20065789473684212,0.18282117447397184,0.987018450604073,0.0853377263568312,0.027777777777777776,16,19,61,CEBPB,ACACA;AGTR1;ANGPT2;BMP2;CD36;CNR1;EPAS1;FABP1;FASN;INHBA;MKI67;NR3C1;RXRA;TIMP1;UBE2C;VEGFA,ADIPOQ;AKT1;ESR1;IFNG;IL13;IL18;IL1A;IL1B;IL4;IL6;MMP9;PPARA;PPARG;RELA;SIRT1;SREBF1;STAT3;TNF;TP53,0.26117310639138835,False
ppi_pathway_candidate,PPI top-20 hub + pathway membership,transcriptomic_replicated_ge2,Transcriptomic replicated in ≥2/4 primary datasets,97,20,69,16,14.22680412371134,1.1246376811594203,1.8113207547169812,0.41350708271182524,0.2446908877805754,0.8991509835673525,0.2191780821917808,4,53,24,ADIPOQ;CEBPB;ESR1;IFNG;IL13;IL18;IL1A;IL1B;IL6;MMP9;PPARA;PPARG;RELA;SREBF1;STAT3;TP53,AKT1;IL4;SIRT1;TNF,ACACA;ACLY;ACSL4;AGTR1;ANGPT2;AR;ATF4;BMP2;BSCL2;CCR7;CD36;CD80;CD86;CEBPA;CNR1;COPS5;CYP3A4;DUSP1;EPAS1;FABP1;FAS;FASN;FDPS;G6PD;GATA2;GPX1;GRN;GUCY2C;HMGCR;HSPA9;IL5;INHBA;LDLR;LEPR;MKI67;NLRP3;NOS3;NR3C1;NR4A1;PGR;PPARD;RXRA;RYR1;SIRT3;SLC2A1;SORBS1;TIMP1;TIMP2;TPM1;TXN;UBE2C;VEGFA;WNT4,0.4594523141242502,False
stable_ml,17 stable-ML genes,crossrank_top20,Top 20 cross-ranked genes,97,17,20,3,3.5051546391752577,0.8558823529411764,0.7941176470588235,1.0,0.7372729365777262,0.5161404020871918,0.08823529411764706,14,17,63,CD36;CEBPB;RXRA,ACACA;AGTR1;ANGPT2;BMP2;CNR1;EPAS1;FABP1;FASN;INHBA;MKI67;NR3C1;TIMP1;UBE2C;VEGFA,ADIPOQ;ESR1;FAS;IFNG;IL18;IL1A;IL1B;IL6;LEPR;MMP9;NOS3;PPARA;PPARG;RELA;SLC2A1;STAT3;TP53,1.0,False
