background,source,term_id,term_name,effective_domain_size,term_size,query_size,intersection_size,raw_p_hypergeom,gprofiler_fdr,tested_term_family_size,BH_FDR_all_GO_KEGG,BH_FDR_within_source
descriptive_annotated_genome,GO:BP,GO:0070887,cellular response to chemical stimulus,20972,2199,79,44,4.338766137440675e-23,1.3172493993270076e-19,24546,1.706176395887171e-18,1.064993536096188e-18
descriptive_annotated_genome,GO:BP,GO:0009725,response to hormone,20972,904,79,28,9.018788776195456e-19,1.3690521362264705e-15,24546,1.7732742491755506e-14,1.1068759465024684e-14
descriptive_annotated_genome,GO:BP,GO:0033993,response to lipid,20972,880,79,27,5.655776071668842e-18,5.7236453845288196e-15,24546,7.413591274743517e-14,4.6275559818394467e-14
descriptive_annotated_genome,GO:BP,GO:0042221,response to chemical,20972,3863,79,49,1.1813523208632958e-17,8.966464115352432e-15,24546,1.1613874666407062e-13,7.249368516977615e-14
descriptive_annotated_genome,GO:BP,GO:0032870,cellular response to hormone stimulus,20972,677,79,24,2.3496101417860207e-17,1.426683278092488e-14,24546,1.8479213843118695e-13,1.1534706108055933e-13
descriptive_annotated_genome,GO:BP,GO:0009719,response to endogenous stimulus,20972,1467,79,32,4.089421126249972e-17,2.0692470898824734e-14,24546,2.6802066061442315e-13,1.6729821827488638e-13
descriptive_annotated_genome,GO:BP,GO:0071396,cellular response to lipid,20972,600,79,22,3.2360991536423943e-16,1.4035424329226098e-13,24546,1.6124662553193616e-12,1.13476128321866e-12
descriptive_annotated_genome,GO:MF,GO:0004879,nuclear receptor activity,20208,59,78,11,3.2803707767660696e-16,1.0792267219134846e-13,10123,1.6124662553193616e-12,2.0269039157570015e-12
descriptive_annotated_genome,GO:MF,GO:0098531,ligand-modulated transcription factor activity,20208,60,78,11,4.0045518438348344e-16,1.0792267219134846e-13,10123,1.7497221856329005e-12,2.0269039157570015e-12
descriptive_annotated_genome,GO:BP,GO:0006954,inflammatory response,20972,873,79,25,6.410540252852921e-16,2.432800025957665e-13,24546,2.5208808490318826e-12,1.9669140130815977e-12
descriptive_annotated_genome,GO:MF,GO:0004955,prostaglandin receptor activity,20208,10,78,7,1.1516050755791607e-15,2.0690504524572066e-13,10123,4.116883453824992e-12,3.885899393362614e-12
descriptive_annotated_genome,GO:BP,GO:0006693,prostaglandin metabolic process,20972,47,79,10,1.4752264689230334e-15,4.97643062183371e-13,24546,4.834317138660781e-12,4.02343432290942e-12
descriptive_annotated_genome,GO:BP,GO:0006692,prostanoid metabolic process,20972,49,79,10,2.32724934703686e-15,7.065529017603869e-13,24546,7.03975025560596e-12,5.712466247236676e-12
descriptive_annotated_genome,GO:BP,GO:0071495,cellular response to endogenous stimulus,20972,1238,79,28,2.958078137210805e-15,8.164295658701777e-13,24546,8.276849346341629e-12,6.600816905088765e-12
descriptive_annotated_genome,GO:MF,GO:0004954,prostanoid receptor activity,20208,11,78,7,3.157174758293267e-15,4.2542929868001607e-13,10123,8.276849346341629e-12,7.990020019550685e-12
descriptive_annotated_genome,GO:BP,GO:1901700,response to oxygen-containing compound,20972,1632,79,31,7.058279105807783e-15,1.7857446137693786e-12,24546,1.7347485472299078e-11,1.4437709910929819e-11
descriptive_annotated_genome,GO:BP,GO:0006952,defense response,20972,1883,79,32,4.893939868935192e-14,1.1429231878528658e-11,24546,1.1320546553294557e-10,9.240511386375633e-11
descriptive_annotated_genome,GO:BP,GO:0042127,regulation of cell population proliferation,20972,1639,79,30,6.063895976429204e-14,1.3149991560313719e-11,24546,1.258597368920073e-10,1.0631742188387945e-10
descriptive_annotated_genome,GO:MF,GO:0004953,icosanoid receptor activity,20208,15,78,7,6.081108231482399e-14,6.5554346735380244e-12,10123,1.258597368920073e-10,1.2311811725459265e-10
descriptive_annotated_genome,GO:BP,GO:1901701,cellular response to oxygen-containing compound,20972,1194,79,26,9.399765124651278e-14,1.9025124612294438e-11,24546,1.8481818188089342e-10,1.5381775649979353e-10
descriptive_annotated_genome,GO:BP,GO:0030522,intracellular receptor signaling pathway,20972,399,79,17,1.087870395379461e-13,2.0642340752325258e-11,24546,2.0371150203762823e-10,1.6689291703115157e-10
descriptive_annotated_genome,GO:BP,GO:0046457,prostanoid biosynthetic process,20972,30,79,8,1.5417012348007293e-13,2.7532970287382435e-11,24546,2.7557208798774493e-10,2.2260352064363942e-10
descriptive_annotated_genome,GO:BP,GO:0009605,response to external stimulus,20972,2427,79,35,2.462474766180944e-13,4.153374105625153e-11,24546,4.2101894654478023e-10,3.357994756148748e-10
descriptive_annotated_genome,GO:BP,GO:0033559,unsaturated fatty acid metabolic process,20972,111,79,11,3.680216934118076e-13,5.880599269464462e-11,24546,6.030035446552467e-10,4.754452887624331e-10
descriptive_annotated_genome,GO:BP,GO:0006950,response to stress,20972,3984,79,44,4.008769685757803e-13,6.085312382980357e-11,24546,6.305634364909594e-10,4.919963035330552e-10
descriptive_annotated_genome,GO:MF,GO:0004957,prostaglandin E receptor activity,20208,5,78,5,7.521252438752868e-13,6.756591774146329e-11,10123,1.137560503467376e-09,1.2689606406249214e-09
descriptive_annotated_genome,GO:BP,GO:0006690,icosanoid metabolic process,20972,119,79,11,8.005324011408978e-13,1.1573411285065529e-10,24546,1.1659309682394322e-09,9.35708015162118e-10
descriptive_annotated_genome,GO:BP,GO:0008283,cell population proliferation,20972,1961,79,31,9.954485273261302e-13,1.3737189677100501e-10,24546,1.398036353163312e-09,1.1106490705339634e-09
descriptive_annotated_genome,GO:BP,GO:0048522,positive regulation of cellular process,20972,5739,79,52,1.0886535576247835e-12,1.437022696064721e-10,24546,1.4762142241392064e-09,1.161830009802519e-09
descriptive_annotated_genome,GO:BP,GO:0048518,positive regulation of biological process,20972,6150,79,53,4.082025377124886e-12,5.163762102063031e-10,24546,5.350718864335301e-09,4.174891454454478e-09
descriptive_annotated_genome,GO:BP,GO:0050896,response to stimulus,20972,9051,79,64,5.497398321210401e-12,6.676040521277883e-10,24546,6.973538438170252e-09,5.39756556769722e-09
descriptive_annotated_genome,GO:BP,GO:0032787,monocarboxylic acid metabolic process,20972,604,79,18,7.76994690323384e-12,9.072907230083777e-10,24546,9.548293500711484e-09,7.3354275648760705e-09
descriptive_annotated_genome,GO:MF,GO:0003707,nuclear steroid receptor activity,20208,27,78,7,8.087438687114346e-12,6.227327789078076e-10,10123,9.637286028244986e-09,1.1695591689951218e-08
descriptive_annotated_genome,GO:BP,GO:0009893,positive regulation of metabolic process,20972,3410,79,39,8.369790296039735e-12,9.4113641995469e-10,24546,9.680400988278427e-09,7.60906935579968e-09
