background,source,term_id,term_name,effective_domain_size,term_size,query_size,intersection_size,raw_p_hypergeom,gprofiler_fdr,tested_term_family_size,BH_FDR_all_GO_KEGG,BH_FDR_within_source
primary_dinp_exposure_universe,GO:MF,GO:0003674,molecular_function,93,80,81,78,2.1844863922280474e-09,1.1774381654109147e-06,10123,8.590274288797574e-05,2.2113555748524525e-05
primary_dinp_exposure_universe,GO:MF,GO:0005488,binding,93,76,81,74,1.353247518874971e-07,3.647002063368032e-05,10123,0.002660755271611968,0.0006849462316785666
primary_dinp_exposure_universe,GO:BP,GO:0065007,biological regulation,93,68,81,67,7.400826146728449e-07,0.002246890818146768,24546,0.009701002913131652,0.01816606785975965
primary_dinp_exposure_universe,GO:MF,GO:0005515,protein binding,93,72,81,70,2.225819592231252e-06,0.00039990558673754845,10123,0.02188203241122544,0.007510657244052321
primary_dinp_exposure_universe,GO:BP,GO:0050789,regulation of biological process,93,65,81,64,3.4236977048150025e-06,0.003464782077272787,24546,0.022438914757357528,0.02801269462079635
primary_dinp_exposure_universe,GO:BP,GO:0050896,response to stimulus,93,65,81,64,3.4236977048150025e-06,0.003464782077272787,24546,0.022438914757357528,0.02801269462079635
primary_dinp_exposure_universe,GO:BP,GO:0050794,regulation of cellular process,93,64,81,63,5.439827511749138e-06,0.003946371708658355,24546,0.03055939672457473,0.03190633727296693
primary_dinp_exposure_universe,GO:BP,GO:0051716,cellular response to stimulus,93,55,81,55,6.4992946453529965e-06,0.003946371708658355,24546,0.031947282829232655,0.03190633727296693
primary_dinp_exposure_universe,KEGG,KEGG:00000,KEGG root term,93,63,81,62,8.468996226608241e-06,0.0016937992453216432,586,0.03330348076151425,0.004962831788792429
primary_dinp_exposure_universe,GO:CC,GO:0005737,cytoplasm,93,63,81,62,8.468996226608241e-06,0.002447539909489774,4069,0.03330348076151425,0.03446034564606893
primary_dinp_exposure_universe,GO:BP,GO:0048518,positive regulation of biological process,93,53,81,53,1.3411242918982373e-05,0.006786088917005057,24546,0.04794397423146026,0.05486539478155689
primary_dinp_exposure_universe,GO:BP,GO:0048522,positive regulation of cellular process,93,52,81,52,1.8960722747526806e-05,0.008223536323070187,24546,0.062134288443645345,0.06648712865154185
primary_dinp_exposure_universe,GO:BP,GO:0032501,multicellular organismal process,93,50,81,50,3.682050030326173e-05,0.013973379865087805,24546,0.11137918107118956,0.11297450005548282
primary_dinp_exposure_universe,GO:BP,GO:0042221,response to chemical,93,49,81,49,5.062818791698489e-05,0.01707857539066296,24546,0.1422073472605367,0.1380799445122568
primary_dinp_exposure_universe,GO:BP,GO:0032502,developmental process,93,47,81,47,9.340494562224483e-05,0.023631451242427964,24546,0.21606212244995035,0.1910598162703018
primary_dinp_exposure_universe,GO:BP,GO:0007154,cell communication,93,47,81,47,9.340494562224483e-05,0.023631451242427964,24546,0.21606212244995035,0.1910598162703018
primary_dinp_exposure_universe,GO:BP,GO:0023052,signaling,93,47,81,47,9.340494562224483e-05,0.023631451242427964,24546,0.21606212244995035,0.1910598162703018
primary_dinp_exposure_universe,GO:BP,GO:0070887,cellular response to chemical stimulus,93,44,81,44,0.0002214791143042778,0.04802932793055623,24546,0.4583918258369169,0.38831616712234307
primary_dinp_exposure_universe,GO:BP,GO:0006950,response to stress,93,44,81,44,0.0002214791143042778,0.04802932793055623,24546,0.4583918258369169,0.38831616712234307
primary_dinp_exposure_universe,GO:BP,GO:0007165,signal transduction,93,43,81,43,0.0002914198872424708,0.05898338517787606,24546,0.572989782296146,0.4768795034835792
primary_dinp_exposure_universe,GO:CC,GO:0016020,membrane,93,42,81,42,0.00038108754485553873,0.055067150231625346,4069,0.6811766642681456,0.7753226100085936
primary_dinp_exposure_universe,GO:BP,GO:0048856,anatomical structure development,93,42,81,42,0.00038108754485553873,0.07231136163633847,24546,0.6811766642681456,0.5846359297515034
primary_dinp_exposure_universe,GO:BP,GO:0080090,regulation of primary metabolic process,93,40,81,40,0.0006404129717206493,0.11437022247905247,24546,1.0,0.9246809884620621
