background,source,term_id,term_name,effective_domain_size,term_size,query_size,intersection_size,raw_p_hypergeom,gprofiler_fdr,tested_term_family_size,BH_FDR_all_GO_KEGG,BH_FDR_within_source
sensitivity_crc_union,GO:BP,GO:0070887,cellular response to chemical stimulus,16307,2055,81,44,2.3594669651165695e-19,7.163341706093821e-16,24546,9.278367893624397e-15,5.791547612575131e-15
sensitivity_crc_union,GO:BP,GO:0009725,response to hormone,16307,861,81,28,3.4123425912108337e-16,5.179936053458018e-13,24546,6.709348002838741e-12,4.187968062193056e-12
sensitivity_crc_union,GO:BP,GO:0042221,response to chemical,16307,3223,81,49,9.561285302174447e-16,9.676020725800492e-13,24546,1.2532932774090266e-11,7.823043634239133e-12
sensitivity_crc_union,GO:BP,GO:0033993,response to lipid,16307,841,81,27,1.8445292641775665e-15,1.399997711510782e-12,24546,1.8133567196129655e-11,1.1318953829625637e-11
sensitivity_crc_union,GO:BP,GO:0032870,cellular response to hormone stimulus,16307,641,81,24,3.39824884708068e-15,2.063416699947382e-12,24546,2.2584645410781373e-11,1.6682683240088474e-11
sensitivity_crc_union,GO:MF,GO:0004879,nuclear receptor activity,16307,57,81,11,3.44593308068071e-15,1.1415108507247275e-12,10123,2.2584645410781373e-11,2.143880211852758e-11
sensitivity_crc_union,GO:MF,GO:0098531,ligand-modulated transcription factor activity,16307,58,81,11,4.235661783765204e-15,1.1415108507247275e-12,10123,2.379473771211184e-11,2.143880211852758e-11
sensitivity_crc_union,GO:BP,GO:0006693,prostaglandin metabolic process,16307,41,81,10,5.095719518027684e-15,2.5784340761220373e-12,24546,2.5048009290865077e-11,2.0846588548251254e-11
sensitivity_crc_union,GO:MF,GO:0004955,prostaglandin receptor activity,16307,10,81,7,6.785760966081213e-15,1.2191750535725854e-12,10123,2.9649251581130844e-11,2.289741941988004e-11
sensitivity_crc_union,GO:BP,GO:0006692,prostanoid metabolic process,16307,43,81,10,8.645894418193261e-15,3.7498479219478354e-12,24546,3.399911521010318e-11,3.0317446341281684e-11
sensitivity_crc_union,GO:MF,GO:0004954,prostanoid receptor activity,16307,11,81,7,1.8586716432157597e-14,2.5045600392332265e-12,10123,6.644582154346958e-11,4.703833261068284e-11
sensitivity_crc_union,GO:BP,GO:0009719,response to endogenous stimulus,16307,1382,81,32,2.1485510963236115e-14,8.153751410548036e-12,24546,7.040801942652475e-11,6.59229190129492e-11
sensitivity_crc_union,GO:BP,GO:0071396,cellular response to lipid,16307,574,81,22,3.793801429154562e-14,1.279775682101455e-11,24546,1.1475957492313385e-10,1.0346961097780877e-10
sensitivity_crc_union,GO:BP,GO:0006954,inflammatory response,16307,824,81,25,9.614671032765252e-14,2.919014125547529e-11,24546,2.700623740660434e-10,2.360017151702559e-10
sensitivity_crc_union,GO:MF,GO:0004953,icosanoid receptor activity,16307,15,81,7,3.567164435418585e-13,3.8454032613812186e-11,10123,9.284469347291208e-10,7.222081115948467e-10
sensitivity_crc_union,GO:BP,GO:0046457,prostanoid biosynthetic process,16307,26,81,8,3.7776296805172244e-13,1.0426257918227526e-10,24546,9.284469347291208e-10,8.429608921634163e-10
sensitivity_crc_union,GO:BP,GO:0071495,cellular response to endogenous stimulus,16307,1162,81,28,6.222193837125991e-13,1.5742150407928679e-10,24546,1.4393032379478968e-09,1.2727497493841215e-09
sensitivity_crc_union,GO:BP,GO:0030522,intracellular receptor signaling pathway,16307,368,81,17,2.4387174521199994e-12,5.344267951909641e-10,24546,5.0343272952663455e-09,4.32083007732455e-09
sensitivity_crc_union,GO:MF,GO:0004957,prostaglandin E receptor activity,16307,5,81,5,2.667985208441099e-12,2.396740045582921e-10,10123,5.0343272952663455e-09,4.501335710841541e-09
sensitivity_crc_union,GO:BP,GO:1901700,response to oxygen-containing compound,16307,1540,81,31,2.7163202324692685e-12,5.344267951909641e-10,24546,5.0343272952663455e-09,4.32083007732455e-09
sensitivity_crc_union,GO:BP,GO:0033559,unsaturated fatty acid metabolic process,16307,102,81,11,2.785011090478273e-12,5.344267951909641e-10,24546,5.0343272952663455e-09,4.32083007732455e-09
sensitivity_crc_union,GO:BP,GO:0006952,defense response,16307,1650,81,32,2.8164784990300985e-12,5.344267951909641e-10,24546,5.0343272952663455e-09,4.32083007732455e-09
