background,source,term_id,term_name,effective_domain_size,term_size,query_size,intersection_size,raw_p_hypergeom,gprofiler_fdr,tested_term_family_size,BH_FDR_all_GO_KEGG,BH_FDR_within_source
primary_dinp_exposure_universe,GO:BP,GO:0033993,response to lipid,93,27,81,27,0.011817373200118133,0.6523190006465206,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0006629,lipid metabolic process,93,25,81,25,0.017480503993421496,0.863926227018044,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0006954,inflammatory response,93,25,81,25,0.017480503993421496,0.863926227018044,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0071396,cellular response to lipid,93,22,81,22,0.030732972584330668,0.8764527890341827,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0007166,cell surface receptor signaling pathway,93,19,81,19,0.05267673756760051,0.8764527890341827,24546,1.0,1.0
primary_dinp_exposure_universe,GO:MF,GO:0038023,signaling receptor activity,93,19,81,19,0.05267673756760051,0.8774796502864035,10123,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0008610,lipid biosynthetic process,93,18,81,18,0.06271040186619108,0.8764527890341827,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0030522,intracellular receptor signaling pathway,93,17,81,17,0.07446860221610191,0.8764527890341827,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0050727,regulation of inflammatory response,93,14,81,14,0.1229287672403115,0.8764527890341827,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0007186,G protein-coupled receptor signaling pathway,93,14,81,14,0.1229287672403115,0.8764527890341827,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0007167,enzyme-linked receptor protein signaling pathway,93,14,81,14,0.1229287672403115,0.8764527890341827,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0010876,lipid localization,93,13,81,13,0.14462207910624883,0.8764527890341827,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0019216,regulation of lipid metabolic process,93,12,81,12,0.16977374503777037,0.8764527890341827,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0006869,lipid transport,93,12,81,12,0.16977374503777037,0.8764527890341827,24546,1.0,1.0
primary_dinp_exposure_universe,KEGG,KEGG:05207,Chemical carcinogenesis - receptor activation,93,11,81,11,0.19887781561567383,0.8753444642567676,586,1.0,1.0
primary_dinp_exposure_universe,GO:MF,GO:0004879,nuclear receptor activity,93,11,81,11,0.19887781561567383,0.8774796502864035,10123,1.0,1.0
primary_dinp_exposure_universe,GO:MF,GO:0005102,signaling receptor binding,93,11,81,11,0.19887781561567383,0.8774796502864035,10123,1.0,1.0
primary_dinp_exposure_universe,GO:MF,GO:0008289,lipid binding,93,11,81,11,0.19887781561567383,0.8774796502864035,10123,1.0,1.0
primary_dinp_exposure_universe,GO:CC,GO:0005794,Golgi apparatus,93,11,81,11,0.19887781561567383,0.9153079178885631,4069,1.0,1.0
primary_dinp_exposure_universe,KEGG,KEGG:05417,Lipid and atherosclerosis,93,10,81,10,0.23249096755071727,0.8753444642567676,586,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0006693,prostaglandin metabolic process,93,10,81,10,0.23249096755071727,0.8764527890341827,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0141193,nuclear receptor-mediated signaling pathway,93,10,81,10,0.23249096755071727,0.8764527890341827,24546,1.0,1.0
primary_dinp_exposure_universe,GO:MF,GO:0004930,G protein-coupled receptor activity,93,10,81,10,0.23249096755071727,0.8774796502864035,10123,1.0,1.0
primary_dinp_exposure_universe,GO:MF,GO:0004888,transmembrane signaling receptor activity,93,10,81,10,0.23249096755071727,0.8774796502864035,10123,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0046890,regulation of lipid biosynthetic process,93,9,81,9,0.27123946214250355,0.8764527890341827,24546,1.0,1.0
primary_dinp_exposure_universe,KEGG,KEGG:00590,Arachidonic acid metabolism,93,8,81,8,0.31582677098784656,0.8753444642567676,586,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0043401,steroid hormone receptor signaling pathway,93,8,81,8,0.31582677098784656,0.8764527890341827,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0045834,positive regulation of lipid metabolic process,93,8,81,8,0.31582677098784656,0.8764527890341827,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:1905952,regulation of lipid localization,93,8,81,8,0.31582677098784656,0.8764527890341827,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0030518,nuclear receptor-mediated steroid hormone signaling pathway,93,8,81,8,0.31582677098784656,0.8764527890341827,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0007178,cell surface receptor protein serine/threonine kinase signaling pathway,93,8,81,8,0.31582677098784656,0.8764527890341827,24546,1.0,1.0
