gene_symbol,feature_name,feature_index,present_in_source_h5ad
ABCC4,ABCC4,24542,True
ADAMTS1,ADAMTS1,35520,True
AHSG,AHSG,8148,True
AKR1C1,AKR1C1,18433,True
AKR1C3,AKR1C3,18437,True
ATF4,ATF4,36587,True
ATG5,ATG5,13073,True
BECN1,BECN1,30499,True
C4BPA,C4BPA,3073,True
CA9,CA9,17303,True
CADM3,CADM3,2413,True
CASP14,CASP14,32849,True
CCL20,CCL20,6063,True
CGA,CGA,12962,True
CPS1,CPS1,5865,True
CRP,CRP,2424,True
CXCL13,CXCL13,9041,True
CXCR4,CXCR4,5221,True
CYP11A1,CYP11A1,27276,True
CYP2A6,CYP2A6,33492,True
DDIT4,DDIT4,19060,True
DKK1,DKK1,18912,True
DPT,DPT,2604,True
DUSP1,DUSP1,11640,True
ESR1,ESR1,13524,True
FLG,FLG,2153,True
GSTA2,GSTA2,12761,True
HPGD,HPGD,9798,True
HSD3B2,HSD3B2,1924,True
HSPA1A,HSPA1A,12364,True
HSPA1L,HSPA1L,12363,True
IGFBP1,IGFBP1,14251,True
LUM,LUM,23278,True
MAP1LC3B,MAP1LC3B,29290,True
MMP2,MMP2,28725,True
MMP9,MMP9,35058,True
NEAT1,NEAT1,20950,True
NR1I2,NR1I2,7428,True
NR1I3,NR1I3,2495,True
NR3C1,NR3C1,11331,True
OMD,OMD,17613,True
PARP10,PARP10,16918,True
PGR,PGR,21478,True
PLA2G4A,PLA2G4A,2835,True
PLAC8,PLAC8,9090,True
PPARA,PPARA,36732,True
PPARD,PPARD,12492,True
PPARG,PPARG,6413,True
PTGER1,PTGER1,32831,True
PTGER2,PTGER2,25327,True
PTGER3,PTGER3,1401,True
PTGER4,PTGER4,10298,True
PTGES,PTGES,18134,True
PTGES2,PTGES2,18069,True
PTGES3,PTGES3,22932,True
PTGFR,PTGFR,1469,True
PTGS1,PTGS1,17957,True
PTGS2,PTGS2,2833,True
PTX3,PTX3,7858,True
RELA,RELA,20965,True
RGS2,RGS2,2862,True
RPS2,RPS2,27842,True
RXRA,RXRA,18229,True
RXRB,RXRB,12434,True
SCGN,SCGN,12093,True
SIRT1,SIRT1,18987,True
SIRT2,SIRT2,33409,True
SIRT3,SIRT3,19833,True
SIRT5,SIRT5,11991,True
SLCO2A1,SLCO2A1,7624,True
SNHG25,SNHG25,30997,True
SNORA13,SNORA13,10869,True
SNORA65,SNORA65,18038,True
SPP2,SPP2,6166,True
SQSTM1,SQSTM1,11785,True
STAR,STAR,15925,True
STAT3,STAT3,30472,True
SUSD2,SUSD2,36218,True
TIMP1,TIMP1,37188,True
TIMP2,TIMP2,31282,True
TNC,TNC,17899,True
