contrast,subtype,lineage,donor_id,tumor_score,normal_score,tumor_minus_normal
source tumor-labeled epithelial vs normal epithelial,source_tumor_labeled_epithelial,epithelial,C106,-0.024651357904076576,-0.014166783541440964,-0.010484574362635612
source tumor-labeled epithelial vs normal epithelial,source_tumor_labeled_epithelial,epithelial,C107,0.05557182803750038,-0.08037605881690979,0.13594788312911987
source tumor-labeled epithelial vs normal epithelial,source_tumor_labeled_epithelial,epithelial,C109,-0.06304439902305603,-0.028539733961224556,-0.034504666924476624
source tumor-labeled epithelial vs normal epithelial,source_tumor_labeled_epithelial,epithelial,C110,0.043239712715148926,-0.05186811089515686,0.09510782361030579
source tumor-labeled epithelial vs normal epithelial,source_tumor_labeled_epithelial,epithelial,C111,0.04174718260765076,0.009419823996722698,0.032327357679605484
source tumor-labeled epithelial vs normal epithelial,source_tumor_labeled_epithelial,epithelial,C112,-0.04421089217066765,0.004723496735095978,-0.048934388905763626
source tumor-labeled epithelial vs normal epithelial,source_tumor_labeled_epithelial,epithelial,C113,-0.01651013456285,-0.08012346923351288,0.06361333280801773
source tumor-labeled epithelial vs normal epithelial,source_tumor_labeled_epithelial,epithelial,C114,0.0005003086407668889,-0.023637674748897552,0.024137983098626137
source tumor-labeled epithelial vs normal epithelial,source_tumor_labeled_epithelial,epithelial,C115,-0.01580580696463585,-0.05204218253493309,0.03623637557029724
source tumor-labeled epithelial vs normal epithelial,source_tumor_labeled_epithelial,epithelial,C116,-0.03977635130286217,-0.03661498427391052,-0.003161367028951645
source tumor-labeled epithelial vs normal epithelial,source_tumor_labeled_epithelial,epithelial,C119,-0.010485585778951645,0.013579482212662697,-0.024065067991614342
source tumor-labeled epithelial vs normal epithelial,source_tumor_labeled_epithelial,epithelial,C122,-0.004969075787812471,-0.049851853400468826,0.04488277807831764
source tumor-labeled epithelial vs normal epithelial,source_tumor_labeled_epithelial,epithelial,C123,-0.0032221204601228237,-0.06951061636209488,0.06628849357366562
source tumor-labeled epithelial vs normal epithelial,source_tumor_labeled_epithelial,epithelial,C124,-0.010303196497261524,0.006729772314429283,-0.017032969743013382
source tumor-labeled epithelial vs normal epithelial,source_tumor_labeled_epithelial,epithelial,C125,0.008129083551466465,-0.06347064673900604,0.07159972935914993
source tumor-labeled epithelial vs normal epithelial,source_tumor_labeled_epithelial,epithelial,C126,0.03310374915599823,-0.02669057436287403,0.05979432165622711
source tumor-labeled epithelial vs normal epithelial,source_tumor_labeled_epithelial,epithelial,C129,0.004347721114754677,-0.10381505638360977,0.1081627756357193
source tumor-labeled epithelial vs normal epithelial,source_tumor_labeled_epithelial,epithelial,C130,0.022292383015155792,-0.06905985623598099,0.09135223925113678
source tumor-labeled epithelial vs normal epithelial,source_tumor_labeled_epithelial,epithelial,C132,0.0750158503651619,-0.13360433280467987,0.20862019062042236
source tumor-labeled epithelial vs normal epithelial,source_tumor_labeled_epithelial,epithelial,C133,0.13237978518009186,0.015241491608321667,0.11713829636573792
source tumor-labeled epithelial vs normal epithelial,source_tumor_labeled_epithelial,epithelial,C134,-0.02488430216908455,0.038414064794778824,-0.06329836696386337
source tumor-labeled epithelial vs normal epithelial,source_tumor_labeled_epithelial,epithelial,C135,-0.050097763538360596,-0.05926750227808952,0.009169738739728928
source tumor-labeled epithelial vs normal epithelial,source_tumor_labeled_epithelial,epithelial,C136,-0.007607751060277224,-0.06856828927993774,0.06096053868532181
source tumor-labeled epithelial vs normal epithelial,source_tumor_labeled_epithelial,epithelial,C137,-0.006005372852087021,-0.0370958112180233,0.03109043836593628
source tumor-labeled epithelial vs normal epithelial,source_tumor_labeled_epithelial,epithelial,C138,-0.04877756908535957,-0.019357694312930107,-0.029419874772429466
source tumor-labeled epithelial vs normal epithelial,source_tumor_labeled_epithelial,epithelial,C139,0.04054241627454758,-0.05872717127203941,0.09926958382129669
source tumor-labeled epithelial vs normal epithelial,source_tumor_labeled_epithelial,epithelial,C140,-0.031901683658361435,-0.11902069300413132,0.08711901307106018
source tumor-labeled epithelial vs normal epithelial,source_tumor_labeled_epithelial,epithelial,C142,-0.009839899837970734,-0.0499599426984787,0.040120042860507965
source tumor-labeled epithelial vs normal epithelial,source_tumor_labeled_epithelial,epithelial,C143,-0.044506266713142395,-0.07161527127027512,0.02710900455713272
source tumor-labeled epithelial vs normal epithelial,source_tumor_labeled_epithelial,epithelial,C151,0.05328713357448578,0.013620489276945591,0.03966664522886276
source tumor-labeled epithelial vs normal epithelial,source_tumor_labeled_epithelial,epithelial,C152,-0.008463406004011631,-0.03330225870013237,0.024838853627443314
source tumor-labeled epithelial vs normal epithelial,source_tumor_labeled_epithelial,epithelial,C155,0.03660987690091133,0.008772042579948902,0.027837835252285004
