cohort,Class,cell_type,cell_type_source,n_cells,n_patients,n_samples,mean_log1p_cpm,median_log1p_cpm,detection_rate,total_umi
GSE132465,Normal,B cells,GEO curated annotation,5208,10,10,1.3857730351819266,0.0,0.2907066052227343,2638
GSE132465,Normal,Epithelial cells,GEO curated annotation,1070,10,10,1.6000836464137504,0.0,0.32897196261682243,770
GSE132465,Normal,Mast cells,GEO curated annotation,184,10,10,0.7501060968321396,0.0,0.11956521739130435,32
GSE132465,Normal,Myeloids,GEO curated annotation,369,10,10,4.546292015028029,5.817136085870945,0.7317073170731707,1115
GSE132465,Normal,Stromal cells,GEO curated annotation,3197,10,10,4.354687537747074,5.7483335090858985,0.6969033468877073,11433
GSE132465,Normal,T cells,GEO curated annotation,6376,10,10,1.230606391104667,0.0,0.20922208281053953,1705
GSE132465,Tumor,B cells,GEO curated annotation,3938,23,23,1.0236163567510654,0.0,0.2122905027932961,1227
GSE132465,Tumor,Epithelial cells,GEO curated annotation,17469,23,23,3.6735831187804875,4.591503500650295,0.7322685900738451,58263
GSE132465,Tumor,Mast cells,GEO curated annotation,3,2,2,0.0,0.0,0.0,0
GSE132465,Tumor,Myeloids,GEO curated annotation,6400,23,23,4.647288797652988,5.903209865826189,0.741875,17986
GSE132465,Tumor,Stromal cells,GEO curated annotation,2736,23,23,4.26926088983459,5.531538163322782,0.714546783625731,13021
GSE132465,Tumor,T cells,GEO curated annotation,16739,23,23,1.1005528196247651,0.0,0.18137284186630026,3908
GSE200997,Normal,B cells,Reference-mapped to GSE132465 curated labels,4660,7,7,0.4273010672365815,0.0,0.08218884120171674,465
GSE200997,Normal,Epithelial cells,Reference-mapped to GSE132465 curated labels,2293,7,7,0.44938577022163645,0.0,0.07195813344962931,186
GSE200997,Normal,Mast cells,Reference-mapped to GSE132465 curated labels,24,7,7,0.7285807850060576,0.0,0.125,3
GSE200997,Normal,Myeloids,Reference-mapped to GSE132465 curated labels,135,7,7,1.8773998261873068,0.0,0.32592592592592595,89
GSE200997,Normal,Stromal cells,Reference-mapped to GSE132465 curated labels,207,7,7,1.419616305031208,0.0,0.2318840579710145,85
GSE200997,Normal,T cells,Reference-mapped to GSE132465 curated labels,9524,7,7,0.7255467757821445,0.0,0.125577488450231,1390
GSE200997,Tumor,B cells,Reference-mapped to GSE132465 curated labels,5240,16,16,0.5020000957491215,0.0,0.09961832061068703,622
GSE200997,Tumor,Epithelial cells,Reference-mapped to GSE132465 curated labels,6459,16,16,0.9706760315613253,0.0,0.17154358259792538,1490
GSE200997,Tumor,Mast cells,Reference-mapped to GSE132465 curated labels,191,14,14,0.962958643959148,0.0,0.16230366492146597,47
GSE200997,Tumor,Myeloids,Reference-mapped to GSE132465 curated labels,1015,16,16,2.2001007288919037,0.0,0.3704433497536946,831
GSE200997,Tumor,Stromal cells,Reference-mapped to GSE132465 curated labels,663,14,14,1.5984723242130099,0.0,0.26998491704374056,338
GSE200997,Tumor,T cells,Reference-mapped to GSE132465 curated labels,15595,16,16,0.7734895550330099,0.0,0.13485091375440847,2513
GSE294300,Normal,B cells,Reference-mapped to GSE132465 curated labels,49919,18,18,1.9218771875903629,0.0,0.3716620925899958,41069
GSE294300,Normal,Epithelial cells,Reference-mapped to GSE132465 curated labels,6278,18,18,3.38480339251689,4.601905575261949,0.6588085377508761,14986
GSE294300,Normal,Mast cells,Reference-mapped to GSE132465 curated labels,1718,18,18,2.2030656911859707,0.0,0.3672875436554133,1139
GSE294300,Normal,Myeloids,Reference-mapped to GSE132465 curated labels,1187,18,18,4.050885687934313,5.641082017831436,0.641112047177759,4002
GSE294300,Normal,Stromal cells,Reference-mapped to GSE132465 curated labels,3564,18,18,4.479198571567718,6.027229608131466,0.6846240179573513,8633
GSE294300,Normal,T cells,Reference-mapped to GSE132465 curated labels,38906,18,18,1.9763885196378201,0.0,0.3202590860021591,20708
GSE294300,Tumor,B cells,Reference-mapped to GSE132465 curated labels,25005,18,18,2.003370269991814,0.0,0.41191761647670466,22946
GSE294300,Tumor,Epithelial cells,Reference-mapped to GSE132465 curated labels,10211,18,18,3.1922157105041378,4.408535533928003,0.6161982176084615,21891
GSE294300,Tumor,Mast cells,Reference-mapped to GSE132465 curated labels,2888,18,18,2.751616883766423,0.0,0.47229916897506924,3372
GSE294300,Tumor,Myeloids,Reference-mapped to GSE132465 curated labels,6853,18,18,5.860615429484414,6.6245313836458966,0.8702757916241062,56141
GSE294300,Tumor,Stromal cells,Reference-mapped to GSE132465 curated labels,8213,17,17,5.251432796965176,6.067108766954181,0.8387921587726774,53032
GSE294300,Tumor,T cells,Reference-mapped to GSE132465 curated labels,44872,18,18,2.0796880185590085,0.0,0.34736584061330006,26644
