cohort,Patient,Tumor Sample,Normal Sample,Tumor epithelial cells,Normal epithelial cells,Tumor pass50,Normal pass50,paired included/excluded,exclusion reason
GSE200997,cac1,T_cac1,,1211,0,True,False,excluded,normal sample missing
GSE200997,cac10,T_cac10,B_cac10,46,304,False,True,excluded,tumor epithelial <50
GSE200997,cac11,T_cac11,B_cac11,752,379,True,True,included,
GSE200997,cac12,T_cac12,,273,0,True,False,excluded,normal sample missing
GSE200997,cac13,T_cac13,,22,0,False,False,excluded,tumor epithelial <50; normal sample missing
GSE200997,cac14,T_cac14,B_cac14,915,127,True,True,included,
GSE200997,cac15,T_cac15,B_cac15,51,392,True,True,included,
GSE200997,cac16,T_cac16,,76,0,True,False,excluded,normal sample missing
GSE200997,cac2,T_cac2,,985,0,True,False,excluded,normal sample missing
GSE200997,cac3,T_cac3,,671,0,True,False,excluded,normal sample missing
GSE200997,cac4,T_cac4,B_cac4,47,363,False,True,excluded,tumor epithelial <50
GSE200997,cac5,T_cac5,,2,0,False,False,excluded,tumor epithelial <50; normal sample missing
GSE200997,cac6,T_cac6,B_cac6,49,155,False,True,excluded,tumor epithelial <50
GSE200997,cac7,T_cac7,B_cac7,889,573,True,True,included,
GSE200997,cac8,T_cac8,,289,0,True,False,excluded,normal sample missing
GSE200997,cac9,T_cac9,,181,0,True,False,excluded,normal sample missing
