cohort,Class,mapping_scope,cell_type,n_cells,pct_within_condition
GSE200997,Tumor,Top1 reference label among all QC cells,T cells,16495,52.24400595445475
GSE200997,Tumor,Top1 reference label among all QC cells,Epithelial cells,6870,21.759097963449783
GSE200997,Tumor,Top1 reference label among all QC cells,B cells,5782,18.31311563677826
GSE200997,Tumor,Top1 reference label among all QC cells,Myeloids,1270,4.0224242232287075
GSE200997,Tumor,Top1 reference label among all QC cells,Stromal cells,756,2.394450954929845
GSE200997,Tumor,Top1 reference label among all QC cells,Mast cells,400,1.2669052671586483
GSE200997,Tumor,Confident final labels,T cells,15595,49.3934691033478
GSE200997,Tumor,Confident final labels,Epithelial cells,6459,20.457352801444273
GSE200997,Tumor,Confident final labels,B cells,5240,16.596458999778292
GSE200997,Tumor,Confident final labels,Myeloids,1015,3.2147721154150695
GSE200997,Tumor,Confident final labels,Stromal cells,663,2.0998954803154595
GSE200997,Tumor,Confident final labels,Mast cells,191,0.6049472650682546
GSE200997,Normal,Top1 reference label among all QC cells,T cells,10117,55.36584031084113
GSE200997,Normal,Top1 reference label among all QC cells,B cells,4994,27.32994034914902
GSE200997,Normal,Top1 reference label among all QC cells,Epithelial cells,2659,14.551524106605374
GSE200997,Normal,Top1 reference label among all QC cells,Myeloids,242,1.3243583429103047
GSE200997,Normal,Top1 reference label among all QC cells,Stromal cells,219,1.198489574782466
GSE200997,Normal,Top1 reference label among all QC cells,Mast cells,42,0.22984731571170577
GSE200997,Normal,Confident final labels,T cells,9524,52.12061511519729
GSE200997,Normal,Confident final labels,B cells,4660,25.502106933727358
GSE200997,Normal,Confident final labels,Epithelial cells,2293,12.548568926831937
GSE200997,Normal,Confident final labels,Stromal cells,207,1.13281891315055
GSE200997,Normal,Confident final labels,Myeloids,135,0.7387949433590544
GSE200997,Normal,Confident final labels,Mast cells,24,0.13134132326383188
GSE294300,Tumor,Top1 reference label among all QC cells,T cells,48470,45.420044042543225
GSE294300,Tumor,Top1 reference label among all QC cells,B cells,26768,25.08363397835356
GSE294300,Tumor,Top1 reference label among all QC cells,Epithelial cells,10598,9.931124959002952
GSE294300,Tumor,Top1 reference label among all QC cells,Stromal cells,9220,8.639835074731762
GSE294300,Tumor,Top1 reference label among all QC cells,Myeloids,7952,7.451623483109217
GSE294300,Tumor,Top1 reference label among all QC cells,Mast cells,3707,3.473738462259289
GSE294300,Tumor,Confident final labels,T cells,44872,42.04844679754486
GSE294300,Tumor,Confident final labels,B cells,25005,23.431570069812118
GSE294300,Tumor,Confident final labels,Epithelial cells,10211,9.56847678395727
GSE294300,Tumor,Confident final labels,Stromal cells,8213,7.6962001593028155
GSE294300,Tumor,Confident final labels,Myeloids,6853,6.421777632010494
GSE294300,Tumor,Confident final labels,Mast cells,2888,2.7062737197207514
GSE294300,Normal,Top1 reference label among all QC cells,B cells,51968,48.0566678071741
GSE294300,Normal,Top1 reference label among all QC cells,T cells,42097,38.92860115222076
GSE294300,Normal,Top1 reference label among all QC cells,Epithelial cells,6535,6.043148170410306
GSE294300,Normal,Top1 reference label among all QC cells,Stromal cells,3762,3.4788559169217392
GSE294300,Normal,Top1 reference label among all QC cells,Mast cells,1946,1.7995357826501075
GSE294300,Normal,Top1 reference label among all QC cells,Myeloids,1831,1.6931911706229943
GSE294300,Normal,Confident final labels,B cells,49919,46.16188424157797
GSE294300,Normal,Confident final labels,T cells,38906,35.97776935240755
GSE294300,Normal,Confident final labels,Epithelial cells,6278,5.805491080923626
GSE294300,Normal,Confident final labels,Stromal cells,3564,3.2957582370837533
GSE294300,Normal,Confident final labels,Mast cells,1718,1.588696030109396
GSE294300,Normal,Confident final labels,Myeloids,1187,1.0976613432711602
