stringId_A,stringId_B,preferredName_A,preferredName_B,ncbiTaxonId,score,nscore,fscore,pscore,ascore,escore,dscore,tscore
9606.ENSP00000212015,9606.ENSP00000355231,9606.ENSP00000212015,9606.ENSP00000355231,9606,0.7,0.0,0,0.0,0.0,0.0,0.0,0.7
9606.ENSP00000212015,9606.ENSP00000398698,9606.ENSP00000212015,9606.ENSP00000398698,9606,0.706,0.0,0,0.0,0.0,0.0,0.0,0.706
9606.ENSP00000212015,9606.ENSP00000374455,9606.ENSP00000212015,9606.ENSP00000374455,9606,0.707,0.0,0,0.0,0.0,0.0,0.0,0.707
9606.ENSP00000212015,9606.ENSP00000427514,9606.ENSP00000212015,9606.ENSP00000427514,9606,0.713,0.0,0,0.0,0.062,0.069,0.0,0.698
9606.ENSP00000212015,9606.ENSP00000263341,9606.ENSP00000212015,9606.ENSP00000263341,9606,0.719,0.0,0,0.0,0.0,0.0,0.0,0.719
9606.ENSP00000212015,9606.ENSP00000385675,9606.ENSP00000212015,9606.ENSP00000385675,9606,0.726,0.0,0,0.0,0.0,0.0,0.0,0.726
9606.ENSP00000212015,9606.ENSP00000363822,9606.ENSP00000212015,9606.ENSP00000363822,9606,0.728,0.0,0,0.0,0.0,0.3,0.0,0.628
9606.ENSP00000212015,9606.ENSP00000405330,9606.ENSP00000212015,9606.ENSP00000405330,9606,0.733,0.0,0,0.0,0.0,0.31,0.0,0.629
9606.ENSP00000212015,9606.ENSP00000380252,9606.ENSP00000212015,9606.ENSP00000380252,9606,0.737,0.0,0,0.0,0.084,0.0,0.0,0.724
9606.ENSP00000212015,9606.ENSP00000264657,9606.ENSP00000212015,9606.ENSP00000264657,9606,0.817,0.0,0,0.0,0.0,0.51,0.0,0.642
9606.ENSP00000212015,9606.ENSP00000297494,9606.ENSP00000212015,9606.ENSP00000297494,9606,0.841,0.0,0,0.0,0.06,0.292,0.0,0.781
9606.ENSP00000212015,9606.ENSP00000389814,9606.ENSP00000212015,9606.ENSP00000389814,9606,0.862,0.0,0,0.0,0.0,0.0,0.0,0.862
9606.ENSP00000212015,9606.ENSP00000348069,9606.ENSP00000212015,9606.ENSP00000348069,9606,0.87,0.0,0,0.0,0.049,0.516,0.0,0.741
9606.ENSP00000212015,9606.ENSP00000451828,9606.ENSP00000212015,9606.ENSP00000451828,9606,0.873,0.0,0,0.0,0.049,0.294,0.0,0.827
9606.ENSP00000212015,9606.ENSP00000385523,9606.ENSP00000212015,9606.ENSP00000385523,9606,0.906,0.0,0,0.0,0.0,0.345,0.0,0.862
9606.ENSP00000212015,9606.ENSP00000358072,9606.ENSP00000212015,9606.ENSP00000358072,9606,0.993,0.0,0,0.0,0.082,0.301,0.0,0.99
9606.ENSP00000212015,9606.ENSP00000384273,9606.ENSP00000212015,9606.ENSP00000384273,9606,0.995,0.0,0,0.0,0.049,0.646,0.9,0.89
9606.ENSP00000212015,9606.ENSP00000287820,9606.ENSP00000212015,9606.ENSP00000287820,9606,0.998,0.0,0,0.0,0.0,0.345,0.9,0.981
