source,cutoff,background,collection,term,background_n,query_n,term_n,overlap_n,overlap_genes,raw_p,global_fdr,key_pathway
GeneCards,top500,cutoff_universe,Reactome,REACTOME_METABOLISM_OF_LIPIDS,500,8,9,2,PPARG;PTGS2,0.0076360276900385,0.2934416355171946,True
GeneCards,top500,cutoff_universe,Hallmark,HALLMARK_INFLAMMATORY_RESPONSE,500,8,10,0,,1.0,1.0,True
GeneCards,top500,cutoff_universe,Reactome,REACTOME_INFLAMMASOMES,500,8,3,0,,1.0,1.0,True
GeneCards,top500,cutoff_universe,Reactome,REACTOME_PHOSPHOLIPID_METABOLISM,500,8,4,0,,1.0,1.0,True
GeneCards,top500,available_ranked_universe,Reactome,REACTOME_SYNTHESIS_OF_PROSTAGLANDINS_PG_AND_THROMBOXANES_TX,2000,8,6,1,PTGS2,0.0237907346304764,1.0,True
GeneCards,top500,available_ranked_universe,Reactome,REACTOME_METABOLISM_OF_LIPIDS,2000,8,93,2,PPARG;PTGS2,0.0498850455355221,1.0,True
GeneCards,top500,available_ranked_universe,Reactome,REACTOME_ARACHIDONATE_METABOLISM,2000,8,20,1,PTGS2,0.0773861142440824,1.0,True
GeneCards,top500,available_ranked_universe,Reactome,REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA,2000,8,26,1,PPARG,0.0995555271943915,1.0,True
GeneCards,top500,available_ranked_universe,Hallmark,HALLMARK_INFLAMMATORY_RESPONSE,2000,8,63,0,,1.0,1.0,True
GeneCards,top500,available_ranked_universe,Reactome,REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS,2000,8,3,0,,1.0,1.0,True
GeneCards,top500,available_ranked_universe,Reactome,REACTOME_ADORA2B_MEDIATED_ANTI_INFLAMMATORY_CYTOKINES_PRODUCTION,2000,8,4,0,,1.0,1.0,True
GeneCards,top500,available_ranked_universe,Reactome,REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION,2000,8,16,0,,1.0,1.0,True
GeneCards,top500,available_ranked_universe,Reactome,REACTOME_BIOSYNTHESIS_OF_THE_N_GLYCAN_PRECURSOR_DOLICHOL_LIPID_LINKED_OLIGOSACCHARIDE_LLO_AND_TRANSFER_TO_A_NASCENT_PROTEIN,2000,8,4,0,,1.0,1.0,True
GeneCards,top500,available_ranked_universe,Reactome,REACTOME_CD163_MEDIATING_AN_ANTI_INFLAMMATORY_RESPONSE,2000,8,6,0,,1.0,1.0,True
GeneCards,top500,available_ranked_universe,Reactome,REACTOME_CLEC7A_INFLAMMASOME_PATHWAY,2000,8,4,0,,1.0,1.0,True
GeneCards,top500,available_ranked_universe,Reactome,REACTOME_DEX_H_BOX_HELICASES_ACTIVATE_TYPE_I_IFN_AND_INFLAMMATORY_CYTOKINES_PRODUCTION,2000,8,3,0,,1.0,1.0,True
GeneCards,top500,available_ranked_universe,Reactome,REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS,2000,8,5,0,,1.0,1.0,True
GeneCards,top500,available_ranked_universe,Reactome,REACTOME_GLYCOSPHINGOLIPID_METABOLISM,2000,8,3,0,,1.0,1.0,True
GeneCards,top500,available_ranked_universe,Reactome,REACTOME_INFLAMMASOMES,2000,8,12,0,,1.0,1.0,True
GeneCards,top500,available_ranked_universe,Reactome,REACTOME_NFE2L2_REGULATING_INFLAMMATION_ASSOCIATED_GENES,2000,8,4,0,,1.0,1.0,True
GeneCards,top500,available_ranked_universe,Reactome,REACTOME_NON_CANONICAL_INFLAMMASOME_ACTIVATION,2000,8,3,0,,1.0,1.0,True
GeneCards,top500,available_ranked_universe,Reactome,REACTOME_PHOSPHOLIPID_METABOLISM,2000,8,15,0,,1.0,1.0,True
GeneCards,top500,available_ranked_universe,Reactome,REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS,2000,8,8,0,,1.0,1.0,True
GeneCards,top500,available_ranked_universe,Reactome,REACTOME_SPHINGOLIPID_DE_NOVO_BIOSYNTHESIS,2000,8,4,0,,1.0,1.0,True
GeneCards,top500,available_ranked_universe,Reactome,REACTOME_SPHINGOLIPID_METABOLISM,2000,8,8,0,,1.0,1.0,True
GeneCards,top500,available_ranked_universe,Reactome,REACTOME_THE_NLRP3_INFLAMMASOME,2000,8,8,0,,1.0,1.0,True
GeneCards,top1000,cutoff_universe,Reactome,REACTOME_METABOLISM_OF_LIPIDS,1000,19,33,5,PPARA;PPARD;PPARG;PTGS1;PTGS2,0.0002398691543198,0.0388188248074238,True
GeneCards,top1000,cutoff_universe,Reactome,REACTOME_ARACHIDONATE_METABOLISM,1000,19,8,2,PTGS1;PTGS2,0.0089517993112168,0.3950998695996185,True
GeneCards,top1000,cutoff_universe,Hallmark,HALLMARK_INFLAMMATORY_RESPONSE,1000,19,29,3,CCL20;RELA;TIMP1,0.0155559050932859,0.4491501269563202,True
GeneCards,top1000,cutoff_universe,Reactome,REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA,1000,19,11,2,PPARA;PPARG,0.0169945288620949,0.4491501269563202,True
GeneCards,top1000,cutoff_universe,Reactome,REACTOME_CLEC7A_INFLAMMASOME_PATHWAY,1000,19,4,1,RELA,0.0739691782926094,0.7481674179387897,True
GeneCards,top1000,cutoff_universe,Reactome,REACTOME_THE_NLRP3_INFLAMMASOME,1000,19,4,1,RELA,0.0739691782926094,0.7481674179387897,True
GeneCards,top1000,cutoff_universe,Reactome,REACTOME_INFLAMMASOMES,1000,19,8,1,RELA,0.1427345049104131,0.9428245188300082,True
GeneCards,top1000,cutoff_universe,Reactome,REACTOME_ADORA2B_MEDIATED_ANTI_INFLAMMATORY_CYTOKINES_PRODUCTION,1000,19,3,0,,1.0,1.0,True
GeneCards,top1000,cutoff_universe,Reactome,REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION,1000,19,8,0,,1.0,1.0,True
GeneCards,top1000,cutoff_universe,Reactome,REACTOME_CD163_MEDIATING_AN_ANTI_INFLAMMATORY_RESPONSE,1000,19,4,0,,1.0,1.0,True
GeneCards,top1000,cutoff_universe,Reactome,REACTOME_NFE2L2_REGULATING_INFLAMMATION_ASSOCIATED_GENES,1000,19,4,0,,1.0,1.0,True
GeneCards,top1000,cutoff_universe,Reactome,REACTOME_PHOSPHOLIPID_METABOLISM,1000,19,7,0,,1.0,1.0,True
GeneCards,top1000,cutoff_universe,Reactome,REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS,1000,19,5,0,,1.0,1.0,True
GeneCards,top1000,available_ranked_universe,Reactome,REACTOME_SYNTHESIS_OF_PROSTAGLANDINS_PG_AND_THROMBOXANES_TX,2000,19,6,2,PTGS1;PTGS2,0.0012542892811544,0.1517011478830869,True
