gene_symbol,pdb_id,seed,output_pdbqt,log_file,mode,affinity_kcal_mol,rmsd_lb_A,rmsd_ub_A
PPARG,4XLD,20260909,C:\Users\21634\Documents\Codex\2026-09-08\codex-dinp-target-mining-crc-mr\analysis\dinp_crc_docking_target_selection\docking_runs\PPARG_4XLD_DINP_seed20260909.pdbqt,C:\Users\21634\Documents\Codex\2026-09-08\codex-dinp-target-mining-crc-mr\analysis\dinp_crc_docking_target_selection\docking_runs\PPARG_4XLD_DINP_seed20260909.log,1,-7.889,0.0,0.0
PPARG,4XLD,20260909,C:\Users\21634\Documents\Codex\2026-09-08\codex-dinp-target-mining-crc-mr\analysis\dinp_crc_docking_target_selection\docking_runs\PPARG_4XLD_DINP_seed20260909.pdbqt,C:\Users\21634\Documents\Codex\2026-09-08\codex-dinp-target-mining-crc-mr\analysis\dinp_crc_docking_target_selection\docking_runs\PPARG_4XLD_DINP_seed20260909.log,2,-7.75,0.9698,9.842
PPARG,4XLD,20260909,C:\Users\21634\Documents\Codex\2026-09-08\codex-dinp-target-mining-crc-mr\analysis\dinp_crc_docking_target_selection\docking_runs\PPARG_4XLD_DINP_seed20260909.pdbqt,C:\Users\21634\Documents\Codex\2026-09-08\codex-dinp-target-mining-crc-mr\analysis\dinp_crc_docking_target_selection\docking_runs\PPARG_4XLD_DINP_seed20260909.log,3,-7.632,2.133,4.197
PPARG,4XLD,20260909,C:\Users\21634\Documents\Codex\2026-09-08\codex-dinp-target-mining-crc-mr\analysis\dinp_crc_docking_target_selection\docking_runs\PPARG_4XLD_DINP_seed20260909.pdbqt,C:\Users\21634\Documents\Codex\2026-09-08\codex-dinp-target-mining-crc-mr\analysis\dinp_crc_docking_target_selection\docking_runs\PPARG_4XLD_DINP_seed20260909.log,4,-7.549,1.481,9.995
PPARG,4XLD,20260909,C:\Users\21634\Documents\Codex\2026-09-08\codex-dinp-target-mining-crc-mr\analysis\dinp_crc_docking_target_selection\docking_runs\PPARG_4XLD_DINP_seed20260909.pdbqt,C:\Users\21634\Documents\Codex\2026-09-08\codex-dinp-target-mining-crc-mr\analysis\dinp_crc_docking_target_selection\docking_runs\PPARG_4XLD_DINP_seed20260909.log,5,-7.508,2.256,9.961
PPARG,4XLD,20260909,C:\Users\21634\Documents\Codex\2026-09-08\codex-dinp-target-mining-crc-mr\analysis\dinp_crc_docking_target_selection\docking_runs\PPARG_4XLD_DINP_seed20260909.pdbqt,C:\Users\21634\Documents\Codex\2026-09-08\codex-dinp-target-mining-crc-mr\analysis\dinp_crc_docking_target_selection\docking_runs\PPARG_4XLD_DINP_seed20260909.log,6,-7.488,2.447,4.618
PPARG,4XLD,20260909,C:\Users\21634\Documents\Codex\2026-09-08\codex-dinp-target-mining-crc-mr\analysis\dinp_crc_docking_target_selection\docking_runs\PPARG_4XLD_DINP_seed20260909.pdbqt,C:\Users\21634\Documents\Codex\2026-09-08\codex-dinp-target-mining-crc-mr\analysis\dinp_crc_docking_target_selection\docking_runs\PPARG_4XLD_DINP_seed20260909.log,7,-7.439,4.452,8.343
PPARG,4XLD,20260909,C:\Users\21634\Documents\Codex\2026-09-08\codex-dinp-target-mining-crc-mr\analysis\dinp_crc_docking_target_selection\docking_runs\PPARG_4XLD_DINP_seed20260909.pdbqt,C:\Users\21634\Documents\Codex\2026-09-08\codex-dinp-target-mining-crc-mr\analysis\dinp_crc_docking_target_selection\docking_runs\PPARG_4XLD_DINP_seed20260909.log,8,-7.408,2.576,4.79
PPARG,4XLD,20260909,C:\Users\21634\Documents\Codex\2026-09-08\codex-dinp-target-mining-crc-mr\analysis\dinp_crc_docking_target_selection\docking_runs\PPARG_4XLD_DINP_seed20260909.pdbqt,C:\Users\21634\Documents\Codex\2026-09-08\codex-dinp-target-mining-crc-mr\analysis\dinp_crc_docking_target_selection\docking_runs\PPARG_4XLD_DINP_seed20260909.log,9,-7.39,1.827,6.547
PPARG,4XLD,20260909,C:\Users\21634\Documents\Codex\2026-09-08\codex-dinp-target-mining-crc-mr\analysis\dinp_crc_docking_target_selection\docking_runs\PPARG_4XLD_DINP_seed20260909.pdbqt,C:\Users\21634\Documents\Codex\2026-09-08\codex-dinp-target-mining-crc-mr\analysis\dinp_crc_docking_target_selection\docking_runs\PPARG_4XLD_DINP_seed20260909.log,10,-7.363,1.805,3.087
