mode,affinity_kcal_mol,vina_rmsd_lb_A,vina_rmsd_ub_A,receptor_frame_heavy_atom_rmsd_A,kabsch_fit_heavy_atom_rmsd_A,top3,pass_2A
1,-8.517,0.0,0.0,2.3464767887196336,1.621086622360332,yes,no
2,-8.37,1.081,1.744,2.0412748467563113,0.9326248305273697,yes,no
3,-8.036,4.181,9.534,9.687367138701827,0.883471776706,yes,no
4,-7.988,2.982,8.844,8.7902929257221,1.0440909637526896,no,no
5,-7.987,4.368,9.502,9.639355399610496,1.493590463456213,no,no
6,-7.977,1.624,2.377,2.9076167285252708,1.53980737916382,no,no
7,-7.967,1.804,2.733,2.328617358004531,1.9591398912777394,no,no
8,-7.965,4.064,9.514,9.544560520003003,1.7641569351977517,no,no
9,-7.903,2.714,4.107,5.349002505140561,1.5020209005595795,no,no
10,-7.893,4.488,9.773,9.86633398785993,1.6066498306512658,no,no
11,-7.844,1.016,1.061,1.936546937205499,1.5231236653114493,no,yes
12,-7.839,4.492,9.608,9.78773010048806,2.2403197120604976,no,no
13,-7.78,2.497,3.175,2.3425672839856704,1.854608361396576,no,no
14,-7.733,1.64,2.808,3.6948824013762605,1.5590120303388995,no,no
15,-7.72,1.631,2.286,1.3583585241017928,1.1316421625871071,no,yes
16,-7.701,3.201,9.061,8.927577729709219,1.4779902529923334,no,no
17,-7.646,4.535,9.624,9.733472200607551,2.37942376232776,no,no
18,-7.536,4.344,9.163,9.26784465342401,1.3673651678113736,no,no
19,-7.535,5.178,9.586,9.854779873746546,1.9707920707681463,no,no
