source_article,source_table,article_rank,gene_symbol_raw,gene_symbol,description,gifts,genecard_id,relevance_score,in_dinp_93,dinp_support_count,CTD,ToxCast,Tox21,T3DB
10.1186/s12906-021-03273-7,Table S2,1,MSH6,MSH6,MutS Homolog 6,50,GC02P047695,274.31,False,,,,,
10.1186/s12906-021-03273-7,Table S2,2,MSH2,MSH2,MutS Homolog 2,48,GC02P047402,257.25,False,,,,,
10.1186/s12906-021-03273-7,Table S2,3,MLH1,MLH1,MutL Homolog 1,48,GC03P036993,247.23,False,,,,,
10.1186/s12906-021-03273-7,Table S2,4,BRCA2,BRCA2,BRCA2 DNA Repair Associated,49,GC13P032315,246.15,False,,,,,
10.1186/s12906-021-03273-7,Table S2,5,BRCA1,BRCA1,BRCA1 DNA Repair Associated,50,GC17M043044,226.55,False,,,,,
10.1186/s12906-021-03273-7,Table S2,6,PMS2,PMS2,"PMS1 Homolog 2, Mismatch Repair System Component",48,GC07M005973,213.29,False,,,,,
10.1186/s12906-021-03273-7,Table S2,7,APC,APC,APC Regulator Of WNT Signaling Pathway,48,GC05P112707,212.49,False,,,,,
10.1186/s12906-021-03273-7,Table S2,8,POLE,POLE,"DNA Polymerase Epsilon, Catalytic Subunit",48,GC12M132624,194.57,False,,,,,
10.1186/s12906-021-03273-7,Table S2,9,TP53,TP53,Tumor Protein P53,54,GC17M007661,183.36,False,,,,,
10.1186/s12906-021-03273-7,Table S2,10,POLD1,POLD1,"DNA Polymerase Delta 1, Catalytic Subunit",45,GC19P050385,155.32,False,,,,,
10.1186/s12906-021-03273-7,Table S2,11,CDH1,CDH1,Cadherin 1,50,GC16P068737,152.76,False,,,,,
10.1186/s12906-021-03273-7,Table S2,12,AXIN2,AXIN2,Axin 2,48,GC17M065528,147.99,False,,,,,
10.1186/s12906-021-03273-7,Table S2,13,ATM,ATM,ATM Serine/Threonine Kinase,54,GC11P108222,147.52,False,,,,,
10.1186/s12906-021-03273-7,Table S2,14,PALB2,PALB2,Partner And Localizer Of BRCA2,43,GC16M023603,129.36,False,,,,,
10.1186/s12906-021-03273-7,Table S2,15,CHEK2,CHEK2,Checkpoint Kinase 2,53,GC22M028687,129.24,False,,,,,
10.1186/s12906-021-03273-7,Table S2,16,PTEN,PTEN,Phosphatase And Tensin Homolog,52,GC10P087863,116.91,False,,,,,
10.1186/s12906-021-03273-7,Table S2,17,NF1,NF1,Neurofibromin 1,48,GC17P031094,111.81,False,,,,,
10.1186/s12906-021-03273-7,Table S2,18,KRAS,KRAS,"KRAS Proto-Oncogene, GTPase",51,GC12M025204,110.7,False,,,,,
10.1186/s12906-021-03273-7,Table S2,19,BRIP1,BRIP1,BRCA1 Interacting Protein C-Terminal Helicase 1,47,GC17M061679,109.35,False,,,,,
10.1186/s12906-021-03273-7,Table S2,20,MUTYH,MUTYH,MutY DNA Glycosylase,44,GC01M045329,106.82,False,,,,,
10.1186/s12906-021-03273-7,Table S2,21,CTNNB1,CTNNB1,Catenin Beta 1,53,GC03P041236,104.59,False,,,,,
10.1186/s12906-021-03273-7,Table S2,22,EGFR,EGFR,Epidermal Growth Factor Receptor,54,GC07P055019,101.69,False,,,,,
10.1186/s12906-021-03273-7,Table S2,23,PIK3CA,PIK3CA,"Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Catalytic Subunit Alpha",52,GC03P179148,100.83,False,,,,,
10.1186/s12906-021-03273-7,Table S2,24,SMAD4,SMAD4,SMAD Family Member 4,50,GC18P051028,99.47,False,,,,,
10.1186/s12906-021-03273-7,Table S2,25,BRAF,BRAF,"B-Raf Proto-Oncogene, Serine/Threonine Kinase",54,GC07M140719,98.72,False,,,,,
10.1186/s12906-021-03273-7,Table S2,26,CDKN2A,CDKN2A,Cyclin Dependent Kinase Inhibitor 2A,51,GC09M021967,98.53,False,,,,,
10.1186/s12906-021-03273-7,Table S2,27,BARD1,BARD1,BRCA1 Associated RING Domain 1,46,GC02M214725,97.56,False,,,,,
10.1186/s12906-021-03273-7,Table S2,28,STK11,STK11,Serine/Threonine Kinase 11,49,GC19P001177,95.77,False,,,,,
10.1186/s12906-021-03273-7,Table S2,29,RB1,RB1,RB Transcriptional Corepressor 1,49,GC13P048303,88.76,False,,,,,
10.1186/s12906-021-03273-7,Table S2,30,EPCAM,EPCAM,Epithelial Cell Adhesion Molecule,47,GC02P047345,86.52,False,,,,,
10.1186/s12906-021-03273-7,Table S2,31,AKT1,AKT1,AKT Serine/Threonine Kinase 1,54,GC14M104769,85.04,False,,,,,
10.1186/s12906-021-03273-7,Table S2,32,TGFBR2,TGFBR2,Transforming Growth Factor Beta Receptor 2,51,GC03P030623,84.99,False,,,,,
10.1186/s12906-021-03273-7,Table S2,33,ERBB2,ERBB2,Erb-B2 Receptor Tyrosine Kinase 2,54,GC17P039687,83.83,False,,,,,
10.1186/s12906-021-03273-7,Table S2,34,MYC,MYC,"MYC Proto-Oncogene, BHLH Transcription Factor",51,GC08P127735,83.47,False,,,,,
10.1186/s12906-021-03273-7,Table S2,35,MLH3,MLH3,MutL Homolog 3,42,GC14M075013,81.92,False,,,,,
10.1186/s12906-021-03273-7,Table S2,36,CCND1,CCND1,Cyclin D1,52,GC11P069641,80.41,False,,,,,
10.1186/s12906-021-03273-7,Table S2,37,RET,RET,Ret Proto-Oncogene,53,GC10P043081,79.1,False,,,,,
10.1186/s12906-021-03273-7,Table S2,38,HRAS,HRAS,"HRas Proto-Oncogene, GTPase",52,GC11M000635,77.74,False,,,,,
10.1186/s12906-021-03273-7,Table S2,39,VEGFA,VEGFA,Vascular Endothelial Growth Factor A,48,GC06P043770,75.14,False,,,,,
10.1186/s12906-021-03273-7,Table S2,40,TNF,TNF,Tumor Necrosis Factor,51,GC06P047305,74.46,False,,,,,
10.1186/s12906-021-03273-7,Table S2,41,CDKN1B,CDKN1B,Cyclin Dependent Kinase Inhibitor 1B,48,GC12P012716,71.56,False,,,,,
10.1186/s12906-021-03273-7,Table S2,42,MSH3,MSH3,MutS Homolog 3,43,GC05P080654,71.27,False,,,,,
10.1186/s12906-021-03273-7,Table S2,43,MET,MET,"MET Proto-Oncogene, Receptor Tyrosine Kinase",54,GC07P116672,70.35,False,,,,,
10.1186/s12906-021-03273-7,Table S2,44,IL6,IL6,Interleukin 6,50,GC07P022765,70.08,False,,,,,
