gene_symbol,crc_article_rank,crc_relevance_score,DINP_source_flags,CTD_record_count,CTD_unique_PubMed_count,CTD_unique_PubMedIDs,CTD_single_chemical_record_count,CTD_cotreatment_record_count,CTD_single_chemical_support,CTD_cotreatment_only,CTD_direct_binding_record_count,CTD_single_chemical_binding_record_count,CTD_expression_record_count,CTD_activity_record_count,CTD_reaction_record_count,CTD_abundance_record_count,CTD_action_labels,CTD_evidence_class,CTD_evidence_interpretation
AKR1C3,1852,10.28,CTD,2,1,40456493,0,2,0,1,0,0,2,0,2,0,affects^cotreatment;decreases^expression;decreases^reaction,co_treatment_only,CTD evidence is co-treatment-only; it should not be described as DINP-specific gene regulation.
CA9,654,22.47,CTD,1,1,32949613,0,1,0,1,0,0,1,0,0,0,affects^cotreatment;decreases^expression,co_treatment_only,CTD evidence is co-treatment-only; it should not be described as DINP-specific gene regulation.
CCL20,1770,10.68,CTD,1,1,32949613,0,1,0,1,0,0,1,0,0,0,affects^cotreatment;decreases^expression,co_treatment_only,CTD evidence is co-treatment-only; it should not be described as DINP-specific gene regulation.
CRP,433,28.01,CTD,1,1,32949613,0,1,0,1,0,0,1,0,0,0,affects^cotreatment;decreases^expression,co_treatment_only,CTD evidence is co-treatment-only; it should not be described as DINP-specific gene regulation.
CXCR4,81,55.7,CTD,1,1,37552060,0,1,0,1,0,0,1,0,1,0,affects^cotreatment;affects^reaction;increases^expression,co_treatment_only,CTD evidence is co-treatment-only; it should not be described as DINP-specific gene regulation.
DKK1,700,21.43,CTD,1,1,32949613,0,1,0,1,0,0,1,0,0,0,affects^cotreatment;decreases^expression,co_treatment_only,CTD evidence is co-treatment-only; it should not be described as DINP-specific gene regulation.
HPGD,290,34.93,CTD,2,1,40456493,0,2,0,1,0,0,2,0,2,0,affects^cotreatment;decreases^expression;decreases^reaction,co_treatment_only,CTD evidence is co-treatment-only; it should not be described as DINP-specific gene regulation.
IGFBP1,1632,11.43,CTD,1,1,32949613,0,1,0,1,0,0,1,0,0,0,affects^cotreatment;decreases^expression,co_treatment_only,CTD evidence is co-treatment-only; it should not be described as DINP-specific gene regulation.
MIR675,1221,15.05,CTD,1,1,32949613,0,1,0,1,0,0,1,0,0,0,affects^cotreatment;decreases^expression,co_treatment_only,CTD evidence is co-treatment-only; it should not be described as DINP-specific gene regulation.
NEAT1,606,23.57,CTD,1,1,32949613,0,1,0,1,0,0,1,0,0,0,affects^cotreatment;decreases^expression,co_treatment_only,CTD evidence is co-treatment-only; it should not be described as DINP-specific gene regulation.
PGR,563,24.73,CTD,2,1,37552060,0,2,0,1,0,0,2,0,2,0,affects^cotreatment;decreases^reaction;increases^expression,co_treatment_only,CTD evidence is co-treatment-only; it should not be described as DINP-specific gene regulation.
PTGER2,1089,16.4,CTD,2,1,40456493,0,2,0,1,0,0,2,0,2,0,affects^cotreatment;affects^expression;affects^reaction,co_treatment_only,CTD evidence is co-treatment-only; it should not be described as DINP-specific gene regulation.
PTGER4,719,21.08,CTD,1,1,40456493,0,1,0,1,0,0,1,0,1,0,affects^cotreatment;decreases^expression;decreases^reaction,co_treatment_only,CTD evidence is co-treatment-only; it should not be described as DINP-specific gene regulation.
PTGES2,1392,13.61,CTD,2,1,40456493,0,2,0,1,0,0,2,0,2,0,affects^cotreatment;affects^reaction;decreases^expression,co_treatment_only,CTD evidence is co-treatment-only; it should not be described as DINP-specific gene regulation.
PTGS1,517,26.08,CTD,2,1,40456493,0,2,0,1,0,0,2,0,2,0,affects^cotreatment;affects^expression;affects^reaction,co_treatment_only,CTD evidence is co-treatment-only; it should not be described as DINP-specific gene regulation.
PTGS2,143,46.06,CTD,2,1,40456493,0,2,0,1,0,0,2,0,2,0,affects^cotreatment;affects^reaction;increases^expression,co_treatment_only,CTD evidence is co-treatment-only; it should not be described as DINP-specific gene regulation.
HSPA1A,1408,13.46,CTD,1,1,35032864,1,0,1,0,0,0,0,0,0,0,increases^methylation,literature_association_without_direct_single_chemical_support,"CTD contains chemical-gene literature records, but the available records do not establish a direct DINP-specific binding or single-chemical functional response."
RELA,165,44.02,CTD,1,1,31154059,1,0,1,0,0,0,0,0,0,0,increases^phosphorylation,literature_association_without_direct_single_chemical_support,"CTD contains chemical-gene literature records, but the available records do not establish a direct DINP-specific binding or single-chemical functional response."
STAT3,52,64.86,CTD,1,1,31154059,1,0,1,0,0,0,0,0,0,0,increases^phosphorylation,literature_association_without_direct_single_chemical_support,"CTD contains chemical-gene literature records, but the available records do not establish a direct DINP-specific binding or single-chemical functional response."
CYP1A2,935,17.98,Tox21,0,0,,0,0,0,0,0,0,0,0,0,0,,no_CTD_record,No CTD record for this intersection gene; its DINP support comes from another exposure source.
CYP2C9,1195,15.28,Tox21,0,0,,0,0,0,0,0,0,0,0,0,0,,no_CTD_record,No CTD record for this intersection gene; its DINP support comes from another exposure source.
CYP3A4,664,22.25,Tox21,0,0,,0,0,0,0,0,0,0,0,0,0,,no_CTD_record,No CTD record for this intersection gene; its DINP support comes from another exposure source.
F3,1415,13.31,ToxCast,0,0,,0,0,0,0,0,0,0,0,0,0,,no_CTD_record,No CTD record for this intersection gene; its DINP support comes from another exposure source.
IL1A,1055,16.73,ToxCast,0,0,,0,0,0,0,0,0,0,0,0,0,,no_CTD_record,No CTD record for this intersection gene; its DINP support comes from another exposure source.
SELE,998,17.27,ToxCast,0,0,,0,0,0,0,0,0,0,0,0,0,,no_CTD_record,No CTD record for this intersection gene; its DINP support comes from another exposure source.
NR1I2,1615,11.58,CTD;ToxCast;T3DB,3,3,21227907;27071811;27551952,3,0,1,0,2,2,0,2,0,0,affects^binding;increases^activity,single_chemical_binding_or_interaction,"CTD contains DINP-specific binding/interaction record(s); activity is present where recorded, but this remains source-level evidence rather than in-vivo proof."
PPARA,1086,16.42,CTD,1,1,23843199,1,0,1,0,1,1,0,0,0,0,affects^binding,single_chemical_binding_or_interaction,"CTD contains DINP-specific binding/interaction record(s); activity is present where recorded, but this remains source-level evidence rather than in-vivo proof."
PPARD,696,21.45,CTD,1,1,23843199,1,0,1,0,1,1,0,0,0,0,affects^binding,single_chemical_binding_or_interaction,"CTD contains DINP-specific binding/interaction record(s); activity is present where recorded, but this remains source-level evidence rather than in-vivo proof."
