gene_symbol,crc_article_rank,crc_relevance_score,crc_rank_percentile_top,CTD_support,ToxCast_support,Tox21_support,CompTox_family_support,T3DB_support,DINP_raw_source_count,DINP_source_family_count,DINP_evidence_profile,DINP_multi_family_support,GO_representative_count,Reactome_term_count,KEGG_term_count,pathway_recurrence_total,pathway_source_count,same_theme_two_source_count,same_theme_three_source_count,same_theme_labels,pathway_theme_breadth,pathway_anchor_class,original_biological_priority_rank,pathway_recurrence_percentile_within_41,pathway_breadth_percentile_within_41,annotation_breadth_proxy_note
RXRA,1244,14.84,0.343370,1,0,0,0,0,1,1,CTD,0,15,28,4,47,3,4,3,Lipid / fatty-acid / eicosanoid metabolism; Chemical / xenobiotic / oxygen-stress response; Signaling / receptor / hormone response; General metabolism / biosynthesis,5,strong_cross-resource_pathway_anchor,1,0.878049,0.658537,pathway recurrence only; not a corrected annotation-density estimate
CYP2C9,1195,15.28,0.369255,0,0,1,1,0,1,1,CompTox,0,17,15,8,40,3,3,3,Lipid / fatty-acid / eicosanoid metabolism; Chemical / xenobiotic / oxygen-stress response; General metabolism / biosynthesis,4,strong_cross-resource_pathway_anchor,2,0.780488,0.463415,pathway recurrence only; not a corrected annotation-density estimate
PPARG,67,59.83,0.965135,1,0,0,0,0,1,1,CTD,0,50,16,3,69,3,3,2,Lipid / fatty-acid / eicosanoid metabolism; Signaling / receptor / hormone response; General metabolism / biosynthesis,6,strong_cross-resource_pathway_anchor,3,1.000000,0.951220,pathway recurrence only; not a corrected annotation-density estimate
CYP1A2,935,17.98,0.506603,0,0,1,1,0,1,1,CompTox,0,21,16,6,43,3,3,2,Lipid / fatty-acid / eicosanoid metabolism; Chemical / xenobiotic / oxygen-stress response; General metabolism / biosynthesis,4,strong_cross-resource_pathway_anchor,4,0.853659,0.463415,pathway recurrence only; not a corrected annotation-density estimate
CYP3A4,664,22.25,0.649762,0,0,1,1,0,1,1,CompTox,0,20,12,6,38,3,3,2,Lipid / fatty-acid / eicosanoid metabolism; Chemical / xenobiotic / oxygen-stress response; General metabolism / biosynthesis,4,strong_cross-resource_pathway_anchor,5,0.731707,0.463415,pathway recurrence only; not a corrected annotation-density estimate
PPARA,1086,16.42,0.426836,1,0,0,0,0,1,1,CTD,0,44,19,2,65,3,4,1,Lipid / fatty-acid / eicosanoid metabolism; Chemical / xenobiotic / oxygen-stress response; Signaling / receptor / hormone response; General metabolism / biosynthesis,6,strong_cross-resource_pathway_anchor,6,0.975610,0.951220,pathway recurrence only; not a corrected annotation-density estimate
PTGS2,143,46.06,0.924987,1,0,0,0,0,1,1,CTD,0,34,11,4,49,3,4,1,Lipid / fatty-acid / eicosanoid metabolism; Chemical / xenobiotic / oxygen-stress response; Inflammation / immune / stimulus response; General metabolism / biosynthesis,6,strong_cross-resource_pathway_anchor,7,0.902439,0.951220,pathway recurrence only; not a corrected annotation-density estimate
AKR1C3,1852,10.28,0.022187,1,0,0,0,0,1,1,CTD,0,30,10,1,41,3,3,1,Lipid / fatty-acid / eicosanoid metabolism; Signaling / receptor / hormone response; General metabolism / biosynthesis,6,strong_cross-resource_pathway_anchor,8,0.804878,0.951220,pathway recurrence only; not a corrected annotation-density estimate
PPARD,696,21.45,0.632858,1,0,0,0,0,1,1,CTD,0,41,9,2,52,3,3,1,Lipid / fatty-acid / eicosanoid metabolism; Signaling / receptor / hormone response; General metabolism / biosynthesis,6,strong_cross-resource_pathway_anchor,9,0.951220,0.951220,pathway recurrence only; not a corrected annotation-density estimate
HPGD,290,34.93,0.847332,1,0,0,0,0,1,1,CTD,0,19,9,1,29,3,2,1,Lipid / fatty-acid / eicosanoid metabolism; General metabolism / biosynthesis,5,strong_cross-resource_pathway_anchor,10,0.658537,0.658537,pathway recurrence only; not a corrected annotation-density estimate
PTGS1,517,26.08,0.727417,1,0,0,0,0,1,1,CTD,0,11,8,2,21,3,2,1,Lipid / fatty-acid / eicosanoid metabolism; General metabolism / biosynthesis,4,strong_cross-resource_pathway_anchor,11,0.439024,0.463415,pathway recurrence only; not a corrected annotation-density estimate
