original_biological_priority_rank,gene_symbol,crc_article_rank,crc_relevance_score,DINP_evidence_profile,DINP_raw_source_count,DINP_source_family_count,DINP_multi_family_support,GO_representative_count,Reactome_term_count,KEGG_term_count,pathway_recurrence_total,pathway_source_count,same_theme_two_source_count,same_theme_three_source_count,same_theme_labels,pathway_theme_breadth,pathway_recurrence_percentile_within_41,pathway_breadth_percentile_within_41,pathway_anchor_class,annotation_breadth_proxy_note
1,RXRA,1244,14.84,CTD,1,1,0,15,28,4,47,3,4,3,Lipid / fatty-acid / eicosanoid metabolism; Chemical / xenobiotic / oxygen-stress response; Signaling / receptor / hormone response; General metabolism / biosynthesis,5,0.878049,0.658537,strong_cross-resource_pathway_anchor,pathway recurrence only; not a corrected annotation-density estimate
2,CYP2C9,1195,15.28,CompTox,1,1,0,17,15,8,40,3,3,3,Lipid / fatty-acid / eicosanoid metabolism; Chemical / xenobiotic / oxygen-stress response; General metabolism / biosynthesis,4,0.780488,0.463415,strong_cross-resource_pathway_anchor,pathway recurrence only; not a corrected annotation-density estimate
3,PPARG,67,59.83,CTD,1,1,0,50,16,3,69,3,3,2,Lipid / fatty-acid / eicosanoid metabolism; Signaling / receptor / hormone response; General metabolism / biosynthesis,6,1.000000,0.951220,strong_cross-resource_pathway_anchor,pathway recurrence only; not a corrected annotation-density estimate
4,CYP1A2,935,17.98,CompTox,1,1,0,21,16,6,43,3,3,2,Lipid / fatty-acid / eicosanoid metabolism; Chemical / xenobiotic / oxygen-stress response; General metabolism / biosynthesis,4,0.853659,0.463415,strong_cross-resource_pathway_anchor,pathway recurrence only; not a corrected annotation-density estimate
5,CYP3A4,664,22.25,CompTox,1,1,0,20,12,6,38,3,3,2,Lipid / fatty-acid / eicosanoid metabolism; Chemical / xenobiotic / oxygen-stress response; General metabolism / biosynthesis,4,0.731707,0.463415,strong_cross-resource_pathway_anchor,pathway recurrence only; not a corrected annotation-density estimate
6,PPARA,1086,16.42,CTD,1,1,0,44,19,2,65,3,4,1,Lipid / fatty-acid / eicosanoid metabolism; Chemical / xenobiotic / oxygen-stress response; Signaling / receptor / hormone response; General metabolism / biosynthesis,6,0.975610,0.951220,strong_cross-resource_pathway_anchor,pathway recurrence only; not a corrected annotation-density estimate
7,PTGS2,143,46.06,CTD,1,1,0,34,11,4,49,3,4,1,Lipid / fatty-acid / eicosanoid metabolism; Chemical / xenobiotic / oxygen-stress response; Inflammation / immune / stimulus response; General metabolism / biosynthesis,6,0.902439,0.951220,strong_cross-resource_pathway_anchor,pathway recurrence only; not a corrected annotation-density estimate
8,AKR1C3,1852,10.28,CTD,1,1,0,30,10,1,41,3,3,1,Lipid / fatty-acid / eicosanoid metabolism; Signaling / receptor / hormone response; General metabolism / biosynthesis,6,0.804878,0.951220,strong_cross-resource_pathway_anchor,pathway recurrence only; not a corrected annotation-density estimate
9,PPARD,696,21.45,CTD,1,1,0,41,9,2,52,3,3,1,Lipid / fatty-acid / eicosanoid metabolism; Signaling / receptor / hormone response; General metabolism / biosynthesis,6,0.951220,0.951220,strong_cross-resource_pathway_anchor,pathway recurrence only; not a corrected annotation-density estimate
10,HPGD,290,34.93,CTD,1,1,0,19,9,1,29,3,2,1,Lipid / fatty-acid / eicosanoid metabolism; General metabolism / biosynthesis,5,0.658537,0.658537,strong_cross-resource_pathway_anchor,pathway recurrence only; not a corrected annotation-density estimate
