source,background,term_id,term_name,adjusted_p,intersection_size,intersection_genes,go_ancestor_count,theme_id,theme_label,status,representative_term_id,fold_similarity,folded_term_count
GO:BP,gelsemium_crc1893,GO:0000122,negative regulation of transcription by RNA polymerase II,0.012901957365247577,13,DKK1;ESR1;HSPA1A;NR1I2;NR3C1;PPARA;PPARD;PPARG;RELA;RXRA;SIRT1;SQSTM1;STAT3,25,other,Other / mixed biological processes,retained_representative,GO:0000122,,2
GO:BP,gelsemium_crc1893,GO:0001516,prostaglandin biosynthetic process,0.0006086217165745288,4,PTGES2;PTGS1;PTGS2;SIRT1,23,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,retained_representative,GO:0001516,,10
GO:BP,gelsemium_crc1893,GO:0001542,ovulation from ovarian follicle,0.00910190374387419,3,MMP2;PGR;SIRT1,6,other,Other / mixed biological processes,retained_representative,GO:0001542,,2
GO:BP,gelsemium_crc1893,GO:0001666,response to hypoxia,0.02207168582192469,9,BECN1;CA9;CXCR4;MMP2;PPARA;PPARD;PPARG;PTGS2;SIRT1,6,other,Other / mixed biological processes,retained_representative,GO:0001666,,2
GO:BP,gelsemium_crc1893,GO:0001706,endoderm formation,0.039231209706835315,4,DKK1;DUSP1;MMP2;MMP9,4,other,Other / mixed biological processes,retained_representative,GO:0001706,,0
GO:BP,gelsemium_crc1893,GO:0002246,wound healing involved in inflammatory response,0.011842662689889519,3,IL1A;PPARG;TIMP1,5,inflammation_immune,Inflammation / immune / stimulus response,retained_representative,GO:0002246,,0
GO:BP,gelsemium_crc1893,GO:0002248,connective tissue replacement involved in inflammatory response wound healing,0.00593336364543644,3,IL1A;PPARG;TIMP1,4,inflammation_immune,Inflammation / immune / stimulus response,retained_representative,GO:0002248,,1
GO:BP,gelsemium_crc1893,GO:0002526,acute inflammatory response,0.02186700910613897,5,CRP;F3;IL1A;PPARG;PTGS2,5,inflammation_immune,Inflammation / immune / stimulus response,retained_representative,GO:0002526,,0
GO:BP,gelsemium_crc1893,GO:0006082,organic acid metabolic process,0.00014798354216738645,13,AKR1C3;CYP1A2;CYP2C9;CYP3A4;HPGD;PPARA;PPARD;PPARG;PTGES2;PTGS1;PTGS2;SIRT1;STAT3,3,general_metabolism,General metabolism / biosynthesis,retained_representative,GO:0006082,,0
GO:BP,gelsemium_crc1893,GO:0006111,regulation of gluconeogenesis,0.030721322189299696,3,NR3C1;PPARA;SIRT1,11,other,Other / mixed biological processes,retained_representative,GO:0006111,,0
GO:BP,gelsemium_crc1893,GO:0006631,fatty acid metabolic process,3.0275917913012574e-06,12,AKR1C3;CYP1A2;CYP2C9;CYP3A4;HPGD;PPARA;PPARD;PPARG;PTGES2;PTGS1;PTGS2;SIRT1,9,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,retained_representative,GO:0006631,,5
GO:BP,gelsemium_crc1893,GO:0006915,apoptotic process,0.036361625012118495,21,AKR1C3;ATG5;BECN1;CXCR4;DKK1;ESR1;F3;HPGD;HSPA1A;IL1A;MMP2;MMP9;NR3C1;PPARA;PPARD;PPARG;PTGS2;RELA;SIRT1;SQSTM1;TIMP1,4,cell_death_cycle,Cell death / cell cycle / genome maintenance,retained_representative,GO:0006915,,2
GO:BP,gelsemium_crc1893,GO:0006954,inflammatory response,6.464729647166584e-05,19,CCL20;CRP;CXCR4;ESR1;F3;IL1A;MMP9;NEAT1;NR3C1;PPARA;PPARD;PPARG;PTGER2;PTGER4;PTGS2;RELA;SELE;STAT3;TIMP1,4,inflammation_immune,Inflammation / immune / stimulus response,retained_representative,GO:0006954,,2
GO:BP,gelsemium_crc1893,GO:0006995,cellular response to nitrogen starvation,0.011842662689889519,2,ATG5;BECN1,11,other,Other / mixed biological processes,retained_representative,GO:0006995,,1
GO:BP,gelsemium_crc1893,GO:0007179,transforming growth factor beta receptor signaling pathway,0.0290991947461403,6,HPGD;HSPA1A;PPARA;PPARG;SIRT1;STAT3,10,signaling_receptor,Signaling / receptor / hormone response,retained_representative,GO:0007179,,1
GO:BP,gelsemium_crc1893,GO:0007186,G protein-coupled receptor signaling pathway,0.020788198050142866,10,AKR1C3;CXCR4;ESR1;HPGD;PGR;PPARG;PTGER2;PTGER4;RELA;SELE,6,signaling_receptor,Signaling / receptor / hormone response,retained_representative,GO:0007186,,0
GO:BP,gelsemium_crc1893,GO:0007565,female pregnancy,0.002079472637512425,8,ESR1;HPGD;MMP2;MMP9;PGR;PPARD;PTGS2;TIMP1,5,other,Other / mixed biological processes,retained_representative,GO:0007565,,3
GO:BP,gelsemium_crc1893,GO:0007566,embryo implantation,0.007777092495927017,5,MMP2;MMP9;PPARD;PTGS2;TIMP1,2,other,Other / mixed biological processes,retained_representative,GO:0007566,,0
GO:BP,gelsemium_crc1893,GO:0007584,response to nutrient,0.04181287791096554,6,AKR1C3;BECN1;PPARA;PPARD;PPARG;RXRA,4,other,Other / mixed biological processes,retained_representative,GO:0007584,,0
GO:BP,gelsemium_crc1893,GO:0008202,steroid metabolic process,0.0019955740778572844,9,AKR1C3;CYP1A2;CYP2C9;CYP3A4;ESR1;NR1I2;NR3C1;PPARD;SIRT1,5,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,retained_representative,GO:0008202,,0
GO:BP,gelsemium_crc1893,GO:0008203,cholesterol metabolic process,0.036361625012118495,4,CYP1A2;CYP2C9;CYP3A4;PPARD,10,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,retained_representative,GO:0008203,,1
GO:BP,gelsemium_crc1893,GO:0008210,estrogen metabolic process,0.030721322189299696,3,CYP1A2;CYP2C9;CYP3A4,10,general_metabolism,General metabolism / biosynthesis,retained_representative,GO:0008210,,0
GO:BP,gelsemium_crc1893,GO:0008283,cell population proliferation,0.03392729520759933,23,AKR1C3;BECN1;CRP;DUSP1;ESR1;F3;HPGD;HSPA1A;IL1A;MMP2;MMP9;NEAT1;PGR;PPARD;PPARG;PTGER2;PTGS1;PTGS2;RELA;SIRT1;SQSTM1;STAT3;TIMP1,2,other,Other / mixed biological processes,retained_representative,GO:0008283,,0
