theme_id,theme_label,gene_symbol,term_membership_count,fraction_of_theme_terms,theme_driver_rank
lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,PPARD,16,0.5517,1
lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,PPARA,14,0.4828,2
lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,PPARG,14,0.4828,3
lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,PTGS2,13,0.4483,4
lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,AKR1C3,13,0.4483,5
lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,SIRT1,10,0.3448,6
lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,CYP2C9,10,0.3448,7
lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,HPGD,9,0.3103,8
lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,CYP1A2,9,0.3103,9
lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,RXRA,9,0.3103,10
lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,PTGS1,8,0.2759,11
lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,PTGES2,8,0.2759,12
lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,CYP3A4,7,0.2414,13
lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,NR3C1,5,0.1724,14
lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,PTGER4,4,0.1379,15
lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,PTGER2,4,0.1379,16
lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,ESR1,3,0.1034,17
lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,HSPA1A,3,0.1034,18
lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,STAT3,2,0.0690,19
lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,MMP9,2,0.0690,20
lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,SELE,2,0.0690,21
lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,PGR,2,0.0690,22
lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,RELA,2,0.0690,23
lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,NR1I2,1,0.0345,24
lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,BECN1,1,0.0345,25
lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,CRP,1,0.0345,26
lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,DKK1,1,0.0345,27
lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,IL1A,1,0.0345,28
lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,MMP2,1,0.0345,29
lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,CA9,1,0.0345,30
