donor_id,group,compartment,subtype,program_score,sd_cell_score,n_cells
C103,colon adenocarcinoma,epithelial,other_tumor_epithelial,-0.14371389086990422,0.17069620999660653,28
C103,colon adenocarcinoma,epithelial,source_tumor_labeled_epithelial,-0.10008353055455828,0.1655477361218263,4580
C103,colon adenocarcinoma,myeloid,dendritic,-0.04182328250250823,0.2006946680195948,80
C103,colon adenocarcinoma,myeloid,granulocyte,-0.1587704528531954,0.08698874345465842,5
C103,colon adenocarcinoma,myeloid,macrophage,0.008276465824967117,0.19908869369456736,194
C103,colon adenocarcinoma,myeloid,monocyte,-0.011150592331673427,0.19190657496342126,43
C104,colon adenocarcinoma,epithelial,other_tumor_epithelial,-0.1671775534933532,0.1684829240196372,189
C104,colon adenocarcinoma,epithelial,source_tumor_labeled_epithelial,-0.162359798700299,0.18286252974356396,1694
C104,colon adenocarcinoma,myeloid,dendritic,-0.15935582225800182,0.18206833964155186,37
C104,colon adenocarcinoma,myeloid,granulocyte,-0.035357530085009276,0.29383347328204895,2
C104,colon adenocarcinoma,myeloid,macrophage,-0.17596469544035584,0.24443688183126963,83
C104,colon adenocarcinoma,myeloid,monocyte,-0.054522161101861845,0.22315718157369754,40
C105,colon adenocarcinoma,epithelial,other_tumor_epithelial,-0.1590946330350263,0.16039257737232512,24
C105,colon adenocarcinoma,epithelial,source_tumor_labeled_epithelial,-0.12368831999139873,0.15891446805987142,1388
C105,colon adenocarcinoma,myeloid,dendritic,-0.16893176625927384,0.1706256366938866,41
C105,colon adenocarcinoma,myeloid,granulocyte,-0.0743159058795416,0.12464875347025735,31
C105,colon adenocarcinoma,myeloid,macrophage,-0.16684201333788495,0.19147621876965296,80
C105,colon adenocarcinoma,myeloid,monocyte,0.008676719834103891,0.2121414735601211,51
C106,colon adenocarcinoma,epithelial,other_tumor_epithelial,-0.06651109767992729,0.23582194060210537,10
C106,colon adenocarcinoma,epithelial,source_tumor_labeled_epithelial,-0.10066555775421361,0.18376277348352624,1113
C106,colon adenocarcinoma,myeloid,dendritic,0.018100010192476916,0.22484549656351077,50
C106,colon adenocarcinoma,myeloid,granulocyte,-0.12063891309612414,0.1321422967583567,9
C106,colon adenocarcinoma,myeloid,macrophage,-0.024324961220251642,0.24539099638480988,46
C106,colon adenocarcinoma,myeloid,monocyte,0.06858335661670806,0.2029851803647778,53
C106,normal,epithelial,normal_epithelial,-0.044627806633634415,0.18606485415663573,1062
C106,normal,myeloid,dendritic,-0.13016339728291138,0.1860302272711832,11
C106,normal,myeloid,macrophage,-0.24213148839503076,0.1837512194286047,39
C106,normal,myeloid,monocyte,0.015410243137110508,0.22340126000791405,18
C107,colon adenocarcinoma,epithelial,other_tumor_epithelial,-0.05462117988863628,0.19222070373176992,103
C107,colon adenocarcinoma,epithelial,source_tumor_labeled_epithelial,0.007149665993595694,0.17251685326054658,2156
C107,colon adenocarcinoma,myeloid,dendritic,0.04784243684637325,0.17881667408755064,185
C107,colon adenocarcinoma,myeloid,granulocyte,-0.18604997713809412,0.17690994974031843,11
C107,colon adenocarcinoma,myeloid,macrophage,0.06421430156065874,0.22870609131947436,331
C107,colon adenocarcinoma,myeloid,monocyte,0.15280038077456395,0.19339185631871358,272
C107,normal,epithelial,normal_epithelial,-0.1315209645852278,0.14134525079723226,1156
C107,normal,myeloid,dendritic,-0.09613053593898457,0.08194187561003922,4
C107,normal,myeloid,macrophage,0.00021045314706011342,0.3395130105330351,2
C107,normal,myeloid,monocyte,0.08797869094239887,0.09242514181416375,2
C109,colon adenocarcinoma,epithelial,other_tumor_epithelial,-0.22806014601630645,0.12425140444562009,10
C109,colon adenocarcinoma,epithelial,source_tumor_labeled_epithelial,-0.13094555554387355,0.1536203124869763,1511
C109,colon adenocarcinoma,myeloid,dendritic,-0.053903901006435224,0.25427923919536993,9
C109,colon adenocarcinoma,myeloid,granulocyte,-0.018249727616575576,0.18091694890431367,93
C109,colon adenocarcinoma,myeloid,macrophage,0.06027996594440658,0.205993384467436,80
C109,colon adenocarcinoma,myeloid,monocyte,0.08994816201485514,0.23270664384485718,175
C109,normal,epithelial,normal_epithelial,-0.06508713652954085,0.17023524351769578,1555
C109,normal,myeloid,granulocyte,-0.3718026725443905,,1
C109,normal,myeloid,macrophage,-0.30784487370639174,,1
C109,normal,myeloid,monocyte,-0.002453450680518477,0.0849446533530257,7
C110,colon adenocarcinoma,epithelial,other_tumor_epithelial,-0.08836503797423219,,1
C110,colon adenocarcinoma,epithelial,source_tumor_labeled_epithelial,-0.005656197778254406,0.17276754389191856,790
C110,colon adenocarcinoma,myeloid,dendritic,0.057753115138500705,0.18726155964940172,61
C110,colon adenocarcinoma,myeloid,granulocyte,0.08875033174884762,0.22223562111730066,49
C110,colon adenocarcinoma,myeloid,macrophage,0.13493683357655473,0.17975026033830735,426
C110,colon adenocarcinoma,myeloid,monocyte,0.2420721145639775,0.24545468538222898,514
C110,normal,epithelial,normal_epithelial,-0.06578320109108561,0.18541320887174464,631
C110,normal,myeloid,dendritic,-0.18278930316394384,0.1723513956774608,24
C110,normal,myeloid,macrophage,-0.2573554589294719,0.12831272889095302,38
C110,normal,myeloid,monocyte,-0.0788878529616012,0.2722874854394884,4
C111,colon adenocarcinoma,epithelial,other_tumor_epithelial,-0.11514670785097043,0.058634370931574996,3
C111,colon adenocarcinoma,epithelial,source_tumor_labeled_epithelial,-0.022966009074433597,0.17310215901733728,650
C111,colon adenocarcinoma,myeloid,dendritic,0.021661863852632288,0.24436720342066381,38
C111,colon adenocarcinoma,myeloid,granulocyte,0.024429846580388204,0.1902128939866882,40
C111,colon adenocarcinoma,myeloid,macrophage,0.1574344293203453,0.2327681984507362,364
C111,colon adenocarcinoma,myeloid,monocyte,0.2421621169590151,0.25575344535116834,334
C111,normal,epithelial,normal_epithelial,-0.0015703728181723645,0.18609828728965386,746
C111,normal,myeloid,dendritic,-0.15466004569386155,0.20686894212877838,80
C111,normal,myeloid,granulocyte,-0.05503074572049649,0.25189600978598276,2
C111,normal,myeloid,macrophage,-0.17780136717917744,0.23013256598715093,34
C111,normal,myeloid,monocyte,0.06628063381023651,0.21198075124750068,139
C112,colon adenocarcinoma,epithelial,other_tumor_epithelial,-0.09838147964388377,0.2752488719284298,16
C112,colon adenocarcinoma,epithelial,source_tumor_labeled_epithelial,-0.15595121927960265,0.1469441262397731,1760
C112,colon adenocarcinoma,myeloid,dendritic,-0.011794311370983433,0.1827170870145738,158
C112,colon adenocarcinoma,myeloid,granulocyte,0.013529184655407575,0.18562412773728937,8
