contrast,family,target,n_paired_donors,mean_delta_tumor_minus_normal,median_delta_tumor_minus_normal,sd_delta,mean_delta_95ci_low,mean_delta_95ci_high,paired_t_statistic,paired_t_p,paired_wilcoxon_statistic,paired_wilcoxon_p,direction,paired_t_BH_FDR,paired_wilcoxon_BH_FDR
epithelial tumor vs normal,compartment,epithelial,36,-0.018559149364004893,-0.030086381921827415,0.07425858221395779,-0.04368463877953582,0.006566340051526041,-1.4995559148057487,0.14269650009512408,243.0,0.16152671779855154,down,0.19026200012683211,0.18844783743164348
myeloid tumor vs normal,compartment,myeloid,36,0.10019701027710383,0.10546254977075764,0.1175689702753223,0.06041739383174371,0.13997662672246394,5.113441584584593,1.138456311759872e-05,75.0,1.3280485291033983e-05,up,3.0358834980263255e-05,4.648169851861894e-05
fibroblast tumor vs normal,compartment,fibroblast,0,,,,,,,,,,flat,,
endothelial tumor vs normal,compartment,endothelial,0,,,,,,,,,,flat,,
source tumor-labeled epithelial vs normal epithelial,subtype,source_tumor_labeled_epithelial,36,0.0031661438014399627,0.015404667170202148,0.07783920424768771,-0.023170853810548137,0.029503141413428063,0.2440526337883792,0.8086150453049271,299.0,0.6028146811586339,up,0.8086150453049271,0.6028146811586339
other tumor epithelial vs normal epithelial,subtype,other_tumor_epithelial,36,-0.04028444252944975,-0.03714171984188945,0.09326217266977191,-0.07183982188657581,-0.008729063172323685,-2.5916901596593447,0.01383839047831736,187.0,0.02096025293576531,down,0.022141424765307775,0.029344354110071434
macrophage tumor vs normal,subtype,macrophage,35,0.17022726131600424,0.15127437586203082,0.1149685092175856,0.13073419662317676,0.20972032600883173,8.759599181181565,3.090658587618989e-10,6.0,8.149072527885437e-10,up,2.4725268700951914e-09,5.704350769519806e-09
monocyte tumor vs normal,subtype,monocyte,33,0.11541111482821355,0.10589694288222168,0.12726411724883258,0.07028522103952148,0.16053700861690562,5.209531119766979,1.080206428603026e-05,59.0,1.9996659830212593e-05,up,3.0358834980263255e-05,4.665887293716272e-05
dendritic tumor vs normal,subtype,dendritic,34,0.07571161798069649,0.07778804862760373,0.12239159026101426,0.03300717329383266,0.11841606266756033,3.6070354293530955,0.0010107424723464734,111.0,0.0009691622108221054,up,0.0020214849446929467,0.0016960338689386845
granulocyte tumor vs normal,subtype,granulocyte,3,0.07391114535565722,0.07946059230088469,0.28245741229386484,-0.6277519644869437,0.7755742551982582,0.4532288884259081,0.6948086071630724,,,up,0.7940669796149399,
