sample_id,AKR1C3,ATG5,BECN1,CA9,CCL20,CRP,CXCR4,CYP1A2,CYP2C9,CYP3A4,DKK1,DUSP1,ESR1,F3,HPGD,HSPA1A,IGFBP1,IL1A,MIR675,MMP2,MMP9,NEAT1,NR1I2,NR3C1,PGR,PPARA,PPARD,PPARG,PTGER2,PTGER4,PTGES2,PTGS1,PTGS2,RELA,RXRA,SELE,SIRT1,SQSTM1,STAT3,TIMP1,TIMP2
TCGA-D5-6929-01,5.637,5.133,6.123,3.647,7.214,-4.293,4.879,-9.966,-2.727,-6.506,-0.1187,5.663,-3.047,1.923,3.148,5.057,-2.315,1.001,-9.966,7.44,5.866,7.454,4.802,0.9935,-4.293,2.368,4.519,6.293,-0.9406,1.982,6.328,1.015,-1.086,5.414,3.67,-1.732,2.559,8.178,4.875,8.648,6.674
TCGA-AA-3511-01,5.762,4.503,6.053,-0.4719,4.148,-9.966,3.941,-9.966,-5.012,-1.938,-1.732,5.957,-3.626,4.405,3.094,6.861,-4.035,-0.7108,-9.966,7.68,3.272,7.127,5.396,1.245,-4.035,3.437,4.23,4.499,1.288,2.803,6.174,2.621,1.9,5.526,4.598,-0.1345,2.595,8.997,5.681,8.576,7.038
TCGA-QG-A5YX-01,6.409,4.789,7.075,1.888,7.667,-9.966,2.29,-9.966,-1.431,-3.626,0.3115,6.648,-5.574,4.611,4.939,6.709,-5.574,-1.685,-9.966,4.125,3.788,8.368,5.055,-0.4719,-5.574,3.292,4.092,6.168,2.144,3.046,6.8,4.183,-1.086,5.245,4.635,-1.884,2.753,8.132,6.322,8.138,3.414
TCGA-F4-6704-11,6.552,4.736,6.314,-1.392,3.059,-9.966,5.649,-9.966,-1.248,-0.8084,-1.732,7.391,-1.685,4.313,6.31,7.349,-2.114,-3.626,-9.966,7.058,2.982,7.913,4.082,2.772,-0.7834,3.38,4.932,5.553,2.696,4.749,6.339,5.98,2.154,5.564,4.712,2.173,3.653,7.216,6.082,7.654,7.364
TCGA-CM-6164-01,4.176,4.356,6.535,4.152,6.318,-6.506,3.511,-9.966,-9.966,-2.635,-2.053,5.727,-3.626,4.491,4.259,4.46,-2.727,-0.9971,-9.966,5.935,5.186,7.087,5.404,1.05,-3.308,3.296,4.156,5.71,-0.2498,3.47,6.879,1.19,0.044,5.997,4.57,-0.1504,3.139,8.223,5.652,8.893,6.12
TCGA-A6-A567-01,8.055,4.564,6.141,1.406,4.542,-9.966,3.007,-9.966,-3.626,-4.293,-2.245,4.435,-3.171,3.555,3.946,6.278,-1.732,-3.171,-9.966,6.447,2.635,9.139,4.187,0.3685,-3.626,2.882,4.719,5.093,0.6517,0.058,6.435,1.158,-0.7108,5.89,3.996,-0.1993,2.105,8.569,5.75,7.959,6.402
TCGA-AA-3516-11,7.001,4.502,6.26,-2.635,3.862,-9.966,3.754,-9.966,-0.4719,1.092,-3.308,5.974,-3.171,4.265,8.011,6.952,-5.012,-3.047,-9.966,5.453,2.793,6.307,5.18,2.275,-1.248,3.507,6.171,6.681,1.872,4.977,5.776,4.18,-0.6193,5.126,5.65,-1.884,2.554,8.451,5.676,6.01,6.303
TCGA-G4-6320-01,5.309,3.867,5.622,5.03,6.054,-9.966,4.835,-9.966,-0.0725,-1.392,-5.574,4.361,-9.966,5.298,1.93,3.348,-5.574,0.9789,-9.966,4.07,1.736,7.266,3.366,0.9568,-2.826,2.899,3.65,5.382,3.44,3.237,6.012,-0.8863,3.088,5.125,3.961,-3.816,2.766,7.41,4.864,7.537,3.704
TCGA-AY-A69D-01,5.926,4.408,6.066,2.844,6.933,-9.966,4.192,-9.966,-1.214,-4.293,1.551,6.692,-2.826,5.424,2.696,4.327,-0.3383,0.5271,-9.966,6.084,3.425,7.335,6.464,1.334,-2.727,3.828,4.554,7.001,1.373,4.261,6.927,1.092,1.77,5.48,4.657,-1.732,3.247,8.48,6.16,7.475,5.164
TCGA-AY-A8YK-01,6.167,4.184,6.615,0.2881,7.117,-9.966,3.614,-9.966,-0.1828,-3.171,-1.639,4.805,-4.293,4.384,4.348,5.591,-3.047,-0.013,-9.966,5.502,3.234,8.317,5.109,0.0158,-5.574,3.659,4.12,5.259,-0.0425,3.284,6.246,1.001,0.9038,6.049,4.446,-0.4719,2.755,7.904,6.212,9.069,5.035
TCGA-F4-6806-01,7.282,4.268,6.312,3.907,7.25,3.076,3.734,-5.012,0.2762,-0.5125,-1.149,6.124,-2.315,4.614,2.242,6.18,-1.639,0.434,-9.966,6.749,2.87,8.095,4.44,0.5568,-4.035,3.318,4.019,5.687,1.293,3.123,6.922,1.379,1.982,5.914,3.8,-1.117,2.971,8.479,5.847,9.136,6.226
TCGA-5M-AAT4-01,3.199,4.337,5.75,5.93,6.54,-9.966,3.043,-9.966,-9.966,-3.171,3.115,4.491,-3.816,4.226,1.714,6.122,-2.548,0.4761,-9.966,5.228,0.9419,8.454,5.05,-1.248,-4.608,3.064,3.798,5.472,-0.5543,1.774,6.567,0.4761,-1.149,5.558,4.115,-2.178,3.039,7.758,4.696,8.533,4.397
TCGA-CM-6167-01,5.938,4.457,6.518,2.526,2.834,-3.047,5.843,-9.966,-1.732,-1.781,-2.053,7.068,-1.056,2.78,4.507,6.875,-5.574,-3.816,-9.966,9.28,3.214,8.804,2.592,3.803,0.0718,3.178,4.071,4.287,1.551,3.313,6.031,5.09,2.583,5.669,4.537,2.091,3.649,8.578,6.616,10.09,8.434
TCGA-AZ-6603-01,5.277,4.601,6.636,2.909,6.518,-3.816,3.467,-9.966,-4.608,-2.932,-3.047,5.478,-0.7108,4.326,3.954,6.486,-2.548,-2.727,-9.966,7.615,3.245,7.524,5.327,1.47,-3.308,3.571,3.783,6.052,1.071,3.785,6.209,2.48,0.7999,6.178,4.243,1.196,3.302,8.639,6.288,8.781,6.543
TCGA-CM-6168-01,4.089,4.795,6.426,6.568,7.25,-9.966,6.24,-9.966,-1.149,-2.178,6.512,7.51,-1.283,4.67,5.221,6.498,-5.574,3.349,-9.966,8.533,6.152,7.892,4.514,2.899,-1.781,3.365,4.324,6.323,2.339,3.826,6.536,3.113,3.099,5.849,4.292,1.34,3.496,7.824,6.205,9.406,7.861
TCGA-G4-6314-01,2.342,4.447,6.18,-0.0574,6.932,-9.966,6.003,-9.966,-5.012,-3.308,0.8488,7.141,-2.727,4.816,1.27,5.775,-5.012,-1.831,-9.966,7.865,4.994,7.289,5.052,2.081,-1.884,3.506,3.679,6.378,1.791,3.181,6.736,3.067,2.0,5.924,4.198,-0.1993,3.483,7.825,6.133,9.178,7.059
