gene,READ_delta,COAD_delta,READ_p,COAD_p,READ_q,COAD_q,READ_direction,COAD_direction,direction_concordant,READ_FDR_positive,COAD_FDR_positive,shared_FDR_positive
AKR1C3,-0.3040000000000002,-1.3289999999999995,0.3800746676201323,2.455167820271315e-13,0.4583253344831007,1.1184653403458213e-12,down,down,True,False,True,False
ATG5,-0.2085000000000008,-0.1470000000000002,0.0564625965344612,0.0034017370200304,0.1157483228956456,0.0051656006600462,down,down,True,False,True,False
BECN1,-0.1940000000000008,-0.1494999999999997,0.1301270440790629,0.1355617865641541,0.2319656003148513,0.158800949975152,down,down,True,False,False,False
CA9,4.16355,4.8712,2.483091788786098e-06,7.092653302229051e-20,2.0361352668046005e-05,6.357969829294745e-19,up,up,True,True,True,True
CCL20,2.032,1.5365000000000002,0.0015965431929843,9.307000865086954e-07,0.005035251608643,2.008352818255606e-06,up,up,True,True,True,True
CRP,0.0,0.0,0.1048922503145918,0.0333550560555936,0.204789631566584,0.0441147515573979,zero,zero,False,False,True,False
CXCR4,-0.8514999999999997,0.0125000000000001,0.2676694827398023,0.6923084744143575,0.361972945735814,0.7096161862747165,down,up,False,False,False,False
CYP1A2,0.0,0.0,0.8374035241118256,0.6382127892122531,0.8604459734244652,0.6709416501974969,zero,zero,False,False,False,False
CYP2C9,0.6955000000000005,-1.6576000000000002,0.3552990694248908,8.599494644665886e-05,0.4414321771642583,0.0001602633092869,up,down,False,False,True,False
CYP3A4,-2.9834,-3.3021000000000003,2.3048922987146185e-05,2.2781086356686463e-11,0.0001181257303091,7.783537838534542e-11,down,down,True,True,True,True
DKK1,0.4299999999999999,0.7709999999999999,0.8394594862677709,0.0072443176977152,0.8604459734244652,0.0102419664002181,up,up,True,False,True,False
DUSP1,-2.0335,-1.2689999999999992,0.0012149500904852,3.370712400201568e-10,0.0041510794758245,9.213280560550951e-10,down,down,True,True,True,True
ESR1,-2.1355000000000004,-1.527,0.0006549785209529,9.322368106831116e-11,0.0024412835780972,2.7301220884291127e-10,down,down,True,True,True,True
F3,0.0250000000000003,0.1885000000000003,0.941689490966396,0.3021346328728027,0.941689490966396,0.3440977763273587,up,up,True,False,False,False
HPGD,-2.9385,-3.464,3.757049877289494e-07,4.0495516896567643e-23,1.4668384980682034e-05,1.6603161927592736e-21,down,down,True,True,True,True
HSPA1A,-0.6844999999999999,-1.323999999999999,0.2825154698425866,1.4876935812295477e-08,0.361972945735814,3.812214801900715e-08,down,down,True,False,True,False
IGFBP1,-0.2045000000000003,1.41,0.6156883239926298,0.0025027662891541,0.7012005912138285,0.0041045367142127,down,up,False,False,True,False
IL1A,1.3577000000000004,2.4497,0.0476153437552209,6.106826138272878e-13,0.1027488996823189,2.5037987166918807e-12,up,up,True,False,True,False
MIR675,0.0,0.0,0.7666793603687381,0.371153945387807,0.8272066782925859,0.4112786962405428,zero,zero,False,False,False,False
MMP2,0.1914999999999995,0.0570000000000003,0.6689234001003288,0.9915990365083855,0.7412394433544184,0.9915990365083854,up,up,True,False,False,False
MMP9,1.6529999999999996,1.2190000000000003,0.0143815391592863,8.370033986574299e-05,0.0368526940956711,0.0001602633092869,up,up,True,True,True,True
NEAT1,0.3970000000000002,0.5025000000000004,0.2136893504169249,0.004080732280564,0.3244912358182934,0.0059753579822544,up,up,True,False,True,False
NR1I2,0.5210000000000008,-0.2219999999999995,0.280000404748658,0.0801856268432901,0.361972945735814,0.1027378343929655,up,down,False,False,False,False
NR3C1,-2.3645,-1.7525000000000002,1.778408178441553e-06,1.0510320230734624e-17,1.822868382902592e-05,6.156044706573137e-17,down,down,True,True,True,True
PGR,-3.41195,-1.702,8.764828833951592e-06,1.5863054272959155e-14,5.989299703200254e-05,8.129815314891567e-14,down,down,True,True,True,True
PPARA,-0.4224999999999994,-0.4234999999999997,0.1151431298782031,2.7815575184415563e-05,0.214584923863924,5.702192912805191e-05,down,down,True,False,True,False
PPARD,-0.7744999999999997,-0.7634999999999996,0.009488684212096,1.003265368264124e-12,0.0259357368463958,3.739443645348099e-12,down,down,True,True,True,True
PPARG,-0.0834999999999999,-0.7925000000000004,0.4748651272576112,3.263363737212749e-07,0.5562705776446303,7.433217401429039e-07,down,down,True,False,True,False
PTGER2,-1.3721,-1.72155,0.0004753714003655,3.1637457119118576e-11,0.0019490227414989,9.977967245260475e-11,down,down,True,True,True,True
