"gene_symbol","in_network_input","actual_module","actual_kME","projected_module","projected_kME","max_abs_projected_kME"
"AKR1C3",FALSE,,,"turquoise",-0.10943103115145,0.10943103115145
"ATG5",FALSE,,,"blue",0.275163377463628,0.275163377463628
"BECN1",FALSE,,,"grey",0.230756548403139,0.230756548403139
"CA9",TRUE,"grey",,"grey",-0.334533551688102,0.334533551688102
"CCL20",TRUE,"grey",,"turquoise",-0.224907441186052,0.224907441186052
"CRP",FALSE,,,"turquoise",0.188778922403425,0.188778922403425
"CXCR4",FALSE,,,"turquoise",0.661658318763033,0.661658318763033
"CYP1A2",FALSE,,,"turquoise",0.159571296846528,0.159571296846528
"CYP2C9",TRUE,"grey",,"brown",0.356315901613196,0.356315901613196
"CYP3A4",TRUE,"grey",,"brown",0.257117903352058,0.257117903352058
"DKK1",TRUE,"turquoise",0.247473810926285,"turquoise",0.247473810926285,0.247473810926285
"DUSP1",FALSE,,,"turquoise",0.56904620268128,0.56904620268128
"ESR1",TRUE,"turquoise",0.789443854344484,"turquoise",0.789443854344484,0.789443854344484
"F3",FALSE,,,"brown",0.592020738790903,0.592020738790903
"HPGD",TRUE,"turquoise",0.268904834852459,"brown",0.343428096098651,0.343428096098651
"HSPA1A",TRUE,"turquoise",0.295873452823708,"turquoise",0.295873452823708,0.295873452823708
"IGFBP1",TRUE,"grey",,"turquoise",0.118263631087077,0.118263631087077
"IL1A",TRUE,"grey",,"brown",0.329523552529478,0.329523552529478
"MIR675",FALSE,,,"grey",0.141104838137249,0.141104838137249
"MMP2",TRUE,"turquoise",0.848119771416362,"turquoise",0.848119771416362,0.848119771416362
"MMP9",TRUE,"turquoise",0.714334230991461,"turquoise",0.714334230991461,0.714334230991461
"NEAT1",FALSE,,,"grey",0.430608633644308,0.430608633644308
"NR1I2",FALSE,,,"grey",0.432406915088383,0.432406915088383
"NR3C1",FALSE,,,"turquoise",0.884896074412349,0.884896074412349
"PGR",TRUE,"turquoise",0.76822917168276,"turquoise",0.76822917168276,0.76822917168276
"PPARA",FALSE,,,"grey",0.287735842043046,0.287735842043046
"PPARD",FALSE,,,"brown",0.396025243557968,0.396025243557968
"PPARG",FALSE,,,"turquoise",-0.172932901825295,0.172932901825295
"PTGER2",TRUE,"brown",0.697644379507171,"brown",0.697644379507171,0.697644379507171
"PTGER4",FALSE,,,"brown",0.571549165562464,0.571549165562464
"PTGES2",FALSE,,,"grey",-0.26778943987564,0.26778943987564
"PTGS1",FALSE,,,"turquoise",0.703181421413771,0.703181421413771
"PTGS2",TRUE,"turquoise",0.434806016248576,"turquoise",0.434806016248576,0.434806016248576
"RELA",FALSE,,,"turquoise",0.337744982795683,0.337744982795683
"RXRA",FALSE,,,"brown",0.265121961799969,0.265121961799969
"SELE",TRUE,"turquoise",0.699083074722401,"turquoise",0.699083074722401,0.699083074722401
"SIRT1",FALSE,,,"turquoise",0.373196917481121,0.373196917481121
"SQSTM1",FALSE,,,"turquoise",0.154874379369753,0.154874379369753
"STAT3",FALSE,,,"blue",0.533877220435657,0.533877220435657
"TIMP1",FALSE,,,"turquoise",0.487107439551108,0.487107439551108
"TIMP2",FALSE,,,"turquoise",0.883018577253064,0.883018577253064
