"gene_symbol","module","network_input","kME_grey","kME_brown","kME_turquoise","kME_blue","max_abs_kME","best_kME_module"
"PRAC1","grey",TRUE,0.130586474403073,0.132432856229625,0.0800156585117647,0.0669886262149088,0.132432856229625,"brown"
"RNVU1-7","grey",TRUE,0.12649316676465,-0.0189743492192399,0.0803608989800007,0.0250069806032007,0.12649316676465,"grey"
"IGKV2-29","blue",TRUE,0.0113558331499503,0.238182037018489,0.377198306883146,0.536656959077693,0.536656959077693,"blue"
"XIST","grey",TRUE,0.0626847086888001,-0.0286949711108705,0.00668281075974462,-0.0245355744395399,0.0626847086888001,"grey"
"RP11-11N5.3","grey",TRUE,0.255286347516668,-0.107245018216341,-0.0846150388693397,-0.0922392049057292,0.255286347516668,"grey"
"CH17-262H11.1","grey",TRUE,-0.0572567538725728,0.149548731439998,0.231539791929422,0.304773896044053,0.304773896044053,"blue"
"RP11-256P1.1","grey",TRUE,-0.0475088235851364,-0.168899843538568,-0.358045408409123,-0.319513679153212,0.358045408409123,"turquoise"
"RP11-498C9.13","grey",TRUE,0.0132955325065135,-0.204410743885614,-0.343951191039317,-0.304748967771443,0.343951191039317,"turquoise"
"HIST2H2AB","grey",TRUE,0.0985346252736133,-0.0725391645823598,-0.0699739449969062,-0.079527958630285,0.0985346252736133,"grey"
"NPSR1","grey",TRUE,-0.126060079297745,0.194045814568952,0.0148440991607433,0.109515567537425,0.194045814568952,"brown"
"CTD-2377D24.4","grey",TRUE,0.198154865186419,0.0908947589688866,0.119017756618796,0.105717345208933,0.198154865186419,"grey"
"PI4K2B","turquoise",TRUE,0.0766958628149368,0.134511742799008,0.384422383056343,0.279709297102772,0.384422383056343,"turquoise"
"AC104534.3","grey",TRUE,0.000754463422793173,-0.139850410118388,-0.241039529578606,-0.259760720033256,0.259760720033256,"blue"
"CTD-2659N19.2","grey",TRUE,-0.111343243237023,-0.0489370317881446,-0.212623736526804,-0.193586410601258,0.212623736526804,"turquoise"
"DPP10-AS1","grey",TRUE,0.309978824954099,0.0757751965765365,0.188349736351131,0.170638535880586,0.309978824954099,"grey"
