"sample_id","cohort","mean_expression","sd_expression","missing_values"
"TCGA-D5-6929-01","COAD",-3.482167575,4.37374054881456,0
"TCGA-AA-3511-01","COAD",-3.24160095,3.90216728564265,0
"TCGA-QG-A5YX-01","COAD",-3.7626918,4.07966294327933,0
"TCGA-CM-6164-01","COAD",-2.9660714625,3.86812802612487,0
"TCGA-A6-A567-01","COAD",-3.7650099375,4.38094449855963,0
"TCGA-G4-6320-01","COAD",-4.2985273875,4.26801675021534,0
"TCGA-AY-A69D-01","COAD",-3.04144065,3.72517219118987,0
"TCGA-AY-A8YK-01","COAD",-3.066425575,4.02408606309232,0
"TCGA-F4-6806-01","COAD",-3.5690887375,4.43252424768807,0
"TCGA-5M-AAT4-01","COAD",-3.6503083625,3.84617066644777,0
"TCGA-CM-6167-01","COAD",-2.2231872875,4.11573532550179,0
"TCGA-AZ-6603-01","COAD",-2.8597972625,3.82548831715826,0
"TCGA-CM-6168-01","COAD",-2.6452810875,4.1618086247147,0
"TCGA-G4-6314-01","COAD",-3.1098404625,4.06279469002135,0
"TCGA-F4-6808-01","COAD",-4.1056094625,4.30744810788876,0
"TCGA-AZ-4615-01","COAD",-4.2481778,4.46835400224577,0
"TCGA-AY-6386-01","COAD",-4.136265575,4.4420339440334,0
"TCGA-AZ-6598-01","COAD",-4.4960327375,4.49709093423553,0
"TCGA-A6-6653-01","COAD",-4.505306175,4.47872498587787,0
"TCGA-NH-A50V-01","COAD",-3.066711475,3.883138964556,0
"TCGA-AD-6899-01","COAD",-2.4816309125,3.93966155725354,0
"TCGA-G4-6311-01","COAD",-3.323700475,4.25105247341805,0
"TCGA-DM-A280-01","COAD",-5.066631,4.4914709239178,0
"TCGA-NH-A6GC-01","COAD",-3.1172025,4.33003658280762,0
"TCGA-F4-6570-01","COAD",-3.5698043375,4.46688272160167,0
"TCGA-CM-6679-01","COAD",-2.6284705125,3.84336507002482,0
"TCGA-A6-4105-01","COAD",-3.1356531625,4.13900683927823,0
"TCGA-D5-5538-01","COAD",-3.1848330875,4.28054628245315,0
"TCGA-NH-A50U-01","COAD",-3.3051188875,3.77857348973216,0
"TCGA-D5-6924-01","COAD",-2.943522725,4.38374510745543,0
"TCGA-D5-6931-01","COAD",-3.007310925,4.24278167046114,0
"TCGA-A6-5656-01","COAD",-1.599296726875,2.68793203329369,0
"TCGA-A6-6649-01","COAD",-2.0987233875,3.79414140538473,0
"TCGA-DM-A0X9-01","COAD",-3.73758675,3.79401256412113,0
"TCGA-DM-A28G-01","COAD",-3.6142777875,3.91202344755686,0
"TCGA-F4-6703-01","COAD",-2.750495275,4.41039773712759,0
"TCGA-AA-3492-01","COAD",-4.5628717,4.50291952509844,0
"TCGA-G4-6293-01","COAD",-3.506849975,4.32431357754755,0
"TCGA-DM-A28E-01","COAD",-4.38502135,4.01920751434746,0
"TCGA-CK-6747-01","COAD",-3.85764215,4.27614005687479,0
"TCGA-CK-4947-01","COAD",-3.49294345,4.31205330473748,0
"TCGA-AD-6888-01","COAD",-4.2821083625,4.29260636853337,0
"TCGA-F4-6809-01","COAD",-2.446052225,3.71799684751881,0
"TCGA-CK-5914-01","COAD",-3.872859625,4.01925773968492,0
"TCGA-AZ-4313-01","COAD",-5.02097665,4.31171795526018,0
"TCGA-G4-6588-01","COAD",-4.1305561375,4.36796801795017,0
"TCGA-G4-6309-01","COAD",-3.388465,4.2819475424431,0
"TCGA-CM-5868-01","COAD",-3.2740284,3.90986954471828,0
"TCGA-F4-6855-01","COAD",-3.566362375,4.33198535595457,0
"TCGA-AD-6964-01","COAD",-3.10245635,4.46367601218238,0
"TCGA-G4-6295-01","COAD",-3.9295624125,4.43064705158433,0
"TCGA-D5-5539-01","COAD",-3.029371775,4.05618327427215,0
"TCGA-AA-3506-01","COAD",-3.1376924875,4.18359979343792,0
"TCGA-A6-5661-01","COAD",-3.43219191325,4.26186095278498,0
"TCGA-RU-A8FL-01","COAD",-4.76853395,4.09855937785268,0
