gene_a,gene_b,pearson_r,abs_r,p_value,BH_FDR
MMP2,TIMP2,0.9036546037634892,0.9036546037634892,2.7724386689806826e-141,2.27339970856416e-138
NR3C1,TIMP2,0.7534393991550324,0.7534393991550324,8.015336260815713e-71,3.2862878669344423e-68
ESR1,NR3C1,0.7517406697671226,0.7517406697671226,2.4485722318740848e-70,6.692764100455832e-68
MMP2,NR3C1,0.7439350378557201,0.7439350378557201,3.697103358294872e-68,7.579061884504487e-66
NR3C1,PGR,0.7330794680900684,0.7330794680900684,2.9489287613645995e-65,4.8362431686379427e-63
PGR,TIMP2,0.6843640510953841,0.6843640510953841,8.297937173047624e-54,1.134051413649842e-51
MMP2,SELE,0.6647964330587454,0.6647964330587454,8.116579520640597e-50,9.507993152750414e-48
MMP9,TIMP2,0.6638454600005455,0.6638454600005455,1.246301344743545e-49,1.2774588783621337e-47
MMP2,MMP9,0.6601272807446942,0.6601272807446942,6.566223665493923e-49,5.982559339672242e-47
NR3C1,PTGS1,0.6532156847893292,0.6532156847893292,1.3546967180139617e-47,1.1108513087714487e-45
MMP2,PTGS1,0.6419953556850426,0.6419953556850426,1.5631854932738332e-45,1.1652837313495847e-43
CXCR4,PTGER2,0.6403693379271859,0.6403693379271859,3.060106950941616e-45,2.0910730831434373e-43
PTGS1,TIMP2,0.6376117322895924,0.6376117322895924,9.472752807874167e-45,5.975121001889859e-43
PPARD,RELA,0.6371353081901525,0.6371353081901525,1.150147800782532e-44,6.736579976011973e-43
CXCR4,NR3C1,0.6350822788134659,0.6350822788134659,2.6438400938091783e-44,1.4452992512823507e-42
NR3C1,SELE,0.6325357046494998,0.6325357046494998,7.359286420678364e-44,3.771634290597662e-42
RELA,RXRA,0.6309504419257115,0.6309504419257115,1.3851963790442445e-43,6.681535475389885e-42
MMP9,NR3C1,0.6218999417360673,0.6218999417360673,4.782052752985969e-42,2.178490698582497e-40
ESR1,TIMP2,0.6198722247348648,0.6198722247348648,1.0407600430187683e-41,4.491701238291527e-40
MMP2,PGR,0.6169733788270981,0.6169733788270981,3.132680569478006e-41,1.2843990334859824e-39
CXCR4,ESR1,0.6160398233755373,0.6160398233755373,4.4563236842702044e-41,1.7400882957626512e-39
TIMP1,TIMP2,0.6144599623223356,0.6144599623223356,8.069332885518599e-41,3.0076604391478414e-39
SELE,TIMP2,0.6117122781611457,0.6117122781611457,2.2482798302571223e-40,8.01560635135148e-39
ESR1,PGR,0.6112183954417669,0.6112183954417669,2.700084388931e-40,9.225288328847583e-39
RELA,SQSTM1,0.6097858351519527,0.6097858351519527,4.5842015014351035e-40,1.503618092470714e-38
PTGS1,STAT3,0.6058887661182185,0.6058887661182185,1.9087244614175316e-39,6.019823301393754e-38
ESR1,MMP2,0.5979168574264785,0.5979168574264785,3.3241001260969315e-38,1.0095415197775866e-36
