gene_symbol,full_transcriptome_mad,full_transcriptome_mad_rank,hvg8000_rank,hvg8000_included,hvg15000_rank,hvg15000_included,signed_bicor_8000_in_network,signed_bicor_8000_module,signed_bicor_8000_kME,signed_bicor_8000_projected_module,signed_bicor_8000_projected_kME,signed_bicor_15000_in_network,signed_bicor_15000_module,signed_bicor_15000_kME,signed_bicor_15000_projected_module,signed_bicor_15000_projected_kME,unsigned_pearson_8000_in_network,unsigned_pearson_8000_module,unsigned_pearson_8000_kME,unsigned_pearson_8000_projected_module,unsigned_pearson_8000_projected_kME
AKR1C3,0.8029999999999999,11186,,False,11186.0,True,False,,,turquoise,-0.10943103115145,True,grey,,grey,0.249155823092441,False,,,blue,0.234513478316891
ATG5,0.2824999999999997,24767,,False,,False,False,,,blue,0.275163377463628,False,,,brown,0.279792971318457,False,,,brown,0.273918365263208
BECN1,0.2774999999999998,24948,,False,,False,False,,,grey,0.230756548403139,False,,,grey,0.458361692099156,False,,,blue,0.36120575857066
CA9,1.8905,2362,2362.0,True,2362.0,True,True,grey,,grey,-0.334533551688102,True,grey,,grey,-0.320765695315286,True,blue,-0.319762130342368,blue,-0.319762130342368
CCL20,1.1174999999999995,6512,6512.0,True,6512.0,True,True,grey,,turquoise,-0.224907441186052,True,grey,,grey,0.213301857485168,True,grey,,blue,0.234486952401896
CRP,0.0,32210,,False,,False,False,,,turquoise,0.188778922403425,False,,,turquoise,0.175845136159112,False,,,turquoise,0.187956276947885
CXCR4,0.911,9438,,False,9438.0,True,False,,,turquoise,0.661658318763033,True,brown,0.764135312741897,brown,0.764135312741897,False,,,turquoise,0.663234731726995
CYP1A2,0.0,33861,,False,,False,False,,,turquoise,0.159571296846528,False,,,brown,0.125669211507204,False,,,grey,0.159985008929119
CYP2C9,1.579,3204,3204.0,True,3204.0,True,True,grey,,brown,0.356315901613196,True,grey,,brown,0.204213756672855,True,yellow,0.378022875210299,yellow,0.378022875210299
CYP3A4,1.089,6741,6741.0,True,6741.0,True,True,grey,,brown,0.257117903352058,True,grey,,blue,-0.10280569111372,True,grey,,yellow,0.272147999171186
DKK1,1.6249,3112,3112.0,True,3112.0,True,True,turquoise,0.247473810926285,turquoise,0.247473810926285,True,grey,,turquoise,0.286923543410036,True,grey,,turquoise,0.245221254051036
DUSP1,0.8649999999999998,10171,,False,10171.0,True,False,,,turquoise,0.56904620268128,True,turquoise,0.570894424754984,turquoise,0.570894424754984,False,,,turquoise,0.568218721703086
ESR1,1.0854999999999997,6801,6801.0,True,6801.0,True,True,turquoise,0.789443854344484,turquoise,0.789443854344484,True,brown,0.787597735560199,brown,0.787597735560199,True,turquoise,0.78970515441103,turquoise,0.78970515441103
F3,0.7705,11760,,False,11760.0,True,False,,,brown,0.592020738790903,True,brown,0.436853949887839,brown,0.436853949887839,False,,,yellow,0.571008017013984
HPGD,1.0044999999999995,7575,7575.0,True,7575.0,True,True,turquoise,0.268904834852459,brown,0.343428096098651,True,brown,0.356223345200047,brown,0.356223345200047,True,turquoise,0.267409248424151,yellow,0.355351001750435
HSPA1A,1.138,6282,6282.0,True,6282.0,True,True,turquoise,0.295873452823708,turquoise,0.295873452823708,True,turquoise,0.339498472701274,turquoise,0.339498472701274,True,turquoise,0.295667331610845,turquoise,0.295667331610845
IGFBP1,1.5389999999999997,3441,3441.0,True,3441.0,True,True,grey,,turquoise,0.118263631087077,True,grey,,turquoise,0.137797722670071,True,grey,,turquoise,0.117914836811648
IL1A,1.3251,4731,4731.0,True,4731.0,True,True,grey,,brown,0.329523552529478,True,grey,,brown,0.227519311264881,True,grey,,yellow,0.332895268015988
MIR675,0.0,38907,,False,,False,False,,,grey,0.141104838137249,False,,,blue,0.156304162071797,False,,,grey,0.244500649715084
MMP2,1.085,6806,6806.0,True,6806.0,True,True,turquoise,0.848119771416362,turquoise,0.848119771416362,True,turquoise,0.863574461941531,turquoise,0.863574461941531,True,turquoise,0.849411627664507,turquoise,0.849411627664507
MMP9,1.2155,5523,5523.0,True,5523.0,True,True,turquoise,0.714334230991461,turquoise,0.714334230991461,True,turquoise,0.693111451573687,turquoise,0.693111451573687,True,turquoise,0.715477458673877,turquoise,0.715477458673877
NEAT1,0.7169999999999996,12709,,False,12709.0,True,False,,,grey,0.430608633644308,True,blue,0.744543357776804,blue,0.744543357776804,False,,,grey,0.643829881282403
NR1I2,0.5950000000000002,14953,,False,14953.0,True,False,,,grey,0.432406915088383,True,grey,,grey,0.640917487786906,False,,,blue,0.62746754788634
NR3C1,0.8830000000000002,9922,,False,9922.0,True,False,,,turquoise,0.884896074412349,True,turquoise,0.842414199652874,turquoise,0.842414199652874,False,,,turquoise,0.88554338050331
PGR,1.0395,7281,7281.0,True,7281.0,True,True,turquoise,0.76822917168276,turquoise,0.76822917168276,True,turquoise,0.775715284325506,turquoise,0.775715284325506,True,turquoise,0.769154919531855,turquoise,0.769154919531855
PPARA,0.407,19522,,False,,False,False,,,grey,0.287735842043046,False,,,blue,0.359857291389923,False,,,grey,0.29297080736362
PPARD,0.415,19269,,False,,False,False,,,brown,0.396025243557968,False,,,brown,0.377434231290095,False,,,yellow,0.380340206617425
PPARG,0.5480000000000009,15865,,False,,False,False,,,turquoise,-0.172932901825295,False,,,grey,0.372042165565396,False,,,blue,0.346409442767768
PTGER2,0.99555,7681,7681.0,True,7681.0,True,True,brown,0.697644379507171,brown,0.697644379507171,True,brown,0.580497801937182,brown,0.580497801937182,True,yellow,0.662657013749325,yellow,0.662657013749325
PTGER4,0.6275,14325,,False,14325.0,True,False,,,brown,0.571549165562464,True,brown,0.430552040655549,brown,0.430552040655549,False,,,yellow,0.575385114658584
PTGES2,0.3480000000000003,21883,,False,,False,False,,,grey,-0.26778943987564,False,,,turquoise,-0.201391431501934,False,,,grey,-0.325076314606157
PTGS1,0.8859999999999999,9843,,False,9843.0,True,False,,,turquoise,0.703181421413771,True,turquoise,0.702100571604058,turquoise,0.702100571604058,False,,,turquoise,0.703607102187552
PTGS2,1.32245,4741,4741.0,True,4741.0,True,True,turquoise,0.434806016248576,turquoise,0.434806016248576,True,brown,0.498467446456401,brown,0.498467446456401,True,turquoise,0.437755990228637,turquoise,0.437755990228637
RELA,0.2575000000000003,25578,,False,,False,False,,,turquoise,0.337744982795683,False,,,turquoise,0.405133217906109,False,,,turquoise,0.33505721412567
RXRA,0.3889999999999998,20182,,False,,False,False,,,brown,0.265121961799969,False,,,turquoise,0.305921606942091,False,,,yellow,0.260325798199348
SELE,1.3338,4688,4688.0,True,4688.0,True,True,turquoise,0.699083074722401,turquoise,0.699083074722401,True,turquoise,0.69456799333708,turquoise,0.69456799333708,True,turquoise,0.698845603020606,turquoise,0.698845603020606
SIRT1,0.316,23306,,False,,False,False,,,turquoise,0.373196917481121,False,,,turquoise,0.399084708096874,False,,,turquoise,0.372958669086363
SQSTM1,0.3405,22218,,False,,False,False,,,turquoise,0.154874379369753,False,,,grey,0.324116316007462,False,,,blue,0.24491759991038
STAT3,0.3939999999999997,19996,,False,,False,False,,,blue,0.533877220435657,False,,,brown,0.643169746577476,False,,,brown,0.541845948251864
TIMP1,0.5505000000000004,15820,,False,,False,False,,,turquoise,0.487107439551108,False,,,turquoise,0.525363726632966,False,,,turquoise,0.487026679285547
TIMP2,0.9305,9173,,False,9173.0,True,False,,,turquoise,0.883018577253064,True,turquoise,0.905936044956927,turquoise,0.905936044956927,False,,,turquoise,0.884974790008848
