"gene_symbol","in_network_input","actual_module","actual_kME","projected_module","projected_kME","max_abs_projected_kME"
"AKR1C3",TRUE,"grey",,"grey",0.249155823092441,0.249155823092441
"ATG5",FALSE,,,"brown",0.279792971318457,0.279792971318457
"BECN1",FALSE,,,"grey",0.458361692099156,0.458361692099156
"CA9",TRUE,"grey",,"grey",-0.320765695315286,0.320765695315286
"CCL20",TRUE,"grey",,"grey",0.213301857485168,0.213301857485168
"CRP",FALSE,,,"turquoise",0.175845136159112,0.175845136159112
"CXCR4",TRUE,"brown",0.764135312741897,"brown",0.764135312741897,0.764135312741897
"CYP1A2",FALSE,,,"brown",0.125669211507204,0.125669211507204
"CYP2C9",TRUE,"grey",,"brown",0.204213756672855,0.204213756672855
"CYP3A4",TRUE,"grey",,"blue",-0.10280569111372,0.10280569111372
"DKK1",TRUE,"grey",,"turquoise",0.286923543410036,0.286923543410036
"DUSP1",TRUE,"turquoise",0.570894424754984,"turquoise",0.570894424754984,0.570894424754984
"ESR1",TRUE,"brown",0.787597735560199,"brown",0.787597735560199,0.787597735560199
"F3",TRUE,"brown",0.436853949887839,"brown",0.436853949887839,0.436853949887839
"HPGD",TRUE,"brown",0.356223345200047,"brown",0.356223345200047,0.356223345200047
"HSPA1A",TRUE,"turquoise",0.339498472701274,"turquoise",0.339498472701274,0.339498472701274
"IGFBP1",TRUE,"grey",,"turquoise",0.137797722670071,0.137797722670071
"IL1A",TRUE,"grey",,"brown",0.227519311264881,0.227519311264881
"MIR675",FALSE,,,"blue",0.156304162071797,0.156304162071797
"MMP2",TRUE,"turquoise",0.863574461941531,"turquoise",0.863574461941531,0.863574461941531
"MMP9",TRUE,"turquoise",0.693111451573687,"turquoise",0.693111451573687,0.693111451573687
"NEAT1",TRUE,"blue",0.744543357776804,"blue",0.744543357776804,0.744543357776804
"NR1I2",TRUE,"grey",,"grey",0.640917487786906,0.640917487786906
"NR3C1",TRUE,"turquoise",0.842414199652874,"turquoise",0.842414199652874,0.842414199652874
"PGR",TRUE,"turquoise",0.775715284325506,"turquoise",0.775715284325506,0.775715284325506
"PPARA",FALSE,,,"blue",0.359857291389923,0.359857291389923
"PPARD",FALSE,,,"brown",0.377434231290095,0.377434231290095
"PPARG",FALSE,,,"grey",0.372042165565396,0.372042165565396
"PTGER2",TRUE,"brown",0.580497801937182,"brown",0.580497801937182,0.580497801937182
"PTGER4",TRUE,"brown",0.430552040655549,"brown",0.430552040655549,0.430552040655549
"PTGES2",FALSE,,,"turquoise",-0.201391431501934,0.201391431501934
"PTGS1",TRUE,"turquoise",0.702100571604058,"turquoise",0.702100571604058,0.702100571604058
"PTGS2",TRUE,"brown",0.498467446456401,"brown",0.498467446456401,0.498467446456401
"RELA",FALSE,,,"turquoise",0.405133217906109,0.405133217906109
"RXRA",FALSE,,,"turquoise",0.305921606942091,0.305921606942091
"SELE",TRUE,"turquoise",0.69456799333708,"turquoise",0.69456799333708,0.69456799333708
"SIRT1",FALSE,,,"turquoise",0.399084708096874,0.399084708096874
"SQSTM1",FALSE,,,"grey",0.324116316007462,0.324116316007462
"STAT3",FALSE,,,"brown",0.643169746577476,0.643169746577476
"TIMP1",FALSE,,,"turquoise",0.525363726632966,0.525363726632966
"TIMP2",TRUE,"turquoise",0.905936044956927,"turquoise",0.905936044956927,0.905936044956927
