"gene_symbol","module","network_input","kME_turquoise","kME_brown","kME_blue","kME_grey","max_abs_kME","best_kME_module"
"PRAC1","grey",TRUE,0.104154523921639,0.0102713982448127,-0.0199656925769806,0.231912102697044,0.231912102697044,"grey"
"RNVU1-7","grey",TRUE,0.0366835935514452,0.035065230938002,0.126684630519249,-0.0515222415536013,0.126684630519249,"blue"
"IGKV2-29","brown",TRUE,0.331349796681257,0.479115139009663,0.0665996651980836,-0.0345728946293342,0.479115139009663,"brown"
"XIST","grey",TRUE,0.0153539654364797,-0.0451911040392058,0.0597711486880561,0.0131684639697041,0.0597711486880561,"blue"
"RP11-11N5.3","grey",TRUE,-0.0626955506205549,-0.174380207063638,0.0924944381888031,0.31245352832822,0.31245352832822,"grey"
"CH17-262H11.1","grey",TRUE,0.20389418048949,0.289576558186965,0.00434329859141746,-0.0580644871895001,0.289576558186965,"brown"
"RP11-256P1.1","grey",TRUE,-0.323063341999767,-0.379436943882097,-0.00983485861236783,-0.0784863239055691,0.379436943882097,"brown"
"RP11-498C9.13","grey",TRUE,-0.343924843115153,-0.356363615932029,0.030099383803553,-0.0924330386883147,0.356363615932029,"brown"
"HIST2H2AB","grey",TRUE,-0.108288999893882,-0.0754794898703179,0.114790352471465,-0.121033888049983,0.121033888049983,"grey"
"NPSR1","grey",TRUE,-0.0284752792596378,0.126339748150519,0.00805845983878172,-0.212591286809725,0.212591286809725,"grey"
"CTD-2377D24.4","grey",TRUE,0.135576183374415,0.0559108611102864,0.0830162692746753,0.262078945647222,0.262078945647222,"grey"
"PI4K2B","brown",TRUE,0.342048785988573,0.394718129033082,0.111970787154225,0.00671064600884651,0.394718129033082,"brown"
"AC104534.3","grey",TRUE,-0.227459769980913,-0.2446538887084,0.03046367985134,-0.0354455181061035,0.2446538887084,"brown"
"CTD-2659N19.2","grey",TRUE,-0.211825791648014,-0.207443942069175,-0.0886281838422806,-0.134703068102356,0.211825791648014,"turquoise"
"DPP10-AS1","grey",TRUE,0.216806220063448,0.0830421065186547,0.158234343313919,0.34964504181369,0.34964504181369,"grey"
"TMSB4Y","grey",TRUE,-0.0125871061309195,0.0221643864989218,-0.0340301172691679,0.0166109720940248,0.0340301172691679,"blue"
"TTTY14","grey",TRUE,0.122631128467005,0.0916857610093004,0.0650570521539617,0.0774454705906625,0.122631128467005,"turquoise"
"HULC","grey",TRUE,-0.00949349867914083,-0.0927733502504744,0.105025637553872,0.371881943774842,0.371881943774842,"grey"
"S100A7","grey",TRUE,-0.031848213917131,0.00175276692060527,-0.0816955334655415,-0.0189905928804839,0.0816955334655415,"blue"
"LINC00278","grey",TRUE,0.040384161396128,0.0769895652149527,-0.0250050248862789,0.0077221261525895,0.0769895652149527,"brown"
"MORN5","turquoise",TRUE,0.45930000421982,0.185801072528982,0.00353563929352008,0.161233277936897,0.45930000421982,"turquoise"
"IGKV1-37","brown",TRUE,0.341949828462143,0.545223066142511,0.0793191965418716,-0.00135809538579613,0.545223066142511,"brown"
"RP11-388M20.2","grey",TRUE,-0.337312240923485,-0.355755689543596,-0.0563341385710166,-0.0752117179231604,0.355755689543596,"brown"
"IGLV3-16","brown",TRUE,0.363131323426638,0.550602226506234,0.0213731535002175,0.00101712234139546,0.550602226506234,"brown"
"CTD-2021H9.3","grey",TRUE,0.0908820650838493,0.0917093227103436,0.118483662264249,-0.0654759767904899,0.118483662264249,"blue"
"RPL23AP25","grey",TRUE,0.107976337065075,0.087219389977821,-0.0503816929716499,0.0249932760722154,0.107976337065075,"turquoise"
"RP11-11N5.1","grey",TRUE,-0.00101648983146132,-0.114479354938419,0.072619956905722,0.323029385207995,0.323029385207995,"grey"
"IGLV1-41","brown",TRUE,0.308493988417255,0.464671884759292,0.124380481784922,0.0657773152307683,0.464671884759292,"brown"
"AC008440.10","grey",TRUE,0.186072083953735,0.16702485690527,0.106993635521528,0.0119081185198762,0.186072083953735,"turquoise"
"RP11-95I16.6","grey",TRUE,0.0116694852576185,0.219804948260387,0.0480349295490067,-0.307608595986821,0.307608595986821,"grey"
"RP11-442H21.2","grey",TRUE,-0.152668599141961,-0.156372493757669,0.102185456025737,-0.0119036085556539,0.156372493757669,"brown"
"PYY","grey",TRUE,0.138385969876423,0.218115804800109,0.025840873430355,0.119970635796797,0.218115804800109,"brown"
"CTD-2587H19.3","blue",TRUE,0.0333992625538329,-0.0252342828583889,0.29771832721538,-0.0249308478317555,0.29771832721538,"blue"
"ANXA10","brown",TRUE,0.025562346121479,0.264079374809541,-0.0693142673026593,-0.537817962575956,0.537817962575956,"grey"
"RP3-446N13.5","grey",TRUE,-0.0834625069879742,0.0968296622797159,-0.0525674131349315,-0.242040044167099,0.242040044167099,"grey"
"SPRR3","grey",TRUE,0.0707664192129121,0.193985529503701,-0.0669138252956082,-0.366307338138823,0.366307338138823,"grey"
"RP11-197K6.1","grey",TRUE,-0.0233596933579789,-0.102204128241784,0.0733309616620577,0.286320833191858,0.286320833191858,"grey"
"LDHC","grey",TRUE,-0.0105274498533826,-0.0166632828564626,0.0380744501549526,0.107457057246794,0.107457057246794,"grey"
"PGM5-AS1","turquoise",TRUE,0.480671217033079,0.236693480904808,0.026213242082226,0.173495932476164,0.480671217033079,"turquoise"
"AL109927.1","grey",TRUE,-0.0333481301266764,0.00250334707112328,0.00625475574063831,0.0341544405762835,0.0341544405762835,"grey"
