probe_id,gene_symbol,mad,selection_rank
ENSG00000159182.4,PRAC1,8.785,1
ENSG00000206585.1,RNVU1-7,7.940049999999999,2
ENSG00000253998.3,IGKV2-29,6.9765,3
ENSG00000229807.9,XIST,6.7524999999999995,4
ENSG00000272218.1,RP11-11N5.3,6.6579999999999995,5
ENSG00000282122.1,CH17-262H11.1,6.507999999999999,6
ENSG00000249971.1,RP11-256P1.1,6.487500000000001,7
ENSG00000263585.1,RP11-498C9.13,6.4425,8
ENSG00000184270.4,HIST2H2AB,6.34,9
ENSG00000187258.13,NPSR1,6.1365,10
ENSG00000242407.1,CTD-2377D24.4,6.078999999999999,11
ENSG00000281028.1,PI4K2B,6.0405,12
ENSG00000268083.5,AC104534.3,5.996,13
ENSG00000267791.1,CTD-2659N19.2,5.930999999999999,14
ENSG00000235026.5,DPP10-AS1,5.930999999999999,15
ENSG00000154620.5,TMSB4Y,5.930999999999999,16
ENSG00000176728.7,TTTY14,5.930999999999999,17
ENSG00000251164.1,HULC,5.878500000000001,18
ENSG00000143556.8,S100A7,5.762499999999999,19
ENSG00000231535.5,LINC00278,5.7225,20
ENSG00000185681.12,MORN5,5.672999999999999,21
ENSG00000239862.1,IGKV1-37,5.5985,22
ENSG00000261385.1,RP11-388M20.2,5.563650000000001,23
ENSG00000211665.2,IGLV3-16,5.547,24
ENSG00000258053.1,CTD-2021H9.3,5.515499999999999,25
ENSG00000233084.2,RPL23AP25,5.511,26
ENSG00000250829.2,RP11-11N5.1,5.4945,27
ENSG00000253818.1,IGLV1-41,5.428000000000001,28
ENSG00000232324.1,AC008440.10,5.414,29
ENSG00000278484.1,RP11-95I16.6,5.3845,30
ENSG00000269926.1,RP11-442H21.2,5.382499999999999,31
ENSG00000131096.10,PYY,5.3715,32
ENSG00000269873.1,CTD-2587H19.3,5.3605,33
ENSG00000109511.10,ANXA10,5.358,34
ENSG00000275212.1,RP3-446N13.5,5.358,35
ENSG00000163209.14,SPRR3,5.358,36
ENSG00000223812.5,RP11-197K6.1,5.3195,37
ENSG00000166796.11,LDHC,5.3049,38
ENSG00000224958.5,PGM5-AS1,5.277,39
ENSG00000278868.1,AL109927.1,5.2698,40
ENSG00000223505.2,RP11-397P13.7,5.2635,41
ENSG00000235559.1,NOP56P1,5.1825,42
ENSG00000280375.1,RP13-204A15.5,5.156,43
ENSG00000225421.1,AC019330.1,5.1558,44
ENSG00000129824.15,RPS4Y1,5.132999999999999,45
ENSG00000271952.1,RP11-245G13.2,5.126799999999999,46
ENSG00000251095.6,RP11-115D19.1,5.099,47
ENSG00000274415.1,RP11-433J22.2,5.09005,48
ENSG00000276771.1,HOTAIRM1_2,5.0840000000000005,49
ENSG00000211935.3,IGHV1-3,5.0808,50
ENSG00000250337.5,LINC01021,5.065300000000001,51
ENSG00000267952.1,CTD-2207O23.12,5.0305,52
ENSG00000273962.1,IGKV2-40,5.016,53
ENSG00000113196.2,HAND1,4.959099999999999,54
ENSG00000243243.5,AC073130.3,4.954,55
ENSG00000185306.12,C12orf56,4.954,56
ENSG00000227877.6,MRLN,4.954,57
ENSG00000256417.1,RP11-1038A11.3,4.954,58
ENSG00000254507.2,RP11-481A20.10,4.954,59
ENSG00000250027.1,RP11-563E2.2,4.954,60
ENSG00000266717.1,RP11-855A2.3,4.954,61
ENSG00000139800.8,ZIC5,4.954,62
ENSG00000251331.6,RP11-689K5.3,4.910499999999999,63
ENSG00000272632.1,RP11-362F19.3,4.8963,64
ENSG00000214263.2,RPSAP53,4.89015,65
ENSG00000158639.11,PAGE5,4.849449999999999,66
ENSG00000215837.7,SDHAP2,4.8454,67
ENSG00000279262.1,CTD-3137H5.5,4.82145,68
ENSG00000230306.1,BANF1P2,4.8185,69
ENSG00000228399.1,RP4-575N6.2,4.8138499999999995,70
ENSG00000257453.1,RP11-290L1.3,4.8108,71
ENSG00000258793.1,RP11-404P21.3,4.796099999999999,72
ENSG00000178172.6,SPINK6,4.7897,73
ENSG00000261431.1,RP4-616B8.4,4.7785,74
ENSG00000248121.8,SMURF2P1,4.7765,75
