"gene_symbol","in_network_input","actual_module","actual_kME","projected_module","projected_kME","max_abs_projected_kME"
"AKR1C3",FALSE,,,"blue",0.234513478316891,0.234513478316891
"ATG5",FALSE,,,"brown",0.273918365263208,0.273918365263208
"BECN1",FALSE,,,"blue",0.36120575857066,0.36120575857066
"CA9",TRUE,"blue",-0.319762130342368,"blue",-0.319762130342368,0.319762130342368
"CCL20",TRUE,"grey",,"blue",0.234486952401896,0.234486952401896
"CRP",FALSE,,,"turquoise",0.187956276947885,0.187956276947885
"CXCR4",FALSE,,,"turquoise",0.663234731726995,0.663234731726995
"CYP1A2",FALSE,,,"grey",0.159985008929119,0.159985008929119
"CYP2C9",TRUE,"yellow",0.378022875210299,"yellow",0.378022875210299,0.378022875210299
"CYP3A4",TRUE,"grey",,"yellow",0.272147999171186,0.272147999171186
"DKK1",TRUE,"grey",,"turquoise",0.245221254051036,0.245221254051036
"DUSP1",FALSE,,,"turquoise",0.568218721703086,0.568218721703086
"ESR1",TRUE,"turquoise",0.78970515441103,"turquoise",0.78970515441103,0.78970515441103
"F3",FALSE,,,"yellow",0.571008017013984,0.571008017013984
"HPGD",TRUE,"turquoise",0.267409248424151,"yellow",0.355351001750435,0.355351001750435
"HSPA1A",TRUE,"turquoise",0.295667331610845,"turquoise",0.295667331610845,0.295667331610845
"IGFBP1",TRUE,"grey",,"turquoise",0.117914836811648,0.117914836811648
"IL1A",TRUE,"grey",,"yellow",0.332895268015988,0.332895268015988
"MIR675",FALSE,,,"grey",0.244500649715084,0.244500649715084
"MMP2",TRUE,"turquoise",0.849411627664507,"turquoise",0.849411627664507,0.849411627664507
"MMP9",TRUE,"turquoise",0.715477458673877,"turquoise",0.715477458673877,0.715477458673877
"NEAT1",FALSE,,,"grey",0.643829881282403,0.643829881282403
"NR1I2",FALSE,,,"blue",0.62746754788634,0.62746754788634
"NR3C1",FALSE,,,"turquoise",0.88554338050331,0.88554338050331
"PGR",TRUE,"turquoise",0.769154919531855,"turquoise",0.769154919531855,0.769154919531855
"PPARA",FALSE,,,"grey",0.29297080736362,0.29297080736362
"PPARD",FALSE,,,"yellow",0.380340206617425,0.380340206617425
"PPARG",FALSE,,,"blue",0.346409442767768,0.346409442767768
"PTGER2",TRUE,"yellow",0.662657013749325,"yellow",0.662657013749325,0.662657013749325
"PTGER4",FALSE,,,"yellow",0.575385114658584,0.575385114658584
"PTGES2",FALSE,,,"grey",-0.325076314606157,0.325076314606157
"PTGS1",FALSE,,,"turquoise",0.703607102187552,0.703607102187552
"PTGS2",TRUE,"turquoise",0.437755990228637,"turquoise",0.437755990228637,0.437755990228637
"RELA",FALSE,,,"turquoise",0.33505721412567,0.33505721412567
"RXRA",FALSE,,,"yellow",0.260325798199348,0.260325798199348
"SELE",TRUE,"turquoise",0.698845603020606,"turquoise",0.698845603020606,0.698845603020606
"SIRT1",FALSE,,,"turquoise",0.372958669086363,0.372958669086363
"SQSTM1",FALSE,,,"blue",0.24491759991038,0.24491759991038
"STAT3",FALSE,,,"brown",0.541845948251864,0.541845948251864
"TIMP1",FALSE,,,"turquoise",0.487026679285547,0.487026679285547
"TIMP2",FALSE,,,"turquoise",0.884974790008848,0.884974790008848
