sample_id,AKR1C3,ATG5,BECN1,CA9,CCL20,CRP,CXCR4,CYP1A2,CYP2C9,CYP3A4,DKK1,DUSP1,ESR1,F3,HPGD,HSPA1A,IGFBP1,IL1A,MIR675,MMP2,MMP9,NEAT1,NR1I2,NR3C1,PGR,PPARA,PPARD,PPARG,PTGER2,PTGER4,PTGES2,PTGS1,PTGS2,RELA,RXRA,SELE,SIRT1,SQSTM1,STAT3,TIMP1,TIMP2
TCGA-EI-6512-01,7.345,4.822,6.021,5.748,6.167,-4.608,5.997,-9.966,0.4657,-0.4325,1.151,4.661,-4.035,4.859,4.195,6.455,-0.5543,-1.392,-9.966,6.021,3.779,6.123,5.353,0.7748,-4.035,3.454,4.786,4.305,0.5955,3.177,6.616,2.936,1.417,5.747,4.81,-0.7346,3.188,7.896,5.932,9.522,5.758
TCGA-F5-6863-01,5.479,4.297,5.413,4.569,5.681,-9.966,2.551,-9.966,-9.966,-3.816,-1.117,3.889,-5.012,2.311,1.732,8.169,-9.966,-3.816,-9.966,5.199,3.912,6.111,5.393,0.9268,-0.8599,2.47,4.403,6.231,-1.355,1.745,6.529,1.82,-1.685,5.734,4.656,-0.8863,3.227,8.661,4.583,8.393,6.312
TCGA-AG-3742-01,5.658,4.622,6.288,5.773,5.667,-9.966,3.341,-9.966,-3.816,-3.308,5.369,5.343,-3.816,4.188,1.328,6.578,-3.047,-1.994,-9.966,6.638,3.136,7.496,4.968,1.125,-3.626,3.784,4.433,4.598,0.044,2.556,6.633,2.58,1.434,5.904,4.922,1.27,2.69,8.523,5.51,8.396,6.203
TCGA-DC-6681-01,5.728,4.177,6.408,8.14,6.957,-4.608,4.615,-9.966,-1.431,0.434,-3.816,5.56,-2.635,4.848,4.672,6.252,-4.035,-0.7588,-9.966,7.306,5.295,6.086,5.334,1.832,-1.117,3.909,3.874,6.331,1.581,3.51,6.19,2.148,-0.3201,5.769,4.868,-0.9406,3.183,8.115,5.609,8.944,7.468
TCGA-DC-5337-01,5.418,4.79,5.733,3.268,7.721,-3.626,3.567,-9.966,-3.171,-2.826,-2.826,5.454,-4.293,4.41,3.167,2.053,-5.012,-0.1828,-9.966,4.84,3.0,4.185,3.916,0.3907,-3.816,1.915,3.432,5.262,0.2154,2.509,6.978,3.376,-0.2671,4.768,3.729,-0.4325,2.452,7.624,4.838,8.562,4.329
TCGA-DC-4745-01,6.959,4.674,5.533,7.262,7.528,-9.966,3.873,-9.966,-2.826,-1.595,-1.431,5.692,-6.506,4.379,5.031,4.42,-5.012,-3.171,-9.966,5.47,4.092,4.047,4.642,1.926,-4.293,2.705,2.742,5.51,0.099,2.356,7.147,1.719,0.6608,5.167,4.634,1.036,2.718,8.642,4.695,7.594,4.888
TCGA-AF-3911-01,6.711,4.318,6.192,4.092,5.133,-9.966,4.314,-9.966,-9.966,-0.8863,-4.293,5.626,-3.171,4.841,4.334,6.51,-4.293,-0.7588,-9.966,7.01,3.101,5.933,5.027,1.078,-2.932,3.511,4.388,6.227,0.7493,3.234,6.623,2.345,3.007,5.892,4.198,0.9642,2.635,8.014,5.617,8.147,6.235
TCGA-CI-6622-01,6.441,4.444,6.336,2.623,5.952,-9.966,1.864,-9.966,-3.816,-2.932,-1.214,5.149,-4.293,4.253,4.098,9.648,-4.035,-0.5756,-9.966,5.742,1.614,6.926,4.941,0.2522,-3.626,3.388,4.164,5.966,0.2277,3.913,6.754,1.844,1.449,5.845,4.65,-0.4521,2.475,8.872,5.846,8.068,5.134
TCGA-DC-6158-01,7.208,5.234,6.502,3.225,6.186,-9.966,4.986,-9.966,-3.047,-2.826,-4.608,7.358,-1.283,4.005,5.672,8.614,-3.816,-0.5973,-9.966,9.526,5.952,6.823,4.044,2.766,-2.932,3.069,4.508,4.59,1.979,1.923,6.216,3.253,3.97,7.116,4.397,1.934,3.964,8.156,6.157,9.471,8.526
TCGA-EI-6884-01,6.262,4.946,6.471,2.628,4.996,-9.966,5.213,-9.966,-5.574,-0.9971,-1.595,7.37,-2.114,5.834,4.828,6.512,-4.293,-0.1345,-9.966,7.785,4.801,7.875,4.707,2.111,-2.727,4.146,4.095,5.299,1.804,3.59,6.94,3.281,2.384,5.959,4.883,-0.394,2.975,9.049,6.618,8.466,6.796
TCGA-G5-6233-01,6.87,3.655,5.697,4.677,6.676,-4.608,3.778,-9.966,-0.5973,-1.392,-3.308,5.708,-4.608,4.487,4.881,7.984,-3.047,-1.355,-9.966,5.644,2.616,9.002,3.99,0.6969,-4.035,3.25,3.946,4.647,0.2029,1.619,7.023,1.428,0.1388,5.207,4.372,2.511,2.454,8.284,5.081,8.591,5.996
