comparison,gene,tumor_n,normal_n,tumor_median,normal_median,median_delta_tumor_minus_normal,cliffs_delta_tumor_vs_normal,mann_whitney_U,p_value,BH_FDR_within_41_gene_family,DINP_evidence_profile,DINP_source_family_count,DINP_multi_family_support,pathway_anchor_class,original_biological_priority_rank
READ_primary_tumor_vs_READ_solid_tissue_normal,AKR1C3,92,10,6.0085,6.3125,-0.30400000000000027,-0.17065217391304346,381.5,0.3800746676201323,0.4583253344831007,CTD,1,0,strong_cross-resource_pathway_anchor,8
READ_primary_tumor_vs_READ_solid_tissue_normal,ATG5,92,10,4.555,4.7635000000000005,-0.2085000000000008,-0.3695652173913043,290.0,0.05646259653446127,0.1157483228956456,CTD,1,0,single-resource_or_nonconcordant_pathway_context,37
READ_primary_tumor_vs_READ_solid_tissue_normal,BECN1,92,10,6.132,6.3260000000000005,-0.19400000000000084,-0.29347826086956524,325.0,0.13012704407906295,0.23196560031485133,CTD,1,0,cross-resource_pathway_supported,28
READ_primary_tumor_vs_READ_solid_tissue_normal,CA9,92,10,3.365,-0.79855,4.16355,0.9108695652173913,879.0,2.483091788786098e-06,2.0361352668046005e-05,CTD,1,0,single-resource_or_nonconcordant_pathway_context,36
READ_primary_tumor_vs_READ_solid_tissue_normal,CCL20,92,10,6.495,4.463,2.032,0.6108695652173913,741.0,0.0015965431929843875,0.005035251608643069,CTD,1,0,cross-resource_pathway_supported,25
READ_primary_tumor_vs_READ_solid_tissue_normal,CRP,92,10,-9.966,-9.966,0.0,0.2684782608695652,583.5,0.10489225031459185,0.20478963156658406,CTD,1,0,single-resource_or_nonconcordant_pathway_context,38
READ_primary_tumor_vs_READ_solid_tissue_normal,CXCR4,92,10,4.129,4.980499999999999,-0.8514999999999997,-0.21521739130434783,361.0,0.2676694827398023,0.36197294573581407,CTD,1,0,cross-resource_pathway_supported,31
READ_primary_tumor_vs_READ_solid_tissue_normal,CYP1A2,92,10,-9.966,-9.966,0.0,-0.01956521739130435,451.0,0.8374035241118256,0.8604459734244652,CompTox,1,0,strong_cross-resource_pathway_anchor,4
READ_primary_tumor_vs_READ_solid_tissue_normal,CYP2C9,92,10,-3.626,-4.3215,0.6955000000000005,0.1793478260869565,542.5,0.35529906942489087,0.4414321771642583,CompTox,1,0,strong_cross-resource_pathway_anchor,2
READ_primary_tumor_vs_READ_solid_tissue_normal,CYP3A4,92,10,-2.635,0.34840000000000004,-2.9833999999999996,-0.8184782608695652,83.5,2.3048922987146182e-05,0.00011812573030912418,CompTox,1,0,strong_cross-resource_pathway_anchor,5
READ_primary_tumor_vs_READ_solid_tissue_normal,DKK1,92,10,-1.3365,-1.7665,0.42999999999999994,0.04021739130434782,478.5,0.8394594862677709,0.8604459734244652,CTD,1,0,cross-resource_pathway_supported,30
READ_primary_tumor_vs_READ_solid_tissue_normal,DUSP1,92,10,5.390499999999999,7.4239999999999995,-2.0335,-0.6260869565217392,172.0,0.0012149500904852226,0.004151079475824511,CTD,1,0,cross-resource_pathway_supported,32
READ_primary_tumor_vs_READ_solid_tissue_normal,ESR1,92,10,-3.458,-1.3225,-2.1355000000000004,-0.658695652173913,157.0,0.0006549785209529141,0.0024412835780972253,CTD,1,0,strong_cross-resource_pathway_anchor,15
READ_primary_tumor_vs_READ_solid_tissue_normal,F3,92,10,4.3225,4.297499999999999,0.025000000000000355,-0.015217391304347827,453.0,0.9416894909663959,0.941689490966396,CompTox,1,0,cross-resource_pathway_supported,29
READ_primary_tumor_vs_READ_solid_tissue_normal,HPGD,92,10,3.656,6.5945,-2.9385,-0.9826086956521739,8.0,3.757049877289494e-07,1.4668384980682034e-05,CTD,1,0,strong_cross-resource_pathway_anchor,10
