input_set,input_symbol,ensembl_id
query18,BECN1,ENSG00000126581
query18,CRP,ENSG00000132693
query18,CXCR4,ENSG00000121966
query18,CYP1A2,ENSG00000140505
query18,CYP3A4,ENSG00000160868
query18,DKK1,ENSG00000107984
query18,ESR1,ENSG00000091831
query18,MMP2,ENSG00000087245
query18,MMP9,ENSG00000100985
query18,NEAT1,ENSG00000245532
query18,PPARD,ENSG00000112033
query18,PPARG,ENSG00000132170
query18,PTGS1,ENSG00000095303
query18,PTGS2,ENSG00000073756
query18,RELA,ENSG00000173039
query18,SIRT1,ENSG00000096717
query18,STAT3,ENSG00000168610
query18,TIMP1,ENSG00000102265
sensitivity_dinp93,ABCC4,ENSG00000125257
sensitivity_dinp93,ADAMTS1,ENSG00000154734
sensitivity_dinp93,AHSG,ENSG00000145192
sensitivity_dinp93,AKR1C1,ENSG00000187134
sensitivity_dinp93,AKR1C3,ENSG00000196139
sensitivity_dinp93,ATF4,ENSG00000128272
sensitivity_dinp93,ATG5,ENSG00000057663
sensitivity_dinp93,BACE1,ENSG00000186318
sensitivity_dinp93,BECN1,ENSG00000126581
sensitivity_dinp93,C4BPA,ENSG00000123838
sensitivity_dinp93,CA5B,ENSG00000169239
sensitivity_dinp93,CA9,ENSG00000107159
sensitivity_dinp93,CADM3,ENSG00000162706
sensitivity_dinp93,CASP14,ENSG00000105141
sensitivity_dinp93,CCL20,ENSG00000115009
sensitivity_dinp93,CGA,ENSG00000135346
sensitivity_dinp93,CPS1,ENSG00000021826
sensitivity_dinp93,CRP,ENSG00000132693
sensitivity_dinp93,CXCL13,ENSG00000156234
sensitivity_dinp93,CXCR4,ENSG00000121966
sensitivity_dinp93,CYP11A1,ENSG00000140459
sensitivity_dinp93,CYP1A2,ENSG00000140505
sensitivity_dinp93,CYP2A6,ENSG00000255974
sensitivity_dinp93,CYP2C9,ENSG00000138109
sensitivity_dinp93,CYP3A4,ENSG00000160868
sensitivity_dinp93,DDIT4,ENSG00000168209
sensitivity_dinp93,DKK1,ENSG00000107984
sensitivity_dinp93,DPT,ENSG00000143196
sensitivity_dinp93,DUSP1,ENSG00000120129
sensitivity_dinp93,ESR1,ENSG00000091831
sensitivity_dinp93,F3,ENSG00000117525
sensitivity_dinp93,FLG,ENSG00000143631
sensitivity_dinp93,GSTA2,ENSG00000244067
sensitivity_dinp93,HPGD,ENSG00000164120
sensitivity_dinp93,HSD3B2,ENSG00000203859
sensitivity_dinp93,HSPA1A,ENSG00000204389
sensitivity_dinp93,HSPA1L,ENSG00000204390
sensitivity_dinp93,IGFBP1,ENSG00000146678
sensitivity_dinp93,IL1A,ENSG00000115008
sensitivity_dinp93,LUM,ENSG00000139329
sensitivity_dinp93,MAP1LC3B,ENSG00000140941
sensitivity_dinp93,MIR675,ENSG00000284010
sensitivity_dinp93,MMP2,ENSG00000087245
sensitivity_dinp93,MMP9,ENSG00000100985
sensitivity_dinp93,NEAT1,ENSG00000245532
sensitivity_dinp93,NR1I2,ENSG00000144852
sensitivity_dinp93,NR1I3,ENSG00000143257
sensitivity_dinp93,NR3C1,ENSG00000113580
sensitivity_dinp93,OMD,ENSG00000127083
sensitivity_dinp93,PARP10,ENSG00000178685
sensitivity_dinp93,PGR,ENSG00000082175
sensitivity_dinp93,PLA2G4A,ENSG00000116711
sensitivity_dinp93,PLAC8,ENSG00000145287
sensitivity_dinp93,PPARA,ENSG00000186951
sensitivity_dinp93,PPARD,ENSG00000112033
sensitivity_dinp93,PPARG,ENSG00000132170
sensitivity_dinp93,PTGER1,ENSG00000160951
sensitivity_dinp93,PTGER2,ENSG00000125384
sensitivity_dinp93,PTGER3,ENSG00000050628
sensitivity_dinp93,PTGER4,ENSG00000171522
sensitivity_dinp93,PTGES,ENSG00000148344
sensitivity_dinp93,PTGES2,ENSG00000148334
sensitivity_dinp93,PTGES3,ENSG00000110958
sensitivity_dinp93,PTGFR,ENSG00000122420
sensitivity_dinp93,PTGS1,ENSG00000095303
sensitivity_dinp93,PTGS2,ENSG00000073756
sensitivity_dinp93,PTX3,ENSG00000163661
sensitivity_dinp93,RELA,ENSG00000173039
sensitivity_dinp93,RGS2,ENSG00000116741
sensitivity_dinp93,RPS2,ENSG00000140988
sensitivity_dinp93,RXRA,ENSG00000186350
sensitivity_dinp93,RXRB,ENSG00000204231
sensitivity_dinp93,SCGN,ENSG00000079689
sensitivity_dinp93,SELE,ENSG00000007908
sensitivity_dinp93,SIRT1,ENSG00000096717
sensitivity_dinp93,SIRT2,ENSG00000068903
sensitivity_dinp93,SIRT3,ENSG00000142082
sensitivity_dinp93,SIRT5,ENSG00000124523
sensitivity_dinp93,SLCO2A1,ENSG00000174640
sensitivity_dinp93,SNHG25,ENSG00000266402
sensitivity_dinp93,SNORA13,ENSG00000238363
sensitivity_dinp93,SNORA50C,ENSG00000277887
sensitivity_dinp93,SNORA64,ENSG00000207405
sensitivity_dinp93,SNORA65,ENSG00000201302
sensitivity_dinp93,SNORA72,ENSG00000200355
sensitivity_dinp93,SNORA72,ENSG00000201898
sensitivity_dinp93,SNORA72,ENSG00000201944
sensitivity_dinp93,SNORA72,ENSG00000206901
sensitivity_dinp93,SNORA72,ENSG00000207067
sensitivity_dinp93,SNORA72,ENSG00000207084
sensitivity_dinp93,SNORA72,ENSG00000207249
sensitivity_dinp93,SNORA72,ENSG00000252158
sensitivity_dinp93,SPP2,ENSG00000072080
sensitivity_dinp93,SQSTM1,ENSG00000161011
sensitivity_dinp93,STAR,ENSG00000147465
sensitivity_dinp93,STAT3,ENSG00000168610
sensitivity_dinp93,SUSD2,ENSG00000099994
sensitivity_dinp93,TIMP1,ENSG00000102265
sensitivity_dinp93,TIMP2,ENSG00000035862
sensitivity_dinp93,TNC,ENSG00000041982
primary_genecards881,ABCB1,ENSG00000085563
primary_genecards881,ABCC1,ENSG00000103222
primary_genecards881,ABCC2,ENSG00000023839
primary_genecards881,ABCG2,ENSG00000118777
primary_genecards881,ACAP2,ENSG00000114331
primary_genecards881,ACTA2-AS1,ENSG00000180139
primary_genecards881,ACVR1B,ENSG00000135503
primary_genecards881,ADAMTS9-AS1,ENSG00000241158
primary_genecards881,ADAMTS9-AS2,ENSG00000241684
primary_genecards881,ADAR,ENSG00000160710
primary_genecards881,ADIPOQ,ENSG00000181092
primary_genecards881,ADPGK-AS1,ENSG00000260898
primary_genecards881,AFAP1-AS1,ENSG00000272620
primary_genecards881,AGAP2-AS1,ENSG00000255737
primary_genecards881,AGO2,ENSG00000123908
primary_genecards881,AHR,ENSG00000106546
primary_genecards881,AKT1,ENSG00000142208
primary_genecards881,AKT2,ENSG00000105221
primary_genecards881,AKT3,ENSG00000117020
primary_genecards881,ALB,ENSG00000163631
primary_genecards881,ALDH2,ENSG00000111275
primary_genecards881,ALK,ENSG00000171094
primary_genecards881,ALMS1-IT1,ENSG00000230002
primary_genecards881,ALOX15,ENSG00000161905
primary_genecards881,AMER1,ENSG00000184675
primary_genecards881,ANKFY1,ENSG00000185722
primary_genecards881,ANKRD40CL,ENSG00000167117
primary_genecards881,ANXA5,ENSG00000164111
primary_genecards881,APC,ENSG00000134982
primary_genecards881,APEX1,ENSG00000100823
primary_genecards881,ARAP1-AS1,ENSG00000256007
primary_genecards881,AREG,ENSG00000109321
primary_genecards881,ARID1A,ENSG00000117713
primary_genecards881,ASB16-AS1,ENSG00000267080
primary_genecards881,ATM,ENSG00000149311
primary_genecards881,ATP6V0D2,ENSG00000147614
primary_genecards881,ATR,ENSG00000175054
primary_genecards881,AURKA,ENSG00000087586
primary_genecards881,AXIN1,ENSG00000103126
primary_genecards881,AXIN2,ENSG00000168646
primary_genecards881,B2M,ENSG00000166710
primary_genecards881,B3GALT5-AS1,ENSG00000184809
primary_genecards881,BANCR,ENSG00000278910
primary_genecards881,BARD1,ENSG00000138376
primary_genecards881,BAX,ENSG00000087088
primary_genecards881,BBC3,ENSG00000105327
primary_genecards881,BBOX1-AS1,ENSG00000254560
primary_genecards881,BCL10,ENSG00000142867
primary_genecards881,BCL2,ENSG00000171791
primary_genecards881,BCL2L1,ENSG00000171552
primary_genecards881,BCYRN1,ENSG00000236824
primary_genecards881,BDNF-AS,ENSG00000245573
primary_genecards881,BECN1,ENSG00000126581
primary_genecards881,BICDL3P,ENSG00000225969
primary_genecards881,BIRC5,ENSG00000089685
primary_genecards881,BLACAT1,ENSG00000281406
primary_genecards881,BLM,ENSG00000197299
primary_genecards881,BMI1,ENSG00000168283
primary_genecards881,BMP2,ENSG00000125845
primary_genecards881,BMPR1A,ENSG00000107779
primary_genecards881,BRAF,ENSG00000157764
primary_genecards881,BRCA1,ENSG00000012048
primary_genecards881,BRCA2,ENSG00000139618
primary_genecards881,BRIP1,ENSG00000136492
primary_genecards881,BUB1,ENSG00000169679
primary_genecards881,BUB1B,ENSG00000156970
primary_genecards881,BUB1B-PAK6,ENSG00000137843
primary_genecards881,BUB1B-PAK6,ENSG00000259288
primary_genecards881,C10ORF95-AS1,ENSG00000269609
primary_genecards881,C11ORF65,ENSG00000166323
primary_genecards881,CA3-AS1,ENSG00000253549
primary_genecards881,CACNA1G-AS1,ENSG00000250107
primary_genecards881,CASC11,ENSG00000249375
primary_genecards881,CASC15,ENSG00000272168
primary_genecards881,CASC19,ENSG00000254166
primary_genecards881,CASC2,ENSG00000177640
primary_genecards881,CASC9,ENSG00000249395
primary_genecards881,CASP3,ENSG00000164305
primary_genecards881,CASP8,ENSG00000064012
primary_genecards881,CASP9,ENSG00000132906
primary_genecards881,CBR3-AS1,ENSG00000236830
primary_genecards881,CCAT2,ENSG00000280997
primary_genecards881,CCDC144NL-AS1,ENSG00000233098
primary_genecards881,CCDC66,ENSG00000180376
primary_genecards881,CCEPR,ENSG00000308499
primary_genecards881,CCL2,ENSG00000108691
primary_genecards881,CCND1,ENSG00000110092
primary_genecards881,CCND2,ENSG00000118971
primary_genecards881,CCNL2,ENSG00000221978
primary_genecards881,CD274,ENSG00000120217
primary_genecards881,CD276,ENSG00000103855
primary_genecards881,CD44,ENSG00000026508
primary_genecards881,CDC27,ENSG00000004897
primary_genecards881,CDH1,ENSG00000039068
primary_genecards881,CDK2,ENSG00000123374
primary_genecards881,CDK20,ENSG00000156345
primary_genecards881,CDK4,ENSG00000135446
primary_genecards881,CDK8,ENSG00000132964
primary_genecards881,CDKN1A,ENSG00000124762
primary_genecards881,CDKN1B,ENSG00000111276
primary_genecards881,CDKN2A,ENSG00000147889
primary_genecards881,CDKN2B-AS1,ENSG00000240498
primary_genecards881,CDX1,ENSG00000113722
