background,source,term_id,term_name,term_size_api,term_size_local,intersection_size_api,intersection_size_local,query_size_api,query_size_local,effective_domain_api,effective_domain_local,local_raw_p_custom_domain,local_raw_p_annotated_domain,gprofiler_p_value_adjusted,historical_runner_raw_p,gprofiler_p_value_reconstructed_bh,local_annotated_domain_bh_fdr,api_adjusted_p_abs_diff,audit_focus
primary_genecards881,GO:BP,GO:0006954,inflammatory response,70,70,11,11,18,18,868,868,8.800614013110361e-09,7.317484682889256e-07,1.7645231096251396e-05,8.800614013110361e-09,1.7645231096286274e-05,0.0014671556789192957,3.487742863614307e-17,True
primary_genecards881,GO:BP,GO:0006952,defense response,103,103,12,12,18,18,868,868,4.3147612993434286e-08,4.968522839523767e-06,4.32554820258232e-05,4.3147612993434286e-08,4.325548202591787e-05,0.004980944146622577,9.467117844871864e-17,True
primary_genecards881,GO:BP,GO:0070887,cellular response to chemical stimulus,201,201,15,15,18,18,868,868,8.019632318206417e-08,3.082431002135449e-05,5.3597875993212425e-05,8.019632318206417e-08,5.359787599334622e-05,0.007725342699101969,1.3379732434828928e-16,True
primary_genecards881,GO:BP,GO:0042221,response to chemical,255,255,16,16,18,18,868,868,1.8135818590673962e-07,0.0001091444090573735,9.090579068551938e-05,1.8135818590673962e-07,9.090579068575324e-05,0.009254502157161762,2.338624086051233e-16,True
primary_genecards881,GO:BP,GO:0042127,regulation of cell population proliferation,191,191,14,14,18,18,868,868,5.511379251937253e-07,0.00012393914647672774,0.00014205374429579172,5.511379251937253e-07,0.00014205374429610715,0.009939919547433564,3.154215170303454e-16,True
primary_genecards881,GO:BP,GO:0006631,fatty acid metabolic process,29,29,7,7,18,18,868,868,5.383191724597705e-07,9.151237612060932e-06,0.00014205374429579172,5.383191724597705e-07,0.00014205374429610715,0.0061160771373940555,3.154215170303454e-16,True
primary_genecards881,GO:BP,GO:0050896,response to stimulus,386,386,18,18,18,18,868,868,3.693885041897956e-07,0.0008123452043671425,0.00014205374429579172,3.693885041897956e-07,0.00014205374429610715,0.025653314271227058,3.154215170303454e-16,True
primary_genecards881,GO:BP,GO:0050727,regulation of inflammatory response,43,43,8,8,18,18,868,868,5.667979822288564e-07,1.3797385066140502e-05,0.00014205374429579172,5.667979822288564e-07,0.00014205374429610715,0.006457763098596157,3.154215170303454e-16,True
primary_genecards881,GO:BP,GO:0032787,monocarboxylic acid metabolic process,44,44,8,8,18,18,868,868,6.853580496263449e-07,1.6582697969173565e-05,0.00015268254327759247,6.853580496263449e-07,0.00015268254327786905,0.006457763098596157,2.765799742010522e-16,True
primary_genecards881,GO:BP,GO:0006629,lipid metabolic process,64,64,9,9,18,18,868,868,1.0606173574129104e-06,3.593666349009425e-05,0.00021265378016093015,1.0606173574129104e-06,0.00021265378016128853,0.008005890033070997,3.583830281150835e-16,True
primary_genecards881,GO:BP,GO:0031347,regulation of defense response,65,65,9,9,18,18,868,868,1.2188232989413118e-06,4.1056514847649994e-05,0.00022215824676109872,1.2188232989413118e-06,0.00022215824676157547,0.008231831226953824,4.767508002961884e-16,True
primary_genecards881,GO:BP,GO:0008283,cell population proliferation,209,209,14,14,18,18,868,868,1.839573985715244e-06,0.00038315866153353637,0.0003073621534458426,1.839573985715244e-06,0.0003073621534465887,0.01829126467558906,7.460937249958999e-16,True
primary_genecards881,GO:BP,GO:0032101,regulation of response to external stimulus,92,92,10,10,18,18,868,868,2.399558446832236e-06,0.00011077708317799616,0.0003365343494632557,2.399558446832236e-06,0.00033653434946412256,0.009254502157161762,8.668738470107851e-16,True
primary_genecards881,GO:BP,GO:0051239,regulation of multicellular organismal process,214,214,14,14,18,18,868,868,2.517713337636827e-06,0.0005128873833292291,0.0003365343494632557,2.517713337636827e-06,0.00033653434946412256,0.020772203605098828,8.668738470107851e-16,True
primary_genecards881,GO:BP,GO:0007566,embryo implantation,13,13,5,5,18,18,868,868,2.45508051931942e-06,1.9324976853654336e-05,0.0003365343494632557,2.45508051931942e-06,0.00033653434946412256,0.006457763098596157,8.668738470107851e-16,True
primary_genecards881,GO:BP,GO:0019752,carboxylic acid metabolic process,54,54,8,8,18,18,868,868,3.6120339699469775e-06,8.219397000543477e-05,0.00041917165237047007,3.6120339699469775e-06,0.00041917165237103065,0.009254502157161762,5.605867332836301e-16,True
primary_genecards881,GO:BP,GO:0008610,lipid biosynthetic process,38,38,7,7,18,18,868,868,3.9249603755802765e-06,6.299952168363555e-05,0.00041917165237047007,3.9249603755802765e-06,0.00041917165237103065,0.009183763008135632,5.605867332836301e-16,True
