background,source,term_id,term_name,description,term_size,effective_domain_size,query_size,intersection_size,raw_hypergeom_p,gprofiler_p_value,gprofiler_significant,intersection_genes,parents,BH_FDR_global_source_family,BH_FDR_global_significant,BH_FDR_within_source,BH_FDR_within_source_significant
sensitivity_dinp93,REAC,REAC:R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling,Interleukin-4 and Interleukin-13 signaling,6,100,18,5,0.0006049566277455581,0.14688481219595168,True,,REAC:R-HSA-449147,0.36097393329923244,False,1.0,False
sensitivity_dinp93,REAC,REAC:R-HSA-1280215,Cytokine Signaling in Immune system,Cytokine Signaling in Immune system,13,100,18,7,0.001747619532845152,0.14688481219595168,True,,REAC:R-HSA-168256,0.5701551930004787,False,1.0,False
sensitivity_dinp93,REAC,REAC:R-HSA-1266738,Developmental Biology,Developmental Biology,13,100,18,7,0.001747619532845152,0.14688481219595168,True,,REAC:0000000,0.5701551930004787,False,1.0,False
sensitivity_dinp93,REAC,REAC:R-HSA-449147,Signaling by Interleukins,Signaling by Interleukins,10,100,18,6,0.0020471750828703218,0.14688481219595168,True,,REAC:R-HSA-1280215,0.5728200599379447,False,1.0,False
sensitivity_dinp93,REAC,REAC:R-HSA-6783783,Interleukin-10 signaling,Interleukin-10 signaling,5,100,18,3,0.03944111852800824,0.2690625000000001,True,,REAC:R-HSA-449147,1.0,False,1.0,False
sensitivity_dinp93,REAC,REAC:R-HSA-446652,Interleukin-1 family signaling,Interleukin-1 family signaling,4,100,18,2,0.14742459307996708,0.2690625000000001,True,,REAC:R-HSA-449147,1.0,False,1.0,False
sensitivity_dinp93,REAC,REAC:R-HSA-913531,Interferon Signaling,Interferon Signaling,4,100,18,2,0.14742459307996708,0.2690625000000001,True,,REAC:R-HSA-1280215,1.0,False,1.0,False
sensitivity_dinp93,REAC,REAC:R-HSA-166663,Initial triggering of complement,Initial triggering of complement,1,100,18,1,0.18000000000000294,0.2690625000000001,True,,REAC:R-HSA-166658,1.0,False,1.0,False
sensitivity_dinp93,REAC,REAC:R-HSA-622312,Inflammasomes,Inflammasomes,1,100,18,1,0.18000000000000294,0.2690625000000001,True,,REAC:R-HSA-168643,1.0,False,1.0,False
sensitivity_dinp93,REAC,REAC:R-HSA-9705462,Inactivation of CSF3 (G-CSF) signaling,Inactivation of CSF3 (G-CSF) signaling,1,100,18,1,0.18000000000000294,0.2690625000000001,True,,REAC:R-HSA-9674555,1.0,False,1.0,False
sensitivity_dinp93,REAC,REAC:R-HSA-168256,Immune System,Immune System,21,100,18,8,0.011869392278294493,0.2690625000000001,True,,REAC:0000000,1.0,False,1.0,False
sensitivity_dinp93,REAC,REAC:R-HSA-5603029,IkBA variant leads to EDA-ID,IkBA variant leads to EDA-ID,1,100,18,1,0.18000000000000294,0.2690625000000001,True,,REAC:R-HSA-5602358,1.0,False,1.0,False
sensitivity_dinp93,REAC,REAC:R-HSA-5260271,Diseases of Immune System,Diseases of Immune System,1,100,18,1,0.18000000000000294,0.2690625000000001,True,,REAC:R-HSA-1643685,1.0,False,1.0,False
