representative_term_id,term_name,global_fdr,intersection_size,intersection_genes,go_depth,term_theme_id,term_theme_label,folded_term_count
GO:0001516,prostaglandin biosynthetic process,0.01804116983302586,3,PTGS1;PTGS2;SIRT1,23,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,10
GO:0001666,response to hypoxia,0.020329567669730736,7,BECN1;CXCR4;MMP2;PPARD;PPARG;PTGS2;SIRT1,6,chemical_oxygen_stress,Chemical / oxygen / abiotic stress response,3
GO:0001676,long-chain fatty acid metabolic process,0.020329567669730736,4,CYP1A2;CYP3A4;PTGS1;PTGS2,10,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,5
GO:0006082,organic acid metabolic process,0.005849796511218857,8,CYP1A2;CYP3A4;PPARD;PPARG;PTGS1;PTGS2;SIRT1;STAT3,0,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,0
GO:0006915,apoptotic process,0.02933133489791236,12,BECN1;CXCR4;DKK1;ESR1;MMP2;MMP9;PPARD;PPARG;PTGS2;RELA;SIRT1;TIMP1,4,apoptosis_cell_death,Apoptosis / programmed cell death,2
GO:0006954,inflammatory response,0.000246249980700841,11,CRP;CXCR4;ESR1;MMP9;NEAT1;PPARD;PPARG;PTGS2;RELA;STAT3;TIMP1,4,inflammation_defense,Inflammation / defense / stimulus response,2
GO:0007275,multicellular organism development,0.025618847845572085,14,BECN1;CXCR4;CYP1A2;DKK1;ESR1;MMP2;MMP9;PPARD;PPARG;PTGS2;RELA;SIRT1;STAT3;TIMP1,4,development_reproduction,Development / reproduction / circulation,1
GO:0007565,female pregnancy,0.0059639120599296585,6,ESR1;MMP2;MMP9;PPARD;PTGS2;TIMP1,5,development_reproduction,Development / reproduction / circulation,2
GO:0007566,embryo implantation,0.004696542460027737,5,MMP2;MMP9;PPARD;PTGS2;TIMP1,2,development_reproduction,Development / reproduction / circulation,0
GO:0008015,blood circulation,0.01590157939375247,6,CRP;MMP2;PPARD;PPARG;PTGS1;PTGS2,4,development_reproduction,Development / reproduction / circulation,1
GO:0008203,cholesterol metabolic process,0.040022080267862956,3,CYP1A2;CYP3A4;PPARD,10,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,1
GO:0008283,cell population proliferation,0.00428942664119152,14,BECN1;CRP;ESR1;MMP2;MMP9;NEAT1;PPARD;PPARG;PTGS1;PTGS2;RELA;SIRT1;STAT3;TIMP1,2,development_reproduction,Development / reproduction / circulation,0
GO:0008610,lipid biosynthetic process,0.005849796511218857,7,BECN1;CYP1A2;CYP3A4;PPARD;PTGS1;PTGS2;SIRT1,6,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,1
GO:0009056,catabolic process,0.009427534111278836,11,BECN1;CYP1A2;CYP3A4;MMP2;MMP9;NEAT1;PPARD;RELA;SIRT1;STAT3;TIMP1,3,general_metabolism,General metabolism / biosynthesis / storage,0
GO:0009755,hormone-mediated signaling pathway,0.022383661616626156,5,ESR1;PPARD;PPARG;RELA;SIRT1,6,signaling_receptor,Signaling / receptor / hormone response,0
GO:0010876,lipid localization,0.04876019881269913,5,CRP;PPARD;PPARG;PTGS2;SIRT1,3,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,0
GO:0010883,regulation of lipid storage,0.020329567669730736,4,CRP;PPARD;PPARG;SIRT1,4,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,0
GO:0016053,organic acid biosynthetic process,0.018025021529489507,5,CYP1A2;CYP3A4;PTGS1;PTGS2;SIRT1,0,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,0
GO:0019915,lipid storage,0.020329567669730736,4,CRP;PPARD;PPARG;SIRT1,3,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,1
GO:0030334,regulation of cell migration,0.04360122660091371,9,CXCR4;MMP2;MMP9;PPARD;PPARG;PTGS2;SIRT1;STAT3;TIMP1,6,matrix_migration,Matrix remodeling / cell migration,0
GO:0030522,intracellular receptor signaling pathway,0.006443937153578333,7,BECN1;ESR1;PPARD;PPARG;RELA;SIRT1;STAT3,7,signaling_receptor,Signaling / receptor / hormone response,0
GO:0033993,response to lipid,0.022920812324725717,9,DKK1;ESR1;MMP2;MMP9;PPARD;PPARG;RELA;SIRT1;STAT3,3,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,0
GO:0036294,cellular response to decreased oxygen levels,0.02933133489791236,5,BECN1;PPARD;PPARG;PTGS2;SIRT1,10,chemical_oxygen_stress,Chemical / oxygen / abiotic stress response,1
GO:0042127,regulation of cell population proliferation,0.001982446792593204,14,BECN1;CRP;ESR1;MMP2;MMP9;NEAT1;PPARD;PPARG;PTGS1;PTGS2;RELA;SIRT1;STAT3;TIMP1,4,development_reproduction,Development / reproduction / circulation,0
GO:0043066,negative regulation of apoptotic process,0.03658169649799155,9,BECN1;DKK1;ESR1;MMP9;PPARD;PTGS2;RELA;SIRT1;TIMP1,9,apoptosis_cell_death,Apoptosis / programmed cell death,3
GO:0044238,primary metabolic process,0.031999805704375446,16,BECN1;CYP1A2;CYP3A4;DKK1;ESR1;MMP2;MMP9;NEAT1;PPARD;PPARG;PTGS1;PTGS2;RELA;SIRT1;STAT3;TIMP1,3,general_metabolism,General metabolism / biosynthesis / storage,0
GO:0048513,animal organ development,0.018025021529489507,13,CXCR4;CYP1A2;DKK1;ESR1;MMP2;MMP9;PPARD;PPARG;PTGS2;RELA;SIRT1;STAT3;TIMP1,4,development_reproduction,Development / reproduction / circulation,0
GO:0048522,positive regulation of cellular process,0.026253202802905256,15,BECN1;CRP;CXCR4;DKK1;ESR1;MMP2;MMP9;NEAT1;PPARD;PPARG;PTGS2;RELA;SIRT1;STAT3;TIMP1,5,development_reproduction,Development / reproduction / circulation,2
