theme_order,theme_id,theme_label,gene_symbol,GO_representative_count,Reactome_term_count,aligned_term_count,GO_fraction,Reactome_fraction,aligned_fraction,source_recurrence,combined_top_driver
1,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,PTGS2,7,4,11,0.6364,1.0000,0.7333,both,True
1,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,CYP1A2,6,4,10,0.5455,1.0000,0.6667,both,False
1,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,CYP3A4,6,3,9,0.5455,0.7500,0.6000,both,False
1,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,PPARD,7,2,9,0.6364,0.5000,0.6000,both,False
1,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,PTGS1,6,2,8,0.5455,0.5000,0.5333,both,False
1,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,SIRT1,8,0,8,0.7273,0.0000,0.5333,GO_only,False
1,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,PPARG,5,1,6,0.4545,0.2500,0.4000,both,False
1,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,CRP,3,0,3,0.2727,0.0000,0.2000,GO_only,False
1,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,STAT3,2,0,2,0.1818,0.0000,0.1333,GO_only,False
1,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,BECN1,1,0,1,0.0909,0.0000,0.0667,GO_only,False
1,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,DKK1,1,0,1,0.0909,0.0000,0.0667,GO_only,False
1,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,ESR1,1,0,1,0.0909,0.0000,0.0667,GO_only,False
1,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,MMP2,1,0,1,0.0909,0.0000,0.0667,GO_only,False
1,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,MMP9,1,0,1,0.0909,0.0000,0.0667,GO_only,False
1,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,RELA,1,0,1,0.0909,0.0000,0.0667,GO_only,False
2,inflammation_defense,Inflammation / defense / stimulus response,ESR1,4,0,4,1.0000,,1.0000,GO_only,True
2,inflammation_defense,Inflammation / defense / stimulus response,MMP9,4,0,4,1.0000,,1.0000,GO_only,True
2,inflammation_defense,Inflammation / defense / stimulus response,PPARD,4,0,4,1.0000,,1.0000,GO_only,True
2,inflammation_defense,Inflammation / defense / stimulus response,PPARG,4,0,4,1.0000,,1.0000,GO_only,True
2,inflammation_defense,Inflammation / defense / stimulus response,PTGS2,4,0,4,1.0000,,1.0000,GO_only,True
2,inflammation_defense,Inflammation / defense / stimulus response,RELA,4,0,4,1.0000,,1.0000,GO_only,True
2,inflammation_defense,Inflammation / defense / stimulus response,CXCR4,3,0,3,0.7500,,0.7500,GO_only,False
2,inflammation_defense,Inflammation / defense / stimulus response,NEAT1,3,0,3,0.7500,,0.7500,GO_only,False
2,inflammation_defense,Inflammation / defense / stimulus response,STAT3,3,0,3,0.7500,,0.7500,GO_only,False
2,inflammation_defense,Inflammation / defense / stimulus response,BECN1,2,0,2,0.5000,,0.5000,GO_only,False
2,inflammation_defense,Inflammation / defense / stimulus response,CRP,2,0,2,0.5000,,0.5000,GO_only,False
2,inflammation_defense,Inflammation / defense / stimulus response,DKK1,1,0,1,0.2500,,0.2500,GO_only,False
2,inflammation_defense,Inflammation / defense / stimulus response,MMP2,1,0,1,0.2500,,0.2500,GO_only,False
2,inflammation_defense,Inflammation / defense / stimulus response,SIRT1,1,0,1,0.2500,,0.2500,GO_only,False
2,inflammation_defense,Inflammation / defense / stimulus response,TIMP1,1,0,1,0.2500,,0.2500,GO_only,False
3,chemical_oxygen_stress,Chemical / oxygen / abiotic stress response,BECN1,5,0,5,0.8333,,0.8333,GO_only,True
3,chemical_oxygen_stress,Chemical / oxygen / abiotic stress response,MMP2,5,0,5,0.8333,,0.8333,GO_only,True
3,chemical_oxygen_stress,Chemical / oxygen / abiotic stress response,PPARG,5,0,5,0.8333,,0.8333,GO_only,True
3,chemical_oxygen_stress,Chemical / oxygen / abiotic stress response,SIRT1,5,0,5,0.8333,,0.8333,GO_only,True
3,chemical_oxygen_stress,Chemical / oxygen / abiotic stress response,PPARD,4,0,4,0.6667,,0.6667,GO_only,False
3,chemical_oxygen_stress,Chemical / oxygen / abiotic stress response,PTGS2,4,0,4,0.6667,,0.6667,GO_only,False
3,chemical_oxygen_stress,Chemical / oxygen / abiotic stress response,MMP9,3,0,3,0.5000,,0.5000,GO_only,False
3,chemical_oxygen_stress,Chemical / oxygen / abiotic stress response,RELA,3,0,3,0.5000,,0.5000,GO_only,False
3,chemical_oxygen_stress,Chemical / oxygen / abiotic stress response,TIMP1,3,0,3,0.5000,,0.5000,GO_only,False
3,chemical_oxygen_stress,Chemical / oxygen / abiotic stress response,CXCR4,2,0,2,0.3333,,0.3333,GO_only,False
3,chemical_oxygen_stress,Chemical / oxygen / abiotic stress response,ESR1,2,0,2,0.3333,,0.3333,GO_only,False
3,chemical_oxygen_stress,Chemical / oxygen / abiotic stress response,STAT3,2,0,2,0.3333,,0.3333,GO_only,False
3,chemical_oxygen_stress,Chemical / oxygen / abiotic stress response,CYP1A2,1,0,1,0.1667,,0.1667,GO_only,False
3,chemical_oxygen_stress,Chemical / oxygen / abiotic stress response,CYP3A4,1,0,1,0.1667,,0.1667,GO_only,False
3,chemical_oxygen_stress,Chemical / oxygen / abiotic stress response,DKK1,1,0,1,0.1667,,0.1667,GO_only,False
3,chemical_oxygen_stress,Chemical / oxygen / abiotic stress response,PTGS1,1,0,1,0.1667,,0.1667,GO_only,False
4,apoptosis_cell_death,Apoptosis / programmed cell death,BECN1,2,0,2,1.0000,,1.0000,GO_only,True
4,apoptosis_cell_death,Apoptosis / programmed cell death,DKK1,2,0,2,1.0000,,1.0000,GO_only,True
4,apoptosis_cell_death,Apoptosis / programmed cell death,ESR1,2,0,2,1.0000,,1.0000,GO_only,True
4,apoptosis_cell_death,Apoptosis / programmed cell death,MMP9,2,0,2,1.0000,,1.0000,GO_only,True
4,apoptosis_cell_death,Apoptosis / programmed cell death,PPARD,2,0,2,1.0000,,1.0000,GO_only,True
4,apoptosis_cell_death,Apoptosis / programmed cell death,PTGS2,2,0,2,1.0000,,1.0000,GO_only,True
4,apoptosis_cell_death,Apoptosis / programmed cell death,RELA,2,0,2,1.0000,,1.0000,GO_only,True
4,apoptosis_cell_death,Apoptosis / programmed cell death,SIRT1,2,0,2,1.0000,,1.0000,GO_only,True
4,apoptosis_cell_death,Apoptosis / programmed cell death,TIMP1,2,0,2,1.0000,,1.0000,GO_only,True
4,apoptosis_cell_death,Apoptosis / programmed cell death,CXCR4,1,0,1,0.5000,,0.5000,GO_only,False
4,apoptosis_cell_death,Apoptosis / programmed cell death,MMP2,1,0,1,0.5000,,0.5000,GO_only,False
4,apoptosis_cell_death,Apoptosis / programmed cell death,PPARG,1,0,1,0.5000,,0.5000,GO_only,False
5,mirna_regulation,miRNA transcription / metabolism,ESR1,2,0,2,1.0000,,1.0000,GO_only,True
5,mirna_regulation,miRNA transcription / metabolism,PPARD,2,0,2,1.0000,,1.0000,GO_only,True
5,mirna_regulation,miRNA transcription / metabolism,PPARG,2,0,2,1.0000,,1.0000,GO_only,True
5,mirna_regulation,miRNA transcription / metabolism,RELA,2,0,2,1.0000,,1.0000,GO_only,True
5,mirna_regulation,miRNA transcription / metabolism,STAT3,1,0,1,0.5000,,0.5000,GO_only,False
6,signaling_receptor,Signaling / receptor / hormone response,PPARG,4,1,5,1.0000,1.0000,1.0000,both,True
6,signaling_receptor,Signaling / receptor / hormone response,ESR1,3,1,4,0.7500,1.0000,0.8000,both,False
6,signaling_receptor,Signaling / receptor / hormone response,RELA,4,0,4,1.0000,0.0000,0.8000,GO_only,False
6,signaling_receptor,Signaling / receptor / hormone response,SIRT1,4,0,4,1.0000,0.0000,0.8000,GO_only,False
6,signaling_receptor,Signaling / receptor / hormone response,PPARD,2,1,3,0.5000,1.0000,0.6000,both,False
6,signaling_receptor,Signaling / receptor / hormone response,BECN1,2,0,2,0.5000,0.0000,0.4000,GO_only,False
6,signaling_receptor,Signaling / receptor / hormone response,MMP9,2,0,2,0.5000,0.0000,0.4000,GO_only,False
6,signaling_receptor,Signaling / receptor / hormone response,PTGS2,2,0,2,0.5000,0.0000,0.4000,GO_only,False
6,signaling_receptor,Signaling / receptor / hormone response,STAT3,2,0,2,0.5000,0.0000,0.4000,GO_only,False
6,signaling_receptor,Signaling / receptor / hormone response,DKK1,1,0,1,0.2500,0.0000,0.2000,GO_only,False
6,signaling_receptor,Signaling / receptor / hormone response,MMP2,1,0,1,0.2500,0.0000,0.2000,GO_only,False
7,matrix_migration,Matrix remodeling / cell migration,MMP2,1,1,2,1.0000,1.0000,1.0000,both,True
7,matrix_migration,Matrix remodeling / cell migration,MMP9,1,1,2,1.0000,1.0000,1.0000,both,True
7,matrix_migration,Matrix remodeling / cell migration,TIMP1,1,1,2,1.0000,1.0000,1.0000,both,True
7,matrix_migration,Matrix remodeling / cell migration,CXCR4,1,0,1,1.0000,0.0000,0.5000,GO_only,False
7,matrix_migration,Matrix remodeling / cell migration,PPARD,1,0,1,1.0000,0.0000,0.5000,GO_only,False
7,matrix_migration,Matrix remodeling / cell migration,PPARG,1,0,1,1.0000,0.0000,0.5000,GO_only,False
7,matrix_migration,Matrix remodeling / cell migration,PTGS2,1,0,1,1.0000,0.0000,0.5000,GO_only,False
7,matrix_migration,Matrix remodeling / cell migration,SIRT1,1,0,1,1.0000,0.0000,0.5000,GO_only,False
7,matrix_migration,Matrix remodeling / cell migration,STAT3,1,0,1,1.0000,0.0000,0.5000,GO_only,False
8,development_reproduction,Development / reproduction / circulation,MMP2,10,0,10,1.0000,,1.0000,GO_only,True
8,development_reproduction,Development / reproduction / circulation,PPARD,10,0,10,1.0000,,1.0000,GO_only,True
8,development_reproduction,Development / reproduction / circulation,PTGS2,10,0,10,1.0000,,1.0000,GO_only,True
8,development_reproduction,Development / reproduction / circulation,MMP9,9,0,9,0.9000,,0.9000,GO_only,False
8,development_reproduction,Development / reproduction / circulation,TIMP1,9,0,9,0.9000,,0.9000,GO_only,False
8,development_reproduction,Development / reproduction / circulation,ESR1,8,0,8,0.8000,,0.8000,GO_only,False
8,development_reproduction,Development / reproduction / circulation,PPARG,8,0,8,0.8000,,0.8000,GO_only,False
8,development_reproduction,Development / reproduction / circulation,RELA,7,0,7,0.7000,,0.7000,GO_only,False
8,development_reproduction,Development / reproduction / circulation,SIRT1,7,0,7,0.7000,,0.7000,GO_only,False
8,development_reproduction,Development / reproduction / circulation,STAT3,7,0,7,0.7000,,0.7000,GO_only,False
8,development_reproduction,Development / reproduction / circulation,BECN1,6,0,6,0.6000,,0.6000,GO_only,False
8,development_reproduction,Development / reproduction / circulation,CRP,5,0,5,0.5000,,0.5000,GO_only,False
8,development_reproduction,Development / reproduction / circulation,CXCR4,5,0,5,0.5000,,0.5000,GO_only,False
8,development_reproduction,Development / reproduction / circulation,DKK1,5,0,5,0.5000,,0.5000,GO_only,False
8,development_reproduction,Development / reproduction / circulation,CYP1A2,3,0,3,0.3000,,0.3000,GO_only,False
8,development_reproduction,Development / reproduction / circulation,NEAT1,3,0,3,0.3000,,0.3000,GO_only,False
8,development_reproduction,Development / reproduction / circulation,PTGS1,3,0,3,0.3000,,0.3000,GO_only,False
9,general_metabolism,General metabolism / biosynthesis / storage,CYP1A2,3,0,3,1.0000,,1.0000,GO_only,True
9,general_metabolism,General metabolism / biosynthesis / storage,CYP3A4,3,0,3,1.0000,,1.0000,GO_only,True
9,general_metabolism,General metabolism / biosynthesis / storage,MMP2,3,0,3,1.0000,,1.0000,GO_only,True
9,general_metabolism,General metabolism / biosynthesis / storage,PPARD,3,0,3,1.0000,,1.0000,GO_only,True
9,general_metabolism,General metabolism / biosynthesis / storage,SIRT1,3,0,3,1.0000,,1.0000,GO_only,True
9,general_metabolism,General metabolism / biosynthesis / storage,BECN1,2,0,2,0.6667,,0.6667,GO_only,False
9,general_metabolism,General metabolism / biosynthesis / storage,DKK1,2,0,2,0.6667,,0.6667,GO_only,False
9,general_metabolism,General metabolism / biosynthesis / storage,ESR1,2,0,2,0.6667,,0.6667,GO_only,False
9,general_metabolism,General metabolism / biosynthesis / storage,MMP9,2,0,2,0.6667,,0.6667,GO_only,False
9,general_metabolism,General metabolism / biosynthesis / storage,NEAT1,2,0,2,0.6667,,0.6667,GO_only,False
9,general_metabolism,General metabolism / biosynthesis / storage,PPARG,2,0,2,0.6667,,0.6667,GO_only,False
9,general_metabolism,General metabolism / biosynthesis / storage,PTGS1,2,0,2,0.6667,,0.6667,GO_only,False
9,general_metabolism,General metabolism / biosynthesis / storage,PTGS2,2,0,2,0.6667,,0.6667,GO_only,False
9,general_metabolism,General metabolism / biosynthesis / storage,RELA,2,0,2,0.6667,,0.6667,GO_only,False
9,general_metabolism,General metabolism / biosynthesis / storage,STAT3,2,0,2,0.6667,,0.6667,GO_only,False
9,general_metabolism,General metabolism / biosynthesis / storage,TIMP1,2,0,2,0.6667,,0.6667,GO_only,False
9,general_metabolism,General metabolism / biosynthesis / storage,CRP,1,0,1,0.3333,,0.3333,GO_only,False
9,general_metabolism,General metabolism / biosynthesis / storage,CXCR4,1,0,1,0.3333,,0.3333,GO_only,False
