gene_symbol,GO_representative_count,Reactome_term_count,aligned_term_count,theme_count_GO,theme_count_Reactome,source_recurrence
PPARD,35,3,38,9,2,both
PTGS2,32,4,36,8,1,both
PPARG,32,2,34,9,2,both
SIRT1,31,0,31,8,0,GO_only
ESR1,24,1,25,8,1,both
MMP9,24,1,25,8,1,both
RELA,25,0,25,8,0,GO_only
MMP2,23,1,24,8,1,both
BECN1,20,0,20,7,0,GO_only
STAT3,20,0,20,8,0,GO_only
TIMP1,18,1,19,6,1,both
CYP1A2,13,4,17,4,1,both
PTGS1,12,2,14,4,1,both
CXCR4,13,0,13,6,0,GO_only
CYP3A4,10,3,13,3,1,both
DKK1,13,0,13,7,0,GO_only
CRP,11,0,11,4,0,GO_only
NEAT1,8,0,8,3,0,GO_only
