cluster_id,theme_label,gene_symbol,cluster_term_count,fraction_of_cluster_terms,cluster_top_driver,global_significant_term_count,global_theme_cluster_count,overall_driver_rank
theme_01,Inflammation / defense / stimulus response,PTGS2,2,1.0,True,87,32,1
theme_01,Inflammation / defense / stimulus response,PPARD,2,1.0,True,85,33,2
theme_01,Inflammation / defense / stimulus response,PPARG,2,1.0,True,77,30,3
theme_01,Inflammation / defense / stimulus response,ESR1,2,1.0,True,61,22,5
theme_01,Inflammation / defense / stimulus response,RELA,2,1.0,True,58,21,6
theme_01,Inflammation / defense / stimulus response,MMP9,2,1.0,True,56,21,7
theme_01,Inflammation / defense / stimulus response,STAT3,2,1.0,True,47,17,10
theme_01,Inflammation / defense / stimulus response,NEAT1,2,1.0,True,20,10,18
theme_01,Inflammation / defense / stimulus response,TIMP1,1,0.5,False,42,17,11
theme_01,Inflammation / defense / stimulus response,CXCR4,1,0.5,False,38,14,12
theme_01,Inflammation / defense / stimulus response,CRP,1,0.5,False,25,13,17
theme_02,Inflammation / defense / stimulus response,PTGS2,2,1.0,True,87,32,1
theme_02,Inflammation / defense / stimulus response,PPARD,2,1.0,True,85,33,2
theme_02,Inflammation / defense / stimulus response,PPARG,2,1.0,True,77,30,3
theme_02,Inflammation / defense / stimulus response,ESR1,2,1.0,True,61,22,5
theme_02,Inflammation / defense / stimulus response,RELA,2,1.0,True,58,21,6
theme_02,Inflammation / defense / stimulus response,MMP9,2,1.0,True,56,21,7
theme_02,Inflammation / defense / stimulus response,BECN1,2,1.0,True,53,19,8
theme_02,Inflammation / defense / stimulus response,STAT3,2,1.0,True,47,17,10
theme_02,Inflammation / defense / stimulus response,NEAT1,2,1.0,True,20,10,18
theme_02,Inflammation / defense / stimulus response,TIMP1,1,0.5,False,42,17,11
theme_02,Inflammation / defense / stimulus response,CXCR4,1,0.5,False,38,14,12
theme_02,Inflammation / defense / stimulus response,CRP,1,0.5,False,25,13,17
theme_03,Chemical / oxygen / abiotic stress response,PTGS2,6,1.0,True,87,32,1
theme_03,Chemical / oxygen / abiotic stress response,PPARD,6,1.0,True,85,33,2
theme_03,Chemical / oxygen / abiotic stress response,PPARG,6,1.0,True,77,30,3
theme_03,Chemical / oxygen / abiotic stress response,SIRT1,6,1.0,True,74,27,4
theme_03,Chemical / oxygen / abiotic stress response,ESR1,6,1.0,True,61,22,5
theme_03,Chemical / oxygen / abiotic stress response,RELA,6,1.0,True,58,21,6
theme_03,Chemical / oxygen / abiotic stress response,MMP9,6,1.0,True,56,21,7
theme_03,Chemical / oxygen / abiotic stress response,BECN1,6,1.0,True,53,19,8
theme_03,Chemical / oxygen / abiotic stress response,MMP2,6,1.0,True,50,21,9
theme_03,Chemical / oxygen / abiotic stress response,STAT3,6,1.0,True,47,17,10
theme_03,Chemical / oxygen / abiotic stress response,TIMP1,6,1.0,True,42,17,11
theme_03,Chemical / oxygen / abiotic stress response,CXCR4,6,1.0,True,38,14,12
theme_03,Chemical / oxygen / abiotic stress response,PTGS1,6,1.0,True,38,15,13
theme_03,Chemical / oxygen / abiotic stress response,CYP1A2,6,1.0,True,37,15,14
theme_03,Chemical / oxygen / abiotic stress response,CYP3A4,6,1.0,True,28,12,16
theme_03,Chemical / oxygen / abiotic stress response,DKK1,5,0.8333333333333334,False,32,9,15
theme_03,Chemical / oxygen / abiotic stress response,CRP,3,0.5,False,25,13,17
theme_03,Chemical / oxygen / abiotic stress response,NEAT1,2,0.3333333333333333,False,20,10,18
theme_04,Development / reproduction / circulation,PTGS2,2,1.0,True,87,32,1
theme_04,Development / reproduction / circulation,PPARD,2,1.0,True,85,33,2
theme_04,Development / reproduction / circulation,PPARG,2,1.0,True,77,30,3
theme_04,Development / reproduction / circulation,SIRT1,2,1.0,True,74,27,4
theme_04,Development / reproduction / circulation,ESR1,2,1.0,True,61,22,5
theme_04,Development / reproduction / circulation,RELA,2,1.0,True,58,21,6
theme_04,Development / reproduction / circulation,MMP9,2,1.0,True,56,21,7
theme_04,Development / reproduction / circulation,BECN1,2,1.0,True,53,19,8
theme_04,Development / reproduction / circulation,MMP2,2,1.0,True,50,21,9
theme_04,Development / reproduction / circulation,STAT3,2,1.0,True,47,17,10
theme_04,Development / reproduction / circulation,TIMP1,2,1.0,True,42,17,11
theme_04,Development / reproduction / circulation,PTGS1,2,1.0,True,38,15,13
theme_04,Development / reproduction / circulation,CRP,2,1.0,True,25,13,17
theme_04,Development / reproduction / circulation,NEAT1,2,1.0,True,20,10,18
theme_05,Lipid / fatty-acid / eicosanoid metabolism,PTGS2,6,1.0,True,87,32,1
theme_05,Lipid / fatty-acid / eicosanoid metabolism,PPARD,6,1.0,True,85,33,2
theme_05,Lipid / fatty-acid / eicosanoid metabolism,PPARG,6,1.0,True,77,30,3
theme_05,Lipid / fatty-acid / eicosanoid metabolism,SIRT1,6,1.0,True,74,27,4
theme_05,Lipid / fatty-acid / eicosanoid metabolism,PTGS1,6,1.0,True,38,15,13
