cluster_id,theme_label,term_id,source,term_name,global_fdr,intersection_size,term_theme_id,term_theme_label,intersection_genes
theme_01,Inflammation / defense / stimulus response,GO:0006954,GO:BP,inflammatory response,0.000246249980700841,11,inflammation_defense,Inflammation / defense / stimulus response,CRP;CXCR4;ESR1;MMP9;NEAT1;PPARD;PPARG;PTGS2;RELA;STAT3;TIMP1
theme_01,Inflammation / defense / stimulus response,GO:0050727,GO:BP,regulation of inflammatory response,0.001982446792593204,8,inflammation_defense,Inflammation / defense / stimulus response,ESR1;MMP9;NEAT1;PPARD;PPARG;PTGS2;RELA;STAT3
theme_02,Inflammation / defense / stimulus response,GO:0006952,GO:BP,defense response,0.0006036566795846424,12,inflammation_defense,Inflammation / defense / stimulus response,BECN1;CRP;CXCR4;ESR1;MMP9;NEAT1;PPARD;PPARG;PTGS2;RELA;STAT3;TIMP1
theme_02,Inflammation / defense / stimulus response,GO:0031347,GO:BP,regulation of defense response,0.0031003540661524403,9,inflammation_defense,Inflammation / defense / stimulus response,BECN1;ESR1;MMP9;NEAT1;PPARD;PPARG;PTGS2;RELA;STAT3
theme_03,Chemical / oxygen / abiotic stress response,GO:0070887,GO:BP,cellular response to chemical stimulus,0.0007479911063191124,15,chemical_oxygen_stress,Chemical / oxygen / abiotic stress response,BECN1;CXCR4;CYP1A2;CYP3A4;ESR1;MMP2;MMP9;PPARD;PPARG;PTGS1;PTGS2;RELA;SIRT1;STAT3;TIMP1
theme_03,Chemical / oxygen / abiotic stress response,GO:0042221,GO:BP,response to chemical,0.0012686458499641202,16,chemical_oxygen_stress,Chemical / oxygen / abiotic stress response,BECN1;CXCR4;CYP1A2;CYP3A4;DKK1;ESR1;MMP2;MMP9;PPARD;PPARG;PTGS1;PTGS2;RELA;SIRT1;STAT3;TIMP1
theme_03,Chemical / oxygen / abiotic stress response,GO:0050896,GO:BP,response to stimulus,0.001982446792593204,18,inflammation_defense,Inflammation / defense / stimulus response,BECN1;CRP;CXCR4;CYP1A2;CYP3A4;DKK1;ESR1;MMP2;MMP9;NEAT1;PPARD;PPARG;PTGS1;PTGS2;RELA;SIRT1;STAT3;TIMP1
theme_03,Chemical / oxygen / abiotic stress response,REAC:0000000,REAC,REACTOME root term,0.008532166825121671,17,ontology_umbrella,Ontology umbrella / root term,BECN1;CRP;CXCR4;CYP1A2;CYP3A4;DKK1;ESR1;MMP2;MMP9;PPARD;PPARG;PTGS1;PTGS2;RELA;SIRT1;STAT3;TIMP1
theme_03,Chemical / oxygen / abiotic stress response,GO:0065007,GO:BP,biological regulation,0.016895039215047522,18,development_reproduction,Development / reproduction / circulation,BECN1;CRP;CXCR4;CYP1A2;CYP3A4;DKK1;ESR1;MMP2;MMP9;NEAT1;PPARD;PPARG;PTGS1;PTGS2;RELA;SIRT1;STAT3;TIMP1
theme_03,Chemical / oxygen / abiotic stress response,GO:0051716,GO:BP,cellular response to stimulus,0.020441619780274933,16,inflammation_defense,Inflammation / defense / stimulus response,BECN1;CXCR4;CYP1A2;CYP3A4;DKK1;ESR1;MMP2;MMP9;PPARD;PPARG;PTGS1;PTGS2;RELA;SIRT1;STAT3;TIMP1
theme_04,Development / reproduction / circulation,GO:0042127,GO:BP,regulation of cell population proliferation,0.001982446792593204,14,development_reproduction,Development / reproduction / circulation,BECN1;CRP;ESR1;MMP2;MMP9;NEAT1;PPARD;PPARG;PTGS1;PTGS2;RELA;SIRT1;STAT3;TIMP1
theme_04,Development / reproduction / circulation,GO:0008283,GO:BP,cell population proliferation,0.00428942664119152,14,development_reproduction,Development / reproduction / circulation,BECN1;CRP;ESR1;MMP2;MMP9;NEAT1;PPARD;PPARG;PTGS1;PTGS2;RELA;SIRT1;STAT3;TIMP1
theme_05,Lipid / fatty-acid / eicosanoid metabolism,GO:0006631,GO:BP,fatty acid metabolic process,0.001982446792593204,7,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,CYP1A2;CYP3A4;PPARD;PPARG;PTGS1;PTGS2;SIRT1
theme_05,Lipid / fatty-acid / eicosanoid metabolism,GO:0032787,GO:BP,monocarboxylic acid metabolic process,0.0021307781762883063,8,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,CYP1A2;CYP3A4;PPARD;PPARG;PTGS1;PTGS2;SIRT1;STAT3
theme_05,Lipid / fatty-acid / eicosanoid metabolism,GO:0006082,GO:BP,organic acid metabolic process,0.005849796511218857,8,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,CYP1A2;CYP3A4;PPARD;PPARG;PTGS1;PTGS2;SIRT1;STAT3
theme_05,Lipid / fatty-acid / eicosanoid metabolism,GO:0019752,GO:BP,carboxylic acid metabolic process,0.005849796511218857,8,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,CYP1A2;CYP3A4;PPARD;PPARG;PTGS1;PTGS2;SIRT1;STAT3
theme_05,Lipid / fatty-acid / eicosanoid metabolism,GO:0043436,GO:BP,oxoacid metabolic process,0.005849796511218857,8,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,CYP1A2;CYP3A4;PPARD;PPARG;PTGS1;PTGS2;SIRT1;STAT3
theme_05,Lipid / fatty-acid / eicosanoid metabolism,GO:0044281,GO:BP,small molecule metabolic process,0.034215201865082395,8,general_metabolism,General metabolism / biosynthesis / storage,CYP1A2;CYP3A4;PPARD;PPARG;PTGS1;PTGS2;SIRT1;STAT3
theme_06,Lipid / fatty-acid / eicosanoid metabolism,GO:0006629,GO:BP,lipid metabolic process,0.0029677134277770645,9,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,BECN1;CYP1A2;CYP3A4;ESR1;PPARD;PPARG;PTGS1;PTGS2;SIRT1
theme_06,Lipid / fatty-acid / eicosanoid metabolism,GO:0008610,GO:BP,lipid biosynthetic process,0.005849796511218857,7,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,BECN1;CYP1A2;CYP3A4;PPARD;PTGS1;PTGS2;SIRT1
theme_07,Inflammation / defense / stimulus response,GO:0032101,GO:BP,regulation of response to external stimulus,0.004696542460027737,10,inflammation_defense,Inflammation / defense / stimulus response,BECN1;CXCR4;ESR1;MMP9;NEAT1;PPARD;PPARG;PTGS2;RELA;STAT3
theme_07,Inflammation / defense / stimulus response,GO:0009605,GO:BP,response to external stimulus,0.006443937153578333,12,inflammation_defense,Inflammation / defense / stimulus response,BECN1;CRP;CXCR4;ESR1;MMP2;MMP9;NEAT1;PPARD;PPARG;PTGS2;RELA;STAT3
theme_08,Development / reproduction / circulation,GO:0051239,GO:BP,regulation of multicellular organismal process,0.004696542460027737,14,development_reproduction,Development / reproduction / circulation,BECN1;CRP;CXCR4;DKK1;ESR1;MMP2;MMP9;PPARD;PPARG;PTGS2;RELA;SIRT1;STAT3;TIMP1
theme_08,Development / reproduction / circulation,GO:0032501,GO:BP,multicellular organismal process,0.006641004960446473,16,development_reproduction,Development / reproduction / circulation,BECN1;CRP;CXCR4;CYP1A2;DKK1;ESR1;MMP2;MMP9;PPARD;PPARG;PTGS1;PTGS2;RELA;SIRT1;STAT3;TIMP1
theme_08,Development / reproduction / circulation,GO:0048731,GO:BP,system development,0.016539778405010502,14,development_reproduction,Development / reproduction / circulation,BECN1;CXCR4;CYP1A2;DKK1;ESR1;MMP2;MMP9;PPARD;PPARG;PTGS2;RELA;SIRT1;STAT3;TIMP1
theme_08,Development / reproduction / circulation,GO:0048513,GO:BP,animal organ development,0.018025021529489507,13,development_reproduction,Development / reproduction / circulation,CXCR4;CYP1A2;DKK1;ESR1;MMP2;MMP9;PPARD;PPARG;PTGS2;RELA;SIRT1;STAT3;TIMP1
