source,term_id,term_name,description,term_size,effective_domain_size,query_size,intersection_size,precision,recall,raw_p_hypergeom,gprofiler_fdr,gprofiler_significant,parents,tested_term_family_size,BH_FDR_all_GO_KEGG,BH_FDR_all_GO_KEGG_significant,BH_FDR_within_source,BH_FDR_within_source_significant
GO:BP,GO:0048584,positive regulation of response to stimulus,"""Any process that activates, maintains or increases the rate of a response to a stimulus. Response to stimulus is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus."" [GOC:jid]",24,93,16,13,0.8125,0.5416666666666666,3.557516543113762e-07,0.0005024699386777237,True,GO:0048518;GO:0048583;GO:0050896,24546,0.010117320977246672,True,0.006315221256929529,True
GO:BP,GO:0042127,regulation of cell population proliferation,"""Any process that modulates the frequency, rate or extent of cell proliferation."" [GOC:jl]",30,93,16,14,0.875,0.4666666666666667,7.71843223775303e-07,0.0005024699386777237,True,GO:0008283;GO:0050794,24546,0.010117320977246672,True,0.006315221256929529,True
GO:BP,GO:0009967,positive regulation of signal transduction,"""Any process that activates or increases the frequency, rate or extent of signal transduction."" [GOC:sm]",14,93,16,10,0.625,0.7142857142857143,7.525524948315278e-07,0.0005024699386777237,True,GO:0007165;GO:0009966;GO:0010647;GO:0023056;GO:0048584,24546,0.010117320977246672,True,0.006315221256929529,True
GO:BP,GO:0008283,cell population proliferation,"""The multiplication or reproduction of cells, resulting in the expansion of a cell population."" [GOC:mah, GOC:mb]",31,93,16,14,0.875,0.45161290322580644,1.366532968546164e-06,0.000667209721892706,True,GO:0009987,24546,0.013434385613777338,True,0.008385729561483535,True
GO:BP,GO:0051239,regulation of multicellular organismal process,"""Any process that modulates the frequency, rate or extent of a multicellular organismal process, the processes pertinent to the function of a multicellular organism above the cellular level; includes the integrated processes of tissues and organs."" [GOC:ai, GOC:dph, GOC:tb]",32,93,16,14,0.875,0.4375,2.3576825431644593e-06,0.0009209108013600443,True,GO:0032501;GO:0050789,24546,0.01854270166547984,True,0.011574335140902964,True
GO:BP,GO:0023056,positive regulation of signaling,"""Any process that activates, maintains or increases the frequency, rate or extent of a signaling process."" [GOC:mtg_signal]",16,93,16,10,0.625,0.625,5.218967978890247e-06,0.0012740805578465568,True,GO:0023051;GO:0023052;GO:0048518,24546,0.02565383710023501,True,0.01601309850123,True
GO:BP,GO:0009966,regulation of signal transduction,"""Any process that modulates the frequency, rate or extent of signal transduction."" [GOC:sm]",28,93,16,13,0.8125,0.4642857142857143,4.520271183707244e-06,0.0012740805578465568,True,GO:0007165;GO:0010646;GO:0023051;GO:0048583,24546,0.02565383710023501,True,0.01601309850123,True
GO:BP,GO:0010647,positive regulation of cell communication,"""Any process that increases the frequency, rate or extent of cell communication. Cell communication is the process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."" [GOC:dph, GOC:tb]",16,93,16,10,0.625,0.625,5.218967978890247e-06,0.0012740805578465568,True,GO:0007154;GO:0010646;GO:0048522,24546,0.02565383710023501,True,0.01601309850123,True
GO:BP,GO:0023051,regulation of signaling,"""Any process that modulates the frequency, rate or extent of a signaling process."" [GOC:mtg_signal]",29,93,16,13,0.8125,0.4482758620689655,7.848651186549758e-06,0.0015328415767331145,True,GO:0023052;GO:0050789,24546,0.03086403592598827,True,0.019265299202505033,True
GO:BP,GO:0010646,regulation of cell communication,"""Any process that modulates the frequency, rate or extent of cell communication. Cell communication is the process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."" [GOC:dph, GOC:tb]",29,93,16,13,0.8125,0.4482758620689655,7.848651186549758e-06,0.0015328415767331145,True,GO:0007154;GO:0050794,24546,0.03086403592598827,True,0.019265299202505033,True
GO:BP,GO:0097190,apoptotic signaling pathway,"""The series of molecular signals which triggers the apoptotic death of a cell. The pathway starts with reception of a signal, and ends when the execution phase of apoptosis is triggered."" [GOC:mtg_apoptosis]",11,93,16,8,0.5,0.7272727272727273,1.6002107191777363e-05,0.0026043429454619027,True,GO:0006915;GO:0007165,24546,0.05243890526745442,False,0.0327323102607806,True
GO:BP,GO:0045595,regulation of cell differentiation,"""Any process that modulates the frequency, rate or extent of cell differentiation, the process in which relatively unspecialized cells acquire specialized structural and functional features."" [GOC:go_curators]",14,93,16,9,0.5625,0.6428571428571429,1.599178406336393e-05,0.0026043429454619027,True,GO:0030154;GO:0050793;GO:0050794,24546,0.05243890526745442,False,0.0327323102607806,True
GO:BP,GO:0006915,apoptotic process,"""A programmed cell death process which begins when a cell receives an internal (e.g. DNA damage) or external signal (e.g. an extracellular death ligand), and proceeds through a series of biochemical events (signaling pathway phase) which trigger an execution phase. The execution phase is the last step of an apoptotic process, and is typically characterized by rounding-up of the cell, retraction of pseudopodes, reduction of cellular volume (pyknosis), chromatin condensation, nuclear fragmentation (karyorrhexis), plasma membrane blebbing and fragmentation of the cell into apoptotic bodies. When the execution phase is completed, the cell has died."" [GOC:cjm, GOC:dhl, GOC:ecd, GOC:go_curators, GOC:mtg_apoptosis, GOC:tb, ISBN:0198506732, PMID:18846107, PMID:21494263]",26,93,16,12,0.75,0.46153846153846156,2.0804280875032216e-05,0.0029021971820670624,True,GO:0012501,24546,0.058436252937840494,False,0.03647584845418149,True
GO:BP,GO:0012501,programmed cell death,"""A process which begins when a cell receives an internal or external signal and activates a series of biochemical events (signaling pathway). The process ends with the death of the cell."" [GOC:lr, GOC:mtg_apoptosis]",26,93,16,12,0.75,0.46153846153846156,2.0804280875032216e-05,0.0029021971820670624,True,GO:0008219,24546,0.058436252937840494,False,0.03647584845418149,True
GO:BP,GO:0048583,regulation of response to stimulus,"""Any process that modulates the frequency, rate or extent of a response to a stimulus. Response to stimulus is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus."" [GOC:jid]",37,93,16,14,0.875,0.3783783783783784,2.61077533502825e-05,0.0033992294862066445,True,GO:0050789;GO:0050896,24546,0.0684440861831006,False,0.04272272758240228,True
GO:BP,GO:0072359,circulatory system development,"""The process whose specific outcome is the progression of the circulatory system over time, from its formation to the mature structure. The circulatory system is the organ system that passes nutrients (such as amino acids and electrolytes), gases, hormones, blood cells, etc. to and from cells in the body to help fight diseases and help stabilize body temperature and pH to maintain homeostasis."" [GOC:mah, UBERON:0001009]",15,93,16,9,0.5625,0.6,3.6825163929205206e-05,0.0035959772576868586,True,GO:0048731,24546,0.07240563731760327,False,0.04519552369031355,True
GO:BP,GO:0045597,positive regulation of cell differentiation,"""Any process that activates or increases the frequency, rate or extent of cell differentiation."" [GOC:go_curators]",9,93,16,7,0.4375,0.7777777777777778,3.584381946745127e-05,0.0035959772576868586,True,GO:0030154;GO:0045595;GO:0048522;GO:0051094,24546,0.07240563731760327,False,0.04519552369031355,True
GO:BP,GO:0008219,cell death,"""Any biological process that results in permanent cessation of all vital functions of a cell. A cell should be considered dead when any one of the following molecular or morphological criteria is met: (1) the cell has lost the integrity of its plasma membrane; (2) the cell, including its nucleus, has undergone complete fragmentation into discrete bodies (frequently referred to as apoptotic bodies). The cell corpse (or its fragments) may be engulfed by an adjacent cell in vivo, but engulfment of whole cells should not be considered a strict criteria to define cell death as, under some circumstances, live engulfed cells can be released from phagosomes (see PMID:18045538)."" [GOC:mah, GOC:mtg_apoptosis, PMID:25236395]",27,93,16,12,0.75,0.4444444444444444,3.542665692438697e-05,0.0035959772576868586,True,GO:0009987,24546,0.07240563731760327,False,0.04519552369031355,True
GO:BP,GO:2001233,regulation of apoptotic signaling pathway,"""Any process that modulates the frequency, rate or extent of apoptotic signaling pathway."" [GOC:mtg_apoptosis]",9,93,16,7,0.4375,0.7777777777777778,3.584381946745127e-05,0.0035959772576868586,True,GO:0009966;GO:0042981;GO:0097190,24546,0.07240563731760327,False,0.04519552369031355,True
GO:BP,GO:0006950,response to stress,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a disturbance in organismal or cellular homeostasis, usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:mah]",44,93,16,15,0.9375,0.3409090909090909,3.067744287140577e-05,0.0035959772576868586,True,GO:0050896,24546,0.07240563731760327,False,0.04519552369031355,True
GO:BP,GO:0009628,response to abiotic stimulus,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an abiotic (not derived from living organisms) stimulus."" [GOC:hb]",19,93,16,10,0.625,0.5263157894736842,4.829240166702277e-05,0.003772602418227793,True,GO:0050896,24546,0.07596201612616013,False,0.04741541165274963,True
GO:BP,GO:0048646,anatomical structure formation involved in morphogenesis,"""The developmental process pertaining to the initial formation of an anatomical structure from unspecified parts. This process begins with the specific processes that contribute to the appearance of the discrete structure and ends when the structural rudiment is recognizable. An anatomical structure is any biological entity that occupies space and is distinguished from its surroundings. Anatomical structures can be macroscopic such as a carpel, or microscopic such as an acrosome."" [GOC:dph, GOC:jid, GOC:tb]",12,93,16,8,0.5,0.6666666666666666,4.3874553911279807e-05,0.003772602418227793,True,GO:0009653;GO:0032502,24546,0.07596201612616013,False,0.04741541165274963,True
