source,term_id,term_name,description,term_size,effective_domain_size,query_size,intersection_size,precision,recall,raw_p_hypergeom,gprofiler_fdr,gprofiler_significant,parents,tested_term_family_size,BH_FDR_all_GO_KEGG,BH_FDR_all_GO_KEGG_significant,BH_FDR_within_source,BH_FDR_within_source_significant
GO:CC,GO:0005667,transcription regulator complex,"""A protein complex that is capable of associating with DNA by direct binding, or via other DNA-binding proteins or complexes, and regulating transcription."" [GOC:jl]",8,93,16,4,0.25,0.5,0.02756053746800183,0.38357903872232807,True,GO:0032991,4069,1.0,False,1.0,False
GO:CC,GO:0005694,chromosome,"""A structure composed of a very long molecule of DNA and associated proteins (e.g. histones) that carries hereditary information."" [ISBN:0198547684]",16,93,16,6,0.375,0.375,0.02870319337378092,0.38357903872232807,True,GO:0043232,4069,1.0,False,1.0,False
GO:CC,GO:0000791,euchromatin,"""A dispersed and relatively uncompacted form of chromatin that is in a transcription-competent conformation."" [PMID:32017156]",2,93,16,2,0.125,1.0,0.028050490883592762,0.38357903872232807,True,GO:0000785,4069,1.0,False,1.0,False
GO:CC,GO:0005654,nucleoplasm,"""That part of the nuclear content other than the chromosomes or the nucleolus."" [GOC:ma, ISBN:0124325653]",24,93,16,8,0.5,0.3333333333333333,0.020550495120372495,0.38357903872232807,True,GO:0031981;GO:0110165,4069,1.0,False,1.0,False
GO:CC,GO:0010008,endosome membrane,"""The lipid bilayer surrounding an endosome."" [GOC:mah]",2,93,16,2,0.125,1.0,0.028050490883592762,0.38357903872232807,True,GO:0005768;GO:0030659;GO:0098588,4069,1.0,False,1.0,False
GO:CC,GO:0005768,endosome,"""A vacuole to which materials ingested by endocytosis are delivered."" [ISBN:0198506732, PMID:19696797]",4,93,16,3,0.1875,0.75,0.015391807818174738,0.38357903872232807,True,GO:0012505;GO:0031410,4069,1.0,False,1.0,False
GO:CC,GO:0005769,early endosome,"""A membrane-bounded organelle that receives incoming material from primary endocytic vesicles that have been generated by clathrin-dependent and clathrin-independent endocytosis; vesicles fuse with the early endosome to deliver cargo for sorting into recycling or degradation pathways."" [GOC:mah, NIF_Subcellular:nlx_subcell_20090701, PMID:19696797]",2,93,16,2,0.125,1.0,0.028050490883592762,0.38357903872232807,True,GO:0005768,4069,1.0,False,1.0,False
GO:CC,GO:0000785,chromatin,"""The ordered and organized complex of DNA, protein, and sometimes RNA, that forms the chromosome."" [GOC:elh, PMID:20404130]",15,93,16,6,0.375,0.4,0.020052577542178828,0.38357903872232807,True,GO:0005694;GO:0110165,4069,1.0,False,1.0,False
GO:CC,GO:0032991,protein-containing complex,"""A stable assembly of two or more macromolecules, i.e. proteins, nucleic acids, carbohydrates or lipids, in which at least one component is a protein and the constituent parts function together."" [GOC:dos, GOC:mah]",26,93,16,9,0.5625,0.34615384615384615,0.008744140592698308,0.38357903872232807,True,GO:0005575,4069,1.0,False,1.0,False
GO:CC,GO:0005637,nuclear inner membrane,"""The inner, i.e. lumen-facing, lipid bilayer of the nuclear envelope."" [GOC:ma]",2,93,16,2,0.125,1.0,0.028050490883592762,0.38357903872232807,True,GO:0019866;GO:0031965,4069,1.0,False,1.0,False
GO:CC,GO:0031965,nuclear membrane,"""Either of the lipid bilayers that surround the nucleus and form the nuclear envelope; excludes the intermembrane space."" [GOC:mah, GOC:pz]",2,93,16,2,0.125,1.0,0.028050490883592762,0.38357903872232807,True,GO:0005635;GO:0031090,4069,1.0,False,1.0,False
GO:CC,GO:0012505,endomembrane system,"""A collection of membranous structures involved in transport within the cell. The main components of the endomembrane system are endoplasmic reticulum, Golgi bodies, vesicles, cell membrane and nuclear envelope. Members of the endomembrane system pass materials through each other or though the use of vesicles."" [GOC:lh]",31,93,16,9,0.5625,0.2903225806451613,0.034862563171668894,0.4270663988529521,True,GO:0110165,4069,1.0,False,1.0,False
GO:CC,GO:0035525,NF-kappaB p50/p65 complex,"""A heterodimer of NF-kappa B p50 and p65 subunits."" [GO:add, PMID:20393192, PMID:9299584]",1,93,16,1,0.0625,1.0,0.17204301075268696,0.4598240469208213,True,GO:0071159,4069,1.0,False,1.0,False
GO:CC,GO:0035098,ESC/E(Z) complex,"""A multimeric protein complex that can methylate lysine-27 and lysine-9 residues of histone H3. In Drosophila the core subunits of the complex include ESC, E(Z), CAF1 (NURF-55) and SU(Z)12. In mammals the core subunits of the complex include EED, EZH2, SUZ12 and RBBP4."" [GOC:bf, GOC:krc, GOC:sp, PMID:12408863, PMID:12408864, PMID:17107999, PMID:20064375, PMID:31123059, PMID:33232890]",1,93,16,1,0.0625,1.0,0.17204301075268696,0.4598240469208213,True,GO:0031519;GO:0035097,4069,1.0,False,1.0,False
GO:CC,GO:0034272,"phosphatidylinositol 3-kinase complex, class III, type II","""A class III phosphatidylinositol 3-kinase complex that is involved in vacuolar protein sorting (VPS) via endosomes. In budding yeast, this complex consists of Vps30p, Vps34p, Vps38 and Vps15p."" [GOC:ha, GOC:rb, PMID:11157979, PMID:16421251]",1,93,16,1,0.0625,1.0,0.17204301075268696,0.4598240469208213,True,GO:0035032,4069,1.0,False,1.0,False
GO:CC,GO:0034271,"phosphatidylinositol 3-kinase complex, class III, type I","""A class III phosphatidylinositol 3-kinase complex that is involved in autophagy. In budding yeast, this complex consists of Vps30p, Vps34p, Apg14p and Vps15p."" [GOC:ha, GOC:rb, PMID:11157979, PMID:16421251]",1,93,16,1,0.0625,1.0,0.17204301075268696,0.4598240469208213,True,GO:0035032,4069,1.0,False,1.0,False
GO:CC,GO:0033553,rDNA heterochromatin,"""A region of heterochromatin located at the rDNA repeats in a chromosome."" [GOC:mah, PMID:20661445]",1,93,16,1,0.0625,1.0,0.17204301075268696,0.4598240469208213,True,GO:0000792,4069,1.0,False,1.0,False
GO:CC,GO:0032473,cytoplasmic side of mitochondrial outer membrane,"""The external (cytoplasmic) face of the mitochondrial outer membrane."" [GOC:mah]",1,93,16,1,0.0625,1.0,0.17204301075268696,0.4598240469208213,True,GO:0005741;GO:0098562,4069,1.0,False,1.0,False
GO:CC,GO:0031984,organelle subcompartment,"""A compartment that consists of a lumen and an enclosing membrane, and is part of an organelle."" [GOC:mah, GOC:pz]",7,93,16,3,0.1875,0.42857142857142855,0.09546251492983535,0.4598240469208213,True,GO:0043227;GO:0043229;GO:0110165,4069,1.0,False,1.0,False
GO:CC,GO:0035097,histone methyltransferase complex,"""A multimeric complex that is able to catalyze the addition of methyl groups to histone proteins."" [GOC:bf]",1,93,16,1,0.0625,1.0,0.17204301075268696,0.4598240469208213,True,GO:0005654;GO:0034708;GO:0140513,4069,1.0,False,1.0,False
GO:CC,GO:0035032,"phosphatidylinositol 3-kinase complex, class III","""A phosphatidylinositol 3-kinase complex that contains a catalytic class III phosphoinositide 3-kinase (PI3K) subunit bound to a regulatory (adaptor) subunit. Additional adaptor proteins may be present. Class III PI3Ks have a substrate specificity restricted to phosphatidylinositol (PI)."" [GOC:bf, PMID:9255069]",1,93,16,1,0.0625,1.0,0.17204301075268696,0.4598240469208213,True,GO:0005942,4069,1.0,False,1.0,False
GO:CC,GO:1990234,transferase complex,"""A protein complex capable of catalyzing the transfer of a group, e.g. a methyl group, glycosyl group, acyl group, phosphorus-containing, or other groups, from one compound (generally regarded as the donor) to another compound (generally regarded as the acceptor)."" [GOC:bhm, PMID:16540464]",3,93,16,2,0.125,0.6666666666666666,0.07552055237889922,0.4598240469208213,True,GO:1902494,4069,1.0,False,1.0,False
GO:CC,GO:1902494,catalytic complex,"""A protein complex which is capable of catalytic activity."" [GOC:bhm, GOC:TermGenie, PMID:8077207]",4,93,16,2,0.125,0.5,0.13564929693962202,0.4598240469208213,True,GO:0032991,4069,1.0,False,1.0,False
GO:CC,GO:0140513,nuclear protein-containing complex,"""A stable assembly of two or more macromolecules, i.e. proteins, nucleic acids, carbohydrates or lipids, in which at least one component is a protein and the constituent parts function together in the nucleus."" [GOC:pg]",11,93,16,4,0.25,0.36363636363636365,0.09164678894430167,0.4598240469208213,True,GO:0005634;GO:0032991,4069,1.0,False,1.0,False
