source,term_id,term_name,description,term_size,effective_domain_size,query_size,intersection_size,precision,recall,raw_p_hypergeom,gprofiler_fdr,gprofiler_significant,parents,tested_term_family_size,BH_FDR_all_GO_KEGG,BH_FDR_all_GO_KEGG_significant,BH_FDR_within_source,BH_FDR_within_source_significant
KEGG,KEGG:05200,Pathways in cancer,Pathways in cancer,16,93,16,9,0.5625,0.5625,7.746170157961237e-05,0.01022494460850849,True,KEGG:00000,586,0.09006366200446145,False,0.04539255712565285,True
KEGG,KEGG:05167,Kaposi sarcoma-associated herpesvirus infection,Kaposi sarcoma-associated herpesvirus infection,5,93,16,4,0.25,0.8,0.0027805355507580145,0.0569640737943683,True,KEGG:00000,586,0.7646278321539033,False,0.2528859639659094,False
KEGG,KEGG:05010,Alzheimer disease,Alzheimer disease,5,93,16,4,0.25,0.8,0.0027805355507580145,0.0569640737943683,True,KEGG:00000,586,0.7646278321539033,False,0.2528859639659094,False
KEGG,KEGG:04670,Leukocyte transendothelial migration,Leukocyte transendothelial migration,3,93,16,3,0.1875,1.0,0.0043154601359370204,0.0569640737943683,True,KEGG:00000,586,0.9324239251955351,False,0.2528859639659094,False
KEGG,KEGG:04310,Wnt signaling pathway,Wnt signaling pathway,3,93,16,3,0.1875,1.0,0.0043154601359370204,0.0569640737943683,True,KEGG:00000,586,0.9324239251955351,False,0.2528859639659094,False
KEGG,KEGG:04933,AGE-RAGE signaling pathway in diabetic complications,AGE-RAGE signaling pathway in diabetic complications,3,93,16,3,0.1875,1.0,0.0043154601359370204,0.0569640737943683,True,KEGG:00000,586,0.9324239251955351,False,0.2528859639659094,False
KEGG,KEGG:05221,Acute myeloid leukemia,Acute myeloid leukemia,3,93,16,3,0.1875,1.0,0.0043154601359370204,0.0569640737943683,True,KEGG:00000,586,0.9324239251955351,False,0.2528859639659094,False
KEGG,KEGG:04066,HIF-1 signaling pathway,HIF-1 signaling pathway,3,93,16,3,0.1875,1.0,0.0043154601359370204,0.0569640737943683,True,KEGG:00000,586,0.9324239251955351,False,0.2528859639659094,False
KEGG,KEGG:01522,Endocrine resistance,Endocrine resistance,3,93,16,3,0.1875,1.0,0.0043154601359370204,0.0569640737943683,True,KEGG:00000,586,0.9324239251955351,False,0.2528859639659094,False
KEGG,KEGG:05205,Proteoglycans in cancer,Proteoglycans in cancer,5,93,16,4,0.25,0.8,0.0027805355507580145,0.0569640737943683,True,KEGG:00000,586,0.7646278321539033,False,0.2528859639659094,False
KEGG,KEGG:05206,MicroRNAs in cancer,MicroRNAs in cancer,6,93,16,4,0.25,0.6666666666666666,0.007438107694974472,0.08925729233969457,True,KEGG:00000,586,1.0,False,0.3962482826595492,False
KEGG,KEGG:04917,Prolactin signaling pathway,Prolactin signaling pathway,4,93,16,3,0.1875,0.75,0.015391807818174738,0.11343496629921929,True,KEGG:00000,586,1.0,False,0.5035825019041162,False
KEGG,KEGG:04657,IL-17 signaling pathway,IL-17 signaling pathway,4,93,16,3,0.1875,0.75,0.015391807818174738,0.11343496629921929,True,KEGG:00000,586,1.0,False,0.5035825019041162,False
KEGG,KEGG:05161,Hepatitis B,Hepatitis B,4,93,16,3,0.1875,0.75,0.015391807818174738,0.11343496629921929,True,KEGG:00000,586,1.0,False,0.5035825019041162,False
KEGG,KEGG:04926,Relaxin signaling pathway,Relaxin signaling pathway,4,93,16,3,0.1875,0.75,0.015391807818174738,0.11343496629921929,True,KEGG:00000,586,1.0,False,0.5035825019041162,False
KEGG,KEGG:04148,Efferocytosis,Efferocytosis,7,93,16,4,0.25,0.5714285714285714,0.01546840449534828,0.11343496629921929,True,KEGG:00000,586,1.0,False,0.5035825019041162,False
KEGG,KEGG:05415,Diabetic cardiomyopathy,Diabetic cardiomyopathy,4,93,16,3,0.1875,0.75,0.015391807818174738,0.11343496629921929,True,KEGG:00000,586,1.0,False,0.5035825019041162,False
KEGG,KEGG:05022,Pathways of neurodegeneration - multiple diseases,Pathways of neurodegeneration - multiple diseases,7,93,16,4,0.25,0.5714285714285714,0.01546840449534828,0.11343496629921929,True,KEGG:00000,586,1.0,False,0.5035825019041162,False
KEGG,KEGG:05321,Inflammatory bowel disease,Inflammatory bowel disease,2,93,16,2,0.125,1.0,0.028050490883592762,0.12342215988779805,True,KEGG:00000,586,1.0,False,0.5479195885928453,False
KEGG,KEGG:05235,PD-L1 expression and PD-1 checkpoint pathway in cancer,PD-L1 expression and PD-1 checkpoint pathway in cancer,2,93,16,2,0.125,1.0,0.028050490883592762,0.12342215988779805,True,KEGG:00000,586,1.0,False,0.5479195885928453,False
KEGG,KEGG:04064,NF-kappa B signaling pathway,NF-kappa B signaling pathway,2,93,16,2,0.125,1.0,0.028050490883592762,0.12342215988779805,True,KEGG:00000,586,1.0,False,0.5479195885928453,False
KEGG,KEGG:04152,AMPK signaling pathway,AMPK signaling pathway,2,93,16,2,0.125,1.0,0.028050490883592762,0.12342215988779805,True,KEGG:00000,586,1.0,False,0.5479195885928453,False
KEGG,KEGG:04625,C-type lectin receptor signaling pathway,C-type lectin receptor signaling pathway,2,93,16,2,0.125,1.0,0.028050490883592762,0.12342215988779805,True,KEGG:00000,586,1.0,False,0.5479195885928453,False
KEGG,KEGG:04068,FoxO signaling pathway,FoxO signaling pathway,2,93,16,2,0.125,1.0,0.028050490883592762,0.12342215988779805,True,KEGG:00000,586,1.0,False,0.5479195885928453,False
KEGG,KEGG:05219,Bladder cancer,Bladder cancer,2,93,16,2,0.125,1.0,0.028050490883592762,0.12342215988779805,True,KEGG:00000,586,1.0,False,0.5479195885928453,False
KEGG,KEGG:05170,Human immunodeficiency virus 1 infection,Human immunodeficiency virus 1 infection,2,93,16,2,0.125,1.0,0.028050490883592762,0.12342215988779805,True,KEGG:00000,586,1.0,False,0.5479195885928453,False
KEGG,KEGG:05212,Pancreatic cancer,Pancreatic cancer,2,93,16,2,0.125,1.0,0.028050490883592762,0.12342215988779805,True,KEGG:00000,586,1.0,False,0.5479195885928453,False
KEGG,KEGG:05140,Leishmaniasis,Leishmaniasis,2,93,16,2,0.125,1.0,0.028050490883592762,0.12342215988779805,True,KEGG:00000,586,1.0,False,0.5479195885928453,False
KEGG,KEGG:05169,Epstein-Barr virus infection,Epstein-Barr virus infection,2,93,16,2,0.125,1.0,0.028050490883592762,0.12342215988779805,True,KEGG:00000,586,1.0,False,0.5479195885928453,False
KEGG,KEGG:05016,Huntington disease,Huntington disease,2,93,16,2,0.125,1.0,0.028050490883592762,0.12342215988779805,True,KEGG:00000,586,1.0,False,0.5479195885928453,False
KEGG,KEGG:04062,Chemokine signaling pathway,Chemokine signaling pathway,5,93,16,3,0.1875,0.6,0.03430871621930315,0.13723486487720535,True,KEGG:00000,586,1.0,False,0.6092396274094438,False
KEGG,KEGG:04211,Longevity regulating pathway,Longevity regulating pathway,5,93,16,3,0.1875,0.6,0.03430871621930315,0.13723486487720535,True,KEGG:00000,586,1.0,False,0.6092396274094438,False
