condition,sender_subtype,receiver_state,receiver_group,ligand,receptor,pathway,category,sender_cells,receiver_cells,ligand_mean,ligand_detection_fraction,receptor_mean,receptor_detection_fraction,communication_score,ligand_components_present,receptor_components_present
tumor,SPP1_like_TAM,CMS1,tumor_epithelial,SPP1,CD44,SPP1,Secreted Signaling,185,758,3.5185468196868896,0.8162162162162162,0.5276780724525452,0.5105540897097626,0.8796090319073271,1,1
tumor,SPP1_like_TAM,CMS2,tumor_epithelial,SPP1,CD44,SPP1,Secreted Signaling,185,620,3.5185468196868896,0.8162162162162162,0.19708217680454254,0.21290322580645157,0.34713553470318853,1,1
tumor,SPP1_like_TAM,CMS3,tumor_epithelial,SPP1,CD44,SPP1,Secreted Signaling,185,804,3.5185468196868896,0.8162162162162162,0.49735817313194275,0.5199004975124378,0.8617454970011216,1,1
tumor,SPP1_like_TAM,CMS4,tumor_epithelial,SPP1,CD44,SPP1,Secreted Signaling,185,30,3.5185468196868896,0.8162162162162162,0.29226410388946533,0.2,0.40971985804487154,1,1
tumor,SPP1_like_TAM,tumor_epithelial,tumor_epithelial,SPP1,CD44,SPP1,Secreted Signaling,185,2212,3.5185468196868896,0.8162162162162162,0.42080238461494446,0.42631103074141047,0.7177722398388845,1,1
tumor,SPP1_like_TAM,CMS1,tumor_epithelial,SPP1,ITGAV+ITGB1,SPP1,ECM-Receptor,185,758,3.5185468196868896,0.8162162162162162,0.36642613440984595,0.3806177204726299,0.6328809145896073,1,2
tumor,SPP1_like_TAM,CMS2,tumor_epithelial,SPP1,ITGAV+ITGB1,SPP1,ECM-Receptor,185,620,3.5185468196868896,0.8162162162162162,0.10961729123665934,0.14335797447283205,0.21243923932600134,1,2
tumor,SPP1_like_TAM,CMS3,tumor_epithelial,SPP1,ITGAV+ITGB1,SPP1,ECM-Receptor,185,804,3.5185468196868896,0.8162162162162162,0.4033640292272618,0.4589400555678149,0.7291398622097274,1,2
tumor,SPP1_like_TAM,CMS4,tumor_epithelial,SPP1,ITGAV+ITGB1,SPP1,ECM-Receptor,185,30,3.5185468196868896,0.8162162162162162,0.2053809174752114,0.10540925533894598,0.24934673971913357,1,2
tumor,SPP1_like_TAM,tumor_epithelial,tumor_epithelial,SPP1,ITGAV+ITGB1,SPP1,ECM-Receptor,185,2212,3.5185468196868896,0.8162162162162162,0.307405402455198,0.3403555705399117,0.5481588825760932,1,2
tumor,SPP1_like_TAM,CMS1,tumor_epithelial,SPP1,ITGAV+ITGB5,SPP1,ECM-Receptor,185,758,3.5185468196868896,0.8162162162162162,0.2109932467172493,0.2750588446526764,0.40825485806202344,1,2
tumor,SPP1_like_TAM,CMS2,tumor_epithelial,SPP1,ITGAV+ITGB5,SPP1,ECM-Receptor,185,620,3.5185468196868896,0.8162162162162162,0.045662376368802556,0.08144762047066192,0.10334815589963138,1,2
tumor,SPP1_like_TAM,CMS3,tumor_epithelial,SPP1,ITGAV+ITGB5,SPP1,ECM-Receptor,185,804,3.5185468196868896,0.8162162162162162,0.2180390665752459,0.3108557084937972,0.44119527961073834,1,2
