gene_symbol,CTD,ToxCast,Tox21,T3DB,exposure_support_count,CTD_raw_row_count,CTD_unique_chemical_gene_pairs,CTD_unique_pmids,CTD_single_chemical_evidence,CTD_cotreatment_evidence,ToxCast_active_assay_count,ToxCast_active_assay_sources,ToxCast_active_endpoints,Tox21_active_assay_count,Tox21_active_endpoints,T3DB_target_count,T3DB_uniprot_ids
ABCC4,1,0,0,0,1,2,1,1,0,1,0,,,0,,0,
ADAMTS1,1,0,0,0,1,1,1,1,0,1,0,,,0,,0,
AHSG,1,0,0,0,1,1,1,1,0,1,0,,,0,,0,
AKR1C1,1,0,0,0,1,2,1,1,0,1,0,,,0,,0,
AKR1C3,1,0,0,0,1,2,1,1,0,1,0,,,0,,0,
ATF4,1,0,0,0,1,5,1,1,1,0,0,,,0,,0,
ATG5,1,0,0,0,1,3,1,1,1,0,0,,,0,,0,
BACE1,0,1,0,0,1,0,0,0,0,0,1,NVS,NVS_ENZ_hBACE,0,,0,
BECN1,1,0,0,0,1,3,1,1,1,0,0,,,0,,0,
C4BPA,1,0,0,0,1,1,1,1,0,1,0,,,0,,0,
CA5B,1,0,0,0,1,1,1,1,1,0,0,,,0,,0,
CA9,1,0,0,0,1,1,1,1,0,1,0,,,0,,0,
CADM3,1,0,0,0,1,1,1,1,0,1,0,,,0,,0,
CASP14,1,0,0,0,1,1,1,1,0,1,0,,,0,,0,
CCL20,1,0,0,0,1,1,1,1,0,1,0,,,0,,0,
CGA,1,0,0,0,1,40,1,2,0,1,0,,,0,,0,
CPS1,1,0,0,0,1,1,1,1,0,1,0,,,0,,0,
CRP,1,0,0,0,1,1,1,1,0,1,0,,,0,,0,
CXCL13,1,0,0,0,1,1,1,1,0,1,0,,,0,,0,
CXCR4,1,0,0,0,1,1,1,1,0,1,0,,,0,,0,
CYP11A1,1,0,0,0,1,1,1,1,0,1,0,,,0,,0,
CYP1A2,0,0,1,0,1,0,0,0,0,0,0,,,1,TOX21_p450_CYP1A2_Antagonist,0,
CYP2A6,1,0,0,0,1,1,1,1,0,1,0,,,0,,0,
CYP2C9,0,0,1,0,1,0,0,0,0,0,0,,,1,TOX21_p450_CYP2C9_Antagonist,0,
CYP3A4,0,0,1,0,1,0,0,0,0,0,0,,,1,TOX21_p450_CYP3A4_Antagonist,0,
DDIT4,1,0,0,0,1,7,1,1,1,0,0,,,0,,0,
DKK1,1,0,0,0,1,1,1,1,0,1,0,,,0,,0,
