subset_label,gene_symbol,CTD,ToxCast,ChEMBL,exposure_support_count,CTD_direction,CTD_action,CTD_raw_row_count,CTD_unique_chemical_gene_pairs,CTD_unique_pmids,CTD_single_chemical_evidence,CTD_cotreatment_evidence,ToxCast_assay_count,ChEMBL_record_count,GeneCards,DisGeNET,OpenTargets,disease_support_count,GeneCards_score,DisGeNET_score,OpenTargets_score,total_support_count
all_intersection,ABCC4,1,0,0,1,affects;decreases;increases,affects^cotreatment;decreases^expression;decreases^reaction;increases^expression,2,1,1,0,1,0,0,1,0,1,2,4.9,,0.09975404590720839,3
all_intersection,ADAMTS1,1,0,0,1,affects,affects^cotreatment;affects^expression;affects^reaction,1,1,1,0,1,0,0,0,0,1,1,,,0.055856668597497126,2
all_intersection,AHSG,1,0,0,1,affects;decreases,affects^cotreatment;decreases^expression,1,1,1,0,1,0,0,0,0,1,1,,,0.0487603582840481,2
all_intersection,AKR1C1,1,0,0,1,affects,affects^cotreatment;affects^expression;affects^reaction,2,1,1,0,1,0,0,0,0,1,1,,,0.09116565514266925,2
all_intersection,AKR1C3,1,0,0,1,affects;decreases,affects^cotreatment;decreases^expression;decreases^reaction,2,1,1,0,1,0,0,0,0,1,1,,,0.04592312525950439,2
all_intersection,ATF4,1,0,0,1,increases,increases^expression;increases^reaction,5,1,1,1,0,0,0,1,0,1,2,3.6,,0.09664821571226512,3
all_intersection,ATG5,1,0,0,1,increases,increases^expression;increases^reaction,3,1,1,1,0,0,0,1,0,1,2,7.9,,0.09473157400059815,3
all_intersection,BECN1,1,0,0,1,increases,increases^expression;increases^reaction,3,1,1,1,0,0,0,1,0,1,2,11.9,,0.1152964865093506,3
all_intersection,C4BPA,1,0,0,1,affects;decreases,affects^cotreatment;decreases^expression,1,1,1,0,1,0,0,0,0,1,1,,,0.04674619348206892,2
all_intersection,CA9,1,0,0,1,affects;decreases,affects^cotreatment;decreases^expression,1,1,1,0,1,0,0,1,0,1,2,8.7,,0.1279618791940646,3
all_intersection,CADM3,1,0,0,1,affects;decreases,affects^cotreatment;decreases^expression,1,1,1,0,1,0,0,0,0,1,1,,,0.03530614326648163,2
all_intersection,CASP14,1,0,0,1,affects;decreases,affects^cotreatment;decreases^expression,1,1,1,0,1,0,0,0,0,1,1,,,0.014382816011479645,2
all_intersection,CCL20,1,0,0,1,affects;decreases,affects^cotreatment;decreases^expression,1,1,1,0,1,0,0,1,0,1,2,9.5,,0.11774568876429753,3
all_intersection,CGA,1,0,0,1,affects;decreases;increases,affects^cotreatment;affects^expression;affects^reaction;decreases^expression;decreases^reaction;increases^abundance;increases^expression,40,1,2,0,1,0,0,0,0,1,1,,,0.06529705498061417,2
all_intersection,CPS1,1,0,0,1,affects;decreases,affects^cotreatment;decreases^expression,1,1,1,0,1,0,0,0,0,1,1,,,0.06823957019963267,2
all_intersection,CRP,1,0,0,1,affects;decreases,affects^cotreatment;decreases^expression,1,1,1,0,1,0,0,1,0,1,2,23.6,,0.12079916991625102,3
all_intersection,CXCL13,1,0,0,1,affects;decreases,affects^cotreatment;decreases^expression,1,1,1,0,1,0,0,0,0,1,1,,,0.10954225230494494,2
all_intersection,CXCR4,1,0,0,1,affects;increases,affects^cotreatment;affects^reaction;increases^expression,1,1,1,0,1,0,0,1,0,1,2,16.6,,0.44561460410197107,3
all_intersection,CYP11A1,1,0,0,1,affects;increases,affects^cotreatment;affects^reaction;increases^expression,1,1,1,0,1,0,0,0,0,1,1,,,0.011974462134809771,2
all_intersection,CYP2A6,1,0,0,1,affects;increases,affects^cotreatment;increases^expression,1,1,1,0,1,0,0,1,0,1,2,4.0,,0.04283795817501075,3
all_intersection,DDIT4,1,0,0,1,increases,increases^expression;increases^reaction,7,1,1,1,0,0,0,0,0,1,1,,,0.090344312055115,2
all_intersection,DKK1,1,0,0,1,affects;decreases,affects^cotreatment;decreases^expression,1,1,1,0,1,0,0,1,0,1,2,12.5,,0.13900514415904197,3
all_intersection,DPT,1,0,0,1,affects;decreases,affects^cotreatment;decreases^expression,1,1,1,0,1,0,0,0,0,1,1,,,0.04492784597638618,2
all_intersection,DUSP1,1,0,0,1,affects;increases,affects^cotreatment;increases^expression;increases^reaction,2,1,1,1,1,0,0,0,0,1,1,,,0.05777968984593972,2
all_intersection,ESR1,1,0,0,1,decreases;increases,decreases^reaction;increases^activity,1,1,1,1,0,0,0,1,0,1,2,15.1,,0.44359283745283135,3
all_intersection,FLG,1,0,0,1,affects,affects^abundance;affects^response to substance,1,1,1,1,0,0,0,0,0,1,1,,,0.010491494971534189,2
all_intersection,GSTA2,1,0,0,1,affects;increases,affects^cotreatment;increases^expression,1,1,1,0,1,0,0,0,0,1,1,,,0.04003159305842688,2
all_intersection,HPGD,1,0,0,1,affects;decreases,affects^cotreatment;decreases^expression;decreases^reaction,2,1,1,0,1,0,0,1,0,1,2,8.1,,0.0872684514166338,3
all_intersection,HSD3B2,1,0,0,1,affects;increases,affects^cotreatment;affects^reaction;increases^expression,1,1,1,0,1,0,0,0,0,1,1,,,0.0461294127075778,2
all_intersection,HSPA1A,1,0,0,1,increases,increases^methylation,1,1,1,1,0,0,0,1,0,1,2,6.8,,0.10248523410290747,3
all_intersection,HSPA1L,1,0,0,1,increases,increases^methylation,1,1,1,1,0,0,0,0,0,1,1,,,0.03436871251611191,2
all_intersection,IGFBP1,1,0,0,1,affects;decreases,affects^cotreatment;decreases^expression,1,1,1,0,1,0,0,1,0,1,2,3.9,,0.0860665440824603,3
all_intersection,LUM,1,0,0,1,affects;decreases,affects^cotreatment;decreases^expression,1,1,1,0,1,0,0,0,0,1,1,,,0.05716535208768435,2
all_intersection,MAP1LC3B,1,0,0,1,increases,increases^expression;increases^reaction,3,1,1,1,0,0,0,1,0,1,2,7.4,,0.09243324016806351,3
all_intersection,MMP2,1,0,0,1,decreases,decreases^expression,1,1,1,1,0,0,0,1,0,1,2,22.1,,0.12397873112343949,3
all_intersection,MMP9,1,0,0,1,affects,affects^expression,1,1,1,1,0,0,0,1,0,1,2,23.7,,0.12616035305467896,3
all_intersection,NEAT1,1,0,0,1,affects;decreases,affects^cotreatment;decreases^expression,1,1,1,0,1,0,0,1,0,1,2,19.6,,0.11881408426664597,3
all_intersection,NR1I2,1,0,0,1,affects;increases,affects^binding;increases^activity,3,1,3,1,0,0,0,1,0,1,2,9.7,,0.10921251303596125,3
all_intersection,NR1I3,1,0,0,1,affects;increases,affects^binding;increases^activity,2,1,2,1,0,0,0,0,0,1,1,,,0.03060859687083273,2
all_intersection,NR3C1,1,0,0,1,affects;increases,affects^cotreatment;increases^activity;increases^reaction,2,1,1,1,1,0,0,0,0,1,1,,,0.3861902214325396,2
all_intersection,OMD,1,0,0,1,affects;decreases,affects^cotreatment;decreases^expression,1,1,1,0,1,0,0,0,0,1,1,,,0.2639929434226974,2
all_intersection,PARP10,1,0,0,1,increases,increases^methylation,1,1,1,1,0,0,0,0,0,1,1,,,0.05299118085325851,2
all_intersection,PGR,1,0,0,1,affects;decreases;increases,affects^cotreatment;decreases^reaction;increases^expression,2,1,1,0,1,0,0,1,0,1,2,4.3,,0.06159327306149363,3
all_intersection,PLA2G4A,1,0,0,1,affects;decreases,affects^cotreatment;affects^reaction;decreases^expression,1,1,1,0,1,0,0,1,0,1,2,3.7,,0.0476348116572022,3
all_intersection,PLAC8,1,0,0,1,affects;decreases,affects^cotreatment;decreases^expression,1,1,1,0,1,0,0,0,0,1,1,,,0.09950989803805872,2
all_intersection,PPARA,1,0,0,1,affects,affects^binding,1,1,1,1,0,0,0,1,0,1,2,9.6,,0.09750255771859456,3
all_intersection,PPARD,1,0,0,1,affects,affects^binding,1,1,1,1,0,0,0,1,0,1,2,15.8,,0.12561597067540708,3
all_intersection,PPARG,1,0,0,1,affects;increases,affects^activity;affects^binding;increases^activity,3,1,3,1,0,0,0,1,0,1,2,36.7,,0.5893755515633613,3
all_intersection,PTGER1,1,0,0,1,affects;decreases,affects^cotreatment;affects^reaction;decreases^expression;decreases^reaction,2,1,1,0,1,0,0,0,0,1,1,,,0.02818355480039779,2
all_intersection,PTGER2,1,0,0,1,affects,affects^cotreatment;affects^expression;affects^reaction,2,1,1,0,1,0,0,1,0,1,2,4.8,,0.04431235795898724,3
all_intersection,PTGER3,1,0,0,1,affects,affects^cotreatment;affects^expression;affects^reaction,2,1,1,0,1,0,0,0,0,1,1,,,0.02050863188675833,2
