GeneCards_Rank,GeneSymbol,GeneName,GeneType,RelevanceScore,KnowledgeScore,gene_symbol
1,POLD1,"DNA Polymerase Delta 1, Catalytic Subunit",Protein Coding,233.3,100,POLD1
2,MLH1,MutL Homolog 1,Protein Coding,179.5,100,MLH1
3,AXIN2,Axin 2,Protein Coding,170.3,100,AXIN2
4,APC,APC Regulator Of Wnt Signaling Pathway,Protein Coding,149.1,100,APC
5,POLE,"DNA Polymerase Epsilon, Catalytic Subunit",Protein Coding,143.5,100,POLE
6,MLH3,MutL Homolog 3,Protein Coding,117.3,89,MLH3
7,BRAF,"B-Raf Proto-Oncogene, Serine/Threonine Kinase",Protein Coding,114.3,100,BRAF
8,MSH2,MutS Homolog 2,Protein Coding,103.9,100,MSH2
9,KRAS,"KRAS Proto-Oncogene, GTPase",Protein Coding,98.5,100,KRAS
10,MSH6,MutS Homolog 6,Protein Coding,94.1,100,MSH6
11,TP53,Tumor Protein P53,Protein Coding,90.2,100,TP53
12,GALNT12,Polypeptide N-Acetylgalactosaminyltransferase 12,Protein Coding,84.2,84,GALNT12
13,CTNNB1,Catenin Beta 1,Protein Coding,76.2,100,CTNNB1
14,MUTYH,MutY DNA Glycosylase,Protein Coding,72.6,96,MUTYH
15,PMS2,"PMS1 Homolog 2, Mismatch Repair System Component",Protein Coding,70.2,99,PMS2
16,PIK3CA,"Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Catalytic Subunit Alpha",Protein Coding,68.8,100,PIK3CA
17,ATM,ATM Serine/Threonine Kinase,Protein Coding,67.3,100,ATM
18,EGFR,Epidermal Growth Factor Receptor,Protein Coding,64.9,100,EGFR
19,DLC1,DLC1 Rho GTPase Activating Protein,Protein Coding,64.0,96,DLC1
20,FLCN,Folliculin,Protein Coding,64.0,91,FLCN
21,CHEK2,Checkpoint Kinase 2,Protein Coding,58.6,100,CHEK2
22,SMAD4,SMAD Family Member 4,Protein Coding,55.2,100,SMAD4
23,PTEN,Phosphatase And Tensin Homolog,Protein Coding,54.6,100,PTEN
24,NRAS,"NRAS Proto-Oncogene, GTPase",Protein Coding,52.3,97,NRAS
25,BRCA2,BRCA2 DNA Repair Associated,Protein Coding,50.0,100,BRCA2
26,ERBB2,Erb-B2 Receptor Tyrosine Kinase 2,Protein Coding,49.6,100,ERBB2
27,TGFBR2,Transforming Growth Factor Beta Receptor 2,Protein Coding,49.2,100,TGFBR2
28,CDH1,Cadherin 1,Protein Coding,48.4,100,CDH1
29,EPCAM,Epithelial Cell Adhesion Molecule,Protein Coding,47.7,94,EPCAM
30,DCC,DCC Netrin 1 Receptor,Protein Coding,46.7,100,DCC
31,CCND1,Cyclin D1,Protein Coding,46.5,91,CCND1
32,AKT1,AKT Serine/Threonine Kinase 1,Protein Coding,46.4,100,AKT1
33,BRCA1,BRCA1 DNA Repair Associated,Protein Coding,46.0,100,BRCA1
34,PALB2,Partner And Localizer Of BRCA2,Protein Coding,44.8,98,PALB2
35,MYC,"MYC Proto-Oncogene, BHLH Transcription Factor",Protein Coding,43.2,95,MYC
36,BUB1B,BUB1 Mitotic Checkpoint Serine/Threonine Kinase B,Protein Coding,42.7,100,BUB1B
37,PMS1,"PMS1 Homolog 1, Mismatch Repair System Component",Protein Coding,42.6,79,PMS1
38,BMPR1A,Bone Morphogenetic Protein Receptor Type 1A,Protein Coding,42.5,100,BMPR1A
39,FGFR3,Fibroblast Growth Factor Receptor 3,Protein Coding,42.4,100,FGFR3
40,COLCA1,Colorectal Cancer Associated 1,RNA Gene,42.1,58,COLCA1
41,MSH3,MutS Homolog 3,Protein Coding,41.6,93,MSH3
42,STK11,Serine/Threonine Kinase 11,Protein Coding,40.9,100,STK11
43,CTNNA1,Catenin Alpha 1,Protein Coding,39.9,100,CTNNA1
44,PTGS2,Prostaglandin-Endoperoxide Synthase 2,Protein Coding,39.9,91,PTGS2
45,BAX,"BCL2 Associated X, Apoptosis Regulator",Protein Coding,39.4,92,BAX
46,SMAD7,SMAD Family Member 7,Protein Coding,38.1,93,SMAD7
47,GREM1,"Gremlin 1, DAN Family BMP Antagonist",Protein Coding,37.8,89,GREM1
48,EP300,EP300 Lysine Acetyltransferase,Protein Coding,37.6,100,EP300
49,MET,"MET Proto-Oncogene, Receptor Tyrosine Kinase",Protein Coding,36.9,100,MET
50,PPARG,Peroxisome Proliferator Activated Receptor Gamma,Protein Coding,36.7,100,PPARG
51,H19,H19 Imprinted Maternally Expressed Transcript,RNA Gene,36.3,66,H19
52,VEGFA,Vascular Endothelial Growth Factor A,Protein Coding,35.5,97,VEGFA
53,NTHL1,Nth Like DNA Glycosylase 1,Protein Coding,35.1,94,NTHL1
54,TYMS,Thymidylate Synthetase,Protein Coding,34.6,92,TYMS
55,RPS20,Ribosomal Protein S20,Protein Coding,34.6,99,RPS20
56,BLM,BLM RecQ Like Helicase,Protein Coding,34.1,100,BLM
57,ARID1A,AT-Rich Interaction Domain 1A,Protein Coding,33.6,100,ARID1A
58,RAD51D,RAD51 Paralog D,Protein Coding,33.4,97,RAD51D
59,RNF43,Ring Finger Protein 43,Protein Coding,33.4,89,RNF43
60,NFKB1,Nuclear Factor Kappa B Subunit 1,Protein Coding,32.8,100,NFKB1
61,RET,Ret Proto-Oncogene,Protein Coding,32.6,100,RET
62,BRIP1,BRCA1 Interacting DNA Helicase 1,Protein Coding,32.2,100,BRIP1
63,FBXW7,F-Box And WD Repeat Domain Containing 7,Protein Coding,31.9,100,FBXW7
64,C11orf65,Chromosome 11 Open Reading Frame 65,Protein Coding,31.9,69,C11ORF65
65,MCC,MCC Regulator Of Wnt Signaling Pathway,Protein Coding,31.9,75,MCC
66,TCF7L2,Transcription Factor 7 Like 2,Protein Coding,31.6,100,TCF7L2
67,MIR21,MicroRNA 21,RNA Gene,31.1,73,MIR21
68,RAD51C,RAD51 Paralog C,Protein Coding,31.1,100,RAD51C
69,MIR215,MicroRNA 215,RNA Gene,30.7,58,MIR215
70,STAT3,Signal Transducer And Activator Of Transcription 3,Protein Coding,30.7,100,STAT3
71,FLT1,Fms Related Receptor Tyrosine Kinase 1,Protein Coding,29.8,97,FLT1
72,SEPTIN9,Septin 9,Protein Coding,29.8,90,SEPTIN9
73,NFE2L2,NFE2 Like BZIP Transcription Factor 2,Protein Coding,29.8,100,NFE2L2
74,AURKA,Aurora Kinase A,Protein Coding,29.6,91,AURKA
75,HRAS,"HRas Proto-Oncogene, GTPase",Protein Coding,29.6,100,HRAS
76,CDKN2A,Cyclin Dependent Kinase Inhibitor 2A,Protein Coding,29.3,100,CDKN2A
77,FGFR2,Fibroblast Growth Factor Receptor 2,Protein Coding,29.1,100,FGFR2
78,CCAT1,Colon Cancer Associated Transcript 1,RNA Gene,29.1,56,CCAT1
79,KDR,Kinase Insert Domain Receptor,Protein Coding,29.0,99,KDR
80,IGF2,Insulin Like Growth Factor 2,Protein Coding,28.5,98,IGF2
81,CD274,CD274 Molecule,Protein Coding,28.3,89,CD274
82,XIST,X Inactive Specific Transcript,RNA Gene,28.0,62,XIST
83,GAS5,Growth Arrest Specific 5,RNA Gene,27.8,58,GAS5
84,TLR2,Toll Like Receptor 2,Protein Coding,27.6,96,TLR2
85,CRCS2,"Colorectal Cancer, Susceptibility To, 2",Genetic Locus,27.6,29,CRCS2
86,MIR133B,MicroRNA 133b,RNA Gene,27.5,65,MIR133B
87,MEG3,Maternally Expressed 3,RNA Gene,27.4,67,MEG3
88,CRCS11,"Colorectal Cancer, Susceptibility To, 11",Genetic Locus,27.3,27,CRCS11
89,CRCS5,"Colorectal Cancer, Susceptibility To, 5",Genetic Locus,27.3,27,CRCS5
90,CRCS6,"Colorectal Cancer, Susceptibility To, 6",Genetic Locus,27.3,27,CRCS6
91,CRCS9,"Colorectal Cancer, Susceptibility To, 9",Genetic Locus,27.3,27,CRCS9
92,FANCC,FA Complementation Group C,Protein Coding,26.8,91,FANCC
93,SMAD2,SMAD Family Member 2,Protein Coding,26.5,100,SMAD2
94,CRCS7,"Colorectal Cancer, Susceptibility To, 7",Genetic Locus,26.5,24,CRCS7
95,CRCS8,"Colorectal Cancer, Susceptibility To, 8",Genetic Locus,26.5,24,CRCS8
96,TERT,Telomerase Reverse Transcriptase,Protein Coding,26.5,100,TERT
97,BUB1,BUB1 Mitotic Checkpoint Serine/Threonine Kinase,Protein Coding,26.1,100,BUB1
98,MIR34C,MicroRNA 34c,RNA Gene,26.1,65,MIR34C
99,AXIN1,Axin 1,Protein Coding,26.0,96,AXIN1
100,MTOR,Mechanistic Target Of Rapamycin Kinase,Protein Coding,25.9,100,MTOR
101,TUG1,Taurine Up-Regulated 1,Protein Coding,25.9,52,TUG1
102,PIK3R1,Phosphoinositide-3-Kinase Regulatory Subunit 1,Protein Coding,25.9,100,PIK3R1
103,FLT4,Fms Related Receptor Tyrosine Kinase 4,Protein Coding,25.9,100,FLT4
104,MIR31,MicroRNA 31,RNA Gene,25.8,65,MIR31
105,PCAT1,Prostate Cancer Associated Transcript 1,RNA Gene,25.8,56,PCAT1
106,SRC,"SRC Proto-Oncogene, Non-Receptor Tyrosine Kinase",Protein Coding,25.2,97,SRC
107,AMER1,APC Membrane Recruitment Protein 1,Protein Coding,25.1,81,AMER1
108,JUN,"Jun Proto-Oncogene, AP-1 Transcription Factor Subunit",Protein Coding,24.9,89,JUN
109,RB1,RB Transcriptional Corepressor 1,Protein Coding,24.9,100,RB1
110,MIR320A,MicroRNA 320a,RNA Gene,24.8,63,MIR320A
111,MIR145,MicroRNA 145,RNA Gene,24.6,72,MIR145
112,PDGFRA,Platelet Derived Growth Factor Receptor Alpha,Protein Coding,24.6,100,PDGFRA
113,MIR18A,MicroRNA 18a,RNA Gene,24.5,62,MIR18A
114,ODC1,Ornithine Decarboxylase 1,Protein Coding,24.5,88,ODC1
115,KIT,"KIT Proto-Oncogene, Receptor Tyrosine Kinase",Protein Coding,24.4,100,KIT
116,SNHG16,Small Nucleolar RNA Host Gene 16,RNA Gene,24.3,58,SNHG16
117,MIR17,MicroRNA 17,RNA Gene,24.0,66,MIR17
118,PDCD1,Programmed Cell Death 1,Protein Coding,23.9,92,PDCD1
119,METTL3,"Methyltransferase 3, N6-Adenosine-Methyltransferase Complex Catalytic Subunit",Protein Coding,23.9,75,METTL3
120,NBN,Nibrin,Protein Coding,23.9,100,NBN
121,CYTOR,Cytoskeleton Regulator RNA,RNA Gene,23.9,53,CYTOR
122,SOX9,SRY-Box Transcription Factor 9,Protein Coding,23.8,98,SOX9
123,ADIPOQ,"Adiponectin, C1Q And Collagen Domain Containing",Protein Coding,23.8,85,ADIPOQ
124,MIR203A,MicroRNA 203a,RNA Gene,23.8,63,MIR203A
125,MIR27A,MicroRNA 27a,RNA Gene,23.7,66,MIR27A
126,MMP9,Matrix Metallopeptidase 9,Protein Coding,23.7,100,MMP9
127,CASP3,Caspase 3,Protein Coding,23.7,91,CASP3
128,ZFAS1,ZNFX1 Antisense RNA 1,RNA Gene,23.6,58,ZFAS1
129,BARD1,BRCA1 Associated RING Domain 1,Protein Coding,23.6,100,BARD1
130,DANCR,Differentiation Antagonizing Non-Protein Coding RNA,RNA Gene,23.6,59,DANCR
131,MIR125A,MicroRNA 125a,RNA Gene,23.6,63,MIR125A
132,HOTTIP,HOXA Distal Transcript Antisense RNA,RNA Gene,23.6,59,HOTTIP
