input_symbol,hgnc_status,approved_symbol,hgnc_id,entrez_id,input_matches_approved,resolution,request_status_code
ABCC4,Approved,ABCC4,HGNC:55,10257,1,approved_symbol_exact,200
ADAMTS1,Approved,ADAMTS1,HGNC:217,9510,1,approved_symbol_exact,200
AHSG,Approved,AHSG,HGNC:349,197,1,approved_symbol_exact,200
AKR1C1,Approved,AKR1C1,HGNC:384,1645,1,approved_symbol_exact,200
AKR1C3,Approved,AKR1C3,HGNC:386,8644,1,approved_symbol_exact,200
ATF4,Approved,ATF4,HGNC:786,468,1,approved_symbol_exact,200
ATG5,Approved,ATG5,HGNC:589,9474,1,approved_symbol_exact,200
BECN1,Approved,BECN1,HGNC:1034,8678,1,approved_symbol_exact,200
C4BPA,Approved,C4BPA,HGNC:1325,722,1,approved_symbol_exact,200
CA5B,Approved,CA5B,HGNC:1378,11238,1,approved_symbol_exact,200
CA9,Approved,CA9,HGNC:1383,768,1,approved_symbol_exact,200
CADM3,Approved,CADM3,HGNC:17601,57863,1,approved_symbol_exact,200
CASP14,Approved,CASP14,HGNC:1502,23581,1,approved_symbol_exact,200
CCL20,Approved,CCL20,HGNC:10619,6364,1,approved_symbol_exact,200
CGA,Approved,CGA,HGNC:1885,1081,1,approved_symbol_exact,200
CPS1,Approved,CPS1,HGNC:2323,1373,1,approved_symbol_exact,200
CRP,Approved,CRP,HGNC:2367,1401,1,approved_symbol_exact,200
CXCL13,Approved,CXCL13,HGNC:10639,10563,1,approved_symbol_exact,200
CXCR4,Approved,CXCR4,HGNC:2561,7852,1,approved_symbol_exact,200
CYP11A1,Approved,CYP11A1,HGNC:2590,1583,1,approved_symbol_exact,200
CYP2A6,Approved,CYP2A6,HGNC:2610,1548,1,approved_symbol_exact,200
DDIT4,Approved,DDIT4,HGNC:24944,54541,1,approved_symbol_exact,200
DKK1,Approved,DKK1,HGNC:2891,22943,1,approved_symbol_exact,200
DPT,Approved,DPT,HGNC:3011,1805,1,approved_symbol_exact,200
DUSP1,Approved,DUSP1,HGNC:3064,1843,1,approved_symbol_exact,200
ESR1,Approved,ESR1,HGNC:3467,2099,1,approved_symbol_exact,200
FLG,Approved,FLG,HGNC:3748,2312,1,approved_symbol_exact,200
GSTA2,Approved,GSTA2,HGNC:4627,2939,1,approved_symbol_exact,200
