cohort,Class,Side,cell_type,cell_type_source,n_cells,total_library_umi,total_umi,detected_cells,mean_cpm_per_cell,mean_log1p_cpm,gene_symbol,pseudobulk_cpm,log1p_pseudobulk_cpm,detection_rate,passes_min_cells
GSE132465,Normal,Left,B cells,GEO curated,2830,33493657,1396,818,47.40848646848451,1.3716732129869484,CEBPB,41.67953353078166,3.7537194969169763,0.2890459363957597,True
GSE132465,Normal,Left,Epithelial cells,GEO curated,654,5998630,448,212,66.31531175114361,1.5888772146207037,CEBPB,74.68371944927425,4.326563070592952,0.3241590214067278,True
GSE132465,Normal,Left,Mast cells,GEO curated,143,296135,23,17,68.01793463489156,0.7421380721499693,CEBPB,77.66728012561839,4.365227314534108,0.11888111888111888,True
GSE132465,Normal,Left,Myeloids,GEO curated,223,1556500,766,169,552.7002254311276,4.772611817402615,CEBPB,492.12977834885965,6.200772381487508,0.757847533632287,True
GSE132465,Normal,Left,Stromal cells,GEO curated,1513,9787348,4936,991,476.8855847926318,4.093889947748419,CEBPB,504.3245626905266,6.225200921230276,0.6549900859220092,True
GSE132465,Normal,Left,T cells,GEO curated,2950,8811445,699,560,76.69269769761085,1.120349778910962,CEBPB,79.32864586909412,4.386126292942856,0.18983050847457628,True
GSE132465,Normal,Right,B cells,GEO curated,2378,27078585,1242,696,51.4432212680182,1.4025528908639233,CEBPB,45.866502994894304,3.847303198417029,0.2926829268292683,True
GSE132465,Normal,Right,Epithelial cells,GEO curated,416,4431420,322,140,67.4686863295809,1.6177014502422422,CEBPB,72.66293874198338,4.2994998062567085,0.33653846153846156,True
GSE132465,Normal,Right,Mast cells,GEO curated,41,102054,9,5,135.95746598955006,0.7778970121870266,CEBPB,88.18860603210065,4.490753296361009,0.12195121951219512,False
GSE132465,Normal,Right,Myeloids,GEO curated,146,993940,349,101,460.39899125451626,4.200611768935338,CEBPB,351.1278346781496,5.863994276368322,0.6917808219178082,True
GSE132465,Normal,Right,Stromal cells,GEO curated,1684,12313721,6497,1237,551.2640779903666,4.589002712134226,CEBPB,527.6228038624555,6.270275141350266,0.7345605700712589,True
GSE132465,Normal,Right,T cells,GEO curated,3426,11386897,1006,774,90.00979115213195,1.3255442212189197,CEBPB,88.34715901970485,4.492529445013807,0.22591943957968477,True
GSE132465,Tumor,Left,B cells,GEO curated,1747,13923318,508,348,41.983284769340656,0.9891354080891446,CEBPB,36.485556100923645,3.6239556881370643,0.1991986262163709,True
GSE132465,Tumor,Left,Epithelial cells,GEO curated,10331,228679326,45204,8324,190.52346395349218,4.142261454726967,CEBPB,197.67418765262585,5.291666234992546,0.8057303262026909,True
GSE132465,Tumor,Left,Myeloids,GEO curated,3440,18853185,9485,2535,540.9900874320361,4.653319831962572,CEBPB,503.0980176559027,6.222770728638684,0.7369186046511628,True
GSE132465,Tumor,Left,Stromal cells,GEO curated,1321,14182949,6040,907,407.50414692954047,4.112634016698379,CEBPB,425.8634787447942,6.056464240197531,0.6866010598031794,True
