donor_id,condition,analysis_group,n_cells,pseudobulk_score,cell_global_sensitivity_mean,eligible_ge_10,eligible_ge_20,eligible_ge_30
KUL01,border,B_cells,11,0.0,0.0,True,False,False
KUL01,border,C1QC_like_TAM,11,0.0,0.0,True,False,False
KUL01,border,FCN1_inflammatory_monocyte_like,144,0.2422346038334669,0.00451261877849876,True,True,True
KUL01,border,SPP1_like_TAM,190,0.20145838135370897,0.0026090845282698213,True,True,True
KUL01,border,T_cells,393,0.0,0.0,True,True,True
KUL01,border,border_epithelial,1102,0.12566928185258575,0.0016930424663233578,True,True,True
KUL01,border,endothelial_like,112,0.05947062489290311,0.0,True,True,True
KUL01,border,enteric_glial_like,4,0.0,0.0,False,False,False
KUL01,border,fibroblast_like,92,0.2617246268281118,0.02294366663686282,True,True,True
KUL01,border,mast_cells,6,0.6236841683334813,0.0,False,False,False
KUL01,border,other_myeloid,2,0.0,0.0,False,False,False
KUL01,border,pericyte_like,28,0.0,0.0,True,True,False
KUL01,border,resident_like,2,0.0,0.0,False,False,False
KUL01,border,smooth_muscle_like,32,0.0,0.0,True,True,True
KUL01,normal,B_cells,362,0.0297627712950594,0.0,True,True,True
KUL01,normal,C1QC_like_TAM,69,0.2801510496440694,0.0,True,True,True
KUL01,normal,FCN1_inflammatory_monocyte_like,122,0.22721664309427164,0.0,True,True,True
KUL01,normal,SPP1_like_TAM,1,0.0,0.0,False,False,False
KUL01,normal,T_cells,231,0.0,0.0,True,True,True
KUL01,normal,endothelial_like,69,0.0,0.0,True,True,True
KUL01,normal,enteric_glial_like,40,0.15478965563732655,0.0,True,True,True
KUL01,normal,fibroblast_like,701,0.24177204879928618,0.004457025671535878,True,True,True
KUL01,normal,mast_cells,14,0.0,0.0,True,False,False
KUL01,normal,normal_epithelial,172,0.14852688049531612,0.0,True,True,True
KUL01,normal,other_myeloid,7,0.23365851365640897,0.0,False,False,False
KUL01,normal,pericyte_like,13,0.11659818832570137,0.0,True,False,False
KUL01,normal,resident_like,148,0.14783857730104225,0.0035060206418815946,True,True,True
KUL01,normal,smooth_muscle_like,63,0.11395856033562805,0.0,True,True,True
KUL01,tumor,B_cells,15,0.0,0.0,True,False,False
KUL01,tumor,C1QC_like_TAM,16,0.17416956412662293,0.0,True,False,False
KUL01,tumor,FCN1_inflammatory_monocyte_like,161,0.2279184942401794,0.00545294050709331,True,True,True
KUL01,tumor,SPP1_like_TAM,156,0.18529462052163326,0.0,True,True,True
KUL01,tumor,T_cells,306,0.0,0.0,True,True,True
KUL01,tumor,endothelial_like,101,0.12858123164028898,0.0,True,True,True
KUL01,tumor,enteric_glial_like,4,0.0,0.0,False,False,False
KUL01,tumor,fibroblast_like,311,0.25622953053948305,0.008153221122847483,True,True,True
KUL01,tumor,mast_cells,8,0.4370359697866383,0.055723797638198014,False,False,False
KUL01,tumor,other_myeloid,6,0.3613054273889329,0.0,False,False,False
KUL01,tumor,pericyte_like,37,0.14728426163473157,0.0,True,True,True
KUL01,tumor,resident_like,7,0.0,0.0,False,False,False
KUL01,tumor,smooth_muscle_like,64,0.0,0.0,True,True,True
KUL01,tumor,tumor_epithelial,730,0.10946754853092815,0.0,True,True,True
KUL19,border,B_cells,1011,0.0,0.0,True,True,True
KUL19,border,C1QC_like_TAM,53,0.27674919900711836,0.014887293522695426,True,True,True
KUL19,border,FCN1_inflammatory_monocyte_like,32,0.20596599553748254,0.0,True,True,True
KUL19,border,SPP1_like_TAM,3,0.0,0.0,False,False,False
KUL19,border,T_cells,1362,0.010662456960216896,0.0,True,True,True
KUL19,border,border_epithelial,218,0.06445626101373789,0.0,True,True,True
KUL19,border,endothelial_like,154,0.06793891788248138,0.0019819991267945422,True,True,True
KUL19,border,enteric_glial_like,25,0.0,0.0,True,True,False
KUL19,border,fibroblast_like,248,0.15564571305988717,0.0019060710353163762,True,True,True
KUL19,border,mast_cells,29,0.46157225034722416,0.0184058020484624,True,True,False
KUL19,border,other_myeloid,28,0.39136797291024883,0.020598080795684346,True,True,False
KUL19,border,pericyte_like,17,0.0,0.0,True,False,False
KUL19,border,resident_like,30,0.0,0.0,True,True,True
KUL19,border,smooth_muscle_like,53,0.1669301394884306,0.0,True,True,True
KUL19,normal,B_cells,472,0.0,0.0,True,True,True
KUL19,normal,C1QC_like_TAM,53,0.27812459909759035,0.0,True,True,True
KUL19,normal,FCN1_inflammatory_monocyte_like,59,0.15680711841737383,0.008210684341457514,True,True,True
KUL19,normal,T_cells,202,0.0,0.0,True,True,True
KUL19,normal,endothelial_like,50,0.0,0.0,True,True,True
KUL19,normal,enteric_glial_like,81,0.06098307430381755,0.0,True,True,True
KUL19,normal,fibroblast_like,450,0.2606638655924091,0.0015348279285377715,True,True,True
KUL19,normal,mast_cells,2,0.0,0.0,False,False,False
KUL19,normal,normal_epithelial,287,0.07761427082835853,0.0,True,True,True
KUL19,normal,other_myeloid,21,0.0,0.0,True,True,False
KUL19,normal,pericyte_like,13,0.0,0.0,True,False,False
KUL19,normal,resident_like,128,0.12041990868036262,0.0,True,True,True
KUL19,normal,smooth_muscle_like,57,0.24137925667782345,0.010466353039522626,True,True,True
KUL19,tumor,B_cells,537,0.0,0.0,True,True,True
KUL19,tumor,C1QC_like_TAM,129,0.3096479864314132,0.010042068755591669,True,True,True
KUL19,tumor,FCN1_inflammatory_monocyte_like,35,0.255034659762152,0.011816779360634378,True,True,True
KUL19,tumor,SPP1_like_TAM,8,0.0,0.0,False,False,False
KUL19,tumor,T_cells,1309,0.0,0.0,True,True,True
KUL19,tumor,endothelial_like,176,0.0,0.0,True,True,True
KUL19,tumor,enteric_glial_like,12,0.0,0.0,True,False,False
KUL19,tumor,fibroblast_like,189,0.15764918644478004,0.00276634377641209,True,True,True
KUL19,tumor,mast_cells,31,0.4285771697066947,0.0,True,True,True
KUL19,tumor,other_myeloid,27,0.2643624134022081,0.0,True,True,False
KUL19,tumor,pericyte_like,28,0.0,0.0,True,True,False
KUL19,tumor,resident_like,9,0.0,0.0,False,False,False
KUL19,tumor,smooth_muscle_like,64,0.09576083289400841,0.0,True,True,True
KUL19,tumor,tumor_epithelial,574,0.0,0.0,True,True,True
KUL21,border,B_cells,15,0.0,0.0,True,False,False
KUL21,border,C1QC_like_TAM,11,0.0,0.0,True,False,False
KUL21,border,FCN1_inflammatory_monocyte_like,136,0.14303234465498185,0.0,True,True,True
KUL21,border,SPP1_like_TAM,9,0.0,0.0,False,False,False
KUL21,border,T_cells,221,0.0,0.0,True,True,True
KUL21,border,border_epithelial,740,0.08126935614241662,0.0,True,True,True
KUL21,border,endothelial_like,53,0.0,0.0,True,True,True
KUL21,border,fibroblast_like,349,0.16443649416597356,0.0008581776553987294,True,True,True
KUL21,border,mast_cells,44,0.41106724782310433,0.016658655280698417,True,True,True
KUL21,border,other_myeloid,6,0.4607226747179447,0.0,False,False,False
KUL21,border,pericyte_like,48,0.0,0.0,True,True,True
KUL21,border,resident_like,84,0.1903060312423978,0.004406167926131287,True,True,True
KUL21,border,smooth_muscle_like,25,0.0,0.0,True,True,False
KUL21,normal,B_cells,329,0.0,0.0,True,True,True
KUL21,normal,C1QC_like_TAM,18,0.24119187490870297,0.0,True,False,False
KUL21,normal,FCN1_inflammatory_monocyte_like,30,0.19111161842711288,0.0,True,True,True
KUL21,normal,T_cells,507,0.0,0.0,True,True,True
KUL21,normal,endothelial_like,12,0.0,0.0,True,False,False
KUL21,normal,enteric_glial_like,5,0.0,0.0,False,False,False
KUL21,normal,fibroblast_like,123,0.24295884855838723,0.0,True,True,True
KUL21,normal,mast_cells,2,0.0,0.0,False,False,False
