donor_id,threshold,score,analysis_group,n_cells,score_value,rank,rank_percentile,n_candidate_groups
KUL01,10,Score_A,fibroblast_like,311,1.1941674079823004,1,1.0,6
KUL01,10,Score_A,SPP1_like_TAM,156,0.035177905190355054,2,0.8,6
KUL01,10,Score_A,tumor_epithelial,730,-0.0310051831089867,3,0.6,6
KUL01,10,Score_A,FCN1_inflammatory_monocyte_like,161,-0.0375389651908622,4,0.4,6
KUL01,10,Score_A,C1QC_like_TAM,16,-0.09749582271188374,5,0.19999999999999996,6
KUL01,10,Score_A,endothelial_like,101,-0.2585046405149504,6,0.0,6
KUL19,10,Score_A,fibroblast_like,189,0.8369558506097734,1,1.0,7
KUL19,10,Score_A,mast_cells,31,0.40778347439563206,2,0.8333333333333334,7
KUL19,10,Score_A,tumor_epithelial,574,0.004656398096128463,3,0.6666666666666667,7
KUL19,10,Score_A,FCN1_inflammatory_monocyte_like,35,-0.022824664836864034,4,0.5,7
KUL19,10,Score_A,endothelial_like,176,-0.11151227336902934,5,0.33333333333333337,7
KUL19,10,Score_A,other_myeloid,27,-0.15588811069502753,6,0.16666666666666663,7
KUL19,10,Score_A,C1QC_like_TAM,129,-0.17828679174254117,7,0.0,7
KUL21,10,Score_A,fibroblast_like,613,1.7704872492765051,1,1.0,7
KUL21,10,Score_A,tumor_epithelial,759,0.28214979425760306,2,0.8333333333333334,7
KUL21,10,Score_A,mast_cells,27,0.18603877103995767,3,0.6666666666666667,7
KUL21,10,Score_A,resident_like,84,-0.23267425595315558,4,0.5,7
KUL21,10,Score_A,endothelial_like,99,-0.26734363840464725,5,0.33333333333333337,7
KUL21,10,Score_A,FCN1_inflammatory_monocyte_like,139,-0.2881159258240871,6,0.16666666666666663,7
KUL21,10,Score_A,other_myeloid,10,-0.35359793091436115,7,0.0,7
KUL28,10,Score_A,SPP1_like_TAM,12,3.1899894082354288,1,1.0,7
KUL28,10,Score_A,mast_cells,10,1.1892444631051757,2,0.8333333333333334,7
KUL28,10,Score_A,fibroblast_like,43,0.23856317165779872,3,0.6666666666666667,7
KUL28,10,Score_A,tumor_epithelial,40,0.21780906231651764,4,0.5,7
KUL28,10,Score_A,FCN1_inflammatory_monocyte_like,14,0.17375563272219496,5,0.33333333333333337,7
KUL28,10,Score_A,C1QC_like_TAM,26,0.05009792707553993,6,0.16666666666666663,7
KUL28,10,Score_A,endothelial_like,127,-0.10400966337250085,7,0.0,7
KUL30,10,Score_A,fibroblast_like,126,1.1122273021880338,1,1.0,5
KUL30,10,Score_A,FCN1_inflammatory_monocyte_like,31,0.3738868572812331,2,0.75,5
KUL30,10,Score_A,C1QC_like_TAM,30,0.08075066583360978,3,0.5,5
KUL30,10,Score_A,endothelial_like,111,-0.18945077826298706,4,0.25,5
KUL30,10,Score_A,tumor_epithelial,68,-0.22903644717605212,5,0.0,5
KUL31,10,Score_A,tumor_epithelial,41,-0.2817021416980951,1,1.0,1
KUL01,10,Score_B,fibroblast_like,311,0.9927994653694772,1,1.0,6
KUL01,10,Score_B,SPP1_like_TAM,156,0.2041652819263912,2,0.8,6
KUL01,10,Score_B,FCN1_inflammatory_monocyte_like,161,0.09525108770620565,3,0.6,6
KUL01,10,Score_B,tumor_epithelial,730,0.07152963512951205,4,0.4,6
KUL01,10,Score_B,endothelial_like,101,-0.09141622882829267,5,0.19999999999999996,6
KUL01,10,Score_B,C1QC_like_TAM,16,-0.22685686706671224,6,0.0,6
KUL19,10,Score_B,mast_cells,31,0.7006781470403749,1,1.0,7
