threshold,score,source_group,n_donors_with_group,top1_donors,top2_donors,top1_fraction,top2_fraction,median_rank,mean_rank,median_rank_percentile,mean_score
10,Score_A,mast_cells,3,0,2,0.0,0.6666666666666666,2.0,2.3333333333333335,0.8333333333333334,0.5943555695135885
10,Score_A,tumor_epithelial,6,1,2,0.16666666666666666,0.3333333333333333,3.0,3.0,0.6333333333333333,-0.006188086218814129
10,Score_A,SPP1_like_TAM,2,1,2,0.5,1.0,1.5,1.5,0.9,1.612583656712892
10,Score_A,C1QC_like_TAM,4,0,0,0.0,0.0,5.5,5.25,0.1833333333333333,-0.03623350538631881
10,Score_A,FCN1_inflammatory_monocyte_like,5,0,1,0.0,0.2,4.0,4.2,0.4,0.039832586830322946
10,Score_A,resident_like,1,0,0,0.0,0.0,4.0,4.0,0.5,-0.23267425595315558
10,Score_A,fibroblast_like,5,4,4,0.8,0.8,1.0,1.4,1.0,1.0304801963428822
10,Score_A,endothelial_like,5,0,0,0.0,0.0,5.0,5.4,0.25,-0.186164198784823
10,Score_A,other_myeloid,2,0,0,0.0,0.0,6.5,6.5,0.08333333333333331,-0.25474302080469435
10,Score_B,mast_cells,3,1,3,0.3333333333333333,1.0,2.0,1.6666666666666667,0.8333333333333334,0.8793950991282579
10,Score_B,tumor_epithelial,6,1,1,0.16666666666666666,0.16666666666666666,4.0,3.6666666666666665,0.45,0.026643505733901323
10,Score_B,SPP1_like_TAM,2,1,2,0.5,1.0,1.5,1.5,0.9,0.8906408833528642
10,Score_B,C1QC_like_TAM,4,0,0,0.0,0.0,3.5,4.0,0.5,0.10280088280055528
10,Score_B,FCN1_inflammatory_monocyte_like,5,0,1,0.0,0.2,5.0,4.8,0.33333333333333337,-0.031007076601708112
10,Score_B,resident_like,1,0,0,0.0,0.0,5.0,5.0,0.33333333333333337,0.015227046307481442
10,Score_B,fibroblast_like,5,3,4,0.6,0.8,1.0,2.0,1.0,0.6329224943883316
10,Score_B,endothelial_like,5,0,0,0.0,0.0,6.0,5.8,0.16666666666666663,-0.17637216103491063
10,Score_B,other_myeloid,2,0,0,0.0,0.0,3.5,3.5,0.5833333333333334,0.24709733338458156
10,Score_C,mast_cells,3,1,3,0.3333333333333333,1.0,2.0,1.6666666666666667,0.8333333333333334,0.7116646063111863
10,Score_C,tumor_epithelial,6,1,2,0.16666666666666666,0.3333333333333333,3.0,2.8333333333333335,0.6666666666666667,0.1845018014386571
10,Score_C,SPP1_like_TAM,2,1,1,0.5,0.5,2.0,2.0,0.8,0.7486210049336727
10,Score_C,C1QC_like_TAM,4,0,0,0.0,0.0,4.0,4.25,0.375,0.09133514365273025
10,Score_C,FCN1_inflammatory_monocyte_like,5,0,1,0.0,0.2,6.0,5.2,0.16666666666666663,-0.061696374427772316
10,Score_C,resident_like,1,0,0,0.0,0.0,5.0,5.0,0.33333333333333337,0.026246384784356567
10,Score_C,fibroblast_like,5,3,4,0.6,0.8,1.0,2.2,1.0,0.5350821931362381
10,Score_C,endothelial_like,5,0,0,0.0,0.0,5.0,5.6,0.16666666666666663,-0.13566859092865835
10,Score_C,other_myeloid,2,0,0,0.0,0.0,4.0,4.0,0.5,0.20623754316376514
10,Score_D,mast_cells,3,1,1,0.3333333333333333,0.3333333333333333,3.0,2.6666666666666665,0.6666666666666667,0.14285905656889822
10,Score_D,tumor_epithelial,6,1,1,0.16666666666666666,0.16666666666666666,3.0,3.6666666666666665,0.5833333333333334,0.04163607262839877
10,Score_D,SPP1_like_TAM,2,0,0,0.0,0.0,3.0,3.0,0.6333333333333333,0.09264731026081663
10,Score_D,C1QC_like_TAM,4,2,3,0.5,0.75,1.5,2.0,0.9166666666666667,0.3022786158501136
10,Score_D,FCN1_inflammatory_monocyte_like,5,0,1,0.0,0.2,4.0,3.6,0.5,0.09659063080046629
10,Score_D,resident_like,1,0,1,0.0,1.0,2.0,2.0,0.8333333333333334,0.15816096928426582
10,Score_D,fibroblast_like,5,2,4,0.4,0.8,2.0,2.2,0.8333333333333334,0.21976027901654788
10,Score_D,endothelial_like,5,0,0,0.0,0.0,4.0,4.4,0.25,0.0373170207783142
10,Score_D,other_myeloid,2,0,0,0.0,0.0,3.5,3.5,0.5833333333333334,0.13218120670110406
20,Score_A,mast_cells,2,0,1,0.0,0.5,2.5,2.5,0.7166666666666667,0.29691112271779485
20,Score_A,tumor_epithelial,6,1,3,0.16666666666666666,0.5,2.5,2.6666666666666665,0.6666666666666667,-0.006188086218814129
20,Score_A,SPP1_like_TAM,1,0,1,0.0,1.0,2.0,2.0,0.75,0.035177905190355054
20,Score_A,C1QC_like_TAM,3,0,0,0.0,0.0,3.0,4.333333333333333,0.33333333333333337,-0.015812732944463823
