threshold,score,contrast,n_donors,n_delta_gt_0,median_delta,mean_delta,sign_consistency_fraction
10,Score_A,SPP1_vs_other_mean,2,1,1.3884996609419362,1.3884996609419362,0.5
10,Score_A,SPP1_vs_mast,1,1,2.0007449451302532,2.0007449451302532,1.0
10,Score_B,SPP1_vs_other_mean,2,2,0.6936666483579457,0.6936666483579457,1.0
10,Score_B,SPP1_vs_mast,1,1,0.14102937551856987,0.14102937551856987,1.0
10,Score_C,SPP1_vs_other_mean,2,2,0.5771478753250238,0.5771478753250238,1.0
10,Score_C,SPP1_vs_mast,1,1,0.2779698428938224,0.2779698428938224,1.0
10,Score_D,SPP1_vs_other_mean,2,1,-0.05461734736213766,-0.05461734736213766,0.5
10,Score_D,SPP1_vs_mast,1,0,0.0,0.0,0.0
20,Score_A,SPP1_vs_other_mean,1,0,-0.1816017496015202,-0.1816017496015202,1.0
20,Score_B,SPP1_vs_other_mean,1,0,-0.06287570791783434,-0.06287570791783434,1.0
20,Score_C,SPP1_vs_other_mean,1,0,-0.10276471487562411,-0.10276471487562411,1.0
20,Score_D,SPP1_vs_other_mean,1,1,0.004745419283913366,0.004745419283913366,1.0
30,Score_A,SPP1_vs_other_mean,1,0,-0.1816017496015202,-0.1816017496015202,1.0
30,Score_B,SPP1_vs_other_mean,1,0,-0.06287570791783434,-0.06287570791783434,1.0
30,Score_C,SPP1_vs_other_mean,1,0,-0.10276471487562411,-0.10276471487562411,1.0
30,Score_D,SPP1_vs_other_mean,1,1,0.004745419283913366,0.004745419283913366,1.0
