rank_by_adjusted_OLS_FDR,gene_symbol,male_n,female_n,male_median,female_median,median_delta_male_minus_female,mann_whitney_U,mann_whitney_p,adjusted_n,adjusted_beta_male_minus_female,adjusted_se,adjusted_ci_low,adjusted_ci_high,adjusted_p_value,adjusted_status,BH_FDR_mann_whitney_81_genes,BH_FDR_adjusted_OLS_81_genes,direction
1,ABCC4,205,172,2.496,2.189,0.30699999999999994,20541.5,0.005742206533794803,377,0.3304517496635259,0.11763170502917845,0.099897844366297,0.5610056549607548,0.004966378075507976,ok,0.2868917335738169,0.20931512701667876,higher_in_male
2,PTGES,205,172,3.319,3.0755,0.24350000000000005,20194.5,0.014978891960910849,377,0.3947986840137574,0.14118336810633417,0.11808436730928151,0.6715130007182333,0.005168274741152562,ok,0.4044300829445929,0.20931512701667876,higher_in_male
3,SIRT3,205,172,3.674,3.573,0.10099999999999998,20468.5,0.007083746507995479,377,0.11824210408254793,0.05314142106105141,0.014086832715608857,0.222397375449487,0.0260781531467048,ok,0.2868917335738169,0.7041101349610296,higher_in_male
4,SPP2,205,172,-9.966,-9.966,0.0,18657.5,0.04985370687434776,377,0.36163100044863333,0.18242361767926663,0.004087279867766469,0.7191747210295002,0.047437910012645065,ok,0.8851270581970455,0.8059875659294015,higher_in_male
5,DKK1,205,172,-1.595,-1.595,0.0,18579.0,0.3680469232730601,377,0.614193988335576,0.33099141256647097,-0.03453725948674535,1.2629252361578973,0.0635078687500426,ok,0.8851270581970455,0.8059875659294015,higher_in_male
6,DDIT4,205,172,6.592,6.2385,0.3534999999999995,19456.5,0.08316214666136756,377,0.19019851951547678,0.10277953142494892,-0.011245660425325793,0.3916426994562794,0.06423451798464702,ok,0.8851270581970455,0.8059875659294015,higher_in_male
7,ATG5,205,172,4.475,4.4399999999999995,0.03500000000000014,18996.0,0.19508668101679438,377,0.08614782413638372,0.047486368582176655,-0.006923748041276878,0.17921939631404432,0.06965324643834334,ok,0.8851270581970455,0.8059875659294015,higher_in_male
8,HSPA1A,205,172,5.727,5.6495,0.07750000000000057,19271.5,0.11945018221879802,377,0.2644733512785997,0.16043644607893956,-0.04997630484372417,0.5789230074009236,0.09925794513939214,ok,0.8851270581970455,0.8091025374864032,higher_in_male
9,PTGS2,205,172,1.293,0.9038,0.3891999999999999,19252.0,0.12390284340817252,377,0.33377015477792726,0.2090790446334312,-0.07601724262564036,0.7435575521814949,0.11040339222805379,ok,0.8851270581970455,0.8091025374864032,higher_in_male
10,PTGES3,205,172,8.113,8.084,0.028999999999999915,18826.5,0.2564409871957767,377,0.07832757589352418,0.04932070634122413,-0.01833923222735137,0.17499438401439973,0.1122574842488961,ok,0.8851270581970455,0.8091025374864032,higher_in_male
11,SQSTM1,205,172,8.135,8.0715,0.06349999999999945,19061.5,0.1745188722136084,377,0.10273358755794752,0.06711253871536657,-0.02880457123522097,0.23427174635111603,0.12582725339784212,ok,0.8851270581970455,0.8091025374864032,higher_in_male
12,CGA,205,172,-9.966,-9.966,0.0,16029.5,0.09780958773677959,377,-0.5167733961417663,0.34218524339470757,-1.1874441492364656,0.15389735695293294,0.1309884913171466,ok,0.8851270581970455,0.8091025374864032,lower_in_male
