analysis_category,category,term,description,number_of_genes,number_of_genes_in_background,inputGenes,preferredNames,p_value,fdr,p_value_numeric,fdr_numeric,significant_fdr_lt_0_05
GO_BP,Process,GO:0070887,Cellular response to chemical stimulus,70,2609,"['9606.ENSP00000212015', '9606.ENSP00000219070', '9606.ENSP00000221130', '9606.ENSP00000229135', '9606.ENSP00000231454', '9606.ENSP00000231509', '9606.ENSP00000239223', '9606.ENSP00000241052', '9606.ENSP00000242208', '9606.ENSP00000246657', '9606.ENSP00000263339', '9606.ENSP00000263341', '9606.ENSP00000263734', '9606.ENSP00000264246', '9606.ENSP00000264657', '9606.ENSP00000269305', '9606.ENSP00000280357', '9606.ENSP00000287820', '9606.ENSP00000290167', '9606.ENSP00000290866', '9606.ENSP00000292427', '9606.ENSP00000295834', '9606.ENSP00000297185', '9606.ENSP00000297494', '9606.ENSP00000300134', '9606.ENSP00000304592', '9606.ENSP00000304915', '9606.ENSP00000305422', '9606.ENSP00000310928', '9606.ENSP00000314897', '9606.ENSP00000325120', '9606.ENSP00000330393', '9606.ENSP00000332049', '9606.ENSP00000336528', '9606.ENSP00000336790', '9606.ENSP00000337383', '9606.ENSP00000348069', '9606.ENSP00000351022', '9606.ENSP00000352608', '9606.ENSP00000355231', '9606.ENSP00000356954', '9606.ENSP00000358072', '9606.ENSP00000360293', '9606.ENSP00000361405', '9606.ENSP00000363512', '9606.ENSP00000363641', '9606.ENSP00000363822', '9606.ENSP00000368104', '9606.ENSP00000370842', '9606.ENSP00000372295', '9606.ENSP00000377192', '9606.ENSP00000380252', '9606.ENSP00000384273', '9606.ENSP00000385523', '9606.ENSP00000385675', '9606.ENSP00000386884', '9606.ENSP00000389814', '9606.ENSP00000398698', '9606.ENSP00000398832', '9606.ENSP00000405330', '9606.ENSP00000415743', '9606.ENSP00000416293', '9606.ENSP00000419692', '9606.ENSP00000427514', '9606.ENSP00000440864', '9606.ENSP00000451828', '9606.ENSP00000454071', '9606.ENSP00000483300', '9606.ENSP00000498466', '9606.ENSP00000498939']","['SIRT1', 'MMP2', 'GSR', 'IFNG', 'IL5', 'NR3C1', 'DUSP1', 'CAT', 'INHBA', 'CCR7', 'IL1A', 'IL1B', 'EPAS1', 'CD80', 'STAT3', 'TP53', 'IL18', 'PPARG', 'WNT4', 'ACE', 'CYP11B1', 'FABP1', 'HSPA9', 'NOS3', 'STAT6', 'FASN', 'IL13', 'CEBPB', 'PPARD', 'ANGPT2', 'PGR', 'LEPR', 'CD86', 'NR1I2', 'ATF4', 'NLRP3', 'SREBF1', 'TPM1', 'RYR1', 'BECN1', 'CCN2', 'ATG5', 'SORBS1', 'MMP9', 'ALOX5', 'TXN', 'AR', 'BMP2', 'IL33', 'GJB2', 'G6PD', 'NFE2L2', 'RELA', 'PPARA', 'IL6', 'CXCR4', 'ADIPOQ', 'TNF', 'AGTR1', 'ESR1', 'CD36', 'SLC2A1', 'RXRA', 'CEBPA', 'NR4A1', 'AKT1', 'LDLR', 'ACACA', 'FAS', 'CYP3A4']",3.9e-40,6.12e-36,3.9e-40,6.12e-36,True
GO_BP,Process,GO:0042221,Response to chemical,75,4010,"['9606.ENSP00000212015', '9606.ENSP00000218388', '9606.ENSP00000219070', '9606.ENSP00000221130', '9606.ENSP00000229135', '9606.ENSP00000231454', '9606.ENSP00000231509', '9606.ENSP00000239223', '9606.ENSP00000241052', '9606.ENSP00000242208', '9606.ENSP00000246657', '9606.ENSP00000261170', '9606.ENSP00000262768', '9606.ENSP00000263339', '9606.ENSP00000263341', '9606.ENSP00000263734', '9606.ENSP00000264246', '9606.ENSP00000264657', '9606.ENSP00000269305', '9606.ENSP00000280357', '9606.ENSP00000287820', '9606.ENSP00000290167', '9606.ENSP00000290866', '9606.ENSP00000292427', '9606.ENSP00000295834', '9606.ENSP00000297185', '9606.ENSP00000297494', '9606.ENSP00000300134', '9606.ENSP00000304592', '9606.ENSP00000304915', '9606.ENSP00000305422', '9606.ENSP00000310928', '9606.ENSP00000314897', '9606.ENSP00000325120', '9606.ENSP00000330393', '9606.ENSP00000332049', '9606.ENSP00000336528', '9606.ENSP00000336790', '9606.ENSP00000337383', '9606.ENSP00000345681', '9606.ENSP00000348069', '9606.ENSP00000351022', '9606.ENSP00000352608', '9606.ENSP00000355231', '9606.ENSP00000356954', '9606.ENSP00000358072', '9606.ENSP00000358513', '9606.ENSP00000360293', '9606.ENSP00000361405', '9606.ENSP00000363512', '9606.ENSP00000363641', '9606.ENSP00000363822', '9606.ENSP00000368104', '9606.ENSP00000370842', '9606.ENSP00000372295', '9606.ENSP00000377192', '9606.ENSP00000380252', '9606.ENSP00000384273', '9606.ENSP00000385523', '9606.ENSP00000385675', '9606.ENSP00000386884', '9606.ENSP00000389814', '9606.ENSP00000398698', '9606.ENSP00000398832', '9606.ENSP00000405330', '9606.ENSP00000415743', '9606.ENSP00000416293', '9606.ENSP00000419692', '9606.ENSP00000427514', '9606.ENSP00000440864', '9606.ENSP00000451828', '9606.ENSP00000454071', '9606.ENSP00000483300', '9606.ENSP00000498466', '9606.ENSP00000498939']","['SIRT1', 'TIMP1', 'MMP2', 'GSR', 'IFNG', 'IL5', 'NR3C1', 'DUSP1', 'CAT', 'INHBA', 'CCR7', 'GUCY2C', 'TIMP2', 'IL1A', 'IL1B', 'EPAS1', 'CD80', 'STAT3', 'TP53', 'IL18', 'PPARG', 'WNT4', 'ACE', 'CYP11B1', 'FABP1', 'HSPA9', 'NOS3', 'STAT6', 'FASN', 'IL13', 'CEBPB', 'PPARD', 'ANGPT2', 'PGR', 'LEPR', 'CD86', 'NR1I2', 'ATF4', 'NLRP3', 'GATA2', 'SREBF1', 'TPM1', 'RYR1', 'BECN1', 'CCN2', 'ATG5', 'CNR1', 'SORBS1', 'MMP9', 'ALOX5', 'TXN', 'AR', 'BMP2', 'IL33', 'GJB2', 'G6PD', 'NFE2L2', 'RELA', 'PPARA', 'IL6', 'CXCR4', 'ADIPOQ', 'TNF', 'AGTR1', 'ESR1', 'CD36', 'SLC2A1', 'RXRA', 'CEBPA', 'NR4A1', 'AKT1', 'LDLR', 'ACACA', 'FAS', 'CYP3A4']",1.63e-33,1.28e-29,1.63e-33,1.28e-29,True
GO_BP,Process,GO:0010033,Response to organic substance,65,2692,"['9606.ENSP00000212015', '9606.ENSP00000218388', '9606.ENSP00000219070', '9606.ENSP00000229135', '9606.ENSP00000231454', '9606.ENSP00000231509', '9606.ENSP00000239223', '9606.ENSP00000241052', '9606.ENSP00000242208', '9606.ENSP00000246657', '9606.ENSP00000262768', '9606.ENSP00000263339', '9606.ENSP00000263341', '9606.ENSP00000264246', '9606.ENSP00000264657', '9606.ENSP00000269305', '9606.ENSP00000280357', '9606.ENSP00000287820', '9606.ENSP00000290167', '9606.ENSP00000290866', '9606.ENSP00000292427', '9606.ENSP00000297185', '9606.ENSP00000297494', '9606.ENSP00000300134', '9606.ENSP00000304592', '9606.ENSP00000304915', '9606.ENSP00000305422', '9606.ENSP00000310928', '9606.ENSP00000314897', '9606.ENSP00000325120', '9606.ENSP00000330393', '9606.ENSP00000332049', '9606.ENSP00000336790', '9606.ENSP00000337383', '9606.ENSP00000345681', '9606.ENSP00000348069', '9606.ENSP00000352608', '9606.ENSP00000355231', '9606.ENSP00000356954', '9606.ENSP00000358513', '9606.ENSP00000360293', '9606.ENSP00000361405', '9606.ENSP00000363822', '9606.ENSP00000368104', '9606.ENSP00000370842', '9606.ENSP00000372295', '9606.ENSP00000377192', '9606.ENSP00000380252', '9606.ENSP00000384273', '9606.ENSP00000385523', '9606.ENSP00000385675', '9606.ENSP00000386884', '9606.ENSP00000389814', '9606.ENSP00000398698', '9606.ENSP00000398832', '9606.ENSP00000405330', '9606.ENSP00000415743', '9606.ENSP00000416293', '9606.ENSP00000419692', '9606.ENSP00000427514', '9606.ENSP00000440864', '9606.ENSP00000451828', '9606.ENSP00000454071', '9606.ENSP00000483300', '9606.ENSP00000498466']","['SIRT1', 'TIMP1', 'MMP2', 'IFNG', 'IL5', 'NR3C1', 'DUSP1', 'CAT', 'INHBA', 'CCR7', 'TIMP2', 'IL1A', 'IL1B', 'CD80', 'STAT3', 'TP53', 'IL18', 'PPARG', 'WNT4', 'ACE', 'CYP11B1', 'HSPA9', 'NOS3', 'STAT6', 'FASN', 'IL13', 'CEBPB', 'PPARD', 'ANGPT2', 'PGR', 'LEPR', 'CD86', 'ATF4', 'NLRP3', 'GATA2', 'SREBF1', 'RYR1', 'BECN1', 'CCN2', 'CNR1', 'SORBS1', 'MMP9', 'AR', 'BMP2', 'IL33', 'GJB2', 'G6PD', 'NFE2L2', 'RELA', 'PPARA', 'IL6', 'CXCR4', 'ADIPOQ', 'TNF', 'AGTR1', 'ESR1', 'CD36', 'SLC2A1', 'RXRA', 'CEBPA', 'NR4A1', 'AKT1', 'LDLR', 'ACACA', 'FAS']",1.95e-33,1.28e-29,1.95e-33,1.28e-29,True
GO_BP,Process,GO:0071310,Cellular response to organic substance,58,2019,"['9606.ENSP00000212015', '9606.ENSP00000219070', '9606.ENSP00000229135', '9606.ENSP00000231454', '9606.ENSP00000231509', '9606.ENSP00000239223', '9606.ENSP00000241052', '9606.ENSP00000242208', '9606.ENSP00000246657', '9606.ENSP00000263339', '9606.ENSP00000263341', '9606.ENSP00000264246', '9606.ENSP00000264657', '9606.ENSP00000269305', '9606.ENSP00000280357', '9606.ENSP00000287820', '9606.ENSP00000290167', '9606.ENSP00000290866', '9606.ENSP00000292427', '9606.ENSP00000297185', '9606.ENSP00000297494', '9606.ENSP00000300134', '9606.ENSP00000304592', '9606.ENSP00000304915', '9606.ENSP00000305422', '9606.ENSP00000310928', '9606.ENSP00000314897', '9606.ENSP00000325120', '9606.ENSP00000330393', '9606.ENSP00000332049', '9606.ENSP00000336790', '9606.ENSP00000337383', '9606.ENSP00000348069', '9606.ENSP00000352608', '9606.ENSP00000355231', '9606.ENSP00000356954', '9606.ENSP00000360293', '9606.ENSP00000363822', '9606.ENSP00000368104', '9606.ENSP00000370842', '9606.ENSP00000372295', '9606.ENSP00000380252', '9606.ENSP00000384273', '9606.ENSP00000385523', '9606.ENSP00000385675', '9606.ENSP00000386884', '9606.ENSP00000389814', '9606.ENSP00000398698', '9606.ENSP00000398832', '9606.ENSP00000405330', '9606.ENSP00000415743', '9606.ENSP00000419692', '9606.ENSP00000427514', '9606.ENSP00000440864', '9606.ENSP00000451828', '9606.ENSP00000454071', '9606.ENSP00000483300', '9606.ENSP00000498466']","['SIRT1', 'MMP2', 'IFNG', 'IL5', 'NR3C1', 'DUSP1', 'CAT', 'INHBA', 'CCR7', 'IL1A', 'IL1B', 'CD80', 'STAT3', 'TP53', 'IL18', 'PPARG', 'WNT4', 'ACE', 'CYP11B1', 'HSPA9', 'NOS3', 'STAT6', 'FASN', 'IL13', 'CEBPB', 'PPARD', 'ANGPT2', 'PGR', 'LEPR', 'CD86', 'ATF4', 'NLRP3', 'SREBF1', 'RYR1', 'BECN1', 'CCN2', 'SORBS1', 'AR', 'BMP2', 'IL33', 'GJB2', 'NFE2L2', 'RELA', 'PPARA', 'IL6', 'CXCR4', 'ADIPOQ', 'TNF', 'AGTR1', 'ESR1', 'CD36', 'RXRA', 'CEBPA', 'NR4A1', 'AKT1', 'LDLR', 'ACACA', 'FAS']",1.14e-32,4.46e-29,1.14e-32,4.46e-29,True
GO_BP,Process,GO:1901700,Response to oxygen-containing compound,52,1547,"['9606.ENSP00000212015', '9606.ENSP00000218388', '9606.ENSP00000219070', '9606.ENSP00000231509', '9606.ENSP00000241052', '9606.ENSP00000242208', '9606.ENSP00000246657', '9606.ENSP00000263339', '9606.ENSP00000263341', '9606.ENSP00000264246', '9606.ENSP00000264657', '9606.ENSP00000269305', '9606.ENSP00000280357', '9606.ENSP00000287820', '9606.ENSP00000290866', '9606.ENSP00000292427', '9606.ENSP00000295834', '9606.ENSP00000297494', '9606.ENSP00000300134', '9606.ENSP00000304915', '9606.ENSP00000305422', '9606.ENSP00000310928', '9606.ENSP00000314897', '9606.ENSP00000332049', '9606.ENSP00000336790', '9606.ENSP00000337383', '9606.ENSP00000348069', '9606.ENSP00000351022', '9606.ENSP00000355231', '9606.ENSP00000356954', '9606.ENSP00000358513', '9606.ENSP00000360293', '9606.ENSP00000361405', '9606.ENSP00000363641', '9606.ENSP00000363822', '9606.ENSP00000372295', '9606.ENSP00000377192', '9606.ENSP00000380252', '9606.ENSP00000384273', '9606.ENSP00000385523', '9606.ENSP00000385675', '9606.ENSP00000389814', '9606.ENSP00000398698', '9606.ENSP00000398832', '9606.ENSP00000405330', '9606.ENSP00000415743', '9606.ENSP00000416293', '9606.ENSP00000419692', '9606.ENSP00000440864', '9606.ENSP00000451828', '9606.ENSP00000454071', '9606.ENSP00000483300']","['SIRT1', 'TIMP1', 'MMP2', 'NR3C1', 'CAT', 'INHBA', 'CCR7', 'IL1A', 'IL1B', 'CD80', 'STAT3', 'TP53', 'IL18', 'PPARG', 'ACE', 'CYP11B1', 'FABP1', 'NOS3', 'STAT6', 'IL13', 'CEBPB', 'PPARD', 'ANGPT2', 'CD86', 'ATF4', 'NLRP3', 'SREBF1', 'TPM1', 'BECN1', 'CCN2', 'CNR1', 'SORBS1', 'MMP9', 'TXN', 'AR', 'GJB2', 'G6PD', 'NFE2L2', 'RELA', 'PPARA', 'IL6', 'ADIPOQ', 'TNF', 'AGTR1', 'ESR1', 'CD36', 'SLC2A1', 'RXRA', 'NR4A1', 'AKT1', 'LDLR', 'ACACA']",9.55e-32,3e-28,9.55e-32,3e-28,True
GO_BP,Process,GO:0051239,Regulation of multicellular organismal process,62,2749,"['9606.ENSP00000053867', '9606.ENSP00000212015', '9606.ENSP00000218388', '9606.ENSP00000219070', '9606.ENSP00000229135', '9606.ENSP00000231449', '9606.ENSP00000231454', '9606.ENSP00000242208', '9606.ENSP00000246657', '9606.ENSP00000263339', '9606.ENSP00000263341', '9606.ENSP00000263734', '9606.ENSP00000264246', '9606.ENSP00000264657', '9606.ENSP00000269305', '9606.ENSP00000280357', '9606.ENSP00000287820', '9606.ENSP00000287936', '9606.ENSP00000290167', '9606.ENSP00000290866', '9606.ENSP00000297185', '9606.ENSP00000297494', '9606.ENSP00000300134', '9606.ENSP00000301455', '9606.ENSP00000304915', '9606.ENSP00000305422', '9606.ENSP00000310928', '9606.ENSP00000314897', '9606.ENSP00000323036', '9606.ENSP00000330393', '9606.ENSP00000332049', '9606.ENSP00000336790', '9606.ENSP00000337383', '9606.ENSP00000345681', '9606.ENSP00000348069', '9606.ENSP00000351022', '9606.ENSP00000354032', '9606.ENSP00000355231', '9606.ENSP00000356954', '9606.ENSP00000358072', '9606.ENSP00000358513', '9606.ENSP00000361405', '9606.ENSP00000363512', '9606.ENSP00000363822', '9606.ENSP00000368104', '9606.ENSP00000370842', '9606.ENSP00000377192', '9606.ENSP00000380252', '9606.ENSP00000384273', '9606.ENSP00000385523', '9606.ENSP00000385675', '9606.ENSP00000386884', '9606.ENSP00000389814', '9606.ENSP00000398698', '9606.ENSP00000398832', '9606.ENSP00000405330', '9606.ENSP00000415743', '9606.ENSP00000419692', '9606.ENSP00000427514', '9606.ENSP00000440864', '9606.ENSP00000451828', '9606.ENSP00000454071']","['GRN', 'SIRT1', 'TIMP1', 'MMP2', 'IFNG', 'IL4', 'IL5', 'INHBA', 'CCR7', 'IL1A', 'IL1B', 'EPAS1', 'CD80', 'STAT3', 'TP53', 'IL18', 'PPARG', 'HMGCR', 'WNT4', 'ACE', 'HSPA9', 'NOS3', 'STAT6', 'ANGPTL4', 'IL13', 'CEBPB', 'PPARD', 'ANGPT2', 'ACPP', 'LEPR', 'CD86', 'ATF4', 'NLRP3', 'GATA2', 'SREBF1', 'TPM1', 'BSCL2', 'BECN1', 'CCN2', 'ATG5', 'CNR1', 'MMP9', 'ALOX5', 'AR', 'BMP2', 'IL33', 'G6PD', 'NFE2L2', 'RELA', 'PPARA', 'IL6', 'CXCR4', 'ADIPOQ', 'TNF', 'AGTR1', 'ESR1', 'CD36', 'RXRA', 'CEBPA', 'NR4A1', 'AKT1', 'LDLR']",1.1e-29,2.87e-26,1.1e-29,2.87e-26,True
GO_BP,Process,GO:1901701,Cellular response to oxygen-containing compound,41,1057,"['9606.ENSP00000212015', '9606.ENSP00000219070', '9606.ENSP00000231509', '9606.ENSP00000241052', '9606.ENSP00000242208', '9606.ENSP00000263339', '9606.ENSP00000263341', '9606.ENSP00000264246', '9606.ENSP00000264657', '9606.ENSP00000269305', '9606.ENSP00000280357', '9606.ENSP00000287820', '9606.ENSP00000290866', '9606.ENSP00000292427', '9606.ENSP00000295834', '9606.ENSP00000297494', '9606.ENSP00000300134', '9606.ENSP00000305422', '9606.ENSP00000310928', '9606.ENSP00000332049', '9606.ENSP00000336790', '9606.ENSP00000337383', '9606.ENSP00000348069', '9606.ENSP00000351022', '9606.ENSP00000355231', '9606.ENSP00000360293', '9606.ENSP00000361405', '9606.ENSP00000363822', '9606.ENSP00000372295', '9606.ENSP00000380252', '9606.ENSP00000384273', '9606.ENSP00000385675', '9606.ENSP00000389814', '9606.ENSP00000398698', '9606.ENSP00000398832', '9606.ENSP00000405330', '9606.ENSP00000415743', '9606.ENSP00000440864', '9606.ENSP00000451828', '9606.ENSP00000454071', '9606.ENSP00000483300']","['SIRT1', 'MMP2', 'NR3C1', 'CAT', 'INHBA', 'IL1A', 'IL1B', 'CD80', 'STAT3', 'TP53', 'IL18', 'PPARG', 'ACE', 'CYP11B1', 'FABP1', 'NOS3', 'STAT6', 'CEBPB', 'PPARD', 'CD86', 'ATF4', 'NLRP3', 'SREBF1', 'TPM1', 'BECN1', 'SORBS1', 'MMP9', 'AR', 'GJB2', 'NFE2L2', 'RELA', 'IL6', 'ADIPOQ', 'TNF', 'AGTR1', 'ESR1', 'CD36', 'NR4A1', 'AKT1', 'LDLR', 'ACACA']",1.91e-26,4.29e-23,1.91e-26,4.29e-23,True
GO_BP,Process,GO:0010941,Regulation of cell death,48,1651,"['9606.ENSP00000053867', '9606.ENSP00000212015', '9606.ENSP00000218388', '9606.ENSP00000219070', '9606.ENSP00000229135', '9606.ENSP00000231449', '9606.ENSP00000231509', '9606.ENSP00000241052', '9606.ENSP00000242208', '9606.ENSP00000246657', '9606.ENSP00000263339', '9606.ENSP00000263341', '9606.ENSP00000269305', '9606.ENSP00000287820', '9606.ENSP00000290167', '9606.ENSP00000290866', '9606.ENSP00000295834', '9606.ENSP00000297185', '9606.ENSP00000297494', '9606.ENSP00000301455', '9606.ENSP00000304915', '9606.ENSP00000305422', '9606.ENSP00000310928', '9606.ENSP00000336790', '9606.ENSP00000345681', '9606.ENSP00000350512', '9606.ENSP00000355231', '9606.ENSP00000356954', '9606.ENSP00000358072', '9606.ENSP00000358513', '9606.ENSP00000361405', '9606.ENSP00000363641', '9606.ENSP00000363822', '9606.ENSP00000368104', '9606.ENSP00000374455', '9606.ENSP00000377192', '9606.ENSP00000380252', '9606.ENSP00000384273', '9606.ENSP00000385523', '9606.ENSP00000385675', '9606.ENSP00000386884', '9606.ENSP00000389814', '9606.ENSP00000398698', '9606.ENSP00000405330', '9606.ENSP00000415743', '9606.ENSP00000440864', '9606.ENSP00000451828', '9606.ENSP00000498466']","['GRN', 'SIRT1', 'TIMP1', 'MMP2', 'IFNG', 'IL4', 'NR3C1', 'CAT', 'INHBA', 'CCR7', 'IL1A', 'IL1B', 'TP53', 'PPARG', 'WNT4', 'ACE', 'FABP1', 'HSPA9', 'NOS3', 'ANGPTL4', 'IL13', 'CEBPB', 'PPARD', 'ATF4', 'GATA2', 'COPS5', 'BECN1', 'CCN2', 'ATG5', 'CNR1', 'MMP9', 'TXN', 'AR', 'BMP2', 'SQSTM1', 'G6PD', 'NFE2L2', 'RELA', 'PPARA', 'IL6', 'CXCR4', 'ADIPOQ', 'TNF', 'ESR1', 'CD36', 'NR4A1', 'AKT1', 'FAS']",3.76e-26,7.37e-23,3.76e-26,7.37e-23,True
GO_BP,Process,GO:0051240,Positive regulation of multicellular organismal process,46,1505,"['9606.ENSP00000053867', '9606.ENSP00000212015', '9606.ENSP00000229135', '9606.ENSP00000231449', '9606.ENSP00000231454', '9606.ENSP00000242208', '9606.ENSP00000246657', '9606.ENSP00000263339', '9606.ENSP00000263341', '9606.ENSP00000263734', '9606.ENSP00000264246', '9606.ENSP00000264657', '9606.ENSP00000280357', '9606.ENSP00000287820', '9606.ENSP00000290167', '9606.ENSP00000290866', '9606.ENSP00000297494', '9606.ENSP00000300134', '9606.ENSP00000301455', '9606.ENSP00000304915', '9606.ENSP00000305422', '9606.ENSP00000314897', '9606.ENSP00000330393', '9606.ENSP00000332049', '9606.ENSP00000336790', '9606.ENSP00000337383', '9606.ENSP00000345681', '9606.ENSP00000351022', '9606.ENSP00000354032', '9606.ENSP00000355231', '9606.ENSP00000356954', '9606.ENSP00000358072', '9606.ENSP00000358513', '9606.ENSP00000363512', '9606.ENSP00000363822', '9606.ENSP00000368104', '9606.ENSP00000370842', '9606.ENSP00000380252', '9606.ENSP00000384273', '9606.ENSP00000385675', '9606.ENSP00000386884', '9606.ENSP00000389814', '9606.ENSP00000398698', '9606.ENSP00000415743', '9606.ENSP00000419692', '9606.ENSP00000451828']","['GRN', 'SIRT1', 'IFNG', 'IL4', 'IL5', 'INHBA', 'CCR7', 'IL1A', 'IL1B', 'EPAS1', 'CD80', 'STAT3', 'IL18', 'PPARG', 'WNT4', 'ACE', 'NOS3', 'STAT6', 'ANGPTL4', 'IL13', 'CEBPB', 'ANGPT2', 'LEPR', 'CD86', 'ATF4', 'NLRP3', 'GATA2', 'TPM1', 'BSCL2', 'BECN1', 'CCN2', 'ATG5', 'CNR1', 'ALOX5', 'AR', 'BMP2', 'IL33', 'NFE2L2', 'RELA', 'IL6', 'CXCR4', 'ADIPOQ', 'TNF', 'CD36', 'RXRA', 'AKT1']",8.82e-26,1.54e-22,8.82e-26,1.54e-22,True
GO_BP,Process,GO:0009719,Response to endogenous stimulus,44,1363,"['9606.ENSP00000212015', '9606.ENSP00000218388', '9606.ENSP00000219070', '9606.ENSP00000231509', '9606.ENSP00000241052', '9606.ENSP00000242208', '9606.ENSP00000246657', '9606.ENSP00000262768', '9606.ENSP00000264657', '9606.ENSP00000269305', '9606.ENSP00000287820', '9606.ENSP00000290167', '9606.ENSP00000290866', '9606.ENSP00000292427', '9606.ENSP00000297494', '9606.ENSP00000300134', '9606.ENSP00000305422', '9606.ENSP00000310928', '9606.ENSP00000325120', '9606.ENSP00000330393', '9606.ENSP00000336790', '9606.ENSP00000348069', '9606.ENSP00000352608', '9606.ENSP00000355231', '9606.ENSP00000356954', '9606.ENSP00000360293', '9606.ENSP00000363822', '9606.ENSP00000368104', '9606.ENSP00000372295', '9606.ENSP00000380252', '9606.ENSP00000384273', '9606.ENSP00000385523', '9606.ENSP00000385675', '9606.ENSP00000389814', '9606.ENSP00000398698', '9606.ENSP00000398832', '9606.ENSP00000405330', '9606.ENSP00000415743', '9606.ENSP00000416293', '9606.ENSP00000419692', '9606.ENSP00000440864', '9606.ENSP00000451828', '9606.ENSP00000454071', '9606.ENSP00000483300']","['SIRT1', 'TIMP1', 'MMP2', 'NR3C1', 'CAT', 'INHBA', 'CCR7', 'TIMP2', 'STAT3', 'TP53', 'PPARG', 'WNT4', 'ACE', 'CYP11B1', 'NOS3', 'STAT6', 'CEBPB', 'PPARD', 'PGR', 'LEPR', 'ATF4', 'SREBF1', 'RYR1', 'BECN1', 'CCN2', 'SORBS1', 'AR', 'BMP2', 'GJB2', 'NFE2L2', 'RELA', 'PPARA', 'IL6', 'ADIPOQ', 'TNF', 'AGTR1', 'ESR1', 'CD36', 'SLC2A1', 'RXRA', 'NR4A1', 'AKT1', 'LDLR', 'ACACA']",1.95e-25,3.05e-22,1.95e-25,3.05e-22,True
