analysis_category,category,term,description,number_of_genes,number_of_genes_in_background,inputGenes,preferredNames,p_value,fdr,p_value_numeric,fdr_numeric,significant_fdr_lt_0_05
KEGG,KEGG,hsa05200,Pathways in cancer,26,515,"['9606.ENSP00000219070', '9606.ENSP00000229135', '9606.ENSP00000231449', '9606.ENSP00000231454', '9606.ENSP00000263734', '9606.ENSP00000264657', '9606.ENSP00000269305', '9606.ENSP00000287820', '9606.ENSP00000290167', '9606.ENSP00000300134', '9606.ENSP00000304915', '9606.ENSP00000310928', '9606.ENSP00000361405', '9606.ENSP00000363822', '9606.ENSP00000368104', '9606.ENSP00000380252', '9606.ENSP00000384273', '9606.ENSP00000385675', '9606.ENSP00000386884', '9606.ENSP00000398832', '9606.ENSP00000405330', '9606.ENSP00000416293', '9606.ENSP00000419692', '9606.ENSP00000427514', '9606.ENSP00000451828', '9606.ENSP00000498466']","['MMP2', 'IFNG', 'IL4', 'IL5', 'EPAS1', 'STAT3', 'TP53', 'PPARG', 'WNT4', 'STAT6', 'IL13', 'PPARD', 'MMP9', 'AR', 'BMP2', 'NFE2L2', 'RELA', 'IL6', 'CXCR4', 'AGTR1', 'ESR1', 'SLC2A1', 'RXRA', 'CEBPA', 'AKT1', 'FAS']",4.31e-19,1.45e-16,4.31e-19,1.45e-16,True
KEGG,KEGG,hsa05321,Inflammatory bowel disease,12,59,"['9606.ENSP00000229135', '9606.ENSP00000231449', '9606.ENSP00000231454', '9606.ENSP00000263339', '9606.ENSP00000263341', '9606.ENSP00000264657', '9606.ENSP00000280357', '9606.ENSP00000300134', '9606.ENSP00000304915', '9606.ENSP00000384273', '9606.ENSP00000385675', '9606.ENSP00000398698']","['IFNG', 'IL4', 'IL5', 'IL1A', 'IL1B', 'STAT3', 'IL18', 'STAT6', 'IL13', 'RELA', 'IL6', 'TNF']",8.42e-16,1.41e-13,8.42e-16,1.41e-13,True
KEGG,KEGG,hsa05418,Fluid shear stress and atherosclerosis,14,129,"['9606.ENSP00000219070', '9606.ENSP00000229135', '9606.ENSP00000239223', '9606.ENSP00000263339', '9606.ENSP00000263341', '9606.ENSP00000269305', '9606.ENSP00000297494', '9606.ENSP00000361405', '9606.ENSP00000363641', '9606.ENSP00000374455', '9606.ENSP00000380252', '9606.ENSP00000384273', '9606.ENSP00000398698', '9606.ENSP00000451828']","['MMP2', 'IFNG', 'DUSP1', 'IL1A', 'IL1B', 'TP53', 'NOS3', 'MMP9', 'TXN', 'SQSTM1', 'NFE2L2', 'RELA', 'TNF', 'AKT1']",7.96e-15,8.91e-13,7.96e-15,8.91e-13,True
KEGG,KEGG,hsa04932,Non-alcoholic fatty liver disease,14,146,"['9606.ENSP00000263339', '9606.ENSP00000263341', '9606.ENSP00000330393', '9606.ENSP00000336790', '9606.ENSP00000348069', '9606.ENSP00000384273', '9606.ENSP00000385523', '9606.ENSP00000385675', '9606.ENSP00000389814', '9606.ENSP00000398698', '9606.ENSP00000419692', '9606.ENSP00000427514', '9606.ENSP00000451828', '9606.ENSP00000498466']","['IL1A', 'IL1B', 'LEPR', 'ATF4', 'SREBF1', 'RELA', 'PPARA', 'IL6', 'ADIPOQ', 'TNF', 'RXRA', 'CEBPA', 'AKT1', 'FAS']",3.86e-14,3.24e-12,3.86e-14,3.24e-12,True
KEGG,KEGG,hsa04920,Adipocytokine signaling pathway,11,68,"['9606.ENSP00000264657', '9606.ENSP00000330393', '9606.ENSP00000339787', '9606.ENSP00000384273', '9606.ENSP00000385523', '9606.ENSP00000389814', '9606.ENSP00000398698', '9606.ENSP00000415743', '9606.ENSP00000416293', '9606.ENSP00000419692', '9606.ENSP00000451828']","['STAT3', 'LEPR', 'ACSL4', 'RELA', 'PPARA', 'ADIPOQ', 'TNF', 'CD36', 'SLC2A1', 'RXRA', 'AKT1']",1.33e-13,8.96e-12,1.33e-13,8.96e-12,True
KEGG,KEGG,hsa04060,Cytokine-cytokine receptor interaction,16,282,"['9606.ENSP00000229135', '9606.ENSP00000231449', '9606.ENSP00000231454', '9606.ENSP00000242208', '9606.ENSP00000246657', '9606.ENSP00000263339', '9606.ENSP00000263341', '9606.ENSP00000280357', '9606.ENSP00000304915', '9606.ENSP00000330393', '9606.ENSP00000368104', '9606.ENSP00000370842', '9606.ENSP00000385675', '9606.ENSP00000386884', '9606.ENSP00000398698', '9606.ENSP00000498466']","['IFNG', 'IL4', 'IL5', 'INHBA', 'CCR7', 'IL1A', 'IL1B', 'IL18', 'IL13', 'LEPR', 'BMP2', 'IL33', 'IL6', 'CXCR4', 'TNF', 'FAS']",1.04e-12,5.85e-11,1.04e-12,5.85e-11,True
KEGG,KEGG,hsa03320,PPAR signaling pathway,10,75,"['9606.ENSP00000287820', '9606.ENSP00000295834', '9606.ENSP00000301455', '9606.ENSP00000310928', '9606.ENSP00000339787', '9606.ENSP00000360293', '9606.ENSP00000385523', '9606.ENSP00000389814', '9606.ENSP00000415743', '9606.ENSP00000419692']","['PPARG', 'FABP1', 'ANGPTL4', 'PPARD', 'ACSL4', 'SORBS1', 'PPARA', 'ADIPOQ', 'CD36', 'RXRA']",1.03e-11,4.96e-10,1.03e-11,4.96e-10,True
KEGG,KEGG,hsa05332,Graft-versus-host disease,8,36,"['9606.ENSP00000229135', '9606.ENSP00000263339', '9606.ENSP00000263341', '9606.ENSP00000264246', '9606.ENSP00000332049', '9606.ENSP00000385675', '9606.ENSP00000398698', '9606.ENSP00000498466']","['IFNG', 'IL1A', 'IL1B', 'CD80', 'CD86', 'IL6', 'TNF', 'FAS']",3.49e-11,1.47e-09,3.49e-11,1.47e-09,True
KEGG,KEGG,hsa05164,Influenza A,12,163,"['9606.ENSP00000229135', '9606.ENSP00000263339', '9606.ENSP00000263341', '9606.ENSP00000280357', '9606.ENSP00000337383', '9606.ENSP00000349078', '9606.ENSP00000370842', '9606.ENSP00000384273', '9606.ENSP00000385675', '9606.ENSP00000398698', '9606.ENSP00000451828', '9606.ENSP00000498466']","['IFNG', 'IL1A', 'IL1B', 'IL18', 'NLRP3', 'FDPS', 'IL33', 'RELA', 'IL6', 'TNF', 'AKT1', 'FAS']",5.12e-11,1.91e-09,5.12e-11,1.91e-09,True
KEGG,KEGG,hsa04657,IL-17 signaling pathway,10,91,"['9606.ENSP00000229135', '9606.ENSP00000231449', '9606.ENSP00000231454', '9606.ENSP00000263341', '9606.ENSP00000304915', '9606.ENSP00000305422', '9606.ENSP00000361405', '9606.ENSP00000384273', '9606.ENSP00000385675', '9606.ENSP00000398698']","['IFNG', 'IL4', 'IL5', 'IL1B', 'IL13', 'CEBPB', 'MMP9', 'RELA', 'IL6', 'TNF']",5.95e-11,2e-09,5.95e-11,2e-09,True
