hub_rank,gene_symbol,degree,weighted_degree,betweenness_centrality,pathway_or_term_membership_count,GO_BP_membership_count,GO_MF_membership_count,GO_CC_membership_count,KEGG_membership_count,member_terms
1,IL6,38,32.821,0.08974879103649669,33,13,1,2,17,GO:0070887 | Cellular response to chemical stimulus; GO:0051128 | Regulation of cellular component organization; GO:0150077 | Regulation of neuroinflammatory response; GO:0009894 | Regulation of catabolic process; GO:0050708 | Regulation of protein secretion; GO:1904035 | Regulation of epithelial cell apoptotic process; GO:0043030 | Regulation of macrophage activation; GO:0022008 | Neurogenesis; GO:0009611 | Response to wounding; GO:0002703 | Regulation of leukocyte mediated immunity; GO:0002366 | Leukocyte activation involved in immune response; GO:0001894 | Tissue homeostasis; GO:0032733 | Positive regulation of interleukin-10 production; GO:0005615 | Extracellular space; GO:0012505 | Endomembrane system; GO:0005515 | Protein binding; hsa05200 | Pathways in cancer; hsa05321 | Inflammatory bowel disease; hsa04932 | Non-alcoholic fatty liver disease; hsa04060 | Cytokine-cytokine receptor interaction; hsa05332 | Graft-versus-host disease; hsa05164 | Influenza A; hsa04933 | AGE-RAGE signaling pathway in diabetic complications; hsa04066 | HIF-1 signaling pathway; hsa04668 | TNF signaling pathway; hsa04672 | Intestinal immune network for IgA production; hsa05202 | Transcriptional misregulation in cancer; hsa05167 | Kaposi sarcoma-associated herpesvirus infection; hsa04151 | PI3K-Akt signaling pathway; hsa04218 | Cellular senescence; hsa05166 | Human T-cell leukemia virus 1 infection; hsa04068 | FoxO signaling pathway; hsa05410 | Hypertrophic cardiomyopathy
2,TNF,36,30.785,0.06696149707719334,39,15,2,4,18,GO:0070887 | Cellular response to chemical stimulus; GO:0051128 | Regulation of cellular component organization; GO:0050790 | Regulation of catalytic activity; GO:0002683 | Negative regulation of immune system process; GO:0150077 | Regulation of neuroinflammatory response; GO:0009894 | Regulation of catabolic process; GO:0050708 | Regulation of protein secretion; GO:1904035 | Regulation of epithelial cell apoptotic process; GO:0010594 | Regulation of endothelial cell migration; GO:0022008 | Neurogenesis; GO:0002703 | Regulation of leukocyte mediated immunity; GO:0043271 | Negative regulation of ion transport; GO:0019915 | Lipid storage; GO:0010633 | Negative regulation of epithelial cell migration; GO:0045670 | Regulation of osteoclast differentiation; GO:0005615 | Extracellular space; GO:0009897 | External side of plasma membrane; GO:0012505 | Endomembrane system; GO:0045121 | Membrane raft; GO:0005515 | Protein binding; GO:1901363 | Heterocyclic compound binding; hsa05321 | Inflammatory bowel disease; hsa05418 | Fluid shear stress and atherosclerosis; hsa04932 | Non-alcoholic fatty liver disease; hsa04920 | Adipocytokine signaling pathway; hsa04060 | Cytokine-cytokine receptor interaction; hsa05332 | Graft-versus-host disease; hsa05164 | Influenza A; hsa04933 | AGE-RAGE signaling pathway in diabetic complications; hsa04217 | Necroptosis; hsa04668 | TNF signaling pathway; hsa05160 | Hepatitis C; hsa05131 | Shigellosis; hsa04010 | MAPK signaling pathway; hsa04664 | Fc epsilon RI signaling pathway; hsa05166 | Human T-cell leukemia virus 1 infection; hsa05410 | Hypertrophic cardiomyopathy; hsa05165 | Human papillomavirus infection; hsa05014 | Amyotrophic lateral sclerosis
3,TP53,32,28.11,0.09829165760488992,33,9,2,5,17,GO:0070887 | Cellular response to chemical stimulus; GO:0051128 | Regulation of cellular component organization; GO:1901362 | Organic cyclic compound biosynthetic process; GO:0050790 | Regulation of catalytic activity; GO:0009894 | Regulation of catabolic process; GO:0022008 | Neurogenesis; GO:0002366 | Leukocyte activation involved in immune response; GO:0006606 | Protein import into nucleus; GO:0002931 | Response to ischemia; GO:0005667 | Transcription regulator complex; GO:0012505 | Endomembrane system; GO:0005829 | Cytosol; GO:0005739 | Mitochondrion; GO:0034399 | Nuclear periphery; GO:0005515 | Protein binding; GO:1901363 | Heterocyclic compound binding; hsa05200 | Pathways in cancer; hsa05418 | Fluid shear stress and atherosclerosis; hsa04211 | Longevity regulating pathway; hsa05160 | Hepatitis C; hsa05131 | Shigellosis; hsa04010 | MAPK signaling pathway; hsa05202 | Transcriptional misregulation in cancer; hsa05167 | Kaposi sarcoma-associated herpesvirus infection; hsa04151 | PI3K-Akt signaling pathway; hsa04218 | Cellular senescence; hsa05166 | Human T-cell leukemia virus 1 infection; hsa05230 | Central carbon metabolism in cancer; hsa05206 | MicroRNAs in cancer; hsa05165 | Human papillomavirus infection; hsa04216 | Ferroptosis; hsa05014 | Amyotrophic lateral sclerosis; hsa05203 | Viral carcinogenesis
4,AKT1,32,26.529,0.08083688856918926,42,12,2,2,26,GO:0070887 | Cellular response to chemical stimulus; GO:0051128 | Regulation of cellular component organization; GO:0050790 | Regulation of catalytic activity; GO:0002683 | Negative regulation of immune system process; GO:0009894 | Regulation of catabolic process; GO:0001525 | Angiogenesis; GO:0010594 | Regulation of endothelial cell migration; GO:0022008 | Neurogenesis; GO:0070141 | Response to UV-A; GO:1903320 | Regulation of protein modification by small protein conjugation or removal; GO:0008593 | Regulation of Notch signaling pathway; GO:0006606 | Protein import into nucleus; GO:0005829 | Cytosol; GO:0005739 | Mitochondrion; GO:0005515 | Protein binding; GO:1901363 | Heterocyclic compound binding; hsa05200 | Pathways in cancer; hsa05418 | Fluid shear stress and atherosclerosis; hsa04932 | Non-alcoholic fatty liver disease; hsa04920 | Adipocytokine signaling pathway; hsa05164 | Influenza A; hsa04933 | AGE-RAGE signaling pathway in diabetic complications; hsa04152 | AMPK signaling pathway; hsa04211 | Longevity regulating pathway; hsa04066 | HIF-1 signaling pathway; hsa04668 | TNF signaling pathway; hsa05160 | Hepatitis C; hsa05131 | Shigellosis; hsa04010 | MAPK signaling pathway; hsa05167 | Kaposi sarcoma-associated herpesvirus infection; hsa04664 | Fc epsilon RI signaling pathway; hsa04151 | PI3K-Akt signaling pathway; hsa04915 | Estrogen signaling pathway; hsa04218 | Cellular senescence; hsa05166 | Human T-cell leukemia virus 1 infection; hsa04922 | Glucagon signaling pathway; hsa05230 | Central carbon metabolism in cancer; hsa04371 | Apelin signaling pathway; hsa04068 | FoxO signaling pathway; hsa05165 | Human papillomavirus infection; hsa04550 | Signaling pathways regulating pluripotency of stem cells; hsa04261 | Adrenergic signaling in cardiomyocytes
5,STAT3,29,25.661,0.03476030871059851,28,12,2,2,12,GO:0070887 | Cellular response to chemical stimulus; GO:1901362 | Organic cyclic compound biosynthetic process; GO:0050790 | Regulation of catalytic activity; GO:0009894 | Regulation of catabolic process; GO:0045766 | Positive regulation of angiogenesis; GO:0022008 | Neurogenesis; GO:0002366 | Leukocyte activation involved in immune response; GO:0001659 | Temperature homeostasis; GO:0032733 | Positive regulation of interleukin-10 production; GO:0045646 | Regulation of erythrocyte differentiation; GO:0008593 | Regulation of Notch signaling pathway; GO:0006606 | Protein import into nucleus; GO:0005667 | Transcription regulator complex; GO:0005829 | Cytosol; GO:0005515 | Protein binding; GO:1901363 | Heterocyclic compound binding; hsa05200 | Pathways in cancer; hsa05321 | Inflammatory bowel disease; hsa04920 | Adipocytokine signaling pathway; hsa04933 | AGE-RAGE signaling pathway in diabetic complications; hsa04066 | HIF-1 signaling pathway; hsa04217 | Necroptosis; hsa05160 | Hepatitis C; hsa05167 | Kaposi sarcoma-associated herpesvirus infection; hsa05206 | MicroRNAs in cancer; hsa04068 | FoxO signaling pathway; hsa04550 | Signaling pathways regulating pluripotency of stem cells; hsa05203 | Viral carcinogenesis
6,IL1B,29,25.309,0.027363514817964122,26,11,1,3,11,GO:0070887 | Cellular response to chemical stimulus; GO:0051128 | Regulation of cellular component organization; GO:0050790 | Regulation of catalytic activity; GO:0150077 | Regulation of neuroinflammatory response; GO:0009894 | Regulation of catabolic process; GO:0050708 | Regulation of protein secretion; GO:0045766 | Positive regulation of angiogenesis; GO:0022008 | Neurogenesis; GO:0002703 | Regulation of leukocyte mediated immunity; GO:0001659 | Temperature homeostasis; GO:0019915 | Lipid storage; GO:0005615 | Extracellular space; GO:0012505 | Endomembrane system; GO:0005829 | Cytosol; GO:0005515 | Protein binding; hsa05321 | Inflammatory bowel disease; hsa05418 | Fluid shear stress and atherosclerosis; hsa04932 | Non-alcoholic fatty liver disease; hsa04060 | Cytokine-cytokine receptor interaction; hsa05332 | Graft-versus-host disease; hsa05164 | Influenza A; hsa04933 | AGE-RAGE signaling pathway in diabetic complications; hsa04217 | Necroptosis; hsa04668 | TNF signaling pathway; hsa05131 | Shigellosis; hsa04010 | MAPK signaling pathway
7,PPARG,23,20.024,0.04305491486746441,20,11,2,2,5,GO:0070887 | Cellular response to chemical stimulus; GO:0051128 | Regulation of cellular component organization; GO:1901362 | Organic cyclic compound biosynthetic process; GO:0050790 | Regulation of catalytic activity; GO:0002683 | Negative regulation of immune system process; GO:0050708 | Regulation of protein secretion; GO:0045444 | Fat cell differentiation; GO:0010594 | Regulation of endothelial cell migration; GO:0044255 | Cellular lipid metabolic process; GO:0010633 | Negative regulation of epithelial cell migration; GO:0043279 | Response to alkaloid; GO:0005667 | Transcription regulator complex; GO:0005829 | Cytosol; GO:0005515 | Protein binding; GO:1901363 | Heterocyclic compound binding; hsa05200 | Pathways in cancer; hsa03320 | PPAR signaling pathway; hsa04152 | AMPK signaling pathway; hsa04211 | Longevity regulating pathway; hsa05202 | Transcriptional misregulation in cancer
8,MMP9,21,17.551,0.02554807557464702,15,6,1,2,6,GO:0070887 | Cellular response to chemical stimulus; GO:0051128 | Regulation of cellular component organization; GO:0050790 | Regulation of catalytic activity; GO:0150077 | Regulation of neuroinflammatory response; GO:0070141 | Response to UV-A; GO:0043271 | Negative regulation of ion transport; GO:0005615 | Extracellular space; GO:0012505 | Endomembrane system; GO:0005515 | Protein binding; hsa05200 | Pathways in cancer; hsa05418 | Fluid shear stress and atherosclerosis; hsa04668 | TNF signaling pathway; hsa05202 | Transcriptional misregulation in cancer; hsa04915 | Estrogen signaling pathway; hsa05206 | MicroRNAs in cancer
9,IFNG,20,17.766,0.0063935379856778825,20,9,1,1,9,GO:0070887 | Cellular response to chemical stimulus; GO:0051128 | Regulation of cellular component organization; GO:0050790 | Regulation of catalytic activity; GO:0009894 | Regulation of catabolic process; GO:0050708 | Regulation of protein secretion; GO:0022008 | Neurogenesis; GO:0002366 | Leukocyte activation involved in immune response; GO:1900544 | Positive regulation of purine nucleotide metabolic process; GO:0045670 | Regulation of osteoclast differentiation; GO:0005615 | Extracellular space; GO:0005515 | Protein binding; hsa05200 | Pathways in cancer; hsa05321 | Inflammatory bowel disease; hsa05418 | Fluid shear stress and atherosclerosis; hsa04060 | Cytokine-cytokine receptor interaction; hsa05332 | Graft-versus-host disease; hsa05164 | Influenza A; hsa04066 | HIF-1 signaling pathway; hsa04217 | Necroptosis; hsa05160 | Hepatitis C
10,SIRT1,19,15.623,0.019004584375400046,23,11,2,3,7,GO:0070887 | Cellular response to chemical stimulus; GO:0051128 | Regulation of cellular component organization; GO:1901362 | Organic cyclic compound biosynthetic process; GO:0050790 | Regulation of catalytic activity; GO:0009894 | Regulation of catabolic process; GO:0001525 | Angiogenesis; GO:0045766 | Positive regulation of angiogenesis; GO:0045444 | Fat cell differentiation; GO:0010594 | Regulation of endothelial cell migration; GO:0044255 | Cellular lipid metabolic process; GO:1905897 | Regulation of response to endoplasmic reticulum stress; GO:0012505 | Endomembrane system; GO:0005829 | Cytosol; GO:0005739 | Mitochondrion; GO:0005515 | Protein binding; GO:1901363 | Heterocyclic compound binding; hsa04152 | AMPK signaling pathway; hsa04211 | Longevity regulating pathway; hsa04218 | Cellular senescence; hsa04922 | Glucagon signaling pathway; hsa05206 | MicroRNAs in cancer; hsa04068 | FoxO signaling pathway; hsa00760 | Nicotinate and nicotinamide metabolism
