gene_symbol,protein_name,max_evidence_grade,evidence_grades_seen,evidence_partition,independent_source_count,independent_source_families,evidence_item_count,has_prediction_evidence,independent_support_ge_2,supporting_ids,audit_note
NR1I2,nuclear receptor subfamily 1 group I member 2,A,"A,B",experimental_or_curated,3,CTD; Literature; T3DB,3,no,yes,CTD:C012125; PMID:21227907; PMID:27071811; PMID:27551952 | PMID:21227907; DOI:10.1093/toxsci/kfq394 | T3D3648; UniProt:O75469; PMID:21227907; DOI:10.1093/toxsci/kfq394,"See master evidence_note for species, co-treatment and assay caveats."
NR1I3,nuclear receptor subfamily 1 group I member 3,A,"A,B",experimental_or_curated,3,CTD; Literature; T3DB,3,no,yes,CTD:C012125; PMID:21227907; PMID:27551952 | PMID:21227907; DOI:10.1093/toxsci/kfq394 | T3D3648; UniProt:Q14994; PMID:21227907; DOI:10.1093/toxsci/kfq394,"See master evidence_note for species, co-treatment and assay caveats."
PPARA,peroxisome proliferator activated receptor alpha,A,"A,B,C",experimental_or_curated_plus_prediction,3,CTD; Literature; T3DB,4,yes,yes,CTD:C012125; PMID:23843199 | CTD:C012125; PMID:31577137; PMID:37927243 | PMID:37927243; DOI:10.1002/tox.24010 | T3D3648; UniProt:Q07869; PMID:23843199; DOI:10.1002/jat.2902,"See master evidence_note for species, co-treatment and assay caveats."
PPARG,peroxisome proliferator activated receptor gamma,A,"A,B,C",experimental_or_curated_plus_prediction,3,CTD; Literature; T3DB,6,yes,yes,CTD:C012125; PMID:23843199 | CTD:C012125; PMID:26172262; PMID:29410257; PMID:30600365; PMID:31546122; PMID:31577137; PMID:37927243 | PMID:29410257; DOI:10.1016/j.jsbmb.2018.01.014 | PMID:31546122; DOI:10.1016/j.envpol.2019.113154 | PMID:37927243; DOI:10.1002/tox.24010 | T3D3648; UniProt:P37231; PMID:23843199; DOI:10.1002/jat.2902,"See master evidence_note for species, co-treatment and assay caveats."
CEBPA,CCAAT enhancer binding protein alpha,A,"A,B",experimental_or_curated,2,CTD; Literature,3,no,yes,CTD:C012125; PMID:31546122; PMID:37927243 | PMID:31546122; DOI:10.1016/j.envpol.2019.113154 | PMID:37927243; DOI:10.1002/tox.24010,"See master evidence_note for species, co-treatment and assay caveats."
CEBPB,CCAAT enhancer binding protein beta,A,"A,B",experimental_or_curated,2,CTD; Literature,3,no,yes,CTD:C012125; PMID:29410257; PMID:31546122; PMID:37482143 | PMID:29410257; DOI:10.1016/j.jsbmb.2018.01.014 | PMID:31546122; DOI:10.1016/j.envpol.2019.113154,"See master evidence_note for species, co-treatment and assay caveats."
CYP2B6,cytochrome P450 family 2 subfamily B member 6,A,"A,B",experimental_or_curated,2,CTD; Literature,2,no,yes,CTD:C012125; PMID:21227907 | PMID:21227907; DOI:10.1093/toxsci/kfq394,"See master evidence_note for species, co-treatment and assay caveats."
CYP3A4,cytochrome P450 family 3 subfamily A member 4,A,"A,B",experimental_or_curated,2,CTD; Literature,2,no,yes,CTD:C012125; PMID:21227907 | PMID:21227907; DOI:10.1093/toxsci/kfq394,"See master evidence_note for species, co-treatment and assay caveats."
DDIT4,DNA damage inducible transcript 4,A,"A,B",experimental_or_curated,2,CTD; Literature,2,no,yes,CTD:C012125; PMID:37976928 | PMID:37976928; DOI:10.1016/j.ecoenv.2023.115686,"See master evidence_note for species, co-treatment and assay caveats."
FABP4,fatty acid binding protein 4,A,"A,B",experimental_or_curated,2,CTD; Literature,2,no,yes,CTD:C012125; PMID:31546122; PMID:37927243 | PMID:37927243; DOI:10.1002/tox.24010,"See master evidence_note for species, co-treatment and assay caveats."
