gene_symbol,protein_name,database_source,evidence_type,direct_binding_or_activity,expression_response,species,cell_or_tissue,dose,exposure_time,direction,PMID/DOI/database_id,evidence_note,evidence_grade,evidence_grades_seen,evidence_partition,independent_source_count,independent_source_families,evidence_item_count,has_prediction_evidence,independent_support_ge_2,canonical_symbol_rule
NR1I2,nuclear receptor subfamily 1 group I member 2,CTD | T3DB | PubMed/primary literature,CTD curated DINP chemical–gene interaction (DINP-only row filter) | T3DB target annotation backed by primary human receptor transactivation/ex vivo expression study | Primary experimental DINP exposure study,CTD curated binding/interaction statement; independent direct-binding confirmation not assumed | CTD curated activity modulation; not necessarily direct binding | Human receptor transactivation and ex vivo induction; not purified-protein binding | Transactivation and ex vivo receptor-pathway activity; not purified-protein binding,upregulated downstream CYP2B6/CYP3A4 where applicable | CYP2B6/CYP3A4 induced in human hepatocytes,Homo sapiens (n=3) | Homo sapiens,Not specified in CTD record; see cited PMID(s) | COS-1 receptor reporter assays; primary human hepatocytes | COS-1 receptor transactivation assays; primary human hepatocytes,NR in CTD record,NR in CTD record,up | increased receptor activity / downstream induction,CTD:C012125; PMID:21227907; PMID:27071811; PMID:27551952 | PMID:21227907; DOI:10.1093/toxsci/kfq394 | T3D3648; UniProt:O75469; PMID:21227907; DOI:10.1093/toxsci/kfq394,"CTD raw direct-DINP filter; raw_gene_symbol=NR1I2; species=Homo sapiens (n=3); actions=affects^binding (n=2); increases^activity (n=2); representative_interactions=diisononyl phthalate binds to and results in increased activity of NR1I2 protein || diisononyl phthalate binds to NR1I2 protein || diisononyl phthalate results in increased activity of NR1I2 protein. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info. | T3DB target Nuclear receptor subfamily 1 group I member 2; T3DB target page has 7 total targets and cites the primary study. T3DB entry itself is an annotation layer; A grade here derives from the cited wet experimental study. | DINP was among tested phthalates; ex vivo DINP induced CYP2B6 and CYP3A4 expression in human hepatocytes. Human CAR splice variants and PXR were studied.",A,"A,B",experimental_or_curated,3,CTD; Literature; T3DB,3,no,yes,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
NR1I3,nuclear receptor subfamily 1 group I member 3,CTD | T3DB | PubMed/primary literature,CTD curated DINP chemical–gene interaction (DINP-only row filter) | T3DB target annotation backed by primary human receptor transactivation/ex vivo expression study | Primary experimental DINP exposure study,CTD curated binding/interaction statement; independent direct-binding confirmation not assumed | CTD curated activity modulation; not necessarily direct binding | Human receptor transactivation and ex vivo induction; not purified-protein binding | Transactivation and ex vivo receptor-pathway activity; not purified-protein binding,upregulated downstream CYP2B6/CYP3A4 where applicable | CYP2B6/CYP3A4 induced in human hepatocytes,Homo sapiens (n=2) | Homo sapiens,Not specified in CTD record; see cited PMID(s) | COS-1 receptor reporter assays; primary human hepatocytes | COS-1 receptor transactivation assays; primary human hepatocytes,NR in CTD record,NR in CTD record,up | increased receptor activity / downstream induction,CTD:C012125; PMID:21227907; PMID:27551952 | PMID:21227907; DOI:10.1093/toxsci/kfq394 | T3D3648; UniProt:Q14994; PMID:21227907; DOI:10.1093/toxsci/kfq394,"CTD raw direct-DINP filter; raw_gene_symbol=NR1I3; species=Homo sapiens (n=2); actions=affects^binding (n=1); increases^activity (n=2); representative_interactions=diisononyl phthalate binds to and results in increased activity of NR1I3 protein alternative form || diisononyl phthalate results in increased activity of NR1I3 protein alternative form. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info. | T3DB target Nuclear receptor subfamily 1 group I member 3; T3DB target page has 7 total targets and cites the primary study. T3DB entry itself is an annotation layer; A grade here derives from the cited wet experimental study. | DINP was among tested phthalates; ex vivo DINP induced CYP2B6 and CYP3A4 expression in human hepatocytes. Human CAR splice variants and PXR were studied.",A,"A,B",experimental_or_curated,3,CTD; Literature; T3DB,3,no,yes,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
PPARA,peroxisome proliferator activated receptor alpha,CTD | T3DB | PubMed/primary literature,CTD chemical–gene interaction sourced to an explicitly in-silico DINP/phthalate binding paper | CTD curated DINP chemical–gene interaction (DINP-only row filter) | T3DB target annotation sourced to an explicitly in-silico phthalate binding paper | Primary experimental DINP exposure study,Predicted ligand binding; no experimental binding in this record | CTD curated binding/interaction statement; independent direct-binding confirmation not assumed | Predicted binding only; no experimental direct-binding evidence in this record | No; qRT-PCR/protein response and adipogenic phenotype,"expression affected | upregulated | Pparγ, Pparα, C/EBPα, Fabp4 and Fabp5 upregulated",Homo sapiens (n=1); Mus musculus (n=2) | Homo sapiens | Mus musculus,Not specified in CTD record; see cited PMID(s) | 3T3-L1 mouse preadipocytes,"NR in CTD record | 1, 10, 100 µM DINP",NR in CTD record | 10 days,up,CTD:C012125; PMID:23843199 | CTD:C012125; PMID:31577137; PMID:37927243 | PMID:37927243; DOI:10.1002/tox.24010 | T3D3648; UniProt:Q07869; PMID:23843199; DOI:10.1002/jat.2902,"CTD record cites PMID 23843199, whose title/method is an in-silico approach for phthalates and PPAR/RXR subtypes; kept in prediction-only partition. | CTD raw direct-DINP filter; raw_gene_symbol=PPARA; species=Homo sapiens (n=1); Mus musculus (n=2); actions=affects^binding (n=1); affects^expression (n=1); increases^expression (n=1); representative_interactions=diisononyl phthalate binds to PPARA protein || diisononyl phthalate affects the expression of PPARA mRNA || diisononyl phthalate results in increased expression of PPARA mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info. | T3DB target Peroxisome proliferator-activated receptor alpha; PMID 23843199 is titled as an in-silico approach. Kept in prediction-only partition. | DINP arm of a DINP-versus-DINCH comparison; only DINP observations are retained.",A,"A,B,C",experimental_or_curated_plus_prediction,3,CTD; Literature; T3DB,4,yes,yes,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
PPARG,peroxisome proliferator activated receptor gamma,CTD | T3DB | PubMed/primary literature,CTD chemical–gene interaction sourced to an explicitly in-silico DINP/phthalate binding paper | CTD curated DINP chemical–gene interaction (DINP-only row filter) | T3DB target annotation sourced to an explicitly in-silico phthalate binding paper | Primary experimental DINP exposure study,Predicted ligand binding; no experimental binding in this record | CTD curated activity modulation; not necessarily direct binding | CTD curated binding/interaction statement; independent direct-binding confirmation not assumed | Predicted binding only; no experimental direct-binding evidence in this record | PPARG transient-transfection activity; not purified-protein binding | PPARγ antagonist-sensitive adipogenic activity; not purified-protein binding | No; qRT-PCR/protein response and adipogenic phenotype,"expression affected | upregulated | downregulated | Cebpβ upregulated | PPARG, CEBPA and CEBPB upregulated | Pparγ, Pparα, C/EBPα, Fabp4 and Fabp5 upregulated",Homo sapiens (n=3); Mus musculus (n=3); Sparus aurata (n=1) | Homo sapiens | Mus musculus,Not specified in CTD record; see cited PMID(s) | 3T3-L1 mouse preadipocytes,"NR in CTD record | 0.01–25 µM DiNP | 50 µM DINP | 1, 10, 100 µM DINP",NR in CTD record | Differentiation study; exact interval NR in abstract | 10 days,mixed | PPARG activity increased; CEBPB increased early | up,CTD:C012125; PMID:23843199 | CTD:C012125; PMID:26172262; PMID:29410257; PMID:30600365; PMID:31546122; PMID:31577137; PMID:37927243 | PMID:29410257; DOI:10.1016/j.jsbmb.2018.01.014 | PMID:31546122; DOI:10.1016/j.envpol.2019.113154 | PMID:37927243; DOI:10.1002/tox.24010 | T3D3648; UniProt:P37231; PMID:23843199; DOI:10.1002/jat.2902,"CTD record cites PMID 23843199, whose title/method is an in-silico approach for phthalates and PPAR/RXR subtypes; kept in prediction-only partition. | CTD raw direct-DINP filter; raw_gene_symbol=PPARG; species=Homo sapiens (n=3); Mus musculus (n=3); Sparus aurata (n=1); actions=affects^activity (n=1); affects^binding (n=2); affects^expression (n=1); decreases^expression (n=1); increases^activity (n=2); increases^expression (n=1); representative_interactions=diisononyl phthalate affects the activity of PPARG protein || diisononyl phthalate binds to and results in increased activity of PPARG protein || diisononyl phthalate binds to PPARG protein. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info. | T3DB target Peroxisome proliferator-activated receptor gamma; PMID 23843199 is titled as an in-silico approach. Kept in prediction-only partition. | DINP/DiNP was tested as a separate plasticizer arm alongside other plasticizers; the reported DINP arm activated PPARγ and increased early Cebpβ. | DINP-specific preadipocyte experiment; RNA-seq also reported 1,181 DEGs, but only explicitly reported mechanistic markers are represented here. | DINP arm of a DINP-versus-DINCH comparison; only DINP observations are retained.",A,"A,B,C",experimental_or_curated_plus_prediction,3,CTD; Literature; T3DB,6,yes,yes,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
CEBPA,CCAAT enhancer binding protein alpha,CTD | PubMed/primary literature,CTD curated DINP chemical–gene interaction (DINP-only row filter) | Primary experimental DINP exposure study,PPARγ antagonist-sensitive adipogenic activity; not purified-protein binding | No; qRT-PCR/protein response and adipogenic phenotype,"upregulated | PPARG, CEBPA and CEBPB upregulated | Pparγ, Pparα, C/EBPα, Fabp4 and Fabp5 upregulated",Mus musculus (n=1) | Mus musculus,Not specified in CTD record; see cited PMID(s) | 3T3-L1 mouse preadipocytes,"NR in CTD record | 50 µM DINP | 1, 10, 100 µM DINP",NR in CTD record | 10 days,up,CTD:C012125; PMID:31546122; PMID:37927243 | PMID:31546122; DOI:10.1016/j.envpol.2019.113154 | PMID:37927243; DOI:10.1002/tox.24010,"CTD raw direct-DINP filter; raw_gene_symbol=CEBPA; species=Mus musculus (n=1); actions=increases^expression (n=1); representative_interactions=diisononyl phthalate results in increased expression of CEBPA mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info. | DINP-specific preadipocyte experiment; RNA-seq also reported 1,181 DEGs, but only explicitly reported mechanistic markers are represented here. | DINP arm of a DINP-versus-DINCH comparison; only DINP observations are retained.",A,"A,B",experimental_or_curated,2,CTD; Literature,3,no,yes,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
CEBPB,CCAAT enhancer binding protein beta,CTD | PubMed/primary literature,CTD curated DINP chemical–gene interaction (DINP-only row filter) | Primary experimental DINP exposure study,PPARG transient-transfection activity; not purified-protein binding | PPARγ antagonist-sensitive adipogenic activity; not purified-protein binding,"downregulated | upregulated | Cebpβ upregulated | PPARG, CEBPA and CEBPB upregulated",Mus musculus (n=2) | Mus musculus,Not specified in CTD record; see cited PMID(s) | 3T3-L1 mouse preadipocytes,NR in CTD record | 0.01–25 µM DiNP | 50 µM DINP,NR in CTD record | Differentiation study; exact interval NR in abstract | 10 days,mixed | PPARG activity increased; CEBPB increased early | up,CTD:C012125; PMID:29410257; PMID:31546122; PMID:37482143 | PMID:29410257; DOI:10.1016/j.jsbmb.2018.01.014 | PMID:31546122; DOI:10.1016/j.envpol.2019.113154,"CTD raw direct-DINP filter; raw_gene_symbol=CEBPB; species=Mus musculus (n=2); actions=decreases^expression (n=1); increases^expression (n=1); representative_interactions=diisononyl phthalate results in decreased expression of CEBPB mRNA || diisononyl phthalate results in increased expression of CEBPB mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info. | DINP/DiNP was tested as a separate plasticizer arm alongside other plasticizers; the reported DINP arm activated PPARγ and increased early Cebpβ. | DINP-specific preadipocyte experiment; RNA-seq also reported 1,181 DEGs, but only explicitly reported mechanistic markers are represented here.",A,"A,B",experimental_or_curated,2,CTD; Literature,3,no,yes,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
CYP2B6,cytochrome P450 family 2 subfamily B member 6,CTD | PubMed/primary literature,CTD curated DINP chemical–gene interaction (DINP-only row filter) | Primary experimental DINP exposure study,No; downstream expression response,upregulated,Mammalia (n=1) | Homo sapiens,Not specified in CTD record; see cited PMID(s) | Primary human hepatocytes,NR in CTD record,NR in CTD record,up,CTD:C012125; PMID:21227907 | PMID:21227907; DOI:10.1093/toxsci/kfq394,"CTD raw direct-DINP filter; raw_gene_symbol=CYP2B6; species=Mammalia (n=1); actions=increases^expression (n=1); representative_interactions=diisononyl phthalate results in increased expression of CYP2B6 protein. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info. | Ex vivo DINP induction reported in the PubMed abstract; target genes are response markers rather than direct DINP-binding proteins.",A,"A,B",experimental_or_curated,2,CTD; Literature,2,no,yes,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
CYP3A4,cytochrome P450 family 3 subfamily A member 4,CTD | PubMed/primary literature,CTD curated DINP chemical–gene interaction (DINP-only row filter) | Primary experimental DINP exposure study,No; downstream expression response,upregulated,Mammalia (n=1) | Homo sapiens,Not specified in CTD record; see cited PMID(s) | Primary human hepatocytes,NR in CTD record,NR in CTD record,up,CTD:C012125; PMID:21227907 | PMID:21227907; DOI:10.1093/toxsci/kfq394,"CTD raw direct-DINP filter; raw_gene_symbol=CYP3A4; species=Mammalia (n=1); actions=increases^expression (n=1); representative_interactions=diisononyl phthalate results in increased expression of CYP3A4 protein. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info. | Ex vivo DINP induction reported in the PubMed abstract; target genes are response markers rather than direct DINP-binding proteins.",A,"A,B",experimental_or_curated,2,CTD; Literature,2,no,yes,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
DDIT4,DNA damage inducible transcript 4,CTD | PubMed/primary literature,CTD curated DINP chemical–gene interaction (DINP-only row filter) | Primary experimental DINP exposure study,DDIT4 functional mediator; ATF4 promoter binding to DDIT4 reported; neither is established as direct DINP-protein binding,upregulated | DDIT4 and ATF4 increased,Homo sapiens (n=2); Mus musculus (n=1) | Homo sapiens,Not specified in CTD record; see cited PMID(s) | Primary ovarian granulosa cells and KGN cells,NR in CTD record,NR in CTD record,up,CTD:C012125; PMID:37976928 | PMID:37976928; DOI:10.1016/j.ecoenv.2023.115686,"CTD raw direct-DINP filter; raw_gene_symbol=DDIT4; species=Homo sapiens (n=2); Mus musculus (n=1); actions=increases^expression (n=3); representative_interactions=diisononyl phthalate results in increased expression of DDIT4 mRNA || diisononyl phthalate results in increased expression of DDIT4 protein || diisononyl phthalate results in increased expression of DDIT4 protein. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info. | DINP induced autophagy with increased DDIT4 mRNA/protein; DDIT4 gain/loss altered the phenotype. ATF4 bound the DDIT4 promoter and mediated the response.",A,"A,B",experimental_or_curated,2,CTD; Literature,2,no,yes,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
FABP4,fatty acid binding protein 4,CTD | PubMed/primary literature,CTD curated DINP chemical–gene interaction (DINP-only row filter) | Primary experimental DINP exposure study,No; qRT-PCR/protein response and adipogenic phenotype,"upregulated | Pparγ, Pparα, C/EBPα, Fabp4 and Fabp5 upregulated",Mus musculus (n=2) | Mus musculus,Not specified in CTD record; see cited PMID(s) | 3T3-L1 mouse preadipocytes,"NR in CTD record | 1, 10, 100 µM DINP",NR in CTD record | 10 days,up,CTD:C012125; PMID:31546122; PMID:37927243 | PMID:37927243; DOI:10.1002/tox.24010,"CTD raw direct-DINP filter; raw_gene_symbol=FABP4; species=Mus musculus (n=2); actions=increases^expression (n=2); representative_interactions=diisononyl phthalate results in increased expression of FABP4 mRNA || diisononyl phthalate results in increased expression of FABP4 protein. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info. | DINP arm of a DINP-versus-DINCH comparison; only DINP observations are retained.",A,"A,B",experimental_or_curated,2,CTD; Literature,2,no,yes,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
