"gene_symbol","module","kME_own","kME_brown","kME_black","kME_pink","kME_yellow","kME_red","kME_magenta","kME_purple","kME_turquoise","kME_blue","kME_green","kME_grey"
"BCLAF1","black",0.87428999091892,0.384004330808398,0.87428999091892,0.0163068864177975,0.0102162072435553,0.419247884117465,0.263077784115876,0.0611612133788337,-0.0476091634243923,0.0810264190399311,0.00249308959084357,-0.052498030478143
"DDX3X","black",0.857783938665575,0.282773602884049,0.857783938665575,-0.0431206350897095,-0.140971992064594,0.298094053734902,0.138754139740784,0.0577088228252769,0.0493142524953107,0.156311573613539,-0.0308272727413909,-0.00263658766019096
"API5","black",0.857200692423147,0.460769340589505,0.857200692423147,0.0352567895324779,-0.0913170012455552,0.391536352185522,0.254395225324004,0.0723892149323606,-0.090700780552578,0.113214241874808,0.0992888612790792,0.00882487069358082
"SCYL2","black",0.85348969115948,0.27493855181214,0.85348969115948,-0.0836973457275706,-0.0978509918880754,0.419495296548425,0.133254437723015,0.0966625949654435,-0.0475577056437387,0.127424949368343,0.222328655030662,0.0346568057098094
"SCAMP1","black",0.851503852676357,0.246074135868162,0.851503852676357,-0.059096909299237,-0.034334169938525,0.467314541358796,0.254185755822164,0.0352193605499003,0.0276342603371984,0.122068686185139,0.0832159491247311,-0.0144516745127316
"G3BP2","black",0.851272072480853,0.327685518538255,0.851272072480853,-0.139908167277607,-0.244018701226751,0.329145268303163,0.01179112204745,0.0878002372817072,-0.0173378125656157,0.170553131298504,0.177143114331194,0.154362737033596
"ACTR2","black",0.846695589316138,0.184385482507617,0.846695589316138,0.0396629431763032,-0.119455302248303,0.211313588969731,0.0973567887455896,0.136615599981106,0.0202284681114102,0.137462406438218,0.0949493981014946,-0.0928363270535657
"EXOC5","black",0.842859122486648,0.302640095105454,0.842859122486648,-0.174708545573335,0.035174447660499,0.553757772302356,0.227420946010856,0.0667712455938145,0.0962150547618946,0.226833921663917,0.0388027965464057,0.017836819374097
"CAB39","black",0.832902334862643,0.173696693299608,0.832902334862643,-0.0244864060112758,-0.0666237619616799,0.418123142265753,0.199516680953961,0.175860273244042,0.0406192909414228,0.204311106235519,0.241727924919182,-0.0698473319323528
"SNHG4","black",0.832364916062298,0.297041232687736,0.832364916062298,-0.0190180065232696,0.00680722410238442,0.516534219014714,0.335049290154515,0.0042740346580348,-0.0157110159131951,0.0742544898736314,-0.017554485340774,-0.103479782532364
"C5orf22","black",0.831182846771896,0.400123065624004,0.831182846771896,-0.060797152129192,-0.214223561051124,0.350646441703383,0.132306948225885,0.0413798053543254,-0.0568076416843207,0.138618675932355,0.109321773257654,0.095737552493144
"DHX9","black",0.831158887160887,0.39342744931469,0.831158887160887,0.0528989915555136,-0.178469125997796,0.20282348121843,0.141283427537486,0.0179779976878262,-0.0580017233244356,0.050272775666372,-0.0541340643635692,-0.0126059958505432
"LIN7C","black",0.830906275276213,0.485143948640216,0.830906275276213,-0.0871319991796951,0.0353950771364922,0.631591785006321,0.323704710987422,-0.000658414191297247,-0.0335420885516586,0.123919821810058,0.113993830603061,0.0815329901248037
"PAPOLA","black",0.830318395086751,0.38190878451077,0.830318395086751,-0.0146913856180175,0.00809800193572707,0.575728612764518,0.356300553962815,0.0665212923653459,-0.0716604744927894,0.0887344094069139,0.112503916772692,-0.0477020807726202
"MOB1A","black",0.826055336569988,0.304169529620005,0.826055336569988,0.0117057157669944,0.0655832197412509,0.456192240360245,0.307931602982707,0.0808762308522296,0.0589200206316494,0.185117419945266,0.0158491042725396,-0.0763066431621656
"CTDSPL2","black",0.823855835020151,0.360805102039356,0.823855835020151,-0.116048481454868,-0.111270378138386,0.425873713102658,0.174364377786737,0.018227230021116,0.0127455001062424,0.151929935284565,-0.0201438121192397,0.0484952453124117
"CDV3","black",0.822333245201653,0.349135604315875,0.822333245201653,-0.0978094373892773,-0.239336529084687,0.257627357371997,0.0540173733591328,0.153831058017871,0.0449676706598081,0.245628173771841,0.0286957499098601,0.105119416241986
"SUPT16H","black",0.820656864638534,0.433380774297102,0.820656864638534,-0.0899472308260784,-0.142796968226388,0.272791299039931,0.0915242762666394,0.0277010091703994,-0.0532257365797975,0.118449188990816,-0.0265549564523276,0.106491750839537
"YTHDF3","black",0.82016827140962,0.25531879587292,0.82016827140962,0.108537630191192,-0.0171993007489723,0.393348092007035,0.335412021262033,0.112293259127034,0.0299404577662304,0.109716072814252,0.089912993316904,-0.16574021304829
"HIPK3","black",0.814334732666562,0.264745400494241,0.814334732666562,-0.0901604886426257,-0.0422780534428468,0.443942114422616,0.215057468048582,0.0462032621830006,0.168452314237526,0.232536635449558,0.00939937344144474,-0.00445534271204743
"ADAM10","black",0.810381327425233,0.307591564220482,0.810381327425233,-0.231638193769233,-0.0375538531727704,0.601801864421721,0.195886757635462,0.0728488953546693,0.0975795728531353,0.275303133435596,0.108757838562975,0.158586473891674
"ATP13A3","black",0.810205308373417,0.333923135495201,0.810205308373417,0.192808325481022,0.0704120270533548,0.370742491557368,0.375316932510087,-0.0563899329258658,-0.102387749658059,-0.0660131334798256,-0.0298094702516362,-0.219839885904705
"PSME4","black",0.808358651032144,0.440653264298086,0.808358651032144,-0.0341272376592865,-0.0581305118582059,0.353462996349731,0.178729861669959,-0.0641564953275125,-0.0760952460427636,0.0358060801247684,0.00863565299171081,0.0768729671653927
"G3BP1","black",0.808296509988465,0.280005710212991,0.808296509988465,0.0743328993366506,0.0330936860503511,0.402090782142463,0.293389888359975,-0.0188385264653598,-0.107407286925236,-0.0244235660508311,0.0900815402967302,-0.045030208630697
"NUDT21","black",0.807910364013681,0.535946966639199,0.807910364013681,0.16993882382566,-0.0490375254238472,0.460224422945861,0.411174288862668,0.0304520312498896,-0.122771092837148,0.0101392770715046,0.0395472098259617,-0.0948010455481885
"AFF4","black",0.806546521588502,0.225681930665315,0.806546521588502,-0.0430687656727413,0.00451671825773723,0.383878048721022,0.158516303613357,0.0296500467940287,0.05133997416427,0.124651005286578,0.0857073126926354,0.0130277494612491
"MFAP3","black",0.804428069176196,0.414710170246683,0.804428069176196,-0.171835033852892,-0.172018587890127,0.447266260472187,0.12666313137355,0.0949486517480333,0.125946787831688,0.291073205050606,0.0463398926836086,0.185679552967569
"TMX1","black",0.80248992517612,0.454058869097135,0.80248992517612,-0.306995017095439,-0.199800749887094,0.482077118710221,0.0971047733757034,0.135288210568528,0.0424331560418713,0.340342673238315,0.0608063207067983,0.238801307560953
"TMEM30A","black",0.801446925485068,0.129822850685558,0.801446925485068,-0.335442620822074,-0.0827589867083295,0.424879584214457,0.00295663423511931,0.192126103413657,0.19321632785863,0.372631242770237,0.161674204818925,0.170759474097394
